   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_341.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0584159, 0, 3.93024e-19, 0, 1.41421, -3.93024e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98035e-23, 0, 3.68277e-22, 0, 3.92626e-19, 0, 0, 0
0.0662844, 0, 8.27432e-19, 0, 1.41421, -8.27432e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.37938e-23, 0, 7.86159e-22, 0, 8.26582e-19, 0, 0, 0
0.074153, 0, 1.72213e-18, 0, 1.41421, -1.72213e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35011e-22, 0, 1.65945e-21, 0, 1.72034e-18, 0, 0, 0
0.0820215, 0, 3.54465e-18, 0, 1.41421, -3.54465e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82615e-22, 0, 3.46498e-21, 0, 3.5409e-18, 0, 0, 0
0.0898901, 0, 7.21759e-18, 0, 1.41421, -7.21759e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.85335e-22, 0, 7.15934e-21, 0, 7.20985e-18, 0, 0, 0
0.0977586, 0, 1.45428e-17, 0, 1.41421, -1.45428e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19985e-21, 0, 1.46427e-20, 0, 1.4527e-17, 0, 0, 0
0.105627, 0, 2.90041e-17, 0, 1.41421, -2.90041e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43493e-21, 0, 2.96531e-20, 0, 2.8972e-17, 0, 0, 0
0.113496, 0, 5.72698e-17, 0, 1.41421, -5.72698e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89315e-21, 0, 5.94759e-20, 0, 5.72054e-17, 0, 0, 0
0.121364, 0, 1.11981e-16, 0, 1.41421, -1.11981e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.73942e-21, 0, 1.18179e-19, 0, 1.11853e-16, 0, 0, 0
0.129233, 0, 2.16869e-16, 0, 1.41421, -2.16869e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92049e-20, 0, 2.32686e-19, 0, 2.16617e-16, 0, 0, 0
0.137101, 0, 4.16071e-16, 0, 1.41421, -4.16071e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75242e-20, 0, 4.54072e-19, 0, 4.1558e-16, 0, 0, 0
0.14497, 0, 7.90911e-16, 0, 1.41421, -7.90911e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.2662e-20, 0, 8.78397e-19, 0, 7.89959e-16, 0, 0, 0
0.152839, 0, 1.48985e-15, 0, 1.41421, -1.48985e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39467e-19, 0, 1.68482e-18, 0, 1.48803e-15, 0, 0, 0
0.160707, 0, 2.78148e-15, 0, 1.41421, -2.78148e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65383e-19, 0, 3.2047e-18, 0, 2.77801e-15, 0, 0, 0
0.168576, 0, 5.14735e-15, 0, 1.41421, -5.14735e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00693e-19, 0, 6.04599e-18, 0, 5.1408e-15, 0, 0, 0
0.176444, 0, 9.44315e-15, 0, 1.41421, -9.44315e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.36747e-19, 0, 1.13152e-17, 0, 9.43089e-15, 0, 0, 0
0.184313, 0, 1.71761e-14, 0, 1.41421, -1.71761e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73812e-18, 0, 2.10107e-17, 0, 1.71533e-14, 0, 0, 0
0.192181, 0, 3.10847e-14, 0, 1.41421, -3.10847e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21645e-18, 0, 3.89431e-17, 0, 3.10426e-14, 0, 0, 0
0.20005, 0, 5.55695e-14, 0, 1.41421, -5.55695e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.86939e-18, 0, 7.11728e-17, 0, 5.54925e-14, 0, 0, 0
