   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_98.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.166718, 0, 4.35151e-15, 0, 1.41421, -4.35151e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.89549e-19, 0, 2.70349e-18, 0, 4.34822e-15, 0, 0, 0
0.1746, 0, 8.04828e-15, 0, 1.41421, -8.04828e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1116e-18, 0, 5.10445e-18, 0, 8.04207e-15, 0, 0, 0
0.182481, 0, 1.47546e-14, 0, 1.41421, -1.47546e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07818e-18, 0, 9.55921e-18, 0, 1.4743e-14, 0, 0, 0
0.190363, 0, 2.68141e-14, 0, 1.41421, -2.68141e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85282e-18, 0, 1.77587e-17, 0, 2.67925e-14, 0, 0, 0
0.198244, 0, 4.83119e-14, 0, 1.41421, -4.83119e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08447e-18, 0, 3.27332e-17, 0, 4.82721e-14, 0, 0, 0
0.206125, 0, 8.63061e-14, 0, 1.41421, -8.63061e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29217e-17, 0, 5.98702e-17, 0, 8.62333e-14, 0, 0, 0
0.214007, 0, 1.52885e-13, 0, 1.41421, -1.52885e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33814e-17, 0, 1.08678e-16, 0, 1.52753e-13, 0, 0, 0
0.221888, 0, 2.6857e-13, 0, 1.41421, -2.6857e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19773e-17, 0, 1.95811e-16, 0, 2.68333e-13, 0, 0, 0
0.22977, 0, 4.67903e-13, 0, 1.41421, -4.67903e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.47837e-17, 0, 3.50232e-16, 0, 4.67478e-13, 0, 0, 0
0.237651, 0, 8.08514e-13, 0, 1.41421, -8.08514e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32223e-16, 0, 6.21989e-16, 0, 8.0776e-13, 0, 0, 0
0.245532, 0, 1.38574e-12, 0, 1.41421, -1.38574e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32048e-16, 0, 1.09689e-15, 0, 1.38441e-12, 0, 0, 0
0.253414, 0, 2.35595e-12, 0, 1.41421, -2.35595e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04285e-16, 0, 1.92114e-15, 0, 2.35363e-12, 0, 0, 0
0.261295, 0, 3.9768e-12, 0, 1.41421, -3.9768e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00907e-16, 0, 3.35046e-15, 0, 3.97274e-12, 0, 0, 0
0.269177, 0, 6.65302e-12, 0, 1.41421, -6.65302e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20406e-15, 0, 5.78976e-15, 0, 6.64602e-12, 0, 0, 0
0.277058, 0, 1.10426e-11, 0, 1.41421, -1.10426e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05467e-15, 0, 9.94147e-15, 0, 1.10306e-11, 0, 0, 0
0.284939, 0, 1.81852e-11, 0, 1.41421, -1.81852e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48379e-15, 0, 1.69652e-14, 0, 1.81647e-11, 0, 0, 0
0.292821, 0, 2.97148e-11, 0, 1.41421, -2.97148e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87073e-15, 0, 2.87783e-14, 0, 2.96802e-11, 0, 0, 0
0.300702, 0, 4.81791e-11, 0, 1.41421, -4.81791e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.83543e-15, 0, 4.85368e-14, 0, 4.81208e-11, 0, 0, 0
0.308584, 0, 7.75163e-11, 1.54143e-43, 1.41421, -7.75163e-11, 1.54143e-43, 0, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.6387e-14, 1.54143e-43, 8.14097e-14, 1.54143e-43, 7.74185e-11, 1.54143e-43, 1.54143e-43, 1.54143e-43
0.316465, 0, 1.23764e-10, 2.7017e-42, 1.41421, -1.23764e-10, 2.7017e-42, 0, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.71627e-14, 2.7017e-42, 1.3583e-13, 2.7017e-42, 1.23601e-10, 2.7017e-42, 2.7017e-42, 2.7017e-42
0.324346, 0, 1.96104e-10, 3.9298e-41, 1.41421, -1.96104e-10, 3.9298e-41, 0, 3.9298e-41, 3.9298e-41, 3.9298e-41, 3.9298e-41, 3.9298e-41, 3.9298e-41, 3.9298e-41, 3.9298e-41, 3.9298e-41, 3.9298e-41, 3.9298e-41, 3.9298e-41, 3.9298e-41, 3.9298e-41, 4.48117e-14, 3.9298e-41, 2.25505e-13, 3.9298e-41, 1.95833e-10, 3.9298e-41, 3.9298e-41, 3.9298e-41
