   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_427.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0556429, 0, 2.78881e-18, 0, 1.41421, -2.78881e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99353e-22, 0, 1.92382e-21, 0, 2.78658e-18, 0, 0
0.0635132, 0, 5.57778e-18, 0, 1.41421, -5.57778e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.08442e-22, 0, 3.91661e-21, 0, 5.57326e-18, 0, 0
0.0713836, 0, 1.10461e-17, 0, 1.41421, -1.10461e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22471e-21, 0, 7.89637e-21, 0, 1.1037e-17, 0, 0
0.0792539, 0, 2.16654e-17, 0, 1.41421, -2.16654e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44197e-21, 0, 1.57702e-20, 0, 2.16472e-17, 0, 0
0.0871242, 0, 4.20952e-17, 0, 1.41421, -4.20952e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.82431e-21, 0, 3.12075e-20, 0, 4.20591e-17, 0, 0
0.0949946, 0, 8.10386e-17, 0, 1.41421, -8.10386e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.44531e-21, 0, 6.12064e-20, 0, 8.09679e-17, 0, 0
0.102865, 0, 1.54606e-16, 0, 1.41421, -1.54606e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83301e-20, 0, 1.19001e-19, 0, 1.54468e-16, 0, 0
0.110735, 0, 2.92355e-16, 0, 1.41421, -2.92355e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52667e-20, 0, 2.2941e-19, 0, 2.9209e-16, 0, 0
0.118606, 0, 5.48037e-16, 0, 1.41421, -5.48037e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.72794e-20, 0, 4.38598e-19, 0, 5.47531e-16, 0, 0
0.126476, 0, 1.01857e-15, 0, 1.41421, -1.01857e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27289e-19, 0, 8.31755e-19, 0, 1.01761e-15, 0, 0
0.134346, 0, 1.88989e-15, 0, 1.41421, -1.88989e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41155e-19, 0, 1.58103e-18, 0, 1.88807e-15, 0, 0
0.142217, 0, 3.45144e-15, 0, 1.41421, -3.45144e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48474e-19, 0, 2.94864e-18, 0, 3.44804e-15, 0, 0
0.150087, 0, 6.25228e-15, 0, 1.41421, -6.25228e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.27526e-19, 0, 5.45796e-18, 0, 6.24599e-15, 0, 0
0.157957, 0, 1.12355e-14, 0, 1.41421, -1.12355e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51523e-18, 0, 1.00282e-17, 0, 1.1224e-14, 0, 0
0.165828, 0, 2.00312e-14, 0, 1.41421, -2.00312e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75346e-18, 0, 1.82919e-17, 0, 2.00101e-14, 0, 0
0.173698, 0, 3.54333e-14, 0, 1.41421, -3.54333e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96629e-18, 0, 3.31276e-17, 0, 3.53952e-14, 0, 0
0.181568, 0, 6.21931e-14, 0, 1.41421, -6.21931e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.89159e-18, 0, 5.95754e-17, 0, 6.21246e-14, 0, 0
0.189439, 0, 1.08325e-13, 0, 1.41421, -1.08325e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58039e-17, 0, 1.06399e-16, 0, 1.08203e-13, 0, 0
0.197309, 0, 1.8724e-13, 0, 1.41421, -1.8724e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78891e-17, 0, 1.88735e-16, 0, 1.87023e-13, 0, 0
0.205179, 0, 3.21204e-13, 0, 1.41421, -3.21204e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88689e-17, 0, 3.32553e-16, 0, 3.20822e-13, 0, 0
0.21305, 0, 5.46889e-13, 0, 1.41421, -5.46889e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.50365e-17, 0, 5.8213e-16, 0, 5.46222e-13, 0, 0
0.22092, 0, 9.24223e-13, 0, 1.41421, -9.24223e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46962e-16, 0, 1.01246e-15, 0, 9.23063e-13, 0, 0
0.22879, 0, 1.55037e-12, 0, 1.41421, -1.55037e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5228e-16, 0, 1.74976e-15, 0, 1.54837e-12, 0, 0
0.236661, 0, 2.58164e-12, 0, 1.41421, -2.58164e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30228e-16, 0, 3.00522e-15, 0, 2.57821e-12, 0, 0
0.244531, 0, 4.26753e-12, 0, 1.41421, -4.26753e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.28977e-16, 0, 5.13003e-15, 0, 4.26167e-12, 0, 0
0.252401, 0, 7.0032e-12, 0, 1.41421, -7.0032e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22747e-15, 0, 8.70502e-15, 0, 6.99327e-12, 0, 0
0.260272, 0, 1.14096e-11, 0, 1.41421, -1.14096e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05429e-15, 0, 1.46854e-14, 0, 1.13929e-11, 0, 0
0.268142, 0, 1.84553e-11, 0, 1.41421, -1.84553e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41787e-15, 0, 2.46338e-14, 0, 1.84272e-11, 0, 0
0.276012, 0, 2.96386e-11, 0, 1.41421, -2.96386e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6545e-15, 0, 4.10945e-14, 0, 2.95919e-11, 0, 0
0.283882, 0, 4.72607e-11, 0, 1.41421, -4.72607e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.30438e-15, 0, 6.81893e-14, 0, 4.71832e-11, 0, 0
0.291753, 0, 7.48277e-11, 0, 1.41421, -7.48277e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52321e-14, 0, 1.12569e-13, 0, 7.46999e-11, 0, 0
0.299623, 0, 1.17641e-10, 1.16308e-43, 1.41421, -1.17641e-10, 0, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 1.16308e-43, 2.4817e-14, 1.16308e-43, 1.84919e-13, 1.16308e-43, 1.17432e-10, 1.16308e-43, 1.16308e-43
0.307494, 0, 1.83657e-10, 2.0487e-42, 1.41421, -1.83657e-10, 0, 2.0487e-42, 2.0487e-42, 2.0487e-42, 2.0487e-42, 2.0487e-42, 2.0487e-42, 2.0487e-42, 2.0487e-42, 2.0487e-42, 2.0487e-42, 2.0487e-42, 2.0487e-42, 2.0487e-42, 2.0487e-42, 4.0254e-14, 2.0487e-42, 3.02349e-13, 2.0487e-42, 1.83314e-10, 2.0487e-42, 2.0487e-42
0.315364, 0, 2.84722e-10, 3.01854e-41, 1.41421, -2.84722e-10, 0, 3.01854e-41, 3.01854e-41, 3.01854e-41, 3.01854e-41, 3.01854e-41, 3.01854e-41, 3.01854e-41, 3.01854e-41, 3.01854e-41, 3.01854e-41, 3.01854e-41, 3.01854e-41, 3.01854e-41, 3.01854e-41, 6.50281e-14, 3.01854e-41, 4.92165e-13, 3.01854e-41, 2.84165e-10, 3.01854e-41, 3.01854e-41
0.323234, 0, 4.38343e-10, 3.92654e-40, 1.41421, -4.38343e-10, 0, 3.92654e-40, 3.92654e-40, 3.92654e-40, 3.92654e-40, 3.92654e-40, 3.92654e-40, 3.92654e-40, 3.92654e-40, 3.92654e-40, 3.92654e-40, 3.92654e-40, 3.92654e-40, 3.92654e-40, 3.92654e-40, 1.04666e-13, 3.92654e-40, 7.97824e-13, 3.92654e-40, 4.37441e-10, 3.92654e-40, 3.92654e-40
0.331104, 0, 6.70201e-10, 4.57454e-39, 1.41421, -6.70201e-10, 0, 4.57454e-39, 4.57454e-39, 4.57454e-39, 4.57454e-39, 4.57454e-39, 4.57454e-39, 4.57454e-39, 4.57454e-39, 4.57454e-39, 4.57454e-39, 4.57454e-39, 4.57454e-39, 4.57454e-39, 4.57454e-39, 1.67922e-13, 4.57454e-39, 1.28832e-12, 4.57454e-39, 6.68744e-10, 4.57454e-39, 4.57454e-39
0.338975, 0, 1.01767e-09, 4.80828e-38, 1.41421, -1.01767e-09, 0, 4.80828e-38, 4.80828e-38, 4.80828e-38, 4.80828e-38, 4.80828e-38, 4.80828e-38, 4.80828e-38, 4.80828e-38, 4.80828e-38, 4.80828e-38, 4.80828e-38, 4.80828e-38, 4.80828e-38, 4.80828e-38, 2.68661e-13, 4.80828e-38, 2.07297e-12, 4.80828e-38, 1.01533e-09, 4.80828e-38, 4.80828e-38
0.346845, 0, 1.53476e-09, 4.583e-37, 1.41421, -1.53476e-09, 0, 4.583e-37, 4.583e-37, 4.583e-37, 4.583e-37, 4.583e-37, 4.583e-37, 4.583e-37, 4.583e-37, 4.583e-37, 4.583e-37, 4.583e-37, 4.583e-37, 4.583e-37, 4.583e-37, 4.28838e-13, 4.583e-37, 3.32469e-12, 4.583e-37, 1.531e-09, 4.583e-37, 4.583e-37
0.354715, 0, 2.29889e-09, 3.98416e-36, 1.41421, -2.29889e-09, 0, 3.98416e-36, 3.98416e-36, 3.98416e-36, 3.98416e-36, 3.98416e-36, 3.98416e-36, 3.98416e-36, 3.98416e-36, 3.98416e-36, 3.98416e-36, 3.98416e-36, 3.98416e-36, 3.98416e-36, 3.98416e-36, 6.83232e-13, 3.98416e-36, 5.3166e-12, 3.98416e-36, 2.29289e-09, 3.98416e-36, 3.98416e-36
0.362586, 0, 3.42027e-09, 3.17442e-35, 1.41421, -3.42027e-09, 0, 3.17442e-35, 3.17442e-35, 3.17442e-35, 3.17442e-35, 3.17442e-35, 3.17442e-35, 3.17442e-35, 3.17442e-35, 3.17442e-35, 3.17442e-35, 3.17442e-35, 3.17442e-35, 3.17442e-35, 3.17442e-35, 1.08696e-12, 3.17442e-35, 8.47967e-12, 3.17442e-35, 3.4107e-09, 3.17442e-35, 3.17442e-35
0.370456, 0, 5.0546e-09, 2.32888e-34, 1.41421, -5.0546e-09, 0, 2.32888e-34, 2.32888e-34, 2.32888e-34, 2.32888e-34, 2.32888e-34, 2.32888e-34, 2.32888e-34, 2.32888e-34, 2.32888e-34, 2.32888e-34, 2.32888e-34, 2.32888e-34, 2.32888e-34, 2.32888e-34, 1.72742e-12, 2.32888e-34, 1.34931e-11, 2.32888e-34, 5.03938e-09, 2.32888e-34, 2.32888e-34
0.378326, 0, 7.42024e-09, 1.59551e-33, 1.41421, -7.42024e-09, 0, 1.59551e-33, 1.59551e-33, 1.59551e-33, 1.59551e-33, 1.59551e-33, 1.59551e-33, 1.59551e-33, 1.59551e-33, 1.59551e-33, 1.59551e-33, 1.59551e-33, 1.59551e-33, 1.59551e-33, 1.59551e-33, 2.74321e-12, 1.59551e-33, 2.14265e-11, 1.59551e-33, 7.39607e-09, 1.59551e-33, 1.59551e-33
0.386197, 0, 1.08211e-08, 1.01043e-32, 1.41421, -1.08211e-08, 0, 1.01043e-32, 1.01043e-32, 1.01043e-32, 1.01043e-32, 1.01043e-32, 1.01043e-32, 1.01043e-32, 1.01043e-32, 1.01043e-32, 1.01043e-32, 1.01043e-32, 1.01043e-32, 1.01043e-32, 1.01043e-32, 4.35422e-12, 1.01043e-32, 3.3962e-11, 1.01043e-32, 1.07828e-08, 1.01043e-32, 1.01043e-32
0.394067, 0, 1.56775e-08, 6.29078e-32, 1.41421, -1.56775e-08, 0, 6.29078e-32, 6.29078e-32, 6.29078e-32, 6.29078e-32, 6.29078e-32, 6.29078e-32, 6.29078e-32, 6.29078e-32, 6.29078e-32, 6.29078e-32, 6.29078e-32, 6.29078e-32, 6.29078e-32, 6.29078e-32, 6.90912e-12, 6.29078e-32, 5.37426e-11, 6.29078e-32, 1.56169e-08, 6.29078e-32, 6.29078e-32
0.401937, 0, 2.2566e-08, 3.55569e-31, 1.41421, -2.2566e-08, 0, 3.55569e-31, 3.55569e-31, 3.55569e-31, 3.55569e-31, 3.55569e-31, 3.55569e-31, 3.55569e-31, 3.55569e-31, 3.55569e-31, 3.55569e-31, 3.55569e-31, 3.55569e-31, 3.55569e-31, 3.55569e-31, 1.09603e-11, 3.55569e-31, 8.4913e-11, 3.55569e-31, 2.24701e-08, 3.55569e-31, 3.55569e-31
0.409808, 0, 3.22722e-08, 1.92782e-30, 1.41421, -3.22722e-08, 0, 1.92782e-30, 1.92782e-30, 1.92782e-30, 1.92782e-30, 1.92782e-30, 1.92782e-30, 1.92782e-30, 1.92782e-30, 1.92782e-30, 1.92782e-30, 1.92782e-30, 1.92782e-30, 1.92782e-30, 1.92782e-30, 1.73819e-11, 1.92782e-30, 1.33962e-10, 1.92782e-30, 3.21209e-08, 1.92782e-30, 1.92782e-30
0.417678, 0, 4.58594e-08, 9.87801e-30, 1.41421, -4.58594e-08, 0, 9.87801e-30, 9.87801e-30, 9.87801e-30, 9.87801e-30, 9.87801e-30, 9.87801e-30, 9.87801e-30, 9.87801e-30, 9.87801e-30, 9.87801e-30, 9.87801e-30, 9.87801e-30, 9.87801e-30, 9.87801e-30, 2.7554e-11, 9.87801e-30, 2.1102e-10, 9.87801e-30, 4.56208e-08, 9.87801e-30, 9.87801e-30
0.425548, 0, 6.47564e-08, 4.76766e-29, 1.41421, -6.47564e-08, 0, 4.76766e-29, 4.76766e-29, 4.76766e-29, 4.76766e-29, 4.76766e-29, 4.76766e-29, 4.76766e-29, 4.76766e-29, 4.76766e-29, 4.76766e-29, 4.76766e-29, 4.76766e-29, 4.76766e-29, 4.76766e-29, 4.36501e-11, 4.76766e-29, 3.31859e-10, 4.76766e-29, 6.43809e-08, 4.76766e-29, 4.76766e-29
0.433419, 0, 9.08705e-08, 2.19597e-28, 1.41421, -9.08705e-08, 0, 2.19597e-28, 2.19597e-28, 2.19597e-28, 2.19597e-28, 2.19597e-28, 2.19597e-28, 2.19597e-28, 2.19597e-28, 2.19597e-28, 2.19597e-28, 2.19597e-28, 2.19597e-28, 2.19597e-28, 2.19597e-28, 6.90818e-11, 2.19597e-28, 5.20938e-10, 2.19597e-28, 9.02805e-08, 2.19597e-28, 2.19597e-28
0.441289, 0, 1.26731e-07, 9.64634e-28, 1.41421, -1.26731e-07, 0, 9.64634e-28, 9.64634e-28, 9.64634e-28, 9.64634e-28, 9.64634e-28, 9.64634e-28, 9.64634e-28, 9.64634e-28, 9.64634e-28, 9.64634e-28, 9.64634e-28, 9.64634e-28, 9.64634e-28, 9.64634e-28, 1.09183e-10, 9.64634e-28, 8.16029e-10, 9.64634e-28, 1.25806e-07, 9.64634e-28, 9.64634e-28
0.449159, 0, 1.75668e-07, 4.03277e-27, 1.41421, -1.75668e-07, 0, 4.03277e-27, 4.03277e-27, 4.03277e-27, 4.03277e-27, 4.03277e-27, 4.03277e-27, 4.03277e-27, 4.03277e-27, 4.03277e-27, 4.03277e-27, 4.03277e-27, 4.03277e-27, 4.03277e-27, 4.03277e-27, 1.72256e-10, 4.03277e-27, 1.27516e-09, 4.03277e-27, 1.74221e-07, 4.03277e-27, 4.03277e-27
0.45703, 0, 2.42044e-07, 1.60619e-26, 1.41421, -2.42044e-07, 0, 1.60619e-26, 1.60619e-26, 1.60619e-26, 1.60619e-26, 1.60619e-26, 1.60619e-26, 1.60619e-26, 1.60619e-26, 1.60619e-26, 1.60619e-26, 1.60619e-26, 1.60619e-26, 1.60619e-26, 1.60619e-26, 2.71156e-10, 1.60619e-26, 1.98701e-09, 1.60619e-26, 2.39786e-07, 1.60619e-26, 1.60619e-26
0.4649, 0, 3.31539e-07, 6.10451e-26, 1.41421, -3.31539e-07, 0, 6.10451e-26, 6.10451e-26, 6.10451e-26, 6.10451e-26, 6.10451e-26, 6.10451e-26, 6.10451e-26, 6.10451e-26, 9.78116e-12, 6.10451e-26, 6.10451e-26, 6.10451e-26, 6.10451e-26, 6.10451e-26, 4.25683e-10, 6.10451e-26, 3.08619e-09, 6.10451e-26, 3.28018e-07, 6.10451e-26, 6.10451e-26
0.47277, 0, 4.51497e-07, 3.47668e-25, 1.41421, -4.51497e-07, 0, 3.47668e-25, 3.47668e-25, 3.47668e-25, 3.47668e-25, 3.47668e-25, 3.47668e-25, 3.47668e-25, 3.47668e-25, 3.66062e-11, 3.47668e-25, 3.47668e-25, 3.47668e-25, 3.47668e-25, 3.47668e-25, 6.66361e-10, 3.47668e-25, 4.77635e-09, 3.47668e-25, 4.46017e-07, 3.47668e-25, 3.47668e-25
0.480641, 0, 6.13339e-07, 1.55673e-10, 1.41421, -6.13339e-07, 1.55673e-10, 1.55918e-10, 1.55861e-10, 3.40769e-10, 1.58353e-10, 1.56785e-10, 1.68064e-10, 3.31243e-10, 1.70326e-10, 4.3746e-10, 6.48859e-10, 2.32789e-10, 7.28411e-10, 1.72646e-10, 1.56424e-10, 1.19459e-09, 1.55701e-10, 7.51563e-09, 1.55674e-10, 6.0307e-07, 1.55673e-10, 1.91248e-10
0.488511, 0, 8.29772e-07, 5.12099e-10, 1.41421, -8.29772e-07, 5.12099e-10, 5.12913e-10, 5.12725e-10, 1.12626e-09, 5.20993e-10, 5.15789e-10, 5.53213e-10, 1.09465e-09, 5.6072e-10, 1.35458e-09, 2.14852e-09, 7.67975e-10, 2.41247e-09, 5.68417e-10, 5.14593e-10, 2.12542e-09, 5.12681e-10, 1.18007e-08, 5.12103e-10, 8.10757e-07, 5.12099e-10, 6.30141e-10
0.496381, 0, 1.11949e-06, 1.31167e-09, 1.41421, -1.11949e-06, 1.31167e-09, 1.31377e-09, 1.31328e-09, 2.89466e-09, 1.33459e-09, 1.32118e-09, 1.41764e-09, 2.81319e-09, 1.43699e-09, 3.4051e-09, 5.52952e-09, 1.97119e-09, 6.20986e-09, 1.45683e-09, 1.3181e-09, 3.80574e-09, 1.31363e-09, 1.85376e-08, 1.31168e-09, 1.08409e-06, 1.31167e-09, 1.61592e-09
0.504252, 0, 1.50873e-06, 3.07093e-09, 1.41421, -1.50873e-06, 3.07093e-09, 3.07586e-09, 3.07472e-09, 6.79087e-09, 3.1248e-09, 3.09328e-09, 3.31996e-09, 6.59943e-09, 3.36543e-09, 7.8932e-09, 1.29826e-08, 4.62076e-09, 1.45814e-08, 3.41205e-09, 3.08604e-09, 6.9079e-09, 3.07618e-09, 2.9211e-08, 3.07096e-09, 1.44201e-06, 3.07093e-09, 3.7859e-09
0.512122, 0, 2.03631e-06, 6.8609e-09, 1.41421, -2.03631e-06, 6.8609e-09, 6.87194e-09, 6.86939e-09, 1.51909e-08, 6.98153e-09, 6.91095e-09, 7.41853e-09, 1.47622e-08, 7.52036e-09, 1.75043e-08, 2.9056e-08, 1.03314e-08, 3.26361e-08, 7.62476e-09, 6.89473e-09, 1.27332e-08, 6.8736e-09, 4.62938e-08, 6.86096e-09, 1.90887e-06, 6.8609e-09, 8.46193e-09
0.519992, 0, 2.7625e-06, 1.48539e-08, 1.41421, -2.7625e-06, 1.48539e-08, 1.48779e-08, 1.48723e-08, 3.29162e-08, 1.51155e-08, 1.49624e-08, 1.60631e-08, 3.19866e-08, 1.62839e-08, 3.80661e-08, 6.29805e-08, 2.23792e-08, 7.07435e-08, 1.65102e-08, 1.49273e-08, 2.37921e-08, 1.48829e-08, 7.40162e-08, 1.4854e-08, 2.51616e-06, 1.48539e-08, 1.83255e-08
0.527863, 0, 3.7875e-06, 3.13573e-08, 1.41421, -3.7875e-06, 3.13573e-08, 3.14078e-08, 3.13962e-08, 6.95315e-08, 3.19101e-08, 3.15866e-08, 3.39128e-08, 6.75669e-08, 3.43794e-08, 8.43214e-08, 1.33072e-07, 4.72617e-08, 1.49479e-07, 3.48578e-08, 3.15123e-08, 4.4884e-08, 3.14211e-08, 1.19492e-07, 3.13575e-08, 3.30524e-06, 3.13573e-08, 3.86944e-08
0.535733, 0, 5.30969e-06, 6.47179e-08, 1.41421, -5.30969e-06, 6.47179e-08, 6.48224e-08, 6.47982e-08, 1.43583e-07, 6.58599e-08, 6.51917e-08, 6.99973e-08, 1.39524e-07, 7.09614e-08, 2.15141e-07, 2.74851e-07, 9.75752e-08, 3.08747e-07, 7.19498e-08, 6.50381e-08, 8.50667e-08, 6.48543e-08, 1.95118e-07, 6.47184e-08, 4.33166e-06, 6.47179e-08, 7.98757e-08
0.543603, 0, 7.62059e-06, 1.30748e-07, 1.41421, -7.62059e-06, 1.30748e-07, 1.3096e-07, 1.30911e-07, 2.90221e-07, 1.33058e-07, 1.31706e-07, 1.41424e-07, 2.82014e-07, 1.43373e-07, 4.88322e-07, 5.55661e-07, 1.97189e-07, 6.24201e-07, 1.45372e-07, 1.31396e-07, 1.61173e-07, 1.31033e-07, 3.22336e-07, 1.30749e-07, 5.67231e-06, 1.30748e-07, 1.61399e-07
0.551474, 0, 1.12625e-05, 2.58724e-07, 1.41421, -1.12625e-05, 2.58724e-07, 2.59142e-07, 2.59045e-07, 5.74567e-07, 2.63297e-07, 2.60621e-07, 2.79867e-07, 5.58313e-07, 2.83728e-07, 1.0487e-06, 1.10028e-06, 3.90313e-07, 1.23603e-06, 2.87686e-07, 2.60006e-07, 3.0395e-07, 2.59304e-07, 5.38219e-07, 2.58726e-07, 7.43704e-06, 2.58724e-07, 3.19429e-07
0.559344, 0, 1.71925e-05, 5.0162e-07, 1.41421, -1.71925e-05, 5.0162e-07, 5.02432e-07, 5.02244e-07, 1.11453e-06, 5.10495e-07, 5.05302e-07, 5.4265e-07, 1.08299e-06, 5.50142e-07, 2.17433e-06, 2.13472e-06, 7.56977e-07, 2.39814e-06, 5.57824e-07, 5.04109e-07, 5.68404e-07, 5.02777e-07, 9.0646e-07, 5.01624e-07, 9.78772e-06, 5.0162e-07, 6.19422e-07
0.567214, 0, 2.71081e-05, 9.53103e-07, 1.41421, -2.71081e-05, 9.53103e-07, 9.54647e-07, 9.54291e-07, 2.11874e-06, 9.69982e-07, 9.60107e-07, 1.03113e-06, 2.05875e-06, 1.04538e-06, 4.40675e-06, 4.05892e-06, 1.43874e-06, 4.5599e-06, 1.05999e-06, 9.57836e-07, 1.0511e-06, 9.55367e-07, 1.53536e-06, 9.53111e-07, 1.29698e-05, 9.53103e-07, 1.17714e-06
0.575085, 0, 4.39337e-05, 1.77504e-06, 1.41421, -4.39337e-05, 1.77504e-06, 1.77792e-06, 1.77726e-06, 3.94797e-06, 1.80651e-06, 1.7881e-06, 1.9205e-06, 3.83614e-06, 1.94707e-06, 8.72213e-06, 7.56476e-06, 2.68034e-06, 8.49866e-06, 1.9743e-06, 1.78387e-06, 1.91792e-06, 1.77938e-06, 2.6067e-06, 1.77506e-06, 1.73623e-05, 1.77504e-06, 2.19268e-06
0.582955, 0, 7.2781e-05, 3.24069e-06, 1.41421, -7.2781e-05, 3.24069e-06, 3.24595e-06, 3.24473e-06, 7.21169e-06, 3.29819e-06, 3.26455e-06, 3.50652e-06, 7.00733e-06, 3.55506e-06, 1.69952e-05, 1.38214e-05, 4.89512e-06, 1.55281e-05, 3.60483e-06, 3.25681e-06, 3.44772e-06, 3.24885e-06, 4.42064e-06, 3.24071e-06, 2.35568e-05, 3.24069e-06, 4.00391e-06
