   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_70.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.142764, 0, 1.10362e-14, 0, 1.41421, -1.10362e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34187e-18, 0, 1.73763e-17, 1.10175e-14, 0, 0, 0
0.15065, 0, 1.9464e-14, 0, 1.41421, -1.9464e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4141e-18, 0, 3.13645e-17, 1.94302e-14, 0, 0, 0
0.158535, 0, 3.41828e-14, 0, 1.41421, -3.41828e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33494e-18, 0, 5.65798e-17, 3.41219e-14, 0, 0, 0
0.16642, 0, 5.93541e-14, 0, 1.41421, -5.93541e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.68228e-18, 0, 1.00693e-16, 5.92457e-14, 0, 0, 0
0.174305, 0, 1.02299e-13, 0, 1.41421, -1.02299e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35187e-17, 0, 1.78025e-16, 1.02107e-13, 0, 0, 0
0.18219, 0, 1.75023e-13, 0, 1.41421, -1.75023e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36244e-17, 0, 3.12714e-16, 1.74687e-13, 0, 0, 0
0.190075, 0, 2.97273e-13, 0, 1.41421, -2.97273e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10025e-17, 0, 5.45813e-16, 2.96686e-13, 0, 0, 0
0.197961, 0, 5.0127e-13, 0, 1.41421, -5.0127e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06853e-17, 0, 9.46756e-16, 5.00253e-13, 0, 0, 0
0.205846, 0, 8.39205e-13, 0, 1.41421, -8.39205e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2105e-16, 0, 1.63214e-15, 8.37452e-13, 0, 0, 0
0.213731, 0, 1.39498e-12, 0, 1.41421, -1.39498e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05952e-16, 0, 2.79671e-15, 1.39197e-12, 0, 0, 0
0.221616, 0, 2.30244e-12, 0, 1.41421, -2.30244e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48168e-16, 0, 4.76382e-15, 2.29733e-12, 0, 0, 0
0.229501, 0, 3.77355e-12, 0, 1.41421, -3.77355e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.84918e-16, 0, 8.0673e-15, 3.7649e-12, 0, 0, 0
0.237386, 0, 6.14148e-12, 0, 1.41421, -6.14148e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.7669e-16, 0, 1.35837e-14, 6.12692e-12, 0, 0, 0
0.245272, 0, 9.92594e-12, 0, 1.41421, -9.92594e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62122e-15, 0, 2.27446e-14, 9.90158e-12, 0, 0, 0
0.253157, 0, 1.59318e-11, 0, 1.41421, -1.59318e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67569e-15, 0, 3.78765e-14, 1.58913e-11, 0, 0, 0
0.261042, 0, 2.53961e-11, 0, 1.41421, -2.53961e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39165e-15, 0, 6.27412e-14, 2.5329e-11, 0, 0, 0
0.268927, 0, 4.02064e-11, 0, 1.41421, -4.02064e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.17006e-15, 0, 1.03395e-13, 4.00958e-11, 0, 0, 0
0.276812, 0, 6.3221e-11, 0, 1.41421, -6.3221e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16475e-14, 0, 1.69543e-13, 6.30398e-11, 0, 0, 0
0.284698, 0, 9.87382e-11, 0, 1.41421, -9.87382e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88318e-14, 0, 2.76684e-13, 9.84426e-11, 0, 0, 0
0.292583, 0, 1.53172e-10, 1.86373e-43, 1.41421, -1.53172e-10, 0, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 3.03136e-14, 1.86373e-43, 4.49464e-13, 1.52692e-10, 1.86373e-43, 1.86373e-43, 1.86373e-43
0.300468, 0, 2.36024e-10, 3.24681e-42, 1.41421, -2.36024e-10, 0, 3.24681e-42, 3.24681e-42, 3.24681e-42, 3.24681e-42, 3.24681e-42, 3.24681e-42, 3.24681e-42, 3.24681e-42, 3.24681e-42, 3.24681e-42, 3.24681e-42, 3.24681e-42, 3.24681e-42, 3.24681e-42, 4.85983e-14, 3.24681e-42, 7.2696e-13, 2.35249e-10, 3.24681e-42, 3.24681e-42, 3.24681e-42
0.308353, 0, 3.61273e-10, 4.69813e-41, 1.41421, -3.61273e-10, 0, 4.69813e-41, 4.69813e-41, 4.69813e-41, 4.69813e-41, 4.69813e-41, 4.69813e-41, 4.69813e-41, 4.69813e-41, 4.69813e-41, 4.69813e-41, 4.69813e-41, 4.69813e-41, 4.69813e-41, 4.69813e-41, 7.76271e-14, 4.69813e-41, 1.17094e-12, 3.60024e-10, 4.69813e-41, 4.69813e-41, 4.69813e-41
0.316238, 0, 5.49326e-10, 6.01482e-40, 1.41421, -5.49326e-10, 0, 6.01482e-40, 6.01482e-40, 6.01482e-40, 6.01482e-40, 6.01482e-40, 6.01482e-40, 6.01482e-40, 6.01482e-40, 6.01482e-40, 6.01482e-40, 6.01482e-40, 6.01482e-40, 6.01482e-40, 6.01482e-40, 1.23592e-13, 6.01482e-40, 1.87878e-12, 5.47323e-10, 6.01482e-40, 6.01482e-40, 6.01482e-40
0.324123, 0, 8.29765e-10, 6.89857e-39, 1.41421, -8.29765e-10, 0, 6.89857e-39, 6.89857e-39, 6.89857e-39, 6.89857e-39, 6.89857e-39, 6.89857e-39, 6.89857e-39, 6.89857e-39, 6.89857e-39, 6.89857e-39, 6.89857e-39, 6.89857e-39, 6.89857e-39, 6.89857e-39, 1.96215e-13, 6.89857e-39, 3.00364e-12, 8.26565e-10, 6.89857e-39, 6.89857e-39, 6.89857e-39
0.332009, 0, 1.24517e-09, 7.14192e-38, 1.41421, -1.24517e-09, 0, 7.14192e-38, 7.14192e-38, 7.14192e-38, 7.14192e-38, 7.14192e-38, 7.14192e-38, 7.14192e-38, 7.14192e-38, 7.14192e-38, 7.14192e-38, 7.14192e-38, 7.14192e-38, 7.14192e-38, 7.14192e-38, 3.10769e-13, 7.14192e-38, 4.78599e-12, 1.24007e-09, 7.14192e-38, 7.14192e-38, 7.14192e-38
0.339894, 0, 1.85638e-09, 6.70946e-37, 1.41421, -1.85638e-09, 0, 6.70946e-37, 6.70946e-37, 6.70946e-37, 6.70946e-37, 6.70946e-37, 6.70946e-37, 6.70946e-37, 6.70946e-37, 6.70946e-37, 6.70946e-37, 6.70946e-37, 6.70946e-37, 6.70946e-37, 6.70946e-37, 4.91236e-13, 6.70946e-37, 7.60266e-12, 1.84828e-09, 6.70946e-37, 6.70946e-37, 6.70946e-37
0.347779, 0, 2.74971e-09, 5.75297e-36, 1.41421, -2.74971e-09, 0, 5.75297e-36, 5.75297e-36, 5.75297e-36, 5.75297e-36, 5.75297e-36, 5.75297e-36, 5.75297e-36, 5.75297e-36, 5.75297e-36, 5.75297e-36, 5.75297e-36, 5.75297e-36, 5.75297e-36, 5.75297e-36, 7.7531e-13, 5.75297e-36, 1.20434e-11, 2.73689e-09, 5.75297e-36, 5.75297e-36, 5.75297e-36
0.355664, 0, 4.04676e-09, 4.52315e-35, 1.41421, -4.04676e-09, 0, 4.52315e-35, 4.52315e-35, 4.52315e-35, 4.52315e-35, 4.52315e-35, 4.52315e-35, 4.52315e-35, 4.52315e-35, 4.52315e-35, 4.52315e-35, 4.52315e-35, 4.52315e-35, 4.52315e-35, 4.52315e-35, 1.22226e-12, 4.52315e-35, 1.90299e-11, 4.02651e-09, 4.52315e-35, 4.52315e-35, 4.52315e-35
0.363549, 0, 5.91765e-09, 3.27637e-34, 1.41421, -5.91765e-09, 0, 3.27637e-34, 3.27637e-34, 3.27637e-34, 3.27637e-34, 3.27637e-34, 3.27637e-34, 3.27637e-34, 3.27637e-34, 3.27637e-34, 3.27637e-34, 3.27637e-34, 3.27637e-34, 3.27637e-34, 3.27637e-34, 1.92533e-12, 3.27637e-34, 3.00008e-11, 5.88573e-09, 3.27637e-34, 3.27637e-34, 3.27637e-34
0.371434, 0, 8.59871e-09, 2.25224e-33, 1.41421, -8.59871e-09, 0, 2.25224e-33, 2.25224e-33, 2.25224e-33, 2.25224e-33, 2.25224e-33, 2.25224e-33, 2.25224e-33, 2.25224e-33, 2.25224e-33, 2.25224e-33, 2.25224e-33, 2.25224e-33, 2.25224e-33, 2.25224e-33, 3.03124e-12, 2.25224e-33, 4.71989e-11, 8.54848e-09, 2.25224e-33, 2.25224e-33, 2.25224e-33
0.37932, 0, 1.2416e-08, 1.41888e-32, 1.41421, -1.2416e-08, 0, 1.41888e-32, 1.41888e-32, 1.41888e-32, 1.41888e-32, 1.41888e-32, 1.41888e-32, 1.41888e-32, 1.41888e-32, 1.41888e-32, 1.41888e-32, 1.41888e-32, 1.41888e-32, 1.41888e-32, 1.41888e-32, 4.7709e-12, 1.41888e-32, 7.41158e-11, 1.23371e-08, 1.41888e-32, 1.41888e-32, 1.41888e-32
0.387205, 0, 1.78163e-08, 8.75099e-32, 1.41421, -1.78163e-08, 0, 8.75099e-32, 8.75099e-32, 8.75099e-32, 8.75099e-32, 8.75099e-32, 8.75099e-32, 8.75099e-32, 8.75099e-32, 8.75099e-32, 8.75099e-32, 8.75099e-32, 8.75099e-32, 8.75099e-32, 8.75099e-32, 7.50745e-12, 8.75099e-32, 1.16178e-10, 1.76927e-08, 8.75099e-32, 8.75099e-32, 8.75099e-32
