   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_50.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0572998, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0656176, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0739353, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.082253, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0905708, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0988885, 0, 1.24436e-28, 0, 1.41421, -1.24436e-28, 0, 0, 0, 0, 0, 0, 0, 0, 4.64742e-31, 0, 4.09352e-34, 6.44039e-34, 0, 1.2397e-28, 0, 0
0.107206, 0, 1.4208e-27, 0, 1.41421, -1.4208e-27, 0, 0, 0, 0, 0, 0, 0, 0, 5.30621e-30, 0, 4.6738e-33, 5.93954e-32, 0, 1.41543e-27, 0, 0
0.115524, 0, 1.02045e-26, 0, 1.41421, -1.02045e-26, 0, 0, 0, 0, 0, 0, 0, 0, 3.81091e-29, 0, 3.35671e-32, 7.05958e-31, 0, 1.01656e-26, 0, 0
0.123842, 0, 5.86377e-26, 0, 1.41421, -5.86377e-26, 0, 0, 0, 0, 0, 0, 0, 0, 2.18981e-28, 0, 1.92882e-31, 5.25345e-30, 0, 5.84133e-26, 0, 0
0.132159, 0, 2.93546e-25, 0, 1.41421, -2.93546e-25, 0, 0, 0, 0, 0, 0, 0, 0, 1.09622e-27, 0, 9.66111e-31, 3.09874e-29, 0, 2.92418e-25, 0, 0
