   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_52.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.171171, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.179517, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.187863, 0, 2.83639e-28, 0, 1.41421, -2.83639e-28, 0, 0, 0, 0, 0, 0, 0, 0, 6.13213e-31, 0, 5.99148e-34, 1.70745e-33, 2.83024e-28, 0, 0
0.196209, 0, 3.83393e-27, 0, 1.41421, -3.83393e-27, 0, 0, 0, 0, 0, 0, 0, 0, 8.2884e-30, 0, 8.09829e-33, 1.90735e-31, 3.82544e-27, 0, 0
0.204555, 0, 3.24893e-26, 0, 1.41421, -3.24893e-26, 0, 0, 0, 0, 0, 0, 0, 0, 7.02349e-29, 0, 6.86239e-32, 2.60002e-30, 3.24164e-26, 0, 0
0.212901, 0, 2.19219e-25, 0, 1.41421, -2.19219e-25, 0, 0, 0, 0, 0, 0, 0, 0, 4.73895e-28, 0, 4.63026e-31, 2.2406e-29, 2.18723e-25, 0, 0
0.221246, 0, 1.28153e-24, 0, 1.41421, -1.28153e-24, 0, 0, 0, 0, 0, 0, 0, 0, 2.77028e-27, 0, 2.70782e-30, 1.53282e-28, 1.2786e-24, 0, 0
0.229592, 0, 6.75896e-24, 0, 1.41421, -6.75896e-24, 0, 0, 0, 0, 0, 0, 0, 0, 1.46106e-26, 0, 1.42929e-29, 9.06037e-28, 6.74342e-24, 0, 0
0.237938, 0, 3.29057e-23, 0, 1.41421, -3.29057e-23, 0, 0, 0, 0, 0, 0, 0, 0, 7.11303e-26, 0, 6.96628e-29, 4.82257e-27, 3.28296e-23, 0, 0
0.246284, 0, 1.76429e-22, 0, 1.41421, -1.76429e-22, 0, 0, 0, 0, 0, 0, 0, 0, 3.81369e-25, 0, 3.74473e-28, 2.89932e-26, 1.76018e-22, 0, 0
0.25463, 0, 7.39937e-22, 0, 1.41421, -7.39937e-22, 0, 0, 0, 0, 0, 0, 0, 0, 1.59944e-24, 0, 1.57318e-27, 1.28499e-25, 7.38207e-22, 0, 0
0.262975, 0, 2.9704e-21, 0, 1.41421, -2.9704e-21, 0, 0, 0, 0, 0, 0, 0, 0, 6.42072e-24, 0, 6.32732e-27, 5.42036e-25, 2.96343e-21, 0, 0
0.271321, 0, 1.14607e-20, 0, 1.41421, -1.14607e-20, 0, 0, 0, 0, 0, 0, 0, 0, 2.47728e-23, 0, 2.44636e-26, 2.18788e-24, 1.14337e-20, 0, 0
0.279667, 0, 4.26365e-20, 0, 1.41421, -4.26365e-20, 0, 0, 0, 0, 0, 0, 0, 0, 9.21602e-23, 0, 9.122e-26, 8.48567e-24, 4.25358e-20, 0, 0
0.288013, 0, 1.5335e-19, 0, 1.41421, -1.5335e-19, 0, 0, 0, 0, 0, 0, 0, 0, 3.31467e-22, 0, 3.28914e-25, 3.17294e-23, 1.52986e-19, 0, 0
0.296359, 0, 5.34376e-19, 0, 1.41421, -5.34376e-19, 0, 0, 0, 0, 0, 0, 0, 0, 1.15505e-21, 0, 1.14931e-24, 1.14687e-22, 5.33105e-19, 0, 0
0.304705, 0, 1.80742e-18, 0, 1.41421, -1.80742e-18, 0, 0, 0, 0, 0, 0, 0, 0, 3.9067e-21, 0, 3.89895e-24, 4.01606e-22, 1.80311e-18, 0, 0
0.313051, 0, 5.94262e-18, 0, 1.41421, -5.94262e-18, 0, 0, 0, 0, 0, 0, 0, 0, 1.28448e-20, 0, 1.2861e-23, 1.36498e-21, 5.9284e-18, 0, 0
0.321396, 0, 1.90177e-17, 0, 1.41421, -1.90177e-17, 0, 0, 0, 0, 0, 0, 0, 0, 4.11057e-20, 0, 4.13034e-23, 4.5098e-21, 1.89721e-17, 0, 0
0.329742, 0, 5.93024e-17, 0, 1.41421, -5.93024e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.28177e-19, 0, 1.29288e-22, 1.45032e-20, 5.91596e-17, 0, 0
0.338088, 0, 1.80354e-16, 0, 1.41421, -1.80354e-16, 0, 0, 0, 0, 0, 0, 0, 0, 3.89814e-19, 0, 3.9483e-22, 4.54502e-20, 1.79919e-16, 0, 0
0.346434, 0, 5.35396e-16, 0, 1.41421, -5.35396e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.15717e-18, 0, 1.17735e-21, 1.38928e-19, 5.34098e-16, 0, 0
0.35478, 0, 1.55244e-15, 0, 1.41421, -1.55244e-15, 0, 0, 0, 0, 0, 0, 0, 0, 3.35525e-18, 0, 3.43051e-21, 4.14559e-19, 1.54867e-15, 0, 0
0.363126, 0, 4.39961e-15, 0, 1.41421, -4.39961e-15, 0, 0, 0, 0, 0, 0, 0, 0, 9.50846e-18, 0, 9.77342e-21, 1.20849e-18, 4.38888e-15, 0, 0
