   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_60.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.319143, 0, 7.59278e-12, 0, 1.41421, -7.59278e-12, 0, 0, 0, 0, 0, 0, 0, 2.81433e-14, 0, 0, 7.21568e-17, 1.30848e-15, 0, 7.56325e-12, 0, 0
0.32693, 0, 1.43515e-11, 0, 1.41421, -1.43515e-11, 0, 0, 0, 0, 0, 0, 0, 5.31952e-14, 0, 0, 1.39325e-16, 2.53075e-15, 0, 1.42957e-11, 0, 0
0.334717, 0, 2.68116e-11, 0, 1.41421, -2.68116e-11, 0, 0, 0, 0, 0, 0, 0, 9.93804e-14, 0, 0, 2.66232e-16, 4.84271e-15, 0, 2.67072e-11, 0, 0
0.342505, 0, 4.95133e-11, 0, 1.41421, -4.95133e-11, 0, 0, 0, 0, 0, 0, 0, 1.83531e-13, 0, 0, 5.03629e-16, 9.1702e-15, 0, 4.93201e-11, 0, 0
0.350292, 0, 9.03951e-11, 0, 1.41421, -9.03951e-11, 0, 0, 0, 0, 0, 0, 0, 3.3508e-13, 0, 0, 9.43512e-16, 1.71885e-14, 0, 9.00419e-11, 0, 0
0.35808, 0, 1.63168e-10, 5.01665e-43, 1.41421, -1.63168e-10, 0, 5.01665e-43, 5.01665e-43, 5.01665e-43, 5.01665e-43, 5.01665e-43, 5.01665e-43, 6.04875e-13, 5.01665e-43, 5.01665e-43, 1.75126e-15, 3.18997e-14, 5.01665e-43, 1.62529e-10, 5.01665e-43, 5.01665e-43
0.365867, 0, 2.91229e-10, 9.13927e-42, 1.41421, -2.91229e-10, 0, 9.13927e-42, 9.13927e-42, 9.13927e-42, 9.13927e-42, 9.13927e-42, 9.13927e-42, 1.07972e-12, 9.13927e-42, 9.13927e-42, 3.22206e-15, 5.86355e-14, 9.13927e-42, 2.90087e-10, 9.13927e-42, 9.13927e-42
0.373655, 0, 5.14026e-10, 1.36953e-40, 1.41421, -5.14026e-10, 0, 1.36953e-40, 1.36953e-40, 1.36953e-40, 1.36953e-40, 1.36953e-40, 1.36953e-40, 1.90601e-12, 1.36953e-40, 1.36953e-40, 5.87932e-15, 1.06786e-13, 1.36953e-40, 5.12007e-10, 1.36953e-40, 1.36953e-40
0.381442, 0, 8.97286e-10, 1.81083e-39, 1.41421, -8.97286e-10, 0, 1.81083e-39, 1.81083e-39, 1.81083e-39, 1.81083e-39, 1.81083e-39, 1.81083e-39, 3.32784e-12, 1.81083e-39, 1.81083e-39, 1.06465e-14, 1.9276e-13, 1.81083e-39, 8.93755e-10, 1.81083e-39, 1.81083e-39
0.389229, 0, 1.54921e-09, 2.14594e-38, 1.41421, -1.54921e-09, 0, 2.14594e-38, 2.14594e-38, 2.14594e-38, 2.14594e-38, 2.14594e-38, 2.14594e-38, 5.74735e-12, 2.14594e-38, 2.14594e-38, 1.91454e-14, 3.45038e-13, 2.14594e-38, 1.5431e-09, 2.14594e-38, 2.14594e-38
0.397017, 0, 2.64583e-09, 2.29703e-37, 1.41421, -2.64583e-09, 0, 2.29703e-37, 2.29703e-37, 2.29703e-37, 2.29703e-37, 2.29703e-37, 2.29703e-37, 9.81954e-12, 2.29703e-37, 2.29703e-37, 3.42166e-14, 6.12757e-13, 2.29703e-37, 2.63537e-09, 2.29703e-37, 2.29703e-37
0.404804, 0, 4.47022e-09, 2.23314e-36, 1.41421, -4.47022e-09, 0, 2.23314e-36, 2.23314e-36, 2.23314e-36, 2.23314e-36, 2.23314e-36, 2.23314e-36, 1.65991e-11, 2.23314e-36, 2.23314e-36, 6.08241e-14, 1.08029e-12, 2.23314e-36, 4.45248e-09, 2.23314e-36, 2.23314e-36
0.412592, 0, 7.47221e-09, 1.98226e-35, 1.41421, -7.47221e-09, 0, 1.98226e-35, 1.98226e-35, 1.98226e-35, 1.98226e-35, 1.98226e-35, 1.98226e-35, 2.77655e-11, 1.98226e-35, 1.98226e-35, 1.07635e-13, 1.89198e-12, 1.98226e-35, 7.44245e-09, 1.98226e-35, 1.98226e-35
0.420379, 0, 1.23584e-08, 1.61459e-34, 1.41421, -1.23584e-08, 0, 1.61459e-34, 1.61459e-34, 1.61459e-34, 1.61459e-34, 1.61459e-34, 1.61459e-34, 4.59627e-11, 1.61459e-34, 1.61459e-34, 1.89777e-13, 3.29413e-12, 1.61459e-34, 1.2309e-08, 1.61459e-34, 1.61459e-34
0.428167, 0, 2.02262e-08, 1.21242e-33, 1.41421, -2.02262e-08, 0, 1.21242e-33, 1.21242e-33, 1.21242e-33, 1.21242e-33, 1.21242e-33, 1.21242e-33, 7.53096e-11, 1.21242e-33, 1.21242e-33, 3.33664e-13, 5.70664e-12, 1.21242e-33, 2.01448e-08, 1.21242e-33, 1.21242e-33
0.435954, 0, 3.27601e-08, 8.43026e-33, 1.41421, -3.27601e-08, 0, 8.43026e-33, 8.43026e-33, 8.43026e-33, 8.43026e-33, 8.43026e-33, 8.43026e-33, 1.22153e-10, 8.43026e-33, 8.43026e-33, 5.8544e-13, 9.84527e-12, 8.43026e-33, 3.26275e-08, 8.43026e-33, 8.43026e-33
0.443741, 0, 5.25192e-08, 1.39797e-31, 1.41421, -5.25192e-08, 0, 1.39797e-31, 1.39797e-31, 1.39797e-31, 1.39797e-31, 1.39797e-31, 1.39797e-31, 1.96188e-10, 1.39797e-31, 1.39797e-31, 1.02723e-12, 1.69552e-11, 1.39797e-31, 5.23051e-08, 1.39797e-31, 1.39797e-31
0.451529, 0, 8.33366e-08, 8.69251e-31, 1.41421, -8.33366e-08, 0, 8.69251e-31, 8.69251e-31, 8.69251e-31, 8.69251e-31, 8.69251e-31, 8.69251e-31, 3.12005e-10, 8.69251e-31, 8.69251e-31, 1.79789e-12, 2.9093e-11, 8.69251e-31, 8.29937e-08, 8.69251e-31, 8.69251e-31
0.459316, 0, 1.3091e-07, 5.06569e-30, 1.41421, -1.3091e-07, 0, 5.06569e-30, 5.06569e-30, 5.06569e-30, 5.06569e-30, 5.06569e-30, 5.06569e-30, 4.91464e-10, 5.06569e-30, 5.06569e-30, 3.14443e-12, 4.98522e-11, 5.06569e-30, 1.30365e-07, 5.06569e-30, 5.06569e-30
0.467104, 0, 2.03598e-07, 2.77047e-29, 1.41421, -2.03598e-07, 0, 2.77047e-29, 2.77047e-29, 2.77047e-29, 2.77047e-29, 2.77047e-29, 2.77047e-29, 7.66919e-10, 2.77047e-29, 2.77047e-29, 5.49555e-12, 8.53764e-11, 2.77047e-29, 2.0274e-07, 2.77047e-29, 2.77047e-29
0.474891, 0, 3.13541e-07, 1.42574e-28, 1.41421, -3.13541e-07, 0, 1.42574e-28, 1.42574e-28, 1.42574e-28, 1.42574e-28, 1.42574e-28, 1.42574e-28, 1.18585e-09, 1.42574e-28, 1.42574e-28, 9.5957e-12, 1.46226e-10, 1.42574e-28, 3.12199e-07, 1.42574e-28, 1.42574e-28
0.482679, 0, 4.78175e-07, 6.9244e-28, 1.41421, -4.78175e-07, 0, 6.9244e-28, 6.9244e-28, 6.9244e-28, 6.9244e-28, 6.9244e-28, 6.9244e-28, 1.8173e-09, 6.9244e-28, 6.9244e-28, 1.67322e-11, 2.50563e-10, 6.9244e-28, 4.76091e-07, 6.9244e-28, 6.9244e-28
0.490466, 0, 7.22287e-07, 3.18333e-27, 1.41421, -7.22287e-07, 0, 3.18333e-27, 3.18333e-27, 3.18333e-27, 3.18333e-27, 3.18333e-27, 3.18333e-27, 2.76089e-09, 3.18333e-27, 3.18333e-27, 2.91191e-11, 4.29612e-10, 3.18333e-27, 7.19067e-07, 3.18333e-27, 3.18333e-27
0.498253, 0, 1.08074e-06, 1.38931e-26, 1.41421, -1.08074e-06, 0, 1.38931e-26, 1.38931e-26, 1.38931e-26, 1.38931e-26, 1.38931e-26, 1.38931e-26, 4.1591e-09, 1.38931e-26, 1.38931e-26, 5.05401e-11, 7.36934e-10, 1.38931e-26, 1.07579e-06, 1.38931e-26, 1.38931e-26
0.506041, 0, 1.60206e-06, 5.77187e-26, 1.41421, -1.60206e-06, 0, 5.77187e-26, 5.77187e-26, 5.77187e-26, 5.77187e-26, 5.77187e-26, 5.77187e-26, 6.21421e-09, 5.77187e-26, 5.77187e-26, 8.74131e-11, 1.26407e-09, 5.77187e-26, 1.5945e-06, 5.77187e-26, 5.77187e-26
0.513828, 0, 2.35315e-06, 2.28864e-25, 1.41421, -2.35315e-06, 0, 2.28864e-25, 2.28864e-25, 2.28864e-25, 2.75461e-12, 2.28864e-25, 2.28864e-25, 9.21113e-09, 2.28864e-25, 2.28864e-25, 1.50534e-10, 2.16662e-09, 2.28864e-25, 2.34162e-06, 2.28864e-25, 2.28864e-25
0.521616, 0, 3.42528e-06, 8.6826e-25, 1.41421, -3.42528e-06, 0, 8.6826e-25, 8.6826e-25, 8.6826e-25, 1.0441e-11, 8.6826e-25, 8.6826e-25, 1.35484e-08, 8.6826e-25, 8.6826e-25, 2.57904e-10, 3.70731e-09, 8.6826e-25, 3.40775e-06, 8.6826e-25, 8.6826e-25
0.529403, 0, 4.94177e-06, 3.16384e-24, 1.41421, -4.94177e-06, 0, 3.16384e-24, 3.16384e-24, 3.16384e-24, 3.09363e-11, 3.16384e-24, 3.16384e-24, 1.97791e-08, 3.16384e-24, 3.16384e-24, 4.39252e-10, 6.32585e-09, 3.16384e-24, 4.9152e-06, 3.16384e-24, 3.16384e-24
0.537191, 0, 7.0699e-06, 1.1173e-23, 1.41421, -7.0699e-06, 0, 1.76281e-13, 4.44262e-13, 1.0747e-12, 2.38202e-10, 2.44374e-11, 1.84154e-10, 2.86663e-08, 6.56805e-12, 3.24335e-13, 7.43191e-10, 1.07511e-08, 7.67349e-15, 7.02857e-06, 1.1173e-23, 7.10317e-10
0.544978, 0, 1.00468e-05, 1.67048e-08, 1.41421, -1.00468e-05, 1.67048e-08, 1.67054e-08, 1.67064e-08, 1.67088e-08, 1.75001e-08, 1.67966e-08, 1.73968e-08, 5.79578e-08, 1.67295e-08, 1.6706e-08, 1.79533e-08, 3.48828e-08, 1.67048e-08, 9.98182e-06, 1.67048e-08, 1.93741e-08
0.552765, 0, 1.41783e-05, 6.23999e-08, 1.41421, -1.41783e-05, 6.23999e-08, 6.24019e-08, 6.24048e-08, 6.24118e-08, 6.46355e-08, 6.26698e-08, 6.44336e-08, 1.21356e-07, 6.24725e-08, 6.24035e-08, 6.44813e-08, 9.29418e-08, 6.24e-08, 1.40743e-05, 6.23999e-08, 7.02442e-08
0.560553, 0, 1.99016e-05, 1.82583e-07, 1.41421, -1.99016e-05, 1.82583e-07, 1.82588e-07, 1.82596e-07, 1.82615e-07, 1.88418e-07, 1.83307e-07, 1.88034e-07, 2.66269e-07, 1.82778e-07, 1.82593e-07, 1.86025e-07, 2.33519e-07, 1.82583e-07, 1.97303e-05, 1.82583e-07, 2.0361e-07
0.56834, 0, 2.78465e-05, 4.87676e-07, 1.41421, -2.78465e-05, 4.87676e-07, 4.8769e-07, 4.8771e-07, 4.87757e-07, 5.02221e-07, 4.89517e-07, 5.01545e-07, 6.05673e-07, 4.88171e-07, 4.87701e-07, 4.9332e-07, 5.71926e-07, 4.87677e-07, 2.75542e-05, 4.87676e-07, 5.41168e-07
0.576128, 0, 3.8976e-05, 1.23669e-06, 1.41421, -3.8976e-05, 1.23669e-06, 1.23672e-06, 1.23677e-06, 1.23688e-06, 1.27166e-06, 1.24119e-06, 1.27062e-06, 1.40196e-06, 1.2379e-06, 1.23675e-06, 1.24586e-06, 1.37483e-06, 1.23669e-06, 3.84576e-05, 1.23669e-06, 1.36757e-06
0.583915, 0, 5.48575e-05, 3.01705e-06, 1.41421, -5.48575e-05, 3.01705e-06, 3.01713e-06, 3.01724e-06, 3.01752e-06, 3.1022e-06, 3.0277e-06, 3.0973e-06, 3.24705e-06, 3.01991e-06, 3.01719e-06, 3.03183e-06, 3.24148e-06, 3.01705e-06, 5.3899e-05, 3.01705e-06, 3.32659e-06
0.591703, 0, 7.81887e-05, 7.11586e-06, 1.41421, -7.81887e-05, 7.11586e-06, 7.11603e-06, 7.1163e-06, 7.11693e-06, 7.32129e-06, 7.14025e-06, 7.2997e-06, 7.43385e-06, 7.12241e-06, 7.11618e-06, 7.13945e-06, 7.47659e-06, 7.11587e-06, 7.6355e-05, 7.11586e-06, 7.82497e-06
0.59949, 0, 0.000113841, 1.62588e-05, 1.41421, -0.000113841, 1.62588e-05, 1.62592e-05, 1.62598e-05, 1.62612e-05, 1.67657e-05, 1.6313e-05, 1.66672e-05, 1.66957e-05, 1.62734e-05, 1.62596e-05, 1.62962e-05, 1.68326e-05, 1.62589e-05, 0.000110229, 1.62588e-05, 1.7834e-05
0.607277, 0, 0.000170728, 3.60246e-05, 1.41421, -0.000170728, 3.60246e-05, 3.60255e-05, 3.60268e-05, 3.60298e-05, 3.72018e-05, 3.61414e-05, 3.69047e-05, 3.6621e-05, 3.6056e-05, 3.60262e-05, 3.60832e-05, 3.69278e-05, 3.60247e-05, 0.00016356, 3.60246e-05, 3.94194e-05
0.615065, 0, 0.000265376, 7.74569e-05, 1.41421, -0.000265376, 7.74569e-05, 7.74586e-05, 7.74613e-05, 7.74676e-05, 8.01091e-05, 7.77012e-05, 7.92981e-05, 7.8266e-05, 7.75225e-05, 7.74601e-05, 7.75479e-05, 7.88637e-05, 7.74569e-05, 0.000251143, 7.74569e-05, 8.45589e-05
0.622852, 0, 0.000427946, 0.000161635, 1.41421, -0.000427946, 0.000161635, 0.000161639, 0.000161644, 0.000161657, 0.000167374, 0.000162131, 0.000165375, 0.000162727, 0.000161769, 0.000161642, 0.000161775, 0.000163805, 0.000161635, 0.000399969, 0.000161635, 0.000176061
0.63064, 0, 0.000712883, 0.000327539, 1.41421, -0.000712883, 0.000327539, 0.000327546, 0.000327557, 0.000327582, 0.000339726, 0.000328518, 0.000334918, 0.000329003, 0.000327802, 0.000327552, 0.000327754, 0.000330853, 0.00032754, 0.000658542, 0.000327539, 0.000356
0.638427, 0, 0.00121584, 0.000644739, 1.41421, -0.00121584, 0.000644739, 0.000644752, 0.000644773, 0.000644821, 0.000670137, 0.000646616, 0.000658884, 0.000646692, 0.000645243, 0.000644764, 0.000645064, 0.000649756, 0.000644739, 0.0011119, 0.000644739, 0.000699299
0.646215, 0, 0.00210041, 0.0012332, 1.41421, -0.00210041, 0.0012332, 0.00123322, 0.00123326, 0.00123335, 0.00128516, 0.00123669, 0.00125955, 0.00123579, 0.00123414, 0.00123324, 0.00123369, 0.00124073, 0.0012332, 0.00190508, 0.0012332, 0.00133486
0.654002, 0, 0.00363822, 0.00229271, 1.41421, -0.00363822, 0.00229271, 0.00229275, 0.00229282, 0.00229299, 0.00239707, 0.00229904, 0.00234046, 0.00229614, 0.00229441, 0.00229279, 0.00229344, 0.00230395, 0.00229271, 0.00327795, 0.00229271, 0.00247688
0.661789, 0, 0.00626635, 0.0041445, 1.41421, -0.00626635, 0.0041445, 0.00414458, 0.0041447, 0.00414499, 0.0043502, 0.00415567, 0.00422864, 0.00414902, 0.0041475, 0.00414465, 0.00414558, 0.00416119, 0.00414451, 0.00561461, 0.0041445, 0.00446903
0.669577, 0, 0.0106662, 0.007287, 1.41421, -0.0106662, 0.007287, 0.00728714, 0.00728735, 0.00728784, 0.00768471, 0.00730614, 0.00743124, 0.00729293, 0.00729214, 0.00728725, 0.00728859, 0.00731163, 0.007287, 0.00950979, 0.007287, 0.00784337
0.677364, 0, 0.0178653, 0.0124659, 1.41421, -0.0178653, 0.0124659, 0.0124662, 0.0124665, 0.0124674, 0.0132198, 0.0124979, 0.0127066, 0.0124737, 0.0124745, 0.0124664, 0.0124683, 0.0125022, 0.012466, 0.0158528, 0.0124659, 0.0133943
0.685152, 0, 0.0293629, 0.0207564, 1.41421, -0.0293629, 0.0207564, 0.0207567, 0.0207573, 0.0207586, 0.0221566, 0.0208083, 0.0211474, 0.0207665, 0.0207703, 0.0207571, 0.0207598, 0.0208094, 0.0207564, 0.0259266, 0.0207564, 0.0222647
0.692939, 1.95751, 0.0472734, 0.0336502, 1.98935, 1.91024, 0.0336502, 0.0336508, 0.0336517, 0.0336538, 0.0361966, 0.0337323, 0.034269, 0.0336634, 0.0336723, 0.0336513, 0.0336551, 0.0337276, 0.0336502, 0.0415148, 0.0336502, 0.0360371
0.700727, 0.042487, 0.074477, 0.0531366, 1.42916, -0.03199, 0.0531366, 0.0531375, 0.0531389, 0.0531422, 0.0576679, 0.0532632, 0.0540908, 0.0531537, 0.0531706, 0.0531383, 0.0531436, 0.053249, 0.0531366, 0.0650032, 0.0531366, 0.0568172
0.708514, 0.973932, 0.114762, 0.0817596, 1.72451, 0.85917, 0.0817596, 0.081761, 0.0817631, 0.081768, 0.0896453, 0.08195, 0.083194, 0.0817816, 0.0818108, 0.0817622, 0.0817697, 0.0819219, 0.0817597, 0.0994575, 0.0817596, 0.0872922
0.716302, 0.997584, 0.172932, 0.12263, 1.73135, 0.824652, 0.12263, 0.122632, 0.122636, 0.122643, 0.136043, 0.12291, 0.124733, 0.122659, 0.122705, 0.122634, 0.122645, 0.122863, 0.122631, 0.148654, 0.12263, 0.130741
0.724089, 0.0284847, 0.254857, 0.179372, 1.42425, -0.226373, 0.179372, 0.179375, 0.17938, 0.17939, 0.201658, 0.179772, 0.18238, 0.179408, 0.17948, 0.179378, 0.179393, 0.179702, 0.179373, 0.217037, 0.179372, 0.190974
0.731876, 0, 0.367434, 0.255979, 1.41421, -0.367434, 0.255979, 0.255983, 0.255989, 0.256003, 0.292137, 0.256536, 0.260178, 0.256024, 0.256129, 0.255986, 0.256007, 0.256441, 0.255979, 0.309589, 0.255979, 0.272178
0.739664, 0, 0.518435, 0.356571, 1.41421, -0.518435, 0.356571, 0.356576, 0.356585, 0.356604, 0.413836, 0.357331, 0.362298, 0.356628, 0.356775, 0.356581, 0.356611, 0.35721, 0.356571, 0.431589, 0.356571, 0.378662
0.747451, 0.961873, 0.716244, 0.485063, 1.72101, 0.24563, 0.485063, 0.485071, 0.485082, 0.485108, 0.573569, 0.486076, 0.492695, 0.485134, 0.485335, 0.485077, 0.485119, 0.485934, 0.485064, 0.588301, 0.485063, 0.514503
0.755239, 3.91652, 0.969459, 0.644748, 2.43239, 2.94706, 0.644748, 0.644757, 0.644772, 0.644806, 0.778207, 0.646067, 0.654692, 0.644834, 0.645102, 0.644765, 0.644824, 0.645914, 0.644748, 0.784582, 0.644748, 0.68311
0.763026, 1.07865, 1.28642, 0.837845, 1.75461, -0.20777, 0.837845, 0.837857, 0.837876, 0.837919, 1.03416, 0.839527, 0.850522, 0.837949, 0.838297, 0.837867, 0.837948, 0.839378, 0.837846, 1.02451, 0.837845, 0.886755
0.770814, 1.95225, 1.67469, 1.06508, 1.98803, 0.277553, 1.06508, 1.06509, 1.06511, 1.06517, 1.34675, 1.06717, 1.0809, 1.0652, 1.06564, 1.0651, 1.06521, 1.06705, 1.06508, 1.31107, 1.06508, 1.12613
