   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_61.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.291836, 0, 1.19117e-07, 3.64062e-35, 1.41421, -1.19117e-07, 0, 3.64062e-35, 3.64062e-35, 3.64062e-35, 3.64062e-35, 3.64062e-35, 1.56557e-09, 3.64062e-35, 3.64062e-35, 1.17778e-11, 7.70326e-10, 3.64062e-35, 1.1677e-07, 3.64062e-35, 3.64062e-35
0.299859, 0, 1.63222e-07, 3.0338e-34, 1.41421, -1.63222e-07, 0, 3.0338e-34, 3.0338e-34, 3.0338e-34, 3.0338e-34, 3.0338e-34, 2.14966e-09, 3.0338e-34, 3.0338e-34, 1.76628e-11, 1.1312e-09, 3.0338e-34, 1.59923e-07, 3.0338e-34, 3.0338e-34
0.307881, 0, 2.22412e-07, 2.32298e-33, 1.41421, -2.22412e-07, 0, 2.32298e-33, 2.32298e-33, 2.32298e-33, 2.32298e-33, 2.32298e-33, 2.93621e-09, 2.32298e-33, 2.32298e-33, 2.64788e-11, 1.65523e-09, 2.32298e-33, 2.17794e-07, 2.32298e-33, 2.32298e-33
0.315903, 0, 3.01407e-07, 1.73878e-32, 1.41421, -3.01407e-07, 0, 1.73878e-32, 1.73878e-32, 1.73878e-32, 1.73878e-32, 1.73878e-32, 3.98999e-09, 1.73878e-32, 1.73878e-32, 3.96785e-11, 2.4137e-09, 1.73878e-32, 2.94964e-07, 1.73878e-32, 1.73878e-32
0.323925, 0, 4.06256e-07, 1.25187e-31, 1.41421, -4.06256e-07, 0, 1.25187e-31, 1.25187e-31, 1.25187e-31, 1.25187e-31, 1.25187e-31, 5.39481e-09, 1.25187e-31, 1.25187e-31, 5.94255e-11, 3.50795e-09, 1.25187e-31, 3.97294e-07, 1.25187e-31, 1.25187e-31
0.331947, 0, 5.4468e-07, 2.51892e-30, 1.41421, -5.4468e-07, 0, 2.51892e-30, 2.51892e-30, 2.51892e-30, 2.51892e-30, 2.51892e-30, 7.25874e-09, 2.51892e-30, 2.51892e-30, 8.90053e-11, 5.08277e-09, 2.51892e-30, 5.32249e-07, 2.51892e-30, 2.51892e-30
0.339969, 0, 7.26445e-07, 1.47474e-29, 1.41421, -7.26445e-07, 0, 1.47474e-29, 1.47474e-29, 1.47474e-29, 1.47474e-29, 1.47474e-29, 9.71985e-09, 1.47474e-29, 1.47474e-29, 1.33058e-10, 7.33875e-09, 1.47474e-29, 7.09254e-07, 1.47474e-29, 1.47474e-29
0.347991, 0, 9.63897e-07, 8.07113e-29, 1.41421, -9.63897e-07, 0, 8.07113e-29, 8.07113e-29, 8.07113e-29, 8.07113e-29, 8.07113e-29, 1.29549e-08, 8.07113e-29, 8.07113e-29, 1.9865e-10, 1.05618e-08, 8.07113e-29, 9.40182e-07, 8.07113e-29, 8.07113e-29
0.356013, 0, 1.27251e-06, 4.14295e-28, 1.41421, -1.27251e-06, 0, 4.14295e-28, 4.14295e-28, 4.14295e-28, 4.14295e-28, 4.14295e-28, 1.71884e-08, 4.14295e-28, 4.14295e-28, 2.96079e-10, 1.51506e-08, 4.14295e-28, 1.23988e-06, 4.14295e-28, 4.14295e-28
0.364035, 0, 1.67162e-06, 2.0012e-27, 1.41421, -1.67162e-06, 0, 2.0012e-27, 2.0012e-27, 2.0012e-27, 2.0012e-27, 2.0012e-27, 2.27047e-08, 2.0012e-27, 2.0012e-27, 4.40391e-10, 2.16609e-08, 2.0012e-27, 1.62682e-06, 2.0012e-27, 2.0012e-27
