,PMC,Na ox%,Na peak area,Na abs error,Mg ox%,Mg peak area,Mg abs error,Al ox%,Al peak area,Al abs error,Si ox%,Si peak area,Si abs error,P ox%,P peak area,P abs error,S ox%,S peak area,S abs error,Cl ox%,Cl peak area,Cl abs error,K ox%,K peak area,K abs error,Ca ox%,Ca peak area,Ca error,Ti ox%,Ti peak area,Ti abs error,Cr ox%,Cr peak area,Cr abs error,Mn ox%,Mn peak area,Mn abs error,Fe ox%,Fe peak area,Fe abs error,Ni ox%,Ni peak,Ni abs error,Zn ox%,Zn peak area%,Zn abs error,Br ox%,Br peak area,Br abs error
13,255,2.83,169.8,0.70%,7.7,2911.6,0.42%,13.85,14923.1,0.70%,52.23,121779.5,2.62%,0.44,1344.3,0.21%,0.32,1934.2,0.23%,0.1188,1475.2,0.13%,0.54,5360.8,0.19%,11.95,147446,0.60%,3.03,40991.1,0.56%,0.04,766.6,0.06%,0.16,3781.9,0.17%,11.99,276907.6,0.60%,0.0033,71.7,0.01%,0.0192,334.5,0.03%,0.0071,48.1,0.02%
14,256,2.44,145.7,0.69%,7.47,2821.1,0.41%,13.98,15085.5,0.71%,53.21,123914.9,2.67%,0.44,1345.5,0.21%,0.27,1592,0.22%,0.105,1294.2,0.12%,0.54,5359.8,0.19%,12.01,147149.7,0.60%,3.01,40490.6,0.56%,0.03,660.9,0.06%,0.16,3751.9,0.17%,11.87,272970.4,0.59%,0.0037,82,0.01%,0.0168,292.3,0.03%,0.0115,78,0.03%
15,257,3.24,195.5,0.70%,7.85,2976.7,0.43%,14.22,15355.3,0.72%,53.04,123653.8,2.66%,0.46,1396.6,0.20%,0.3,1766.6,0.23%,0.1266,1572.2,0.14%,0.54,5410.3,0.19%,11.91,147086.5,0.60%,3.01,40914.1,0.56%,0.02,477.6,0.05%,0.16,3740.1,0.17%,11.69,272700,0.58%,0.0036,79.5,0.01%,0.0139,246.4,0.03%,0.0052,36.1,0.02%
16,258,2.69,161.9,0.70%,7.71,2927.9,0.42%,13.98,15122.2,0.71%,52.57,122821.5,2.64%,0.46,1395.7,0.20%,0.33,1948.3,0.23%,0.1122,1392.7,0.13%,0.56,5534.9,0.20%,11.89,146728.2,0.60%,3.03,41039,0.56%,0.02,441.4,0.05%,0.17,3848.3,0.17%,11.77,272802.2,0.59%,0.01,220.9,0.02%,0.0159,280.3,0.03%,0.0108,74,0.03%
17,259,3.37,202.9,0.70%,7.46,2820.8,0.41%,14.01,15132.9,0.71%,52.78,123232.7,2.65%,0.45,1360.3,0.21%,0.32,1889.7,0.23%,0.1198,1488.4,0.13%,0.54,5354.3,0.19%,11.91,147147.5,0.60%,3,40796.4,0.56%,0.03,645.8,0.06%,0.16,3776.2,0.17%,11.78,273991.6,0.59%,0.0012,26.1,0.00%,0.0175,309.6,0.03%,0.0097,66.6,0.02%
18,260,3.26,196.2,0.69%,7.51,2838.3,0.41%,14.01,15129.7,0.71%,52.57,122661.6,2.64%,0.46,1394.5,0.20%,0.31,1874.1,0.23%,0.1252,1554.8,0.14%,0.55,5506.4,0.20%,11.91,147009.7,0.60%,3.01,40862.4,0.56%,0.03,549,0.05%,0.16,3659,0.17%,11.76,273071.9,0.59%,0.0022,48.8,0.01%,0.0201,354.8,0.03%,0.012,82.3,0.03%
19,261,3.09,184.2,0.70%,7.63,2860.4,0.42%,13.69,14661.8,0.70%,52.84,122756,2.65%,0.5,1511.3,0.18%,0.34,1999.5,0.23%,0.1312,1621.4,0.14%,0.55,5398.3,0.20%,12.09,148521.1,0.61%,3,40497,0.56%,0.02,512.4,0.05%,0.16,3762.4,0.17%,12.21,280485.8,0.61%,0.0022,48.6,0.01%,0.0193,334.8,0.03%,0.0172,116,0.04%
20,262,2.34,140,0.68%,7.78,2957.1,0.42%,13.93,15084.2,0.71%,52.74,123315.3,2.65%,0.48,1454.4,0.19%,0.29,1759.6,0.23%,0.1086,1348.3,0.12%,0.55,5466,0.20%,11.98,147700.1,0.60%,3.01,40769.8,0.56%,0.03,574.9,0.06%,0.16,3757.5,0.17%,11.91,275309.3,0.60%,0.0068,149.5,0.02%,0.016,279.4,0.03%,0.0193,131.4,0.04%
21,263,3.34,200.2,0.70%,7.63,2875,0.42%,14.03,15093.7,0.71%,52.44,122004.4,2.63%,0.47,1438.8,0.20%,0.32,1917.6,0.23%,0.102,1267.7,0.12%,0.54,5321.8,0.19%,11.9,147075.1,0.60%,3,40801.8,0.56%,0.03,639.1,0.06%,0.15,3461.9,0.16%,12.11,280920.4,0.61%,0.0088,195.3,0.02%,0.0151,263.8,0.03%,0.0115,78.5,0.03%
22,264,3.24,195.3,0.70%,7.75,2935,0.42%,14.01,15117.4,0.71%,52.86,123309.7,2.65%,0.46,1406.2,0.20%,0.29,1739.8,0.23%,0.11,1365.6,0.13%,0.56,5595.4,0.20%,11.91,147022.6,0.60%,3.03,41121.4,0.56%,0.02,495.7,0.05%,0.16,3661.8,0.17%,11.74,273150.9,0.59%,0.0032,71,0.01%,0.0154,272.3,0.03%,0.0156,107.2,0.03%
23,265,3.01,179.8,0.70%,7.82,2938.8,0.43%,14.2,15197,0.72%,53.14,122796.5,2.67%,0.47,1420.1,0.20%,0.32,1869,0.23%,0.1327,1632.3,0.15%,0.55,5368.2,0.20%,12.05,147375.3,0.60%,3.01,40449.7,0.56%,0.03,571.5,0.06%,0.16,3639.6,0.17%,11.92,274295,0.60%,0,2.2,,0.0188,328.7,0.03%,0.0256,173.7,0.04%
24,266,3.35,201.6,0.69%,7.25,2738,0.40%,13.9,15022.8,0.71%,52.73,123190.6,2.65%,0.46,1397.7,0.20%,0.33,1971.4,0.23%,0.1136,1410.8,0.13%,0.56,5550,0.20%,11.88,146582.9,0.60%,2.98,40389.3,0.56%,0.03,700.9,0.06%,0.16,3608,0.16%,11.82,274453.3,0.59%,0.002,45.5,0.01%,0.0194,341.7,0.03%,0.0254,173.5,0.04%
