,PMC,Na ox%,Na peak area,Na abs error,Mg ox%,Mg peak area,Mg abs error,Al ox%,Al peak area,Al abs error,Si ox%,Si peak area,Si abs error,P ox%,P peak area,P abs error,S ox%,S peak area,S abs error,Cl ox%,Cl peak area,Cl abs error,K ox%,K peak area,K abs error,Ca ox%,Ca peak area,Ca error,Ti ox%,Ti peak area,Ti abs error,Cr ox%,Cr peak area,Cr abs error,Mn ox%,Mn peak area,Mn abs error,Fe ox%,Fe peak area,Fe abs error,Ni ox%,Ni peak,Ni abs error,Zn ox%,Zn peak area%,Zn abs error,Br ox%,Br peak area,Br abs error
10,237,2.11,127.7,0.66%,7.86,3021.5,0.43%,14.02,15343.7,0.71%,53.35,125985.8,2.68%,0.48,1475.2,0.19%,0.32,1920.6,0.23%,0.1074,1343.7,0.12%,0.55,5548.2,0.20%,12.05,149809.2,0.60%,3.02,41253.3,0.56%,0.02,538.3,0.05%,0.16,3834.9,0.17%,12.01,279944.1,0.60%,0.0041,90.9,0.01%,0.02,353.1,0.03%,0.0098,67.5,0.02%
11,238,2.45,148.7,0.68%,7.87,3023.5,0.43%,14.4,15754.4,0.73%,53.24,125373,2.67%,0.5,1525.8,0.18%,0.32,1937.7,0.23%,0.1081,1352.8,0.12%,0.54,5394.8,0.19%,11.99,149333.8,0.60%,3,41129,0.56%,0.03,652.6,0.06%,0.15,3619,0.16%,11.95,279876.8,0.60%,0.0023,50.9,0.01%,0.0191,339,0.03%,0.0151,103.9,0.03%
12,239,3.29,200.4,0.69%,7.65,2921.5,0.42%,14.2,15495.2,0.72%,53.44,125785.4,2.68%,0.49,1511.7,0.19%,0.34,2049.5,0.23%,0.1123,1406,0.13%,0.53,5299.6,0.19%,11.97,149221.2,0.60%,2.99,41089.1,0.56%,0.02,547.1,0.05%,0.16,3669.2,0.16%,11.95,280873,0.60%,0.0078,175.1,0.02%,0.0135,241.3,0.03%,0.025,173.4,0.04%
13,240,3.46,210.5,0.68%,7.72,2940,0.42%,14.47,15745.2,0.74%,53.19,124789.5,2.67%,0.49,1505.3,0.19%,0.28,1701,0.22%,0.1163,1458,0.13%,0.54,5406.4,0.19%,12.07,150561.2,0.61%,3.01,41328.1,0.56%,0.02,532.8,0.05%,0.16,3741.4,0.17%,12.06,283097.9,0.60%,0.0066,147.1,0.02%,0.0129,230,0.03%,0.0092,63.3,0.02%
14,241,3.18,193.6,0.69%,7.79,2979.4,0.42%,14.04,15311.9,0.71%,53.24,125373.4,2.67%,0.5,1539,0.18%,0.33,1959.7,0.23%,0.1209,1514.5,0.14%,0.54,5392.1,0.19%,11.95,148967.8,0.60%,2.99,41058.8,0.56%,0.03,587,0.06%,0.16,3799.4,0.17%,11.86,278808.3,0.59%,0.0051,114,0.01%,0.016,285.2,0.03%,0.0192,133.3,0.04%
15,242,2.78,169.1,0.69%,7.64,2930.2,0.42%,14.58,15968.2,0.74%,53.12,124985,2.67%,0.49,1495.2,0.19%,0.33,2004.3,0.23%,0.1173,1468.7,0.13%,0.53,5310.4,0.19%,12.02,149727.3,0.60%,3.01,41246.2,0.56%,0.02,541.6,0.05%,0.16,3697.5,0.17%,11.88,278600,0.59%,0.0008,18.8,0.00%,0.0167,296.6,0.03%,0.0202,140.1,0.04%
16,243,2.94,178.5,0.70%,7.78,2977.7,0.42%,14.2,15502.2,0.72%,53.24,125320.3,2.67%,0.5,1534,0.18%,0.31,1857.5,0.23%,0.1008,1262.1,0.12%,0.53,5300.9,0.19%,11.98,149301.5,0.60%,3,41152.7,0.56%,0.03,694.5,0.06%,0.17,3932.4,0.17%,11.9,279215,0.60%,0.0074,167.1,0.02%,0.0193,344.2,0.03%,0.0149,103,0.03%
17,244,2.54,154.1,0.68%,7.62,2922.2,0.41%,14.25,15600.9,0.72%,52.92,124799.8,2.66%,0.5,1546.3,0.18%,0.39,2367.8,0.23%,0.128,1603.1,0.14%,0.54,5363.1,0.19%,12.03,149789.7,0.60%,3.03,41421.8,0.56%,0.02,523,0.05%,0.17,3858.2,0.17%,11.93,278744.9,0.60%,0,0.4,,0.017,300.5,0.03%,0.012,82.4,0.03%
18,245,3.24,197,0.69%,7.78,2974.4,0.42%,14.15,15427.6,0.72%,53.32,125474.9,2.68%,0.48,1483.9,0.19%,0.28,1679.2,0.22%,0.1164,1457.9,0.13%,0.55,5485.8,0.20%,11.96,149112,0.60%,2.99,41023.5,0.56%,0.03,561.8,0.05%,0.16,3817.1,0.17%,11.86,278803.2,0.59%,0.0068,154,0.02%,0.0122,217.9,0.03%,0.0118,81.7,0.03%
19,246,2.56,154.8,0.69%,7.5,2867.8,0.41%,14.07,15379.6,0.72%,53.07,125172.6,2.66%,0.47,1456,0.20%,0.33,1996.4,0.23%,0.1189,1489.8,0.13%,0.55,5497.9,0.20%,12,149448.9,0.60%,3.04,41613.5,0.56%,0.03,718.9,0.06%,0.16,3758.9,0.17%,12.27,285802.9,0.61%,0.0023,51.3,0.01%,0.0119,208.6,0.03%,0.0179,122.2,0.04%
20,247,2.58,156.2,0.69%,7.45,2856.8,0.41%,14.14,15500,0.72%,53.1,125388.6,2.66%,0.48,1474.3,0.19%,0.33,1963.2,0.23%,0.1279,1601.2,0.14%,0.55,5486.8,0.20%,12.04,149751.5,0.60%,3.03,41333.6,0.56%,0.03,590.5,0.06%,0.16,3751.8,0.17%,11.91,277984.8,0.60%,0.0024,54.1,0.01%,0.0164,290,0.03%,0.0086,59,0.02%
21,248,2.71,164.3,0.69%,7.61,2909.9,0.41%,13.97,15267.9,0.71%,53.23,125594.5,2.67%,0.52,1600.3,0.19%,0.33,2015,0.23%,0.1168,1463,0.13%,0.54,5433.3,0.19%,11.99,149327.2,0.60%,2.99,40870.1,0.56%,0.03,627.9,0.06%,0.15,3608.7,0.16%,12.09,282646.3,0.61%,0.0045,99.5,0.01%,0.026,460,0.03%,0.009,61.6,0.02%
22,249,2.94,178.2,0.70%,7.54,2882.4,0.41%,14.01,15305.8,0.71%,53.13,125296.9,2.67%,0.48,1477.7,0.19%,0.36,2162.8,0.23%,0.1023,1280.9,0.12%,0.53,5262.8,0.19%,11.96,149048.7,0.60%,3.04,41654.3,0.56%,0.03,703.9,0.06%,0.16,3735.3,0.17%,11.92,279112.1,0.60%,0.0047,106,0.01%,0.0193,341.8,0.03%,0.0187,129,0.04%
23,250,3.74,228.3,0.67%,7.69,2932.2,0.42%,14.38,15674.2,0.73%,53.67,126209.8,2.69%,0.52,1608,0.19%,0.32,1921.9,0.23%,0.1235,1546.9,0.14%,0.54,5424.7,0.19%,11.97,149436.6,0.60%,2.99,41210,0.56%,0.03,599.3,0.06%,0.15,3631.5,0.16%,11.86,279895.6,0.59%,0.0025,57.7,0.01%,0.0175,313.5,0.03%,0.0074,51.7,0.02%
24,251,2.65,160.4,0.69%,7.54,2889.5,0.41%,14.18,15518.9,0.72%,53.07,125139.9,2.66%,0.47,1434.2,0.20%,0.26,1566.9,0.22%,0.0899,1125.9,0.11%,0.53,5331.8,0.19%,11.96,148896.7,0.60%,3.03,41525.8,0.56%,0.03,596.7,0.06%,0.16,3659.3,0.16%,11.86,277507,0.59%,0.0047,105.1,0.01%,0.0194,344,0.03%,0.0206,141.6,0.04%
