   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_224.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.252651, 0, 3.43269e-13, 0, 1.41421, -3.43269e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17954e-15, 0, 0, 2.10031e-18, 0, 3.04028e-17, 0, 3.41057e-13, 0, 0, 0
0.260522, 0, 6.28243e-13, 0, 1.41421, -6.28243e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.98894e-15, 0, 0, 3.92611e-18, 0, 5.69658e-17, 0, 6.24193e-13, 0, 0, 0
0.268394, 0, 1.13887e-12, 0, 1.41421, -1.13887e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23108e-15, 0, 0, 7.2746e-18, 0, 1.05816e-16, 0, 1.13152e-12, 0, 0, 0
0.276265, 0, 2.04505e-12, 0, 1.41421, -2.04505e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29849e-14, 0, 0, 1.33628e-17, 0, 1.94897e-16, 0, 2.03186e-12, 0, 0, 0
0.284136, 0, 3.63795e-12, 0, 1.41421, -3.63795e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30991e-14, 0, 0, 2.43396e-17, 0, 3.56001e-16, 0, 3.61448e-12, 0, 0, 0
0.292007, 0, 6.41153e-12, 0, 1.41421, -6.41153e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07107e-14, 0, 0, 4.3969e-17, 0, 6.45001e-16, 0, 6.37013e-12, 0, 0, 0
0.299879, 0, 1.11956e-11, 0, 1.41421, -1.11956e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.10899e-14, 0, 0, 7.8795e-17, 0, 1.15935e-15, 0, 1.11233e-11, 0, 0, 0
0.30775, 0, 1.93706e-11, 0, 1.41421, -1.93706e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23005e-13, 0, 0, 1.40115e-16, 0, 2.06778e-15, 0, 1.92454e-11, 0, 0, 0
0.315621, 0, 3.32106e-11, 0, 1.41421, -3.32106e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10905e-13, 0, 0, 2.4731e-16, 0, 3.66039e-15, 0, 3.29958e-11, 0, 0, 0
0.323492, 0, 5.64252e-11, 0, 1.41421, -5.64252e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58363e-13, 0, 0, 4.33425e-16, 0, 6.43265e-15, 0, 5.60599e-11, 0, 0, 0
0.331363, 0, 9.50075e-11, 1.7236e-43, 1.41421, -9.50075e-11, 0, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 1.7236e-43, 6.0348e-13, 1.7236e-43, 1.7236e-43, 7.54511e-16, 1.7236e-43, 1.12257e-14, 1.7236e-43, 9.4392e-11, 1.7236e-43, 1.7236e-43, 1.7236e-43
0.339235, 0, 1.58546e-10, 3.09967e-42, 1.41421, -1.58546e-10, 0, 3.09967e-42, 3.09967e-42, 3.09967e-42, 3.09967e-42, 3.09967e-42, 3.09967e-42, 3.09967e-42, 3.09967e-42, 3.09967e-42, 3.09967e-42, 1.00724e-12, 3.09967e-42, 3.09967e-42, 1.30522e-15, 3.09967e-42, 1.94595e-14, 3.09967e-42, 1.57518e-10, 3.09967e-42, 3.09967e-42, 3.09967e-42
0.347106, 0, 2.62235e-10, 4.60747e-41, 1.41421, -2.62235e-10, 0, 4.60747e-41, 4.60747e-41, 4.60747e-41, 4.60747e-41, 4.60747e-41, 4.60747e-41, 4.60747e-41, 4.60747e-41, 4.60747e-41, 4.60747e-41, 1.66635e-12, 4.60747e-41, 4.60747e-41, 2.24476e-15, 4.60747e-41, 3.35195e-14, 4.60747e-41, 2.60533e-10, 4.60747e-41, 4.60747e-41, 4.60747e-41
0.354977, 0, 4.2992e-10, 6.02795e-40, 1.41421, -4.2992e-10, 0, 6.02795e-40, 6.02795e-40, 6.02795e-40, 6.02795e-40, 6.02795e-40, 6.02795e-40, 6.02795e-40, 6.02795e-40, 6.02795e-40, 6.02795e-40, 2.73269e-12, 6.02795e-40, 6.02795e-40, 3.84017e-15, 6.02795e-40, 5.73954e-14, 6.02795e-40, 4.27126e-10, 6.02795e-40, 6.02795e-40, 6.02795e-40
0.362848, 0, 6.98666e-10, 7.06273e-39, 1.41421, -6.98666e-10, 0, 7.06273e-39, 7.06273e-39, 7.06273e-39, 7.06273e-39, 7.06273e-39, 7.06273e-39, 7.06273e-39, 7.06273e-39, 7.06273e-39, 7.06273e-39, 4.44256e-12, 7.06273e-39, 7.06273e-39, 6.53837e-15, 7.06273e-39, 9.77367e-14, 7.06273e-39, 6.94119e-10, 7.06273e-39, 7.06273e-39, 7.06273e-39
0.370719, 0, 1.12554e-09, 7.47265e-38, 1.41421, -1.12554e-09, 0, 7.47265e-38, 7.47265e-38, 7.47265e-38, 7.47265e-38, 7.47265e-38, 7.47265e-38, 7.47265e-38, 7.47265e-38, 7.47265e-38, 7.47265e-38, 7.16028e-12, 7.47265e-38, 7.47265e-38, 1.10862e-14, 7.47265e-38, 1.65594e-13, 7.47265e-38, 1.1182e-09, 7.47265e-38, 7.47265e-38, 7.47265e-38
0.378591, 0, 1.79757e-09, 7.17104e-37, 1.41421, -1.79757e-09, 0, 7.17104e-37, 7.17104e-37, 7.17104e-37, 7.17104e-37, 7.17104e-37, 7.17104e-37, 7.17104e-37, 7.17104e-37, 7.17104e-37, 7.17104e-37, 1.14423e-11, 7.17104e-37, 7.17104e-37, 1.87307e-14, 7.17104e-37, 2.79292e-13, 7.17104e-37, 1.78583e-09, 7.17104e-37, 7.17104e-37, 7.17104e-37
