   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.30221, 0, 7.47723e-11, 0, 1.41421, -7.47723e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19008e-13, 0, 0, 3.13925e-15, 0, 0, 7.41502e-11, 0, 0, 0
0.310083, 0, 1.21731e-10, 0, 1.41421, -1.21731e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00795e-12, 0, 0, 5.2717e-15, 0, 0, 1.20718e-10, 0, 0, 0
0.317956, 0, 1.96618e-10, 3.71344e-43, 1.41421, -1.96618e-10, 0, 3.71344e-43, 3.71344e-43, 3.71344e-43, 3.71344e-43, 3.71344e-43, 3.71344e-43, 3.71344e-43, 3.71344e-43, 3.71344e-43, 3.71344e-43, 3.71344e-43, 1.6284e-12, 3.71344e-43, 3.71344e-43, 8.8035e-15, 3.71344e-43, 3.71344e-43, 1.9498e-10, 3.71344e-43, 3.71344e-43, 3.71344e-43
0.325829, 0, 3.15078e-10, 6.35769e-42, 1.41421, -3.15078e-10, 0, 6.35769e-42, 6.35769e-42, 6.35769e-42, 6.35769e-42, 6.35769e-42, 6.35769e-42, 6.35769e-42, 6.35769e-42, 6.35769e-42, 6.35769e-42, 6.35769e-42, 2.61029e-12, 6.35769e-42, 6.35769e-42, 1.46253e-14, 6.35769e-42, 6.35769e-42, 3.12453e-10, 6.35769e-42, 6.35769e-42, 6.35769e-42
0.333702, 0, 5.00964e-10, 9.05043e-41, 1.41421, -5.00964e-10, 0, 9.05043e-41, 9.05043e-41, 9.05043e-41, 9.05043e-41, 9.05043e-41, 9.05043e-41, 9.05043e-41, 9.05043e-41, 9.05043e-41, 9.05043e-41, 9.05043e-41, 4.15184e-12, 9.05043e-41, 9.05043e-41, 2.41812e-14, 9.05043e-41, 9.05043e-41, 4.96788e-10, 9.05043e-41, 9.05043e-41, 9.05043e-41
0.341574, 0, 7.90331e-10, 1.14048e-39, 1.41421, -7.90331e-10, 0, 1.14048e-39, 1.14048e-39, 1.14048e-39, 1.14048e-39, 1.14048e-39, 1.14048e-39, 1.14048e-39, 1.14048e-39, 1.14048e-39, 1.14048e-39, 1.14048e-39, 6.55308e-12, 1.14048e-39, 1.14048e-39, 3.9809e-14, 1.14048e-39, 1.14048e-39, 7.83738e-10, 1.14048e-39, 1.14048e-39, 1.14048e-39
0.349447, 0, 1.2372e-09, 1.28851e-38, 1.41421, -1.2372e-09, 0, 1.28851e-38, 1.28851e-38, 1.28851e-38, 1.28851e-38, 1.28851e-38, 1.28851e-38, 1.28851e-38, 1.28851e-38, 1.28851e-38, 1.28851e-38, 1.28851e-38, 1.02643e-11, 1.28851e-38, 1.28851e-38, 6.52867e-14, 1.28851e-38, 1.28851e-38, 1.22687e-09, 1.28851e-38, 1.28851e-38, 1.28851e-38
0.35732, 0, 1.92186e-09, 1.31547e-37, 1.41421, -1.92186e-09, 0, 1.31547e-37, 1.31547e-37, 1.31547e-37, 1.31547e-37, 1.31547e-37, 1.31547e-37, 1.31547e-37, 1.31547e-37, 1.31547e-37, 1.31547e-37, 1.31547e-37, 1.59557e-11, 1.31547e-37, 1.31547e-37, 1.06718e-13, 1.31547e-37, 1.31547e-37, 1.90579e-09, 1.31547e-37, 1.31547e-37, 1.31547e-37
0.365193, 0, 2.96258e-09, 1.22038e-36, 1.41421, -2.96258e-09, 0, 1.22038e-36, 1.22038e-36, 1.22038e-36, 1.22038e-36, 1.22038e-36, 1.22038e-36, 1.22038e-36, 1.22038e-36, 1.22038e-36, 1.22038e-36, 1.22038e-36, 2.46174e-11, 1.22038e-36, 1.22038e-36, 1.73962e-13, 1.22038e-36, 1.22038e-36, 2.93779e-09, 1.22038e-36, 1.22038e-36, 1.22038e-36
0.373066, 0, 4.53218e-09, 1.03455e-35, 1.41421, -4.53218e-09, 0, 1.03455e-35, 1.03455e-35, 1.03455e-35, 1.03455e-35, 1.03455e-35, 1.03455e-35, 1.03455e-35, 1.03455e-35, 1.03455e-35, 1.03455e-35, 1.03455e-35, 3.76996e-11, 1.03455e-35, 1.03455e-35, 2.82946e-13, 1.03455e-35, 1.03455e-35, 4.4942e-09, 1.03455e-35, 1.03455e-35, 1.03455e-35
