   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_248.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.428823, 0, 2.30855e-08, 5.72939e-31, 1.41421, -2.30855e-08, 0, 5.72939e-31, 5.72939e-31, 5.72939e-31, 5.72939e-31, 5.72939e-31, 5.72939e-31, 5.72939e-31, 5.72939e-31, 5.72939e-31, 5.72939e-31, 1.73659e-10, 5.72939e-31, 2.56764e-12, 5.99239e-12, 5.72939e-31, 2.29033e-08, 5.72939e-31, 5.72939e-31, 5.72939e-31
0.43669, 0, 3.39389e-08, 3.04375e-30, 1.41421, -3.39389e-08, 0, 3.04375e-30, 3.04375e-30, 3.04375e-30, 3.04375e-30, 3.04375e-30, 3.04375e-30, 3.04375e-30, 3.04375e-30, 3.04375e-30, 3.04375e-30, 2.56171e-10, 3.04375e-30, 4.2253e-12, 9.81103e-12, 3.04375e-30, 3.36687e-08, 3.04375e-30, 3.04375e-30, 3.04375e-30
0.444557, 0, 4.95151e-08, 1.52582e-29, 1.41421, -4.95151e-08, 0, 1.52582e-29, 1.52582e-29, 1.52582e-29, 1.52582e-29, 1.52582e-29, 1.52582e-29, 1.52582e-29, 1.52582e-29, 1.52582e-29, 1.52582e-29, 3.75225e-10, 1.52582e-29, 6.94888e-12, 1.60521e-11, 1.52582e-29, 4.91169e-08, 1.52582e-29, 1.52582e-29, 1.52582e-29
0.452425, 0, 7.16961e-08, 7.23344e-29, 1.41421, -7.16961e-08, 0, 7.23344e-29, 7.23344e-29, 7.23344e-29, 7.23344e-29, 7.23344e-29, 7.23344e-29, 7.23344e-29, 7.23344e-29, 7.23344e-29, 7.23344e-29, 5.45821e-10, 7.23344e-29, 1.1417e-11, 2.6243e-11, 7.23344e-29, 7.11127e-08, 7.23344e-29, 7.23344e-29, 7.23344e-29
0.460292, 0, 1.0304e-07, 3.29227e-28, 1.41421, -1.0304e-07, 0, 3.29227e-28, 3.29227e-28, 3.29227e-28, 3.29227e-28, 3.29227e-28, 3.29227e-28, 3.29227e-28, 3.29227e-28, 3.29227e-28, 3.29227e-28, 7.8862e-10, 3.29227e-28, 1.87311e-11, 4.28598e-11, 3.29227e-28, 1.02189e-07, 3.29227e-28, 3.29227e-28, 3.29227e-28
0.468159, 0, 1.46994e-07, 1.43005e-27, 1.41421, -1.46994e-07, 0, 1.43005e-27, 1.43005e-27, 1.43005e-27, 1.43005e-27, 1.43005e-27, 1.43005e-27, 1.43005e-27, 1.43005e-27, 1.43005e-27, 1.43005e-27, 1.13191e-09, 1.43005e-27, 3.06707e-11, 6.99007e-11, 1.43005e-27, 1.45762e-07, 1.43005e-27, 1.43005e-27, 1.43005e-27
0.476026, 0, 2.08172e-07, 5.91814e-27, 1.41421, -2.08172e-07, 0, 5.91814e-27, 5.91814e-27, 5.91814e-27, 5.91814e-27, 5.91814e-27, 5.91814e-27, 5.91814e-27, 5.91814e-27, 5.91814e-27, 5.91814e-27, 1.61416e-09, 5.91814e-27, 5.00931e-11, 1.13787e-10, 5.91814e-27, 2.06394e-07, 5.91814e-27, 5.91814e-27, 5.91814e-27
0.483893, 0, 2.92689e-07, 2.33698e-26, 1.41421, -2.92689e-07, 0, 2.33698e-26, 2.33698e-26, 2.33698e-26, 2.33698e-26, 2.33698e-26, 2.33698e-26, 2.33698e-26, 2.33698e-26, 2.33698e-26, 2.33698e-26, 2.2874e-09, 2.33698e-26, 8.15575e-11, 1.84768e-10, 2.33698e-26, 2.90136e-07, 2.33698e-26, 2.33698e-26, 2.33698e-26
0.491761, 0, 4.08599e-07, 8.81956e-26, 1.41421, -4.08599e-07, 0, 8.81956e-26, 8.81956e-26, 8.81956e-26, 8.81956e-26, 8.81956e-26, 8.81956e-26, 8.81956e-26, 3.06651e-12, 8.81956e-26, 8.81956e-26, 3.22151e-09, 8.81956e-26, 1.32289e-10, 2.99086e-10, 8.81956e-26, 4.04944e-07, 8.81956e-26, 8.81956e-26, 8.81956e-26
0.499628, 0, 5.67782e-07, 4.69364e-25, 1.41421, -5.67782e-07, 0, 1.2164e-14, 6.84631e-14, 2.07049e-14, 2.78066e-10, 8.78669e-12, 2.27266e-12, 1.37574e-11, 6.88802e-11, 9.92686e-11, 8.41483e-10, 4.50993e-09, 1.28628e-12, 2.1371e-10, 4.82359e-10, 5.33738e-16, 5.6125e-07, 4.69364e-25, 4.69364e-25, 1.21061e-11
0.507495, 0, 7.84652e-07, 1.21994e-10, 1.41421, -7.84652e-07, 1.21994e-10, 1.22036e-10, 1.22233e-10, 1.22066e-10, 1.09496e-09, 1.52739e-10, 1.29946e-10, 1.70132e-10, 3.51114e-10, 4.6934e-10, 3.06639e-09, 6.39855e-09, 1.26495e-10, 4.6547e-10, 8.96233e-10, 1.21996e-10, 7.7263e-07, 1.21994e-10, 1.21994e-10, 1.64354e-10
0.515362, 0, 1.07959e-06, 4.25244e-10, 1.41421, -1.07959e-06, 4.25244e-10, 4.2536e-10, 4.25898e-10, 4.25441e-10, 3.0804e-09, 5.09145e-10, 4.46945e-10, 5.56609e-10, 1.04011e-09, 1.37313e-09, 8.46028e-09, 9.11024e-09, 4.37526e-10, 9.7436e-10, 1.66147e-09, 4.25249e-10, 1.0565e-06, 4.25244e-10, 4.25244e-10, 5.40841e-10
0.523229, 0, 1.48165e-06, 1.15581e-09, 1.41421, -1.48165e-06, 1.15581e-09, 1.1561e-09, 1.15744e-09, 1.1563e-09, 7.77102e-09, 1.36485e-09, 1.20988e-09, 1.4831e-09, 2.67413e-09, 3.51741e-09, 2.11747e-08, 1.31056e-08, 1.18641e-09, 2.02863e-09, 3.11797e-09, 1.15582e-09, 1.43544e-06, 1.15581e-09, 1.15581e-09, 1.44381e-09
0.531097, 0, 2.03371e-06, 2.87071e-09, 1.41421, -2.03371e-06, 2.87071e-09, 2.87139e-09, 2.87457e-09, 2.87188e-09, 1.8566e-08, 3.36667e-09, 2.99899e-09, 3.64724e-09, 6.45066e-09, 8.47386e-09, 5.03677e-08, 1.92214e-08, 2.94331e-09, 4.24953e-09, 5.96467e-09, 2.87074e-09, 1.93835e-06, 2.87071e-09, 2.87071e-09, 3.55403e-09
0.538964, 0, 2.80278e-06, 6.79389e-09, 1.41421, -2.80278e-06, 6.79389e-09, 6.79546e-09, 6.80275e-09, 6.79657e-09, 4.27821e-08, 7.93109e-09, 7.08802e-09, 8.57442e-09, 1.49588e-08, 1.96415e-08, 1.15701e-07, 2.90439e-08, 6.96036e-09, 8.95795e-09, 1.16377e-08, 6.79396e-09, 2.60266e-06, 6.79389e-09, 6.79389e-09, 8.3607e-09
0.546831, 0, 3.89962e-06, 1.55443e-08, 1.41421, -3.89962e-06, 1.55443e-08, 1.55478e-08, 1.5564e-08, 1.55502e-08, 9.57528e-08, 1.80788e-08, 1.61998e-08, 1.95126e-08, 3.42884e-08, 4.41784e-08, 2.58271e-07, 4.56584e-08, 1.59153e-08, 1.89179e-08, 2.3077e-08, 1.55444e-08, 3.47723e-06, 1.55443e-08, 1.55443e-08, 1.90363e-08
0.554698, 0, 5.51389e-06, 3.45768e-08, 1.41421, -5.51389e-06, 3.45768e-08, 3.45844e-08, 3.46197e-08, 3.45897e-08, 2.08761e-07, 4.00809e-08, 3.60004e-08, 4.31946e-08, 7.65393e-08, 9.67599e-08, 5.61692e-07, 7.51171e-08, 3.53825e-08, 3.97994e-08, 4.61905e-08, 3.45771e-08, 4.62707e-06, 3.45768e-08, 3.45768e-08, 4.21602e-08
0.562566, 0, 7.99416e-06, 7.4952e-08, 1.41421, -7.99416e-06, 7.4952e-08, 7.49682e-08, 7.50429e-08, 7.49795e-08, 4.43939e-07, 8.66117e-08, 7.79678e-08, 9.32078e-08, 1.79843e-07, 2.06679e-07, 1.19158e-06, 1.2924e-07, 7.66589e-08, 8.29794e-08, 9.27097e-08, 7.49527e-08, 6.14101e-06, 7.4952e-08, 7.4952e-08, 9.10165e-08
0.570433, 0, 1.19452e-05, 1.58496e-07, 1.41421, -1.19452e-05, 1.58496e-07, 1.58529e-07, 1.58684e-07, 1.58553e-07, 9.214e-07, 1.82603e-07, 1.64731e-07, 1.96241e-07, 3.98569e-07, 4.3085e-07, 2.46719e-06, 2.30814e-07, 1.62025e-07, 1.70746e-07, 1.85417e-07, 1.58497e-07, 8.14454e-06, 1.58496e-07, 1.58496e-07, 1.9171e-07
0.5783, 0, 1.84641e-05, 3.27137e-07, 1.41421, -1.84641e-05, 3.27137e-07, 3.27205e-07, 3.27517e-07, 3.27252e-07, 1.86719e-06, 3.75802e-07, 3.39724e-07, 4.03332e-07, 8.52094e-07, 8.76932e-07, 4.98765e-06, 4.22978e-07, 3.34261e-07, 3.45698e-07, 3.676e-07, 3.2714e-07, 1.08217e-05, 3.27137e-07, 3.27137e-07, 3.94187e-07
