   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_349.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.247417, 0, 1.28171e-12, 0, 1.41421, -1.28171e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26398e-15, 0, 1.40644e-17, 0, 8.03809e-17, 0, 1.27635e-12, 0, 0, 0
0.25528, 0, 2.21339e-12, 0, 1.41421, -2.21339e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09052e-15, 0, 2.48689e-17, 0, 1.4257e-16, 0, 2.20413e-12, 0, 0, 0
0.263144, 0, 3.79119e-12, 0, 1.41421, -3.79119e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5571e-14, 0, 4.36515e-17, 0, 2.51111e-16, 0, 3.77532e-12, 0, 0, 0
0.271007, 0, 6.4412e-12, 0, 1.41421, -6.4412e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64558e-14, 0, 7.60721e-17, 0, 4.39267e-16, 0, 6.41423e-12, 0, 0, 0
0.278871, 0, 1.08556e-11, 0, 1.41421, -1.08556e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.45888e-14, 0, 1.31651e-16, 0, 7.63284e-16, 0, 1.08101e-11, 0, 0, 0
0.286735, 0, 1.81491e-11, 0, 1.41421, -1.81491e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.45513e-14, 0, 2.26305e-16, 0, 1.3177e-15, 0, 1.8073e-11, 0, 0, 0
0.294598, 0, 3.01019e-11, 0, 1.41421, -3.01019e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2366e-13, 0, 3.86491e-16, 0, 2.26048e-15, 0, 2.99756e-11, 0, 0, 0
0.302462, 0, 4.95323e-11, 0, 1.41421, -4.95323e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03503e-13, 0, 6.55965e-16, 0, 3.85416e-15, 0, 4.93243e-11, 0, 0, 0
0.310326, 0, 8.08645e-11, 0, 1.41421, -8.08645e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32278e-13, 0, 1.10676e-15, 0, 6.53293e-15, 0, 8.05245e-11, 0, 0, 0
0.318189, 0, 1.30984e-10, 2.74654e-43, 1.41421, -1.30984e-10, 0, 2.74654e-43, 2.74654e-43, 2.74654e-43, 2.74654e-43, 2.74654e-43, 2.74654e-43, 2.74654e-43, 2.74654e-43, 2.74654e-43, 2.74654e-43, 5.38322e-13, 2.74654e-43, 1.857e-15, 2.74654e-43, 1.10114e-14, 2.74654e-43, 1.30433e-10, 2.74654e-43, 2.74654e-43, 2.74654e-43
0.326053, 0, 2.10518e-10, 4.68594e-42, 1.41421, -2.10518e-10, 0, 4.68594e-42, 4.68594e-42, 4.68594e-42, 4.68594e-42, 4.68594e-42, 4.68594e-42, 4.68594e-42, 4.68594e-42, 4.68594e-42, 4.68594e-42, 8.65398e-13, 4.68594e-42, 3.09972e-15, 4.68594e-42, 1.84612e-14, 4.68594e-42, 2.09631e-10, 4.68594e-42, 4.68594e-42, 4.68594e-42
0.333917, 0, 3.35728e-10, 6.65421e-41, 1.41421, -3.35728e-10, 0, 6.65421e-41, 6.65421e-41, 6.65421e-41, 6.65421e-41, 6.65421e-41, 6.65421e-41, 6.65421e-41, 6.65421e-41, 6.65421e-41, 6.65421e-41, 1.38053e-12, 6.65421e-41, 5.14955e-15, 6.65421e-41, 3.07961e-14, 6.65421e-41, 3.34312e-10, 6.65421e-41, 6.65421e-41, 6.65421e-41
0.34178, 0, 5.3129e-10, 8.3671e-40, 1.41421, -5.3129e-10, 0, 8.3671e-40, 8.3671e-40, 8.3671e-40, 8.3671e-40, 8.3671e-40, 8.3671e-40, 8.3671e-40, 8.3671e-40, 8.3671e-40, 8.3671e-40, 2.18551e-12, 8.3671e-40, 8.51826e-15, 8.3671e-40, 5.11323e-14, 8.3671e-40, 5.29045e-10, 8.3671e-40, 8.3671e-40, 8.3671e-40
0.349644, 0, 8.34332e-10, 9.4363e-39, 1.41421, -8.34332e-10, 0, 9.4363e-39, 9.4363e-39, 9.4363e-39, 9.4363e-39, 9.4363e-39, 9.4363e-39, 9.4363e-39, 9.4363e-39, 9.4363e-39, 9.4363e-39, 3.43371e-12, 9.4363e-39, 1.40372e-14, 9.4363e-39, 8.45317e-14, 9.4363e-39, 8.30799e-10, 9.4363e-39, 9.4363e-39, 9.4363e-39
0.357508, 0, 1.30025e-09, 9.61802e-38, 1.41421, -1.30025e-09, 0, 9.61802e-38, 9.61802e-38, 9.61802e-38, 9.61802e-38, 9.61802e-38, 9.61802e-38, 9.61802e-38, 9.61802e-38, 9.61802e-38, 9.61802e-38, 5.35433e-12, 9.61802e-38, 2.3056e-14, 9.61802e-38, 1.392e-13, 9.61802e-38, 1.29473e-09, 9.61802e-38, 9.61802e-38, 9.61802e-38
0.365371, 0, 2.01101e-09, 8.90838e-37, 1.41421, -2.01101e-09, 0, 8.90838e-37, 8.90838e-37, 8.90838e-37, 8.90838e-37, 8.90838e-37, 8.90838e-37, 8.90838e-37, 8.90838e-37, 8.90838e-37, 8.90838e-37, 8.28713e-12, 8.90838e-37, 3.77647e-14, 8.90838e-37, 2.28418e-13, 8.90838e-37, 2.00246e-09, 8.90838e-37, 8.90838e-37, 8.90838e-37
0.373235, 0, 3.08688e-09, 7.53957e-36, 1.41421, -3.08688e-09, 0, 7.53957e-36, 7.53957e-36, 7.53957e-36, 7.53957e-36, 7.53957e-36, 7.53957e-36, 7.53957e-36, 7.53957e-36, 7.53957e-36, 7.53957e-36, 1.27318e-11, 7.53957e-36, 6.17177e-14, 7.53957e-36, 3.7366e-13, 7.53957e-36, 3.07372e-09, 7.53957e-36, 7.53957e-36, 7.53957e-36
0.381099, 0, 4.70287e-09, 5.8586e-35, 1.41421, -4.70287e-09, 0, 5.8586e-35, 5.8586e-35, 5.8586e-35, 5.8586e-35, 5.8586e-35, 5.8586e-35, 5.8586e-35, 5.8586e-35, 5.8586e-35, 5.8586e-35, 1.94176e-11, 5.8586e-35, 1.00686e-13, 5.8586e-35, 6.09622e-13, 5.8586e-35, 4.68274e-09, 5.8586e-35, 5.8586e-35, 5.8586e-35
0.388962, 0, 7.11155e-09, 4.1985e-34, 1.41421, -7.11155e-09, 0, 4.1985e-34, 4.1985e-34, 4.1985e-34, 4.1985e-34, 4.1985e-34, 4.1985e-34, 4.1985e-34, 4.1985e-34, 4.1985e-34, 4.1985e-34, 2.94006e-11, 4.1985e-34, 1.64045e-13, 4.1985e-34, 9.92333e-13, 4.1985e-34, 7.08099e-09, 4.1985e-34, 4.1985e-34, 4.1985e-34
0.396826, 0, 1.06744e-08, 2.88018e-33, 1.41421, -1.06744e-08, 0, 2.88018e-33, 2.88018e-33, 2.88018e-33, 2.88018e-33, 2.88018e-33, 2.88018e-33, 2.88018e-33, 2.88018e-33, 2.88018e-33, 2.88018e-33, 4.41983e-11, 2.88018e-33, 2.67022e-13, 2.88018e-33, 1.61223e-12, 2.88018e-33, 1.06283e-08, 2.88018e-33, 2.88018e-33, 2.88018e-33
0.40469, 0, 1.59046e-08, 1.79382e-32, 1.41421, -1.59046e-08, 0, 1.79382e-32, 1.79382e-32, 1.79382e-32, 1.79382e-32, 1.79382e-32, 1.79382e-32, 1.79382e-32, 1.79382e-32, 1.79382e-32, 1.79382e-32, 6.59761e-11, 1.79382e-32, 4.34361e-13, 1.79382e-32, 2.61524e-12, 1.79382e-32, 1.58356e-08, 1.79382e-32, 1.79382e-32, 1.79382e-32
0.412553, 0, 2.35248e-08, 1.09336e-31, 1.41421, -2.35248e-08, 0, 1.09336e-31, 1.09336e-31, 1.09336e-31, 1.09336e-31, 1.09336e-31, 1.09336e-31, 1.09336e-31, 1.09336e-31, 1.09336e-31, 1.09336e-31, 9.78007e-11, 1.09336e-31, 7.06241e-13, 1.09336e-31, 4.23666e-12, 1.09336e-31, 2.34221e-08, 1.09336e-31, 1.09336e-31, 1.09336e-31
0.420417, 0, 3.45443e-08, 6.05518e-31, 1.41421, -3.45443e-08, 0, 6.05518e-31, 6.05518e-31, 6.05518e-31, 6.05518e-31, 6.05518e-31, 6.05518e-31, 6.05518e-31, 6.05518e-31, 6.05518e-31, 6.05518e-31, 1.43985e-10, 6.05518e-31, 1.14783e-12, 6.05518e-31, 6.8554e-12, 6.05518e-31, 3.43923e-08, 6.05518e-31, 6.05518e-31, 6.05518e-31
0.428281, 0, 5.03616e-08, 3.21834e-30, 1.41421, -5.03616e-08, 0, 3.21834e-30, 3.21834e-30, 3.21834e-30, 3.21834e-30, 3.21834e-30, 3.21834e-30, 3.21834e-30, 3.21834e-30, 3.21834e-30, 3.21834e-30, 2.10552e-10, 3.21834e-30, 1.86466e-12, 3.21834e-30, 1.10808e-11, 3.21834e-30, 5.01381e-08, 3.21834e-30, 3.21834e-30, 3.21834e-30
0.436144, 0, 7.28992e-08, 1.6192e-29, 1.41421, -7.28992e-08, 0, 1.6192e-29, 1.6192e-29, 1.6192e-29, 1.6192e-29, 1.6192e-29, 1.6192e-29, 1.6192e-29, 1.6192e-29, 1.6192e-29, 1.6192e-29, 3.0586e-10, 1.6192e-29, 3.02719e-12, 1.6192e-29, 1.78906e-11, 1.6192e-29, 7.25724e-08, 1.6192e-29, 1.6192e-29, 1.6192e-29
0.444008, 0, 1.0478e-07, 1.48727e-28, 1.41421, -1.0478e-07, 0, 1.48727e-28, 1.48727e-28, 1.48727e-28, 1.48727e-28, 1.48727e-28, 1.48727e-28, 1.48727e-28, 1.48727e-28, 1.48727e-28, 1.48727e-28, 4.4144e-10, 1.48727e-28, 4.91405e-12, 1.48727e-28, 2.8867e-11, 1.48727e-28, 1.04305e-07, 1.48727e-28, 1.48727e-28, 1.48727e-28
0.451872, 0, 1.49549e-07, 6.473e-28, 1.41421, -1.49549e-07, 0, 6.473e-28, 6.473e-28, 6.473e-28, 6.473e-28, 6.473e-28, 6.473e-28, 6.473e-28, 6.473e-28, 6.473e-28, 6.473e-28, 6.33052e-10, 6.473e-28, 7.95889e-12, 6.473e-28, 4.64713e-11, 6.473e-28, 1.48862e-07, 6.473e-28, 6.473e-28, 6.473e-28
0.459735, 0, 2.11971e-07, 2.683e-27, 1.41421, -2.11971e-07, 0, 2.683e-27, 2.683e-27, 2.683e-27, 2.683e-27, 2.683e-27, 2.683e-27, 2.683e-27, 2.683e-27, 2.683e-27, 2.683e-27, 9.02186e-10, 2.683e-27, 1.28675e-11, 2.683e-27, 7.467e-11, 2.683e-27, 2.10981e-07, 2.683e-27, 2.683e-27, 2.683e-27
0.467599, 0, 2.98391e-07, 1.06053e-26, 1.41421, -2.98391e-07, 0, 1.06053e-26, 1.06053e-26, 1.06053e-26, 1.06053e-26, 1.06053e-26, 1.06053e-26, 1.06053e-26, 1.06053e-26, 1.06053e-26, 1.06053e-26, 1.27792e-09, 1.06053e-26, 2.07562e-11, 1.06053e-26, 1.19699e-10, 1.06053e-26, 2.96973e-07, 1.06053e-26, 1.06053e-26, 1.06053e-26
0.475463, 0, 4.17205e-07, 4.00507e-26, 1.41421, -4.17205e-07, 0, 4.00507e-26, 4.00507e-26, 4.00507e-26, 4.00507e-26, 4.00507e-26, 4.00507e-26, 4.00507e-26, 2.51377e-12, 4.00507e-26, 4.00507e-26, 1.79935e-09, 4.00507e-26, 3.33874e-11, 4.00507e-26, 1.91333e-10, 4.00507e-26, 4.15178e-07, 4.00507e-26, 4.00507e-26, 4.00507e-26
0.483326, 0, 5.79425e-07, 1.44798e-25, 1.41421, -5.79425e-07, 0, 1.44798e-25, 1.44798e-25, 1.44798e-25, 1.44798e-25, 1.44798e-25, 1.44798e-25, 1.44798e-25, 8.61504e-12, 1.44798e-25, 1.44798e-25, 2.51882e-09, 1.44798e-25, 5.35257e-11, 1.44798e-25, 3.04789e-10, 1.44798e-25, 5.76539e-07, 1.44798e-25, 1.44798e-25, 1.44798e-25
0.49119, 0, 7.99402e-07, 5.06393e-25, 1.41421, -7.99402e-07, 0, 5.06393e-25, 5.06393e-25, 5.06393e-25, 5.06393e-25, 5.06393e-25, 5.06393e-25, 5.06393e-25, 2.29708e-11, 5.06393e-25, 5.06393e-25, 3.50592e-09, 5.06393e-25, 8.54788e-11, 5.06393e-25, 4.83571e-10, 5.06393e-25, 7.95304e-07, 5.06393e-25, 5.06393e-25, 5.06393e-25
0.499054, 0, 1.09774e-06, 2.86984e-10, 1.41421, -1.09774e-06, 2.86984e-10, 2.87e-10, 2.8702e-10, 2.87007e-10, 5.32026e-10, 2.90781e-10, 2.87665e-10, 2.99406e-10, 4.59959e-10, 4.16906e-10, 1.40964e-09, 5.13976e-09, 2.88372e-10, 4.22893e-10, 2.87033e-10, 1.05065e-09, 2.86986e-10, 1.09028e-06, 2.86984e-10, 2.86984e-10, 3.04618e-10
