   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_164.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.340781, 0, 9.02888e-11, 5.34053e-40, 1.41421, -9.02888e-11, 0, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 3.76579e-12, 5.34053e-40, 5.34053e-40, 5.34053e-40, 1.40094e-13, 5.34053e-40, 8.63829e-11, 5.34053e-40, 5.34053e-40, 5.34053e-40
0.348653, 0, 1.43284e-10, 6.09898e-39, 1.41421, -1.43284e-10, 0, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 5.97803e-12, 6.09898e-39, 6.09898e-39, 6.09898e-39, 2.33532e-13, 6.09898e-39, 1.37073e-10, 6.09898e-39, 6.09898e-39, 6.09898e-39
0.356524, 0, 2.25602e-10, 6.29237e-38, 1.41421, -2.25602e-10, 0, 6.29237e-38, 6.29237e-38, 6.29237e-38, 6.29237e-38, 6.29237e-38, 6.29237e-38, 6.29237e-38, 6.29237e-38, 6.29237e-38, 6.29237e-38, 9.41628e-12, 6.29237e-38, 6.29237e-38, 6.29237e-38, 3.87631e-13, 6.29237e-38, 2.15798e-10, 6.29237e-38, 6.29237e-38, 6.29237e-38
0.364396, 0, 3.52445e-10, 5.89582e-37, 1.41421, -3.52445e-10, 0, 5.89582e-37, 5.89582e-37, 5.89582e-37, 5.89582e-37, 5.89582e-37, 5.89582e-37, 5.89582e-37, 5.89582e-37, 5.89582e-37, 5.89582e-37, 1.4718e-11, 5.89582e-37, 5.89582e-37, 5.89582e-37, 6.40945e-13, 5.89582e-37, 3.37086e-10, 5.89582e-37, 5.89582e-37, 5.89582e-37
0.372267, 0, 5.4634e-10, 5.04784e-36, 1.41421, -5.4634e-10, 0, 5.04784e-36, 5.04784e-36, 5.04784e-36, 5.04784e-36, 5.04784e-36, 5.04784e-36, 5.04784e-36, 5.04784e-36, 5.04784e-36, 5.04784e-36, 2.28295e-11, 5.04784e-36, 5.04784e-36, 5.04784e-36, 1.0562e-12, 5.04784e-36, 5.22454e-10, 5.04784e-36, 5.04784e-36, 5.04784e-36
0.380138, 0, 8.40386e-10, 3.96634e-35, 1.41421, -8.40386e-10, 0, 3.96634e-35, 3.96634e-35, 3.96634e-35, 3.96634e-35, 3.96634e-35, 3.96634e-35, 3.96634e-35, 3.96634e-35, 3.96634e-35, 3.96634e-35, 3.51442e-11, 3.96634e-35, 3.96634e-35, 3.96634e-35, 1.73535e-12, 3.96634e-35, 8.03507e-10, 3.96634e-35, 3.96634e-35, 3.96634e-35
0.38801, 0, 1.28281e-09, 2.87309e-34, 1.41421, -1.28281e-09, 0, 2.87309e-34, 2.87309e-34, 2.87309e-34, 2.87309e-34, 2.87309e-34, 2.87309e-34, 2.87309e-34, 2.87309e-34, 2.87309e-34, 2.87309e-34, 5.36977e-11, 2.87309e-34, 2.87309e-34, 2.87309e-34, 2.84408e-12, 2.87309e-34, 1.22627e-09, 2.87309e-34, 2.87309e-34, 2.87309e-34
0.395881, 0, 1.94329e-09, 1.96889e-33, 1.41421, -1.94329e-09, 0, 1.96889e-33, 1.96889e-33, 1.96889e-33, 1.96889e-33, 1.96889e-33, 1.96889e-33, 1.96889e-33, 1.96889e-33, 1.96889e-33, 1.96889e-33, 8.14403e-11, 1.96889e-33, 1.96889e-33, 1.96889e-33, 4.65147e-12, 1.96889e-33, 1.8572e-09, 1.96889e-33, 1.96889e-33, 1.96889e-33
0.403753, 0, 2.92166e-09, 1.13553e-32, 1.41421, -2.92166e-09, 0, 1.13553e-32, 1.13553e-32, 1.13553e-32, 1.13553e-32, 1.13553e-32, 1.13553e-32, 1.13553e-32, 1.13553e-32, 1.13553e-32, 1.13553e-32, 1.22615e-10, 1.13553e-32, 1.13553e-32, 1.13553e-32, 7.59452e-12, 1.13553e-32, 2.79145e-09, 1.13553e-32, 1.13553e-32, 1.13553e-32
0.411624, 0, 4.35978e-09, 6.67675e-32, 1.41421, -4.35978e-09, 0, 6.67675e-32, 6.67675e-32, 6.67675e-32, 6.67675e-32, 6.67675e-32, 6.67675e-32, 6.67675e-32, 6.67675e-32, 6.67675e-32, 6.67675e-32, 1.83279e-10, 6.67675e-32, 6.67675e-32, 6.67675e-32, 1.23825e-11, 6.67675e-32, 4.16412e-09, 6.67675e-32, 6.67675e-32, 6.67675e-32
