   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_243.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.437784, 0, 1.37244e-08, 9.15863e-33, 1.41421, -1.37244e-08, 0, 9.15863e-33, 9.15863e-33, 9.15863e-33, 9.15863e-33, 9.15863e-33, 9.15863e-33, 9.15863e-33, 9.15863e-33, 5.92912e-11, 9.15863e-33, 9.15863e-33, 2.05904e-13, 9.15863e-33, 9.15863e-33, 1.36649e-08, 9.15863e-33, 9.15863e-33, 9.15863e-33
0.44566, 0, 2.1846e-08, 4.96348e-32, 1.41421, -2.1846e-08, 0, 4.96348e-32, 4.96348e-32, 4.96348e-32, 4.96348e-32, 4.96348e-32, 4.96348e-32, 4.96348e-32, 4.96348e-32, 9.45493e-11, 4.96348e-32, 4.96348e-32, 3.60064e-13, 4.96348e-32, 4.96348e-32, 2.17511e-08, 4.96348e-32, 4.96348e-32, 4.96348e-32
0.453536, 0, 3.44262e-08, 2.54195e-31, 1.41421, -3.44262e-08, 0, 2.54195e-31, 2.54195e-31, 2.54195e-31, 2.54195e-31, 2.54195e-31, 2.54195e-31, 2.54195e-31, 2.54195e-31, 1.49328e-10, 2.54195e-31, 2.54195e-31, 6.29235e-13, 2.54195e-31, 2.54195e-31, 3.42762e-08, 2.54195e-31, 2.54195e-31, 2.54195e-31
0.461412, 0, 5.3715e-08, 2.49228e-30, 1.41421, -5.3715e-08, 0, 2.49228e-30, 2.49228e-30, 2.49228e-30, 2.49228e-30, 2.49228e-30, 2.49228e-30, 2.49228e-30, 2.49228e-30, 2.3363e-10, 2.49228e-30, 2.49228e-30, 1.10029e-12, 2.49228e-30, 2.49228e-30, 5.34803e-08, 2.49228e-30, 2.49228e-30, 2.49228e-30
0.469288, 0, 8.29877e-08, 1.21825e-29, 1.41421, -8.29877e-08, 0, 1.21825e-29, 1.21825e-29, 1.21825e-29, 1.21825e-29, 1.21825e-29, 1.21825e-29, 1.21825e-29, 1.21825e-29, 3.6213e-10, 1.21825e-29, 1.21825e-29, 1.92037e-12, 1.21825e-29, 1.21825e-29, 8.26236e-08, 1.21825e-29, 1.21825e-29, 1.21825e-29
0.477164, 0, 1.26971e-07, 5.71561e-29, 1.41421, -1.26971e-07, 0, 5.71561e-29, 5.71561e-29, 5.71561e-29, 5.71561e-29, 5.71561e-29, 5.71561e-29, 5.71561e-29, 5.71561e-29, 5.5623e-10, 5.71561e-29, 5.71561e-29, 3.3484e-12, 5.71561e-29, 5.71561e-29, 1.26411e-07, 5.71561e-29, 5.71561e-29, 5.71561e-29
0.48504, 0, 1.92405e-07, 2.60234e-28, 1.41421, -1.92405e-07, 0, 2.60234e-28, 2.60234e-28, 2.60234e-28, 2.60234e-28, 2.60234e-28, 2.60234e-28, 2.60234e-28, 2.60234e-28, 8.46813e-10, 2.60234e-28, 2.60234e-28, 5.8295e-12, 2.60234e-28, 2.60234e-28, 1.91552e-07, 2.60234e-28, 2.60234e-28, 2.60234e-28
0.492916, 0, 2.88803e-07, 1.13887e-27, 1.41421, -2.88803e-07, 0, 1.13887e-27, 1.13887e-27, 1.13887e-27, 1.13887e-27, 1.13887e-27, 1.13887e-27, 1.13887e-27, 1.13887e-27, 1.27807e-09, 1.13887e-27, 1.13887e-27, 1.01268e-11, 1.13887e-27, 1.13887e-27, 2.87514e-07, 1.13887e-27, 1.13887e-27, 1.13887e-27
0.500792, 0, 4.2945e-07, 4.76989e-27, 1.41421, -4.2945e-07, 0, 4.76989e-27, 4.76989e-27, 4.76989e-27, 4.76989e-27, 4.76989e-27, 4.76989e-27, 4.76989e-27, 4.76989e-27, 1.91273e-09, 4.76989e-27, 4.76989e-27, 1.75395e-11, 4.76989e-27, 4.76989e-27, 4.2752e-07, 4.76989e-27, 4.76989e-27, 4.76989e-27
0.508668, 0, 6.32713e-07, 1.91208e-26, 1.41421, -6.32713e-07, 0, 1.91208e-26, 1.91208e-26, 1.91208e-26, 1.91208e-26, 1.91208e-26, 1.91208e-26, 1.91208e-26, 1.91208e-26, 2.83909e-09, 1.91208e-26, 1.91208e-26, 3.0263e-11, 1.91208e-26, 1.91208e-26, 6.29843e-07, 1.91208e-26, 1.91208e-26, 1.91208e-26
0.516544, 0, 9.23719e-07, 7.34147e-26, 1.41421, -9.23719e-07, 0, 7.34147e-26, 7.34147e-26, 7.34147e-26, 7.34147e-26, 7.34147e-26, 3.31172e-12, 7.34147e-26, 7.34147e-26, 4.18049e-09, 7.34147e-26, 7.34147e-26, 5.19748e-11, 7.34147e-26, 7.34147e-26, 9.19483e-07, 7.34147e-26, 7.34147e-26, 7.34147e-26
0.524419, 0, 1.33649e-06, 2.70401e-25, 1.41421, -1.33649e-06, 0, 2.70401e-25, 2.70401e-25, 2.70401e-25, 2.70401e-25, 2.70401e-25, 1.25612e-11, 2.70401e-25, 2.70401e-25, 6.10785e-09, 2.70401e-25, 2.70401e-25, 8.87788e-11, 2.70401e-25, 2.70401e-25, 1.33028e-06, 2.70401e-25, 2.70401e-25, 2.70401e-25
0.532295, 0, 1.918e-06, 9.65688e-25, 1.41421, -1.918e-06, 0, 2.1281e-14, 4.653e-14, 6.25205e-10, 1.90249e-11, 6.18651e-11, 1.93203e-10, 3.20167e-11, 1.95611e-10, 8.85648e-09, 5.84911e-13, 2.38761e-12, 1.50712e-10, 9.65688e-25, 1.59744e-15, 1.90785e-06, 9.65688e-25, 9.65688e-25, 1.52044e-11
0.540171, 0, 2.73002e-06, 1.64738e-10, 1.41421, -2.73002e-06, 1.64738e-10, 1.64819e-10, 1.64914e-10, 2.52201e-09, 2.3647e-10, 3.97994e-10, 8.53644e-10, 2.85454e-10, 9.0227e-10, 1.29121e-08, 1.66944e-10, 1.73741e-10, 4.18871e-10, 1.64738e-10, 1.64744e-10, 2.71274e-06, 1.64738e-10, 1.64738e-10, 2.22065e-10
0.548047, 0, 3.85611e-06, 6.17839e-10, 1.41421, -3.85611e-06, 6.17839e-10, 6.18076e-10, 6.18357e-10, 7.57886e-09, 8.29662e-10, 1.30664e-09, 2.61378e-09, 9.74312e-10, 2.79577e-09, 1.88333e-08, 6.24352e-10, 6.44423e-10, 1.04322e-09, 6.17839e-10, 6.17857e-10, 3.82487e-06, 6.17839e-10, 6.17839e-10, 7.87125e-10
