   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.278966, 0, 8.8212e-12, 0, 1.41421, -8.8212e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09353e-14, 0, 0, 2.82155e-16, 0, 8.78999e-12, 0, 0, 0
0.286838, 0, 1.50107e-11, 0, 1.41421, -1.50107e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26446e-14, 0, 0, 4.91895e-16, 0, 1.49575e-11, 0, 0, 0
0.294709, 0, 2.53261e-11, 0, 1.41421, -2.53261e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88297e-14, 0, 0, 8.5145e-16, 0, 2.52365e-11, 0, 0, 0
0.302581, 0, 4.23699e-11, 0, 1.41421, -4.23699e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48626e-13, 0, 0, 1.46374e-15, 0, 4.22198e-11, 0, 0, 0
0.310453, 0, 7.02893e-11, 0, 1.41421, -7.02893e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46597e-13, 0, 0, 2.49984e-15, 0, 7.00402e-11, 0, 0, 0
0.318325, 0, 1.15634e-10, 0, 1.41421, -1.15634e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05756e-13, 0, 0, 4.24274e-15, 0, 1.15224e-10, 0, 0, 0
0.326197, 0, 1.88655e-10, 5.0727e-43, 1.41421, -1.88655e-10, 0, 5.0727e-43, 5.0727e-43, 5.0727e-43, 5.0727e-43, 5.0727e-43, 5.0727e-43, 5.0727e-43, 5.0727e-43, 5.0727e-43, 5.0727e-43, 6.62142e-13, 5.0727e-43, 5.0727e-43, 7.15862e-15, 5.0727e-43, 1.87986e-10, 5.0727e-43, 5.0727e-43, 5.0727e-43
0.334069, 0, 3.05252e-10, 8.70767e-42, 1.41421, -3.05252e-10, 0, 8.70767e-42, 8.70767e-42, 8.70767e-42, 8.70767e-42, 8.70767e-42, 8.70767e-42, 8.70767e-42, 8.70767e-42, 8.70767e-42, 8.70767e-42, 1.0717e-12, 8.70767e-42, 8.70767e-42, 1.20126e-14, 8.70767e-42, 3.04168e-10, 8.70767e-42, 8.70767e-42, 8.70767e-42
0.34194, 0, 4.89867e-10, 1.23495e-40, 1.41421, -4.89867e-10, 0, 1.23495e-40, 1.23495e-40, 1.23495e-40, 1.23495e-40, 1.23495e-40, 1.23495e-40, 1.23495e-40, 1.23495e-40, 1.23495e-40, 1.23495e-40, 1.72051e-12, 1.23495e-40, 1.23495e-40, 2.00573e-14, 1.23495e-40, 4.88126e-10, 1.23495e-40, 1.23495e-40, 1.23495e-40
0.349812, 0, 7.79732e-10, 1.55288e-39, 1.41421, -7.79732e-10, 0, 1.55288e-39, 1.55288e-39, 1.55288e-39, 1.55288e-39, 1.55288e-39, 1.55288e-39, 1.55288e-39, 1.55288e-39, 1.55288e-39, 1.55288e-39, 2.73987e-12, 1.55288e-39, 1.55288e-39, 3.33386e-14, 1.55288e-39, 7.76959e-10, 1.55288e-39, 1.55288e-39, 1.55288e-39
0.357684, 0, 1.23107e-09, 1.7488e-38, 1.41421, -1.23107e-09, 0, 1.7488e-38, 1.7488e-38, 1.7488e-38, 1.7488e-38, 1.7488e-38, 1.7488e-38, 1.7488e-38, 1.7488e-38, 1.7488e-38, 1.7488e-38, 4.32838e-12, 1.7488e-38, 1.7488e-38, 5.51944e-14, 1.7488e-38, 1.22669e-09, 1.7488e-38, 1.7488e-38, 1.7488e-38
0.365556, 0, 1.92803e-09, 1.78108e-37, 1.41421, -1.92803e-09, 0, 1.78108e-37, 1.78108e-37, 1.78108e-37, 1.78108e-37, 1.78108e-37, 1.78108e-37, 1.78108e-37, 1.78108e-37, 1.78108e-37, 1.78108e-37, 6.78377e-12, 1.78108e-37, 1.78108e-37, 9.10661e-14, 1.78108e-37, 1.92116e-09, 1.78108e-37, 1.78108e-37, 1.78108e-37
0.373428, 0, 2.99542e-09, 1.64911e-36, 1.41421, -2.99542e-09, 0, 1.64911e-36, 1.64911e-36, 1.64911e-36, 1.64911e-36, 1.64911e-36, 1.64911e-36, 1.64911e-36, 1.64911e-36, 1.64911e-36, 1.64911e-36, 1.05488e-11, 1.64911e-36, 1.64911e-36, 1.49825e-13, 1.64911e-36, 2.98472e-09, 1.64911e-36, 1.64911e-36, 1.64911e-36
0.381299, 0, 4.61676e-09, 1.39672e-35, 1.41421, -4.61676e-09, 0, 1.39672e-35, 1.39672e-35, 1.39672e-35, 1.39672e-35, 1.39672e-35, 1.39672e-35, 1.39672e-35, 1.39672e-35, 1.39672e-35, 1.39672e-35, 1.62763e-11, 1.39672e-35, 1.39672e-35, 2.45938e-13, 1.39672e-35, 4.60024e-09, 1.39672e-35, 1.39672e-35, 1.39672e-35
0.389171, 0, 7.05952e-09, 1.08638e-34, 1.41421, -7.05952e-09, 0, 1.08638e-34, 1.08638e-34, 1.08638e-34, 1.08638e-34, 1.08638e-34, 1.08638e-34, 1.08638e-34, 1.08638e-34, 1.08638e-34, 1.08638e-34, 2.49212e-11, 1.08638e-34, 1.08638e-34, 4.03009e-13, 1.08638e-34, 7.0342e-09, 1.08638e-34, 1.08638e-34, 1.08638e-34
0.397043, 0, 1.07107e-08, 2.19661e-33, 1.41421, -1.07107e-08, 0, 2.19661e-33, 2.19661e-33, 2.19661e-33, 2.19661e-33, 2.19661e-33, 2.19661e-33, 2.19661e-33, 2.19661e-33, 2.19661e-33, 2.19661e-33, 3.78714e-11, 2.19661e-33, 2.19661e-33, 6.60539e-13, 2.19661e-33, 1.06722e-08, 2.19661e-33, 2.19661e-33, 2.19661e-33
0.404915, 0, 1.61229e-08, 1.30812e-32, 1.41421, -1.61229e-08, 0, 1.30812e-32, 1.30812e-32, 1.30812e-32, 1.30812e-32, 1.30812e-32, 1.30812e-32, 1.30812e-32, 1.30812e-32, 1.30812e-32, 1.30812e-32, 5.71172e-11, 1.30812e-32, 1.30812e-32, 1.08014e-12, 1.30812e-32, 1.60647e-08, 1.30812e-32, 1.30812e-32, 1.30812e-32
0.412787, 0, 2.40828e-08, 7.78909e-32, 1.41421, -2.40828e-08, 0, 7.78909e-32, 7.78909e-32, 7.78909e-32, 7.78909e-32, 7.78909e-32, 7.78909e-32, 7.78909e-32, 7.78909e-32, 7.78909e-32, 7.78909e-32, 8.551e-11, 7.78909e-32, 7.78909e-32, 1.76539e-12, 7.78909e-32, 2.39955e-08, 7.78909e-32, 7.78909e-32, 7.78909e-32
0.420658, 0, 3.56969e-08, 4.16581e-31, 1.41421, -3.56969e-08, 0, 4.16581e-31, 4.16581e-31, 4.16581e-31, 4.16581e-31, 4.16581e-31, 4.16581e-31, 4.16581e-31, 4.16581e-31, 4.16581e-31, 4.16581e-31, 1.2709e-10, 4.16581e-31, 4.16581e-31, 2.88449e-12, 4.16581e-31, 3.55669e-08, 4.16581e-31, 4.16581e-31, 4.16581e-31
0.42853, 0, 5.25105e-08, 2.16857e-30, 1.41421, -5.25105e-08, 0, 2.16857e-30, 2.16857e-30, 2.16857e-30, 2.16857e-30, 2.16857e-30, 2.16857e-30, 2.16857e-30, 2.16857e-30, 2.16857e-30, 2.16857e-30, 1.87545e-10, 2.16857e-30, 2.16857e-30, 4.7119e-12, 2.16857e-30, 5.23183e-08, 2.16857e-30, 2.16857e-30, 2.16857e-30
0.436402, 0, 7.66626e-08, 1.07594e-29, 1.41421, -7.66626e-08, 0, 1.07594e-29, 1.07594e-29, 1.07594e-29, 1.07594e-29, 1.07594e-29, 1.07594e-29, 1.07594e-29, 1.07594e-29, 1.07594e-29, 1.07594e-29, 2.74826e-10, 1.07594e-29, 1.07594e-29, 7.69465e-12, 1.07594e-29, 7.63801e-08, 1.07594e-29, 1.07594e-29, 1.07594e-29
0.444274, 0, 1.11089e-07, 5.07127e-29, 1.41421, -1.11089e-07, 0, 5.07127e-29, 5.07127e-29, 5.07127e-29, 5.07127e-29, 5.07127e-29, 5.07127e-29, 5.07127e-29, 5.07127e-29, 5.07127e-29, 5.07127e-29, 3.99968e-10, 5.07127e-29, 5.07127e-29, 1.25591e-11, 5.07127e-29, 1.10677e-07, 5.07127e-29, 5.07127e-29, 5.07127e-29
0.452146, 0, 1.59789e-07, 2.30532e-28, 1.41421, -1.59789e-07, 0, 2.30532e-28, 2.30532e-28, 2.30532e-28, 2.30532e-28, 2.30532e-28, 2.30532e-28, 2.30532e-28, 2.30532e-28, 2.30532e-28, 2.30532e-28, 5.78194e-10, 2.30532e-28, 2.30532e-28, 2.04815e-11, 2.30532e-28, 1.59191e-07, 2.30532e-28, 2.30532e-28, 2.30532e-28
0.460018, 0, 2.28161e-07, 1.00236e-27, 1.41421, -2.28161e-07, 0, 1.00236e-27, 1.00236e-27, 1.00236e-27, 1.00236e-27, 1.00236e-27, 1.00236e-27, 1.00236e-27, 1.00236e-27, 1.00236e-27, 1.00236e-27, 8.3036e-10, 1.00236e-27, 1.00236e-27, 3.33591e-11, 1.00236e-27, 2.27297e-07, 1.00236e-27, 1.00236e-27, 1.00236e-27
0.467889, 0, 3.23437e-07, 4.15686e-27, 1.41421, -3.23437e-07, 0, 4.15686e-27, 4.15686e-27, 4.15686e-27, 4.15686e-27, 4.15686e-27, 4.15686e-27, 4.15686e-27, 4.15686e-27, 4.15686e-27, 4.15686e-27, 1.18487e-09, 4.15686e-27, 4.15686e-27, 5.42373e-11, 4.15686e-27, 3.22198e-07, 4.15686e-27, 4.15686e-27, 4.15686e-27
0.475761, 0, 4.55228e-07, 1.64572e-26, 1.41421, -4.55228e-07, 0, 1.64572e-26, 1.64572e-26, 1.64572e-26, 1.64572e-26, 1.64572e-26, 1.64572e-26, 1.64572e-26, 1.64572e-26, 1.64572e-26, 1.64572e-26, 1.68015e-09, 1.64572e-26, 1.64572e-26, 8.79774e-11, 1.64572e-26, 4.5346e-07, 1.64572e-26, 1.64572e-26, 1.64572e-26
0.483633, 0, 6.36208e-07, 6.2286e-26, 1.41421, -6.36208e-07, 0, 6.2286e-26, 6.2286e-26, 6.2286e-26, 6.2286e-26, 6.2286e-26, 6.2286e-26, 6.2286e-26, 4.77383e-12, 6.2286e-26, 6.2286e-26, 2.36792e-09, 6.2286e-26, 6.2286e-26, 1.42292e-10, 6.2286e-26, 6.33693e-07, 6.2286e-26, 6.2286e-26, 6.2286e-26
0.491505, 0, 8.82951e-07, 2.25763e-25, 1.41421, -8.82951e-07, 0, 2.25763e-25, 2.25763e-25, 2.25763e-25, 2.25763e-25, 2.25763e-25, 2.25763e-25, 2.25763e-25, 1.65766e-11, 2.25763e-25, 2.25763e-25, 3.31733e-09, 2.25763e-25, 2.25763e-25, 2.29338e-10, 2.25763e-25, 8.79387e-07, 2.25763e-25, 2.25763e-25, 2.25763e-25
0.499377, 0, 1.21922e-06, 7.92275e-25, 1.41421, -1.21922e-06, 0, 1.41437e-14, 1.30067e-13, 4.82946e-10, 1.45047e-11, 4.91172e-12, 5.46516e-11, 2.52702e-12, 2.63934e-10, 3.88824e-10, 8.74795e-10, 4.62038e-09, 9.1999e-12, 2.02051e-12, 3.68137e-10, 1.96873e-15, 1.21208e-06, 7.92275e-25, 7.92275e-25, 5.82358e-11
0.507248, 0, 1.67407e-06, 3.06946e-10, 1.41421, -1.67407e-06, 3.06946e-10, 3.06995e-10, 3.07395e-10, 1.97613e-09, 3.57077e-10, 3.23922e-10, 4.95835e-10, 3.1568e-10, 1.17472e-09, 1.65082e-09, 3.33045e-09, 6.70553e-09, 3.38743e-10, 3.13929e-10, 8.95212e-10, 3.06953e-10, 1.65967e-06, 3.06946e-10, 3.06946e-10, 5.08223e-10
