   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_203.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0509468, 0, 8.95489e-21, 0, 1.41421, -8.95489e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.16272e-23, 0, 0, 5.37984e-26, 1.40402e-24, 0, 8.8618e-21, 0, 0, 0
0.0588153, 0, 2.09655e-20, 0, 1.41421, -2.09655e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1452e-22, 0, 0, 1.2717e-25, 3.36476e-24, 0, 2.07475e-20, 0, 0, 0
0.0666839, 0, 4.83466e-20, 0, 1.41421, -4.83466e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94683e-22, 0, 0, 2.96159e-25, 7.93632e-24, 0, 4.78437e-20, 0, 0, 0
0.0745524, 0, 1.09882e-19, 0, 1.41421, -1.09882e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12431e-21, 0, 0, 6.79952e-25, 1.8438e-23, 0, 1.08739e-19, 0, 0, 0
0.0824209, 0, 2.46289e-19, 0, 1.41421, -2.46289e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52001e-21, 0, 0, 1.53993e-24, 4.22219e-23, 0, 2.43725e-19, 0, 0, 0
0.0902895, 0, 5.44681e-19, 0, 1.41421, -5.44681e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57311e-21, 0, 0, 3.44209e-24, 9.53589e-23, 0, 5.39009e-19, 0, 0, 0
0.098158, 0, 1.1891e-18, 0, 1.41421, -1.1891e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21667e-20, 0, 0, 7.59707e-24, 2.12532e-22, 0, 1.17672e-18, 0, 0, 0
0.106027, 0, 2.56366e-18, 0, 1.41421, -2.56366e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62309e-20, 0, 0, 1.65637e-23, 4.67673e-22, 0, 2.53694e-18, 0, 0, 0
0.113895, 0, 5.46037e-18, 0, 1.41421, -5.46037e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58693e-20, 0, 0, 3.56879e-23, 1.01651e-21, 0, 5.40345e-18, 0, 0, 0
0.121764, 0, 1.14936e-17, 0, 1.41421, -1.14936e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17599e-19, 0, 0, 7.60133e-23, 2.18325e-21, 0, 1.13737e-17, 0, 0, 0
0.129632, 0, 2.39162e-17, 0, 1.41421, -2.39162e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44703e-19, 0, 0, 1.60103e-22, 4.63538e-21, 0, 2.36667e-17, 0, 0, 0
0.137501, 0, 4.92097e-17, 0, 1.41421, -4.92097e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03497e-19, 0, 0, 3.33563e-22, 9.73198e-21, 0, 4.86961e-17, 0, 0, 0
0.145369, 0, 1.00148e-16, 0, 1.41421, -1.00148e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02468e-18, 0, 0, 6.87605e-22, 2.0211e-20, 0, 9.91027e-17, 0, 0, 0
0.153238, 0, 2.01636e-16, 0, 1.41421, -2.01636e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06306e-18, 0, 0, 1.40277e-21, 4.15307e-20, 0, 1.9953e-16, 0, 0, 0
0.161106, 0, 4.01716e-16, 0, 1.41421, -4.01716e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11016e-18, 0, 0, 2.83284e-21, 8.44623e-20, 0, 3.97518e-16, 0, 0, 0
