   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_46.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.370337, 0, 1.2156e-09, 2.70958e-35, 1.41421, -1.2156e-09, 0, 2.70958e-35, 2.70958e-35, 2.70958e-35, 2.70958e-35, 2.70958e-35, 2.70958e-35, 2.70958e-35, 5.18046e-11, 2.70958e-35, 2.70958e-35, 2.70958e-35, 2.70958e-35, 1.16379e-09, 2.70958e-35, 2.70958e-35, 2.70958e-35
0.378228, 0, 1.81807e-09, 1.9895e-34, 1.41421, -1.81807e-09, 0, 1.9895e-34, 1.9895e-34, 1.9895e-34, 1.9895e-34, 1.9895e-34, 1.9895e-34, 1.9895e-34, 7.75772e-11, 1.9895e-34, 1.9895e-34, 1.9895e-34, 1.9895e-34, 1.7405e-09, 1.9895e-34, 1.9895e-34, 1.9895e-34
0.386119, 0, 2.69989e-09, 1.37267e-33, 1.41421, -2.69989e-09, 0, 1.37267e-33, 1.37267e-33, 1.37267e-33, 1.37267e-33, 1.37267e-33, 1.37267e-33, 1.37267e-33, 1.15377e-10, 1.37267e-33, 1.37267e-33, 1.37267e-33, 1.37267e-33, 2.58451e-09, 1.37267e-33, 1.37267e-33, 1.37267e-33
0.394011, 0, 3.9812e-09, 7.97115e-33, 1.41421, -3.9812e-09, 0, 7.97115e-33, 7.97115e-33, 7.97115e-33, 7.97115e-33, 7.97115e-33, 7.97115e-33, 7.97115e-33, 1.70436e-10, 7.97115e-33, 7.97115e-33, 7.97115e-33, 7.97115e-33, 3.81077e-09, 7.97115e-33, 7.97115e-33, 7.97115e-33
0.401902, 0, 5.82962e-09, 4.74333e-32, 1.41421, -5.82962e-09, 0, 4.74333e-32, 4.74333e-32, 4.74333e-32, 4.74333e-32, 4.74333e-32, 4.74333e-32, 4.74333e-32, 2.50092e-10, 4.74333e-32, 4.74333e-32, 4.74333e-32, 4.74333e-32, 5.57953e-09, 4.74333e-32, 4.74333e-32, 4.74333e-32
0.409793, 0, 8.47711e-09, 2.51007e-31, 1.41421, -8.47711e-09, 0, 2.51007e-31, 2.51007e-31, 2.51007e-31, 2.51007e-31, 2.51007e-31, 2.51007e-31, 2.51007e-31, 3.6457e-10, 2.51007e-31, 2.51007e-31, 2.51007e-31, 2.51007e-31, 8.11254e-09, 2.51007e-31, 2.51007e-31, 2.51007e-31
0.417684, 0, 1.22423e-08, 1.30761e-30, 1.41421, -1.22423e-08, 0, 1.30761e-30, 1.30761e-30, 1.30761e-30, 1.30761e-30, 1.30761e-30, 1.30761e-30, 1.30761e-30, 5.28017e-10, 1.30761e-30, 1.30761e-30, 1.30761e-30, 1.30761e-30, 1.17142e-08, 1.30761e-30, 1.30761e-30, 1.30761e-30
0.425576, 0, 1.75593e-08, 6.51138e-30, 1.41421, -1.75593e-08, 0, 6.51138e-30, 6.51138e-30, 6.51138e-30, 6.51138e-30, 6.51138e-30, 6.51138e-30, 6.51138e-30, 7.59893e-10, 6.51138e-30, 6.51138e-30, 6.51138e-30, 6.51138e-30, 1.67994e-08, 6.51138e-30, 6.51138e-30, 6.51138e-30
0.433467, 0, 2.50158e-08, 3.06884e-29, 1.41421, -2.50158e-08, 0, 3.06884e-29, 3.06884e-29, 3.06884e-29, 3.06884e-29, 3.06884e-29, 3.06884e-29, 3.06884e-29, 1.08679e-09, 3.06884e-29, 3.06884e-29, 3.06884e-29, 3.06884e-29, 2.39291e-08, 3.06884e-29, 3.06884e-29, 3.06884e-29
0.441358, 0, 3.54006e-08, 1.39942e-28, 1.41421, -3.54006e-08, 0, 1.39942e-28, 1.39942e-28, 1.39942e-28, 1.39942e-28, 1.39942e-28, 1.39942e-28, 1.39942e-28, 1.54481e-09, 1.39942e-28, 1.39942e-28, 1.39942e-28, 1.39942e-28, 3.38558e-08, 1.39942e-28, 1.39942e-28, 1.39942e-28
0.449249, 0, 4.97652e-08, 6.12254e-28, 1.41421, -4.97652e-08, 0, 6.12254e-28, 6.12254e-28, 6.12254e-28, 6.12254e-28, 6.12254e-28, 6.12254e-28, 6.12254e-28, 2.18275e-09, 6.12254e-28, 6.12254e-28, 6.12254e-28, 6.12254e-28, 4.75824e-08, 6.12254e-28, 6.12254e-28, 6.12254e-28
0.457141, 0, 6.95007e-08, 2.55579e-27, 1.41421, -6.95007e-08, 0, 2.55579e-27, 2.55579e-27, 2.55579e-27, 2.55579e-27, 2.55579e-27, 2.55579e-27, 2.55579e-27, 3.06607e-09, 2.55579e-27, 2.55579e-27, 2.55579e-27, 2.55579e-27, 6.64347e-08, 2.55579e-27, 2.55579e-27, 2.55579e-27
0.465032, 0, 9.64359e-08, 1.68966e-26, 1.41421, -9.64359e-08, 0, 1.68966e-26, 1.68966e-26, 1.68966e-26, 1.68966e-26, 4.84668e-13, 1.68966e-26, 1.68966e-26, 4.28225e-09, 1.68966e-26, 1.68966e-26, 1.68966e-26, 1.68966e-26, 9.21532e-08, 1.68966e-26, 1.68966e-26, 1.68966e-26
0.472923, 0, 1.32953e-07, 6.17159e-26, 1.41421, -1.32953e-07, 0, 6.17159e-26, 6.17159e-26, 6.17159e-26, 6.17159e-26, 1.64193e-12, 6.17159e-26, 6.17159e-26, 5.94724e-09, 6.17159e-26, 6.17159e-26, 6.17159e-26, 6.17159e-26, 1.27004e-07, 6.17159e-26, 6.17159e-26, 6.17159e-26
0.480814, 0, 1.8214e-07, 2.17566e-25, 1.41421, -1.8214e-07, 0, 2.17566e-25, 2.17566e-25, 2.17566e-25, 2.17566e-25, 4.32216e-12, 2.17566e-25, 2.17566e-25, 8.21437e-09, 2.17566e-25, 2.17566e-25, 2.17566e-25, 2.17566e-25, 1.73921e-07, 2.17566e-25, 2.17566e-25, 2.17566e-25
