   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_100.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.10501, 0, 5.70964e-21, 0, 1.41421, -5.70964e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.15391e-26, 0, 5.70959e-21, 0, 0, 0
0.112896, 0, 1.50378e-20, 0, 1.41421, -1.50378e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36775e-25, 0, 1.50377e-20, 0, 0, 0
0.120781, 0, 3.88075e-20, 0, 1.41421, -3.88075e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55753e-25, 0, 3.88072e-20, 0, 0, 0
0.128666, 0, 9.82401e-20, 0, 1.41421, -9.82401e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.0793e-25, 0, 9.82392e-20, 0, 0, 0
0.136552, 0, 2.44193e-19, 0, 1.41421, -2.44193e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27592e-24, 0, 2.4419e-19, 0, 0, 0
0.144437, 0, 5.96515e-19, 0, 1.41421, -5.96515e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.60842e-24, 0, 5.96509e-19, 0, 0, 0
0.152322, 0, 1.43312e-18, 0, 1.41421, -1.43312e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35968e-23, 0, 1.43311e-18, 0, 0, 0
0.160208, 0, 3.38848e-18, 0, 1.41421, -3.38848e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24522e-23, 0, 3.38845e-18, 0, 0, 0
0.168093, 0, 7.88946e-18, 0, 1.41421, -7.88946e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.62996e-23, 0, 7.88939e-18, 0, 0, 0
0.175978, 0, 1.80981e-17, 0, 1.41421, -1.80981e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76808e-22, 0, 1.80979e-17, 0, 0, 0
0.183864, 0, 4.09227e-17, 0, 1.41421, -4.09227e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04012e-22, 0, 4.09223e-17, 0, 0, 0
0.191749, 0, 9.12472e-17, 0, 1.41421, -9.12472e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.10712e-22, 0, 9.12463e-17, 0, 0, 0
0.199634, 0, 2.00705e-16, 0, 1.41421, -2.00705e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02595e-21, 0, 2.00703e-16, 0, 0, 0
