   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_144.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.081668, 0, 5.78103e-19, 0, 1.41421, -5.78103e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.72355e-24, 1.9614e-23, 0, 5.78076e-19, 0, 0, 0
0.0895393, 0, 1.25885e-18, 0, 1.41421, -1.25885e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71016e-23, 4.3404e-23, 0, 1.25879e-18, 0, 0, 0
0.0974105, 0, 2.70641e-18, 0, 1.41421, -2.70641e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73885e-23, 9.48159e-23, 0, 2.70628e-18, 0, 0, 0
0.105282, 0, 5.74709e-18, 0, 1.41421, -5.74709e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.07457e-23, 2.04568e-22, 0, 5.7468e-18, 0, 0, 0
0.113153, 0, 1.20588e-17, 0, 1.41421, -1.20588e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72329e-22, 4.36107e-22, 0, 1.20582e-17, 0, 0, 0
0.121024, 0, 2.50101e-17, 0, 1.41421, -2.50101e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.63595e-22, 9.19034e-22, 0, 2.50088e-17, 0, 0, 0
0.128896, 0, 5.1289e-17, 0, 1.41421, -5.1289e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.58664e-22, 1.91521e-21, 0, 5.12863e-17, 0, 0, 0
0.136767, 0, 1.04029e-16, 0, 1.41421, -1.04029e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56598e-21, 3.94823e-21, 0, 1.04024e-16, 0, 0, 0
0.144638, 0, 2.08751e-16, 0, 1.41421, -2.08751e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19859e-21, 8.0543e-21, 0, 2.08739e-16, 0, 0, 0
0.15251, 0, 4.14523e-16, 0, 1.41421, -4.14523e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.46664e-21, 1.62639e-20, 0, 4.145e-16, 0, 0, 0
0.160381, 0, 8.14731e-16, 0, 1.41421, -8.14731e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29435e-20, 3.25171e-20, 0, 8.14686e-16, 0, 0, 0
0.168252, 0, 1.58531e-15, 0, 1.41421, -1.58531e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56554e-20, 6.43875e-20, 0, 1.58522e-15, 0, 0, 0
0.176123, 0, 3.05446e-15, 0, 1.41421, -3.05446e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03669e-20, 1.26298e-19, 0, 3.05428e-15, 0, 0, 0
0.183995, 0, 5.82832e-15, 0, 1.41421, -5.82832e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.79561e-20, 2.45469e-19, 0, 5.82797e-15, 0, 0, 0
0.191866, 0, 1.10157e-14, 0, 1.41421, -1.10157e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88762e-19, 4.72813e-19, 0, 1.1015e-14, 0, 0, 0
0.199737, 0, 2.06254e-14, 0, 1.41421, -2.06254e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60463e-19, 9.02734e-19, 0, 2.06242e-14, 0, 0, 0
0.207609, 0, 3.82623e-14, 0, 1.41421, -3.82623e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82234e-19, 1.70878e-18, 0, 3.82599e-14, 0, 0, 0
0.21548, 0, 7.03346e-14, 0, 1.41421, -7.03346e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28002e-18, 3.20733e-18, 0, 7.03301e-14, 0, 0, 0
