   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_342.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.271535, 0, 1.06941e-12, 0, 1.41421, -1.06941e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70045e-16, 0, 0, 1.90347e-17, 0, 0, 1.06892e-12, 0, 0, 0
0.279397, 0, 1.87676e-12, 0, 1.41421, -1.87676e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.24932e-16, 0, 0, 3.41235e-17, 0, 0, 1.8759e-12, 0, 0, 0
0.287259, 0, 3.26412e-12, 0, 1.41421, -3.26412e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4348e-15, 0, 0, 6.06927e-17, 0, 0, 3.26262e-12, 0, 0, 0
0.29512, 0, 5.62649e-12, 0, 1.41421, -5.62649e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47336e-15, 0, 0, 1.07125e-16, 0, 0, 5.62391e-12, 0, 0, 0
0.302982, 0, 9.61286e-12, 0, 1.41421, -9.61286e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22604e-15, 0, 0, 1.87684e-16, 0, 0, 9.60845e-12, 0, 0, 0
0.310844, 0, 1.62792e-11, 0, 1.41421, -1.62792e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.15745e-15, 0, 0, 3.26495e-16, 0, 0, 1.62717e-11, 0, 0, 0
0.318706, 0, 2.73279e-11, 0, 1.41421, -2.73279e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20168e-14, 0, 0, 5.64125e-16, 0, 0, 2.73153e-11, 0, 0, 0
0.326568, 0, 4.54917e-11, 1.69557e-43, 1.41421, -4.54917e-11, 1.69557e-43, 0, 1.69557e-43, 1.69557e-43, 1.69557e-43, 1.69557e-43, 1.69557e-43, 1.69557e-43, 1.69557e-43, 1.69557e-43, 1.69557e-43, 2.00077e-14, 1.69557e-43, 1.69557e-43, 9.70144e-16, 1.69557e-43, 1.69557e-43, 4.54707e-11, 1.69557e-43, 1.69557e-43, 1.69557e-43
0.33443, 0, 7.5047e-11, 2.92591e-42, 1.41421, -7.5047e-11, 2.92591e-42, 0, 2.92591e-42, 2.92591e-42, 2.92591e-42, 2.92591e-42, 2.92591e-42, 2.92591e-42, 2.92591e-42, 2.92591e-42, 2.92591e-42, 3.30138e-14, 2.92591e-42, 2.92591e-42, 1.65553e-15, 2.92591e-42, 2.92591e-42, 7.50123e-11, 2.92591e-42, 2.92591e-42, 2.92591e-42
0.342291, 0, 1.22743e-10, 4.14672e-41, 1.41421, -1.22743e-10, 4.14672e-41, 0, 4.14672e-41, 4.14672e-41, 4.14672e-41, 4.14672e-41, 4.14672e-41, 4.14672e-41, 4.14672e-41, 4.14672e-41, 4.14672e-41, 5.40111e-14, 4.14672e-41, 4.14672e-41, 2.80949e-15, 4.14672e-41, 4.14672e-41, 1.22686e-10, 4.14672e-41, 4.14672e-41, 4.14672e-41
0.350153, 0, 1.99042e-10, 5.21371e-40, 1.41421, -1.99042e-10, 5.21371e-40, 0, 5.21371e-40, 5.21371e-40, 5.21371e-40, 5.21371e-40, 5.21371e-40, 5.21371e-40, 5.21371e-40, 5.21371e-40, 5.21371e-40, 8.7617e-14, 5.21371e-40, 5.21371e-40, 4.74375e-15, 5.21371e-40, 5.21371e-40, 1.98949e-10, 5.21371e-40, 5.21371e-40, 5.21371e-40
0.358015, 0, 3.20035e-10, 5.86327e-39, 1.41421, -3.20035e-10, 5.86327e-39, 0, 5.86327e-39, 5.86327e-39, 5.86327e-39, 5.86327e-39, 5.86327e-39, 5.86327e-39, 5.86327e-39, 5.86327e-39, 5.86327e-39, 1.40942e-13, 5.86327e-39, 5.86327e-39, 7.97365e-15, 5.86327e-39, 5.86327e-39, 3.19886e-10, 5.86327e-39, 5.86327e-39, 5.86327e-39
