   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_186.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.278244, 0, 2.684e-12, 0, 1.41421, -2.684e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46502e-14, 0, 0, 8.01219e-17, 0, 2.65927e-12, 0, 0, 0
0.286115, 0, 4.66692e-12, 0, 1.41421, -4.66692e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28627e-14, 0, 0, 1.42924e-16, 0, 4.62392e-12, 0, 0, 0
0.293986, 0, 8.04347e-12, 0, 1.41421, -8.04347e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.3877e-14, 0, 0, 2.53025e-16, 0, 7.96934e-12, 0, 0, 0
0.301856, 0, 1.37418e-11, 0, 1.41421, -1.37418e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26222e-13, 0, 0, 4.44672e-16, 0, 1.36152e-11, 0, 0, 0
0.309727, 0, 2.32735e-11, 0, 1.41421, -2.32735e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13788e-13, 0, 0, 7.75998e-16, 0, 2.30589e-11, 0, 0, 0
0.317598, 0, 3.90765e-11, 0, 1.41421, -3.90765e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5899e-13, 0, 0, 1.34514e-15, 0, 3.87161e-11, 0, 0, 0
0.325469, 0, 6.50473e-11, 1.9478e-43, 1.41421, -6.50473e-11, 0, 1.9478e-43, 1.9478e-43, 1.9478e-43, 1.9478e-43, 1.9478e-43, 1.9478e-43, 1.9478e-43, 1.9478e-43, 1.9478e-43, 5.97663e-13, 1.9478e-43, 1.9478e-43, 2.31697e-15, 1.9478e-43, 6.44474e-11, 1.9478e-43, 1.9478e-43, 1.9478e-43
0.33334, 0, 1.07356e-10, 3.39815e-42, 1.41421, -1.07356e-10, 0, 3.39815e-42, 3.39815e-42, 3.39815e-42, 3.39815e-42, 3.39815e-42, 3.39815e-42, 3.39815e-42, 3.39815e-42, 3.39815e-42, 9.8658e-13, 3.39815e-42, 3.39815e-42, 3.96736e-15, 3.39815e-42, 1.06366e-10, 3.39815e-42, 3.39815e-42, 3.39815e-42
0.341211, 0, 1.75683e-10, 4.88731e-41, 1.41421, -1.75683e-10, 0, 4.88731e-41, 4.88731e-41, 4.88731e-41, 4.88731e-41, 4.88731e-41, 4.88731e-41, 4.88731e-41, 4.88731e-41, 4.88731e-41, 1.61486e-12, 4.88731e-41, 4.88731e-41, 6.75623e-15, 4.88731e-41, 1.74061e-10, 4.88731e-41, 4.88731e-41, 4.88731e-41
0.349082, 0, 2.85074e-10, 6.22631e-40, 1.41421, -2.85074e-10, 0, 6.22631e-40, 6.22631e-40, 6.22631e-40, 6.22631e-40, 6.22631e-40, 6.22631e-40, 6.22631e-40, 6.22631e-40, 6.22631e-40, 2.62117e-12, 6.22631e-40, 6.22631e-40, 1.14485e-14, 6.22631e-40, 2.82441e-10, 6.22631e-40, 6.22631e-40, 6.22631e-40
0.356953, 0, 4.58704e-10, 7.1015e-39, 1.41421, -4.58704e-10, 0, 7.1015e-39, 7.1015e-39, 7.1015e-39, 7.1015e-39, 7.1015e-39, 7.1015e-39, 7.1015e-39, 7.1015e-39, 7.1015e-39, 4.21925e-12, 7.1015e-39, 7.1015e-39, 1.93136e-14, 7.1015e-39, 4.54465e-10, 7.1015e-39, 7.1015e-39, 7.1015e-39
0.364824, 0, 7.31944e-10, 7.31936e-38, 1.41421, -7.31944e-10, 0, 7.31936e-38, 7.31936e-38, 7.31936e-38, 7.31936e-38, 7.31936e-38, 7.31936e-38, 7.31936e-38, 7.31936e-38, 7.31936e-38, 6.73581e-12, 7.31936e-38, 7.31936e-38, 3.2456e-14, 7.31936e-38, 7.25175e-10, 7.31936e-38, 7.31936e-38, 7.31936e-38
0.372695, 0, 1.15828e-09, 6.85382e-37, 1.41421, -1.15828e-09, 0, 6.85382e-37, 6.85382e-37, 6.85382e-37, 6.85382e-37, 6.85382e-37, 6.85382e-37, 6.85382e-37, 6.85382e-37, 6.85382e-37, 1.06657e-11, 6.85382e-37, 6.85382e-37, 5.43622e-14, 6.85382e-37, 1.14756e-09, 6.85382e-37, 6.85382e-37, 6.85382e-37
