   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_317.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0808798, 0, 4.31034e-19, 0, 1.41421, -4.31034e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.50531e-22, 0, 0, 1.71028e-23, 0, 4.30166e-19, 0, 0, 0
0.0887488, 0, 9.32392e-19, 0, 1.41421, -9.32392e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83983e-21, 0, 0, 3.76165e-23, 0, 9.30514e-19, 0, 0, 0
0.0966178, 0, 1.99165e-18, 0, 1.41421, -1.99165e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92999e-21, 0, 0, 8.1691e-23, 0, 1.98764e-18, 0, 0, 0
0.104487, 0, 4.20289e-18, 0, 1.41421, -4.20289e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.29327e-21, 0, 0, 1.75256e-22, 0, 4.19442e-18, 0, 0, 0
0.112356, 0, 8.76543e-18, 0, 1.41421, -8.76543e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72962e-20, 0, 0, 3.716e-22, 0, 8.74776e-18, 0, 0, 0
0.120225, 0, 1.80737e-17, 0, 1.41421, -1.80737e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56636e-20, 0, 0, 7.7905e-22, 0, 1.80373e-17, 0, 0, 0
0.128094, 0, 3.68562e-17, 0, 1.41421, -3.68562e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.27257e-20, 0, 0, 1.6155e-21, 0, 3.67819e-17, 0, 0, 0
0.135963, 0, 7.43516e-17, 0, 1.41421, -7.43516e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46712e-19, 0, 0, 3.31474e-21, 0, 7.42015e-17, 0, 0, 0
0.143832, 0, 1.48423e-16, 0, 1.41421, -1.48423e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92872e-19, 0, 0, 6.73179e-21, 0, 1.48123e-16, 0, 0, 0
0.151701, 0, 2.93257e-16, 0, 1.41421, -2.93257e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.78661e-19, 0, 0, 1.35356e-20, 0, 2.92665e-16, 0, 0, 0
0.15957, 0, 5.73621e-16, 0, 1.41421, -5.73621e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13188e-18, 0, 0, 2.69525e-20, 0, 5.72462e-16, 0, 0, 0
0.167439, 0, 1.11101e-15, 0, 1.41421, -1.11101e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19226e-18, 0, 0, 5.31629e-20, 0, 1.10876e-15, 0, 0, 0
0.175308, 0, 2.1311e-15, 0, 1.41421, -2.1311e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20511e-18, 0, 0, 1.03897e-19, 0, 2.12679e-15, 0, 0, 0
0.183177, 0, 4.04904e-15, 0, 1.41421, -4.04904e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.98958e-18, 0, 0, 2.01218e-19, 0, 4.04085e-15, 0, 0, 0
0.191046, 0, 7.62126e-15, 0, 1.41421, -7.62126e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50383e-17, 0, 0, 3.86269e-19, 0, 7.60584e-15, 0, 0, 0
0.198915, 0, 1.4213e-14, 0, 1.41421, -1.4213e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8045e-17, 0, 0, 7.35107e-19, 0, 1.41842e-14, 0, 0, 0
0.206784, 0, 2.62652e-14, 0, 1.41421, -2.62652e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18262e-17, 0, 0, 1.38715e-18, 0, 2.6212e-14, 0, 0, 0
0.214654, 0, 4.81019e-14, 0, 1.41421, -4.81019e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49137e-17, 0, 0, 2.59584e-18, 0, 4.80044e-14, 0, 0, 0
0.222523, 0, 8.73119e-14, 0, 1.41421, -8.73119e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72281e-16, 0, 0, 4.81819e-18, 0, 8.71348e-14, 0, 0, 0
0.230392, 0, 1.57091e-13, 0, 1.41421, -1.57091e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09968e-16, 0, 0, 8.87164e-18, 0, 1.56773e-13, 0, 0, 0
0.238261, 0, 2.80181e-13, 0, 1.41421, -2.80181e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.52846e-16, 0, 0, 1.62069e-17, 0, 2.79612e-13, 0, 0, 0
0.24613, 0, 4.95412e-13, 0, 1.41421, -4.95412e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.77536e-16, 0, 0, 2.93786e-17, 0, 4.94405e-13, 0, 0, 0
0.253999, 0, 8.68492e-13, 0, 1.41421, -8.68492e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7137e-15, 0, 0, 5.28517e-17, 0, 8.66726e-13, 0, 0, 0
0.261868, 0, 1.50962e-12, 0, 1.41421, -1.50962e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97881e-15, 0, 0, 9.43802e-17, 0, 1.50655e-12, 0, 0, 0
0.269737, 0, 2.60195e-12, 0, 1.41421, -2.60195e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13432e-15, 0, 0, 1.67319e-16, 0, 2.59665e-12, 0, 0, 0
0.277606, 0, 4.4472e-12, 0, 1.41421, -4.4472e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.77574e-15, 0, 0, 2.94523e-16, 0, 4.43813e-12, 0, 0, 0
0.285475, 0, 7.54326e-12, 0, 1.41421, -7.54326e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48861e-14, 0, 0, 5.15978e-16, 0, 7.52786e-12, 0, 0, 0
0.293344, 0, 1.26789e-11, 0, 1.41421, -1.26789e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50225e-14, 0, 0, 8.95797e-16, 0, 1.2653e-11, 0, 0, 0
0.301213, 0, 2.11367e-11, 0, 1.41421, -2.11367e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17181e-14, 0, 0, 1.54511e-15, 0, 2.10935e-11, 0, 0, 0
0.309082, 0, 3.49499e-11, 0, 1.41421, -3.49499e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.89894e-14, 0, 0, 2.64837e-15, 0, 3.48782e-11, 0, 0, 0
0.316951, 0, 5.73225e-11, 1.09301e-43, 1.41421, -5.73225e-11, 0, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.13169e-13, 1.09301e-43, 1.09301e-43, 4.51208e-15, 1.09301e-43, 5.72048e-11, 1.09301e-43, 1.09301e-43, 1.09301e-43
0.32482, 0, 9.326e-11, 1.90577e-42, 1.41421, -9.326e-11, 0, 1.90577e-42, 1.90577e-42, 1.90577e-42, 1.90577e-42, 1.90577e-42, 1.90577e-42, 1.90577e-42, 1.90577e-42, 1.90577e-42, 1.90577e-42, 1.84155e-13, 1.90577e-42, 1.90577e-42, 7.64317e-15, 1.90577e-42, 9.30682e-11, 1.90577e-42, 1.90577e-42, 1.90577e-42
0.332689, 0, 1.50513e-10, 2.75649e-41, 1.41421, -1.50513e-10, 0, 2.75649e-41, 2.75649e-41, 2.75649e-41, 2.75649e-41, 2.75649e-41, 2.75649e-41, 2.75649e-41, 2.75649e-41, 2.75649e-41, 2.75649e-41, 2.97284e-13, 2.75649e-41, 2.75649e-41, 1.28766e-14, 2.75649e-41, 1.50203e-10, 2.75649e-41, 2.75649e-41, 2.75649e-41
0.340558, 0, 2.40982e-10, 3.53089e-40, 1.41421, -2.40982e-10, 0, 3.53089e-40, 3.53089e-40, 3.53089e-40, 3.53089e-40, 3.53089e-40, 3.53089e-40, 3.53089e-40, 3.53089e-40, 3.53089e-40, 3.53089e-40, 4.76125e-13, 3.53089e-40, 3.53089e-40, 2.15829e-14, 3.53089e-40, 2.40484e-10, 3.53089e-40, 3.53089e-40, 3.53089e-40
0.348427, 0, 3.82772e-10, 4.05061e-39, 1.41421, -3.82772e-10, 0, 4.05061e-39, 4.05061e-39, 4.05061e-39, 4.05061e-39, 4.05061e-39, 4.05061e-39, 4.05061e-39, 4.05061e-39, 4.05061e-39, 4.05061e-39, 7.56575e-13, 4.05061e-39, 4.05061e-39, 3.60046e-14, 4.05061e-39, 3.81979e-10, 4.05061e-39, 4.05061e-39, 4.05061e-39
0.356296, 0, 6.03201e-10, 4.1981e-38, 1.41421, -6.03201e-10, 0, 4.1981e-38, 4.1981e-38, 4.1981e-38, 4.1981e-38, 4.1981e-38, 4.1981e-38, 4.1981e-38, 4.1981e-38, 4.1981e-38, 4.1981e-38, 1.19287e-12, 4.1981e-38, 4.1981e-38, 5.98027e-14, 4.1981e-38, 6.01949e-10, 4.1981e-38, 4.1981e-38, 4.1981e-38
0.364165, 0, 9.43127e-10, 3.95034e-37, 1.41421, -9.43127e-10, 0, 3.95034e-37, 3.95034e-37, 3.95034e-37, 3.95034e-37, 3.95034e-37, 3.95034e-37, 3.95034e-37, 3.95034e-37, 3.95034e-37, 3.95034e-37, 1.86627e-12, 3.95034e-37, 3.95034e-37, 9.8942e-14, 3.95034e-37, 9.41162e-10, 3.95034e-37, 3.95034e-37, 3.95034e-37
0.372034, 0, 1.46313e-09, 3.39596e-36, 1.41421, -1.46313e-09, 0, 3.39596e-36, 3.39596e-36, 3.39596e-36, 3.39596e-36, 3.39596e-36, 3.39596e-36, 3.39596e-36, 3.39596e-36, 3.39596e-36, 3.39596e-36, 2.89749e-12, 3.39596e-36, 3.39596e-36, 1.63129e-13, 3.39596e-36, 1.46007e-09, 3.39596e-36, 3.39596e-36, 3.39596e-36
0.379903, 0, 2.25227e-09, 2.6787e-35, 1.41421, -2.25227e-09, 0, 2.6787e-35, 2.6787e-35, 2.6787e-35, 2.6787e-35, 2.6787e-35, 2.6787e-35, 2.6787e-35, 2.6787e-35, 2.6787e-35, 2.6787e-35, 4.46447e-12, 2.6787e-35, 2.6787e-35, 2.68145e-13, 2.6787e-35, 2.24754e-09, 2.6787e-35, 2.6787e-35, 2.6787e-35
0.387773, 0, 3.44037e-09, 1.94766e-34, 1.41421, -3.44037e-09, 0, 1.94766e-34, 1.94766e-34, 1.94766e-34, 1.94766e-34, 1.94766e-34, 1.94766e-34, 1.94766e-34, 1.94766e-34, 1.94766e-34, 1.94766e-34, 6.82736e-12, 1.94766e-34, 1.94766e-34, 4.39631e-13, 1.94766e-34, 3.4331e-09, 1.94766e-34, 1.94766e-34, 1.94766e-34
0.395642, 0, 5.21503e-09, 1.34281e-33, 1.41421, -5.21503e-09, 0, 1.34281e-33, 1.34281e-33, 1.34281e-33, 1.34281e-33, 1.34281e-33, 1.34281e-33, 1.34281e-33, 1.34281e-33, 1.34281e-33, 1.34281e-33, 1.03635e-11, 1.34281e-33, 1.34281e-33, 7.19241e-13, 1.34281e-33, 5.20395e-09, 1.34281e-33, 1.34281e-33, 1.34281e-33
0.403511, 0, 7.84512e-09, 8.63374e-33, 1.41421, -7.84512e-09, 0, 8.63374e-33, 8.63374e-33, 8.63374e-33, 8.63374e-33, 8.63374e-33, 8.63374e-33, 8.63374e-33, 8.63374e-33, 8.63374e-33, 8.63374e-33, 1.56162e-11, 8.63374e-33, 8.63374e-33, 1.17462e-12, 8.63374e-33, 7.82833e-09, 8.63374e-33, 8.63374e-33, 8.63374e-33
0.41138, 0, 1.17127e-08, 5.38503e-32, 1.41421, -1.17127e-08, 0, 5.38503e-32, 5.38503e-32, 5.38503e-32, 5.38503e-32, 5.38503e-32, 5.38503e-32, 5.38503e-32, 5.38503e-32, 5.38503e-32, 5.38503e-32, 2.33614e-11, 5.38503e-32, 5.38503e-32, 1.91555e-12, 5.38503e-32, 1.16874e-08, 5.38503e-32, 5.38503e-32, 5.38503e-32
0.419249, 0, 1.73561e-08, 3.07428e-31, 1.41421, -1.73561e-08, 0, 3.07428e-31, 3.07428e-31, 3.07428e-31, 3.07428e-31, 3.07428e-31, 3.07428e-31, 3.07428e-31, 3.07428e-31, 3.07428e-31, 3.07428e-31, 3.46996e-11, 3.07428e-31, 3.07428e-31, 3.12014e-12, 3.07428e-31, 1.73183e-08, 3.07428e-31, 3.07428e-31, 3.07428e-31
0.427118, 0, 2.55277e-08, 1.67262e-30, 1.41421, -2.55277e-08, 0, 1.67262e-30, 1.67262e-30, 1.67262e-30, 1.67262e-30, 1.67262e-30, 1.67262e-30, 1.67262e-30, 1.67262e-30, 1.67262e-30, 1.67262e-30, 5.11799e-11, 1.67262e-30, 1.67262e-30, 5.07691e-12, 1.67262e-30, 2.54715e-08, 1.67262e-30, 1.67262e-30, 1.67262e-30
0.434987, 0, 3.72705e-08, 8.58883e-30, 1.41421, -3.72705e-08, 0, 8.58883e-30, 8.58883e-30, 8.58883e-30, 8.58883e-30, 8.58883e-30, 8.58883e-30, 8.58883e-30, 8.58883e-30, 8.58883e-30, 8.58883e-30, 7.49685e-11, 8.58883e-30, 8.58883e-30, 8.25249e-12, 8.58883e-30, 3.71873e-08, 8.58883e-30, 8.58883e-30, 8.58883e-30
0.442856, 0, 5.40182e-08, 4.15577e-29, 1.41421, -5.40182e-08, 0, 4.15577e-29, 4.15577e-29, 4.15577e-29, 4.15577e-29, 4.15577e-29, 4.15577e-29, 4.15577e-29, 4.15577e-29, 4.15577e-29, 4.15577e-29, 1.09073e-10, 4.15577e-29, 4.15577e-29, 1.33996e-11, 4.15577e-29, 5.38957e-08, 4.15577e-29, 4.15577e-29, 4.15577e-29
0.450725, 0, 7.77257e-08, 1.91885e-28, 1.41421, -7.77257e-08, 0, 1.91885e-28, 1.91885e-28, 1.91885e-28, 1.91885e-28, 1.91885e-28, 1.91885e-28, 1.91885e-28, 1.91885e-28, 1.91885e-28, 1.91885e-28, 1.57642e-10, 1.91885e-28, 1.91885e-28, 2.17285e-11, 1.91885e-28, 7.75463e-08, 1.91885e-28, 1.91885e-28, 1.91885e-28
0.458594, 0, 1.11038e-07, 8.4306e-28, 1.41421, -1.11038e-07, 0, 8.4306e-28, 8.4306e-28, 8.4306e-28, 8.4306e-28, 8.4306e-28, 8.4306e-28, 8.4306e-28, 8.4306e-28, 8.4306e-28, 8.4306e-28, 2.26363e-10, 8.4306e-28, 8.4306e-28, 3.51767e-11, 8.4306e-28, 1.10777e-07, 8.4306e-28, 8.4306e-28, 8.4306e-28
0.466463, 0, 1.57505e-07, 3.52279e-27, 1.41421, -1.57505e-07, 0, 3.52279e-27, 3.52279e-27, 3.52279e-27, 3.52279e-27, 3.52279e-27, 3.52279e-27, 3.52279e-27, 3.52279e-27, 3.52279e-27, 3.52279e-27, 3.22982e-10, 3.52279e-27, 3.52279e-27, 5.68302e-11, 3.52279e-27, 1.57125e-07, 3.52279e-27, 3.52279e-27, 3.52279e-27
0.474332, 0, 2.21852e-07, 1.40293e-26, 1.41421, -2.21852e-07, 0, 1.40293e-26, 1.40293e-26, 1.40293e-26, 1.40293e-26, 1.40293e-26, 1.40293e-26, 1.40293e-26, 1.40293e-26, 1.40293e-26, 1.40293e-26, 4.57983e-10, 1.40293e-26, 1.40293e-26, 9.15754e-11, 1.40293e-26, 2.21302e-07, 1.40293e-26, 1.40293e-26, 1.40293e-26
0.482201, 0, 3.10326e-07, 5.33497e-26, 1.41421, -3.10326e-07, 0, 5.33497e-26, 5.33497e-26, 5.33497e-26, 5.33497e-26, 5.33497e-26, 5.33497e-26, 2.89082e-12, 5.33497e-26, 5.33497e-26, 5.33497e-26, 6.45482e-10, 5.33497e-26, 5.33497e-26, 1.47097e-10, 5.33497e-26, 3.09531e-07, 5.33497e-26, 5.33497e-26, 5.33497e-26
0.49007, 0, 4.31116e-07, 1.94133e-25, 1.41421, -4.31116e-07, 0, 1.94133e-25, 1.94133e-25, 1.94133e-25, 1.94133e-25, 1.94133e-25, 1.94133e-25, 9.89978e-12, 1.94133e-25, 1.94133e-25, 1.94133e-25, 9.04362e-10, 1.94133e-25, 1.94133e-25, 2.35386e-10, 1.94133e-25, 4.29966e-07, 1.94133e-25, 1.94133e-25, 1.94133e-25
0.497939, 0, 5.94875e-07, 6.82181e-25, 1.41421, -5.94875e-07, 0, 6.82181e-25, 6.82181e-25, 6.82181e-25, 6.82181e-25, 6.82181e-25, 6.82181e-25, 2.63575e-11, 6.82181e-25, 6.82181e-25, 6.82181e-25, 1.25974e-09, 6.82181e-25, 6.82181e-25, 3.75004e-10, 6.82181e-25, 5.93213e-07, 6.82181e-25, 6.82181e-25, 6.82181e-25
0.505808, 0, 8.20534e-07, 2.34866e-10, 1.41421, -8.20534e-07, 2.34866e-10, 2.34873e-10, 2.34889e-10, 5.47922e-10, 2.48228e-10, 2.35789e-10, 1.14638e-09, 4.3383e-10, 3.9158e-10, 2.03275e-09, 1.69505e-09, 1.97973e-09, 2.36154e-10, 2.36639e-10, 8.29281e-10, 2.34867e-10, 8.13312e-07, 2.34866e-10, 2.34866e-10, 2.62421e-10
0.513677, 0, 1.12783e-06, 7.90718e-10, 1.41421, -1.12783e-06, 7.90718e-10, 7.90742e-10, 7.90795e-10, 1.85713e-09, 8.36234e-10, 7.93861e-10, 3.89578e-09, 1.3983e-09, 1.32456e-09, 6.91517e-09, 5.7648e-09, 3.19415e-09, 7.95107e-10, 7.9676e-10, 1.72759e-09, 7.90722e-10, 1.10792e-06, 7.90718e-10, 7.90718e-10, 8.84582e-10
0.521546, 0, 1.54882e-06, 2.07931e-09, 1.41421, -1.54882e-06, 2.07931e-09, 2.07937e-09, 2.07951e-09, 4.90527e-09, 2.19992e-09, 2.08764e-09, 1.03076e-08, 3.62761e-09, 3.49397e-09, 1.83089e-08, 1.52605e-08, 5.37186e-09, 2.09094e-09, 2.09532e-09, 3.54668e-09, 2.07932e-09, 1.50023e-06, 2.07931e-09, 2.07931e-09, 2.32804e-09
0.529415, 0, 2.13241e-06, 4.99755e-09, 1.41421, -2.13241e-06, 4.99755e-09, 4.9977e-09, 4.99804e-09, 1.18257e-08, 5.28898e-09, 5.01767e-09, 2.48789e-08, 8.65754e-09, 8.41569e-09, 4.42117e-08, 3.6846e-08, 9.48405e-09, 5.02565e-09, 5.03623e-09, 7.2802e-09, 4.99758e-09, 2.01981e-06, 4.99755e-09, 4.99755e-09, 5.59855e-09
0.537284, 0, 2.95811e-06, 1.14557e-08, 1.41421, -2.95811e-06, 1.14557e-08, 1.1456e-08, 1.14568e-08, 2.71612e-08, 1.2126e-08, 1.1502e-08, 5.71852e-08, 1.9739e-08, 1.93178e-08, 1.01653e-07, 8.47111e-08, 1.75369e-08, 1.15203e-08, 1.15447e-08, 1.49807e-08, 1.14557e-08, 2.70521e-06, 1.14557e-08, 1.14557e-08, 1.28381e-08
0.545153, 0, 4.1629e-06, 2.54104e-08, 1.41421, -4.1629e-06, 2.54104e-08, 2.54112e-08, 2.54129e-08, 6.03318e-08, 2.69009e-08, 2.55133e-08, 1.2709e-07, 4.4952e-08, 4.28919e-08, 2.25965e-07, 1.88294e-07, 3.36102e-08, 2.55541e-08, 2.56082e-08, 3.08198e-08, 2.54105e-08, 3.60721e-06, 2.54104e-08, 2.54104e-08, 2.84841e-08
0.553022, 0, 5.98823e-06, 5.48505e-08, 1.41421, -5.98823e-06, 5.48505e-08, 5.48522e-08, 5.4856e-08, 1.30375e-07, 5.8074e-08, 5.50731e-08, 2.74754e-07, 9.96987e-08, 9.26578e-08, 4.8859e-07, 4.0712e-07, 6.58502e-08, 5.51614e-08, 5.52784e-08, 6.30786e-08, 5.48508e-08, 4.79407e-06, 5.48505e-08, 5.48505e-08, 6.14981e-08
0.560892, 0, 8.89652e-06, 1.15492e-07, 1.41421, -8.89652e-06, 1.15492e-07, 1.15496e-07, 1.15504e-07, 2.74782e-07, 1.22291e-07, 1.15962e-07, 5.79294e-07, 2.41212e-07, 1.95232e-07, 1.0303e-06, 8.58468e-07, 1.30173e-07, 1.16148e-07, 1.16395e-07, 1.27906e-07, 1.15493e-07, 6.36023e-06, 1.15492e-07, 1.15492e-07, 1.29513e-07
0.568761, 0, 1.36889e-05, 2.37466e-07, 1.41421, -1.36889e-05, 2.37466e-07, 2.37473e-07, 2.3749e-07, 5.65506e-07, 2.51467e-07, 2.38433e-07, 1.19261e-06, 5.38771e-07, 4.01681e-07, 2.12141e-06, 1.76754e-06, 2.5696e-07, 2.38816e-07, 2.39324e-07, 2.56041e-07, 2.37467e-07, 8.441e-06, 2.37466e-07, 2.37466e-07, 2.66339e-07
0.57663, 0, 2.18418e-05, 4.77041e-07, 1.41421, -2.18418e-05, 4.77041e-07, 4.77056e-07, 4.77089e-07, 1.13708e-06, 5.05212e-07, 4.78986e-07, 2.39887e-06, 1.15217e-06, 8.07454e-07, 4.26767e-06, 3.55567e-06, 5.02799e-07, 4.79757e-07, 4.8078e-07, 5.04604e-07, 4.77043e-07, 1.1237e-05, 4.77041e-07, 4.77041e-07, 5.35136e-07
0.584499, 0, 3.60161e-05, 9.36694e-07, 1.41421, -3.60161e-05, 9.36694e-07, 9.36723e-07, 9.36788e-07, 2.23487e-06, 9.92102e-07, 9.4052e-07, 4.71658e-06, 2.39828e-06, 1.58656e-06, 8.39218e-06, 6.9918e-06, 9.70563e-07, 9.42037e-07, 9.44048e-07, 9.77261e-07, 9.36699e-07, 1.50552e-05, 9.36694e-07, 9.36694e-07, 1.05096e-06
0.592368, 0, 6.0861e-05, 1.79773e-06, 1.41421, -6.0861e-05, 1.79773e-06, 1.79779e-06, 1.79792e-06, 4.29341e-06, 1.90425e-06, 1.80509e-06, 9.06435e-06, 4.83641e-06, 3.04706e-06, 1.61305e-05, 1.34383e-05, 1.84206e-06, 1.80801e-06, 1.81187e-06, 1.85696e-06, 1.79775e-06, 2.03756e-05, 1.79773e-06, 1.79773e-06, 2.0174e-06
0.600237, 2, 0.000104512, 3.37353e-06, 2, 1.9999, 3.37353e-06, 3.37364e-06, 3.37387e-06, 8.06502e-06, 3.57377e-06, 3.38736e-06, 1.70337e-05, 9.58296e-06, 5.72207e-06, 3.03169e-05, 2.52561e-05, 3.43126e-06, 3.39284e-06, 3.40011e-06, 3.45933e-06, 3.37355e-06, 2.79601e-05, 3.37353e-06, 3.37353e-06, 3.78647e-06
0.608106, 2, 0.000180748, 6.19071e-06, 2, 1.99982, 6.19071e-06, 6.19091e-06, 6.19134e-06, 1.4816e-05, 6.55885e-06, 6.21614e-06, 3.13048e-05, 1.86602e-05, 1.05085e-05, 5.57259e-05, 4.64216e-05, 6.26558e-06, 6.22621e-06, 6.23958e-06, 6.31412e-06, 6.19075e-06, 3.90189e-05, 6.19071e-06, 6.19071e-06, 6.9499e-06
0.615975, 0, 0.000312439, 1.11111e-05, 1.41421, -0.000312439, 1.11111e-05, 1.11114e-05, 1.11122e-05, 2.66222e-05, 1.17731e-05, 1.11568e-05, 5.62744e-05, 3.57135e-05, 1.88759e-05, 0.000100192, 8.34594e-05, 1.12078e-05, 1.11749e-05, 1.1199e-05, 1.12874e-05, 1.11111e-05, 5.54694e-05, 1.11111e-05, 1.11111e-05, 1.24763e-05
0.623844, 0, 0.000536689, 1.95075e-05, 1.41421, -0.000536689, 1.95075e-05, 1.95081e-05, 1.95095e-05, 4.67966e-05, 2.06722e-05, 1.95879e-05, 9.89649e-05, 6.71872e-05, 3.31683e-05, 0.00017623, 0.000146792, 1.96318e-05, 1.96198e-05, 1.96621e-05, 1.97578e-05, 1.95076e-05, 8.03025e-05, 1.95075e-05, 1.95075e-05, 2.19094e-05
