   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_10.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.286868, 0, 3.80779e-10, 5.64723e-43, 1.41421, -3.80779e-10, 0, 5.64723e-43, 5.64723e-43, 5.64723e-43, 5.64723e-43, 5.64723e-43, 5.64723e-43, 5.64723e-43, 5.64723e-43, 5.64723e-43, 5.64723e-43, 5.64723e-43, 3.44646e-12, 5.64723e-43, 5.64723e-43, 1.67381e-14, 9.41025e-14, 5.64723e-43, 3.77222e-10, 5.64723e-43, 5.64723e-43, 5.64723e-43
0.294776, 0, 5.77351e-10, 8.45263e-42, 1.41421, -5.77351e-10, 0, 8.45263e-42, 8.45263e-42, 8.45263e-42, 8.45263e-42, 8.45263e-42, 8.45263e-42, 8.45263e-42, 8.45263e-42, 8.45263e-42, 8.45263e-42, 8.45263e-42, 5.22778e-12, 8.45263e-42, 8.45263e-42, 2.64519e-14, 1.50146e-13, 8.45263e-42, 5.71946e-10, 8.45263e-42, 8.45263e-42, 8.45263e-42
0.302683, 0, 8.6982e-10, 1.15763e-40, 1.41421, -8.6982e-10, 0, 1.15763e-40, 1.15763e-40, 1.15763e-40, 1.15763e-40, 1.15763e-40, 1.15763e-40, 1.15763e-40, 1.15763e-40, 1.15763e-40, 1.15763e-40, 1.15763e-40, 7.87995e-12, 1.15763e-40, 1.15763e-40, 4.1671e-14, 2.38619e-13, 1.15763e-40, 8.61659e-10, 1.15763e-40, 1.15763e-40, 1.15763e-40
0.310591, 0, 1.30214e-09, 1.42179e-39, 1.41421, -1.30214e-09, 0, 1.42179e-39, 1.42179e-39, 1.42179e-39, 1.42179e-39, 1.42179e-39, 1.42179e-39, 1.42179e-39, 1.42179e-39, 1.42179e-39, 1.42179e-39, 1.42179e-39, 1.18035e-11, 1.42179e-39, 1.42179e-39, 6.54656e-14, 3.77809e-13, 1.42179e-39, 1.28989e-09, 1.42179e-39, 1.42179e-39, 1.42179e-39
0.318499, 0, 1.93703e-09, 1.57114e-38, 1.41421, -1.93703e-09, 0, 1.57114e-38, 1.57114e-38, 1.57114e-38, 1.57114e-38, 1.57114e-38, 1.57114e-38, 1.57114e-38, 1.57114e-38, 1.57114e-38, 1.57114e-38, 1.57114e-38, 1.75713e-11, 1.57114e-38, 1.57114e-38, 1.02607e-13, 5.96096e-13, 1.57114e-38, 1.91876e-09, 1.57114e-38, 1.57114e-38, 1.57114e-38
0.326407, 0, 2.8634e-09, 1.56932e-37, 1.41421, -2.8634e-09, 0, 1.56932e-37, 1.56932e-37, 1.56932e-37, 1.56932e-37, 1.56932e-37, 1.56932e-37, 1.56932e-37, 1.56932e-37, 1.56932e-37, 1.56932e-37, 1.56932e-37, 2.59972e-11, 1.56932e-37, 1.56932e-37, 1.60514e-13, 9.37433e-13, 1.56932e-37, 2.8363e-09, 1.56932e-37, 1.56932e-37, 1.56932e-37
0.334315, 0, 4.20637e-09, 1.42508e-36, 1.41421, -4.20637e-09, 0, 1.42508e-36, 1.42508e-36, 1.42508e-36, 1.42508e-36, 1.42508e-36, 1.42508e-36, 1.42508e-36, 1.42508e-36, 1.42508e-36, 1.42508e-36, 1.42508e-36, 3.82296e-11, 1.42508e-36, 1.42508e-36, 2.50726e-13, 1.46976e-12, 1.42508e-36, 4.16642e-09, 1.42508e-36, 1.42508e-36, 1.42508e-36
0.342223, 0, 6.14088e-09, 1.18279e-35, 1.41421, -6.14088e-09, 0, 1.18279e-35, 1.18279e-35, 1.18279e-35, 1.18279e-35, 1.18279e-35, 1.18279e-35, 1.18279e-35, 1.18279e-35, 1.18279e-35, 1.18279e-35, 1.18279e-35, 5.58794e-11, 1.18279e-35, 1.18279e-35, 3.91211e-13, 2.29795e-12, 1.18279e-35, 6.08231e-09, 1.18279e-35, 1.18279e-35, 1.18279e-35
0.350131, 0, 8.90974e-09, 9.01448e-35, 1.41421, -8.90974e-09, 0, 9.01448e-35, 9.01448e-35, 9.01448e-35, 9.01448e-35, 9.01448e-35, 9.01448e-35, 9.01448e-35, 9.01448e-35, 9.01448e-35, 9.01448e-35, 9.01448e-35, 8.11917e-11, 9.01448e-35, 9.01448e-35, 6.09965e-13, 3.5836e-12, 9.01448e-35, 8.82435e-09, 9.01448e-35, 9.01448e-35, 9.01448e-35
0.358039, 0, 1.28478e-08, 6.33819e-34, 1.41421, -1.28478e-08, 0, 6.33819e-34, 6.33819e-34, 6.33819e-34, 6.33819e-34, 6.33819e-34, 6.33819e-34, 6.33819e-34, 6.33819e-34, 6.33819e-34, 6.33819e-34, 6.33819e-34, 1.17276e-10, 6.33819e-34, 6.33819e-34, 9.50637e-13, 5.57542e-12, 6.33819e-34, 1.2724e-08, 6.33819e-34, 6.33819e-34, 6.33819e-34
0.365947, 0, 1.84136e-08, 4.36323e-33, 1.41421, -1.84136e-08, 0, 4.36323e-33, 4.36323e-33, 4.36323e-33, 4.36323e-33, 4.36323e-33, 4.36323e-33, 4.36323e-33, 4.36323e-33, 4.36323e-33, 4.36323e-33, 4.36323e-33, 1.68414e-10, 4.36323e-33, 4.36323e-33, 1.4813e-12, 8.65554e-12, 4.36323e-33, 1.82351e-08, 4.36323e-33, 4.36323e-33, 4.36323e-33
0.373854, 0, 2.62311e-08, 2.55936e-32, 1.41421, -2.62311e-08, 0, 2.55936e-32, 2.55936e-32, 2.55936e-32, 2.55936e-32, 2.55936e-32, 2.55936e-32, 2.55936e-32, 2.55936e-32, 2.55936e-32, 2.55936e-32, 2.55936e-32, 2.40466e-10, 2.55936e-32, 2.55936e-32, 2.30815e-12, 1.34104e-11, 2.55936e-32, 2.59749e-08, 2.55936e-32, 2.55936e-32, 2.55936e-32
0.381762, 0, 3.71429e-08, 1.40947e-31, 1.41421, -3.71429e-08, 0, 1.40947e-31, 1.40947e-31, 1.40947e-31, 1.40947e-31, 1.40947e-31, 1.40947e-31, 1.40947e-31, 1.40947e-31, 1.40947e-31, 1.40947e-31, 1.40947e-31, 3.41406e-10, 1.40947e-31, 1.40947e-31, 3.59669e-12, 2.07381e-11, 1.40947e-31, 3.67772e-08, 1.40947e-31, 1.40947e-31, 1.40947e-31
0.38967, 0, 5.22807e-08, 7.65903e-31, 1.41421, -5.22807e-08, 0, 7.65903e-31, 7.65903e-31, 7.65903e-31, 7.65903e-31, 7.65903e-31, 7.65903e-31, 7.65903e-31, 7.65903e-31, 7.65903e-31, 7.65903e-31, 7.65903e-31, 4.82027e-10, 7.65903e-31, 7.65903e-31, 5.6047e-12, 3.20115e-11, 7.65903e-31, 5.1761e-08, 7.65903e-31, 7.65903e-31, 7.65903e-31
0.397578, 0, 7.31531e-08, 3.96855e-30, 1.41421, -7.31531e-08, 0, 3.96855e-30, 3.96855e-30, 3.96855e-30, 3.96855e-30, 3.96855e-30, 3.96855e-30, 3.96855e-30, 3.96855e-30, 3.96855e-30, 3.96855e-30, 3.96855e-30, 6.76851e-10, 3.96855e-30, 3.96855e-30, 8.73295e-12, 4.93245e-11, 3.96855e-30, 7.24182e-08, 3.96855e-30, 3.96855e-30, 3.96855e-30
0.405486, 0, 1.01759e-07, 1.94055e-29, 1.41421, -1.01759e-07, 0, 1.94055e-29, 1.94055e-29, 1.94055e-29, 1.94055e-29, 1.94055e-29, 1.94055e-29, 1.94055e-29, 1.94055e-29, 1.94055e-29, 1.94055e-29, 1.94055e-29, 9.45324e-10, 1.94055e-29, 1.94055e-29, 1.36031e-11, 7.58616e-11, 1.94055e-29, 1.00724e-07, 1.94055e-29, 1.94055e-29, 1.94055e-29
0.413394, 0, 1.40729e-07, 9.02895e-29, 1.41421, -1.40729e-07, 0, 9.02895e-29, 9.02895e-29, 9.02895e-29, 9.02895e-29, 9.02895e-29, 9.02895e-29, 9.02895e-29, 9.02895e-29, 9.02895e-29, 9.02895e-29, 9.02895e-29, 1.31334e-09, 9.02895e-29, 9.02895e-29, 2.11768e-11, 1.1645e-10, 9.02895e-29, 1.39278e-07, 9.02895e-29, 9.02895e-29, 9.02895e-29
0.421302, 0, 1.93504e-07, 4.03261e-28, 1.41421, -1.93504e-07, 0, 4.03261e-28, 4.03261e-28, 4.03261e-28, 4.03261e-28, 4.03261e-28, 4.03261e-28, 4.03261e-28, 4.03261e-28, 4.03261e-28, 4.03261e-28, 4.03261e-28, 1.81522e-09, 4.03261e-28, 4.03261e-28, 3.29361e-11, 1.78382e-10, 4.03261e-28, 1.91477e-07, 4.03261e-28, 4.03261e-28, 4.03261e-28
0.42921, 0, 2.64556e-07, 1.7173e-27, 1.41421, -2.64556e-07, 0, 1.7173e-27, 1.7173e-27, 1.7173e-27, 1.7173e-27, 1.7173e-27, 1.7173e-27, 1.7173e-27, 1.7173e-27, 1.7173e-27, 1.7173e-27, 1.7173e-27, 2.49622e-09, 1.7173e-27, 1.7173e-27, 5.11565e-11, 2.72624e-10, 1.7173e-27, 2.61736e-07, 1.7173e-27, 1.7173e-27, 1.7173e-27
0.437118, 0, 3.5966e-07, 6.96648e-27, 1.41421, -3.5966e-07, 0, 6.96648e-27, 6.96648e-27, 6.96648e-27, 6.96648e-27, 6.96648e-27, 6.96648e-27, 6.96648e-27, 6.96648e-27, 6.96648e-27, 6.96648e-27, 6.96648e-27, 3.41573e-09, 6.96648e-27, 6.96648e-27, 7.9315e-11, 4.1559e-10, 6.96648e-27, 3.55749e-07, 6.96648e-27, 6.96648e-27, 6.96648e-27
0.445025, 0, 4.86232e-07, 2.69448e-26, 1.41421, -4.86232e-07, 0, 2.69448e-26, 2.69448e-26, 2.69448e-26, 2.69448e-26, 2.69448e-26, 2.69448e-26, 2.69448e-26, 5.20586e-12, 2.69448e-26, 2.69448e-26, 2.69448e-26, 4.6513e-09, 2.69448e-26, 2.69448e-26, 1.22697e-10, 6.31715e-10, 2.69448e-26, 4.80821e-07, 2.69448e-26, 2.69448e-26, 2.69448e-26
0.452933, 0, 6.53731e-07, 9.95453e-26, 1.41421, -6.53731e-07, 0, 9.95453e-26, 9.95453e-26, 9.95453e-26, 9.95453e-26, 9.95453e-26, 9.95453e-26, 9.95453e-26, 1.98377e-11, 9.95453e-26, 9.95453e-26, 9.95453e-26, 6.30378e-09, 9.95453e-26, 9.95453e-26, 1.89296e-10, 9.57173e-10, 9.95453e-26, 6.46261e-07, 9.95453e-26, 9.95453e-26, 9.95453e-26
0.460841, 0, 8.74149e-07, 3.52517e-25, 1.41421, -8.74149e-07, 0, 3.52517e-25, 3.52517e-25, 3.52517e-25, 3.52517e-25, 3.52517e-25, 3.52517e-25, 3.52517e-25, 5.16762e-11, 3.52517e-25, 3.52517e-25, 3.52517e-25, 8.50361e-09, 3.52517e-25, 3.52517e-25, 2.91121e-10, 1.44515e-09, 3.52517e-25, 8.63857e-07, 3.52517e-25, 3.52517e-25, 3.52517e-25
0.468749, 0, 1.16505e-06, 1.21173e-24, 1.41421, -1.16505e-06, 0, 4.53616e-14, 1.23015e-13, 7.21849e-14, 5.50889e-10, 4.65559e-12, 1.59289e-11, 2.13516e-12, 5.32298e-10, 7.4754e-11, 9.42119e-12, 1.11033e-09, 1.14191e-08, 1.97215e-11, 3.04773e-12, 4.4611e-10, 2.17334e-09, 1.78939e-15, 1.14862e-06, 1.21173e-24, 1.21173e-24, 7.22249e-11
0.476657, 0, 1.54621e-06, 3.15516e-10, 1.41421, -1.54621e-06, 3.15516e-10, 3.15662e-10, 3.15911e-10, 3.15748e-10, 2.08229e-09, 3.30447e-10, 3.66602e-10, 3.22364e-10, 1.90007e-09, 5.55262e-10, 3.45731e-10, 3.8765e-09, 1.55812e-08, 3.78766e-10, 3.25291e-10, 9.96448e-10, 3.56992e-09, 3.15522e-10, 1.51945e-06, 3.15516e-10, 3.15516e-10, 5.47151e-10
0.484565, 0, 2.04463e-06, 1.00161e-09, 1.41421, -2.04463e-06, 1.00161e-09, 1.00198e-09, 1.00259e-09, 1.00219e-09, 5.38774e-09, 1.03868e-09, 1.12844e-09, 1.01861e-09, 4.83681e-09, 1.5968e-09, 1.07663e-09, 9.84196e-09, 2.13199e-08, 1.15863e-09, 1.02588e-09, 2.03643e-09, 5.852e-09, 1.00163e-09, 1.99975e-06, 1.00161e-09, 1.00161e-09, 1.57666e-09
0.492473, 0, 2.69703e-06, 2.47164e-09, 1.41421, -2.69703e-06, 2.47164e-09, 2.47246e-09, 2.47385e-09, 2.47294e-09, 1.23797e-08, 2.55538e-09, 2.75813e-09, 2.51004e-09, 1.10202e-08, 3.81614e-09, 2.64109e-09, 2.24417e-08, 2.93978e-08, 2.82635e-09, 2.52646e-09, 4.03684e-09, 9.66418e-09, 2.47167e-09, 2.61928e-06, 2.47164e-09, 2.47164e-09, 3.77066e-09
0.500381, 0, 3.55372e-06, 5.56148e-09, 1.41421, -3.55372e-06, 5.56148e-09, 5.56324e-09, 5.56624e-09, 5.56428e-09, 2.68744e-08, 5.7416e-09, 6.17774e-09, 5.64409e-09, 2.37845e-08, 8.45359e-09, 5.92597e-09, 4.85183e-08, 4.1092e-08, 6.32447e-09, 5.67939e-09, 7.91698e-09, 1.61707e-08, 5.56155e-09, 3.41491e-06, 5.56148e-09, 5.56148e-09, 8.35574e-09
0.508289, 0, 4.68701e-06, 1.19303e-08, 1.41421, -4.68701e-06, 1.19303e-08, 1.1934e-08, 1.19402e-08, 1.19361e-08, 5.63327e-08, 1.23056e-08, 1.32142e-08, 1.21024e-08, 4.96147e-08, 1.79556e-08, 1.26897e-08, 1.01424e-07, 5.86167e-08, 1.35199e-08, 1.2176e-08, 1.54564e-08, 2.74987e-08, 1.19305e-08, 4.43335e-06, 1.19303e-08, 1.19303e-08, 1.77517e-08
0.516196, 0, 6.21303e-06, 2.48022e-08, 1.41421, -6.21303e-06, 2.48022e-08, 2.48096e-08, 2.48223e-08, 2.4814e-08, 1.1504e-07, 2.55648e-08, 2.74114e-08, 2.51519e-08, 1.09357e-07, 3.70472e-08, 2.63454e-08, 2.06679e-07, 8.58908e-08, 2.80327e-08, 2.53014e-08, 3.00514e-08, 4.75182e-08, 2.48025e-08, 5.7342e-06, 2.48022e-08, 2.48022e-08, 3.6633e-08
0.524104, 0, 8.32509e-06, 5.03165e-08, 1.41421, -8.32509e-06, 5.03165e-08, 5.03313e-08, 5.03566e-08, 5.034e-08, 2.29789e-07, 5.18332e-08, 5.55059e-08, 5.10121e-08, 2.53448e-07, 7.46704e-08, 5.33858e-08, 4.12048e-07, 1.29919e-07, 5.67415e-08, 5.13094e-08, 5.80861e-08, 8.32472e-08, 5.03171e-08, 7.3946e-06, 5.03165e-08, 5.03165e-08, 7.38464e-08
