   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_298.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.248247, 0, 3.4936e-13, 0, 1.41421, -3.4936e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16699e-14, 0, 0, 0, 8.17061e-17, 0, 3.37608e-13, 0, 0, 0
0.25611, 0, 6.07699e-13, 0, 1.41421, -6.07699e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02997e-14, 0, 0, 0, 1.46243e-16, 0, 5.87253e-13, 0, 0, 0
0.263974, 0, 1.04816e-12, 0, 1.41421, -1.04816e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50135e-14, 0, 0, 0, 2.59855e-16, 0, 1.01288e-12, 0, 0, 0
0.271838, 0, 1.79271e-12, 0, 1.41421, -1.79271e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.98871e-14, 0, 0, 0, 4.58418e-16, 0, 1.73237e-12, 0, 0, 0
0.279702, 0, 3.04066e-12, 0, 1.41421, -3.04066e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0158e-13, 0, 0, 0, 8.03046e-16, 0, 2.93828e-12, 0, 0, 0
0.287565, 0, 5.11774e-12, 0, 1.41421, -5.11774e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70982e-13, 0, 0, 0, 1.40001e-15, 0, 4.94536e-12, 0, 0, 0
0.295429, 0, 8.53709e-12, 0, 1.41421, -8.53709e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85246e-13, 0, 0, 0, 2.41933e-15, 0, 8.24942e-12, 0, 0, 0
0.303293, 0, 1.41249e-11, 0, 1.41421, -1.41249e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.72003e-13, 0, 0, 0, 4.15406e-15, 0, 1.36488e-11, 0, 0, 0
0.311157, 0, 2.31808e-11, 0, 1.41421, -2.31808e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74729e-13, 0, 0, 0, 7.08856e-15, 0, 2.2399e-11, 0, 0, 0
0.319021, 0, 3.77358e-11, 2.08793e-43, 1.41421, -3.77358e-11, 0, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 1.26142e-12, 2.08793e-43, 2.08793e-43, 2.08793e-43, 1.20243e-14, 2.08793e-43, 3.64624e-11, 2.08793e-43, 2.08793e-43, 2.08793e-43
0.326884, 0, 6.09373e-11, 3.54248e-42, 1.41421, -6.09373e-11, 0, 3.54248e-42, 3.54248e-42, 3.54248e-42, 3.54248e-42, 3.54248e-42, 3.54248e-42, 3.54248e-42, 3.54248e-42, 2.03748e-12, 3.54248e-42, 3.54248e-42, 3.54248e-42, 2.02817e-14, 3.54248e-42, 5.88795e-11, 3.54248e-42, 3.54248e-42, 3.54248e-42
0.334748, 0, 9.76193e-11, 4.97419e-41, 1.41421, -9.76193e-11, 0, 4.97419e-41, 4.97419e-41, 4.97419e-41, 4.97419e-41, 4.97419e-41, 4.97419e-41, 4.97419e-41, 4.97419e-41, 3.26497e-12, 4.97419e-41, 4.97419e-41, 4.97419e-41, 3.4027e-14, 4.97419e-41, 9.43203e-11, 4.97419e-41, 4.97419e-41, 4.97419e-41
0.342612, 0, 1.55142e-10, 6.19806e-40, 1.41421, -1.55142e-10, 0, 6.19806e-40, 6.19806e-40, 6.19806e-40, 6.19806e-40, 6.19806e-40, 6.19806e-40, 6.19806e-40, 6.19806e-40, 5.19088e-12, 6.19806e-40, 6.19806e-40, 6.19806e-40, 5.68019e-14, 6.19806e-40, 1.49894e-10, 6.19806e-40, 6.19806e-40, 6.19806e-40
0.350476, 0, 2.44615e-10, 6.91381e-39, 1.41421, -2.44615e-10, 0, 6.91381e-39, 6.91381e-39, 6.91381e-39, 6.91381e-39, 6.91381e-39, 6.91381e-39, 6.91381e-39, 6.91381e-39, 8.18851e-12, 6.91381e-39, 6.91381e-39, 6.91381e-39, 9.4381e-14, 6.91381e-39, 2.36332e-10, 6.91381e-39, 6.91381e-39, 6.91381e-39
0.358339, 0, 3.82664e-10, 6.97843e-38, 1.41421, -3.82664e-10, 0, 6.97843e-38, 6.97843e-38, 6.97843e-38, 6.97843e-38, 6.97843e-38, 6.97843e-38, 6.97843e-38, 6.97843e-38, 1.28174e-11, 6.97843e-38, 6.97843e-38, 6.97843e-38, 1.56158e-13, 6.97843e-38, 3.69691e-10, 6.97843e-38, 6.97843e-38, 6.97843e-38
0.366203, 0, 5.93955e-10, 6.40807e-37, 1.41421, -5.93955e-10, 0, 6.40807e-37, 6.40807e-37, 6.40807e-37, 6.40807e-37, 6.40807e-37, 6.40807e-37, 6.40807e-37, 6.40807e-37, 1.99092e-11, 6.40807e-37, 6.40807e-37, 6.40807e-37, 2.57386e-13, 6.40807e-37, 5.73788e-10, 6.40807e-37, 6.40807e-37, 6.40807e-37
0.374067, 0, 9.14769e-10, 5.38524e-36, 1.41421, -9.14769e-10, 0, 5.38524e-36, 5.38524e-36, 5.38524e-36, 5.38524e-36, 5.38524e-36, 5.38524e-36, 5.38524e-36, 5.38524e-36, 3.06904e-11, 5.38524e-36, 5.38524e-36, 5.38524e-36, 4.22809e-13, 5.38524e-36, 8.83655e-10, 5.38524e-36, 5.38524e-36, 5.38524e-36
0.381931, 0, 1.39801e-09, 4.15816e-35, 1.41421, -1.39801e-09, 0, 4.15816e-35, 4.15816e-35, 4.15816e-35, 4.15816e-35, 4.15816e-35, 4.15816e-35, 4.15816e-35, 4.15816e-35, 4.69544e-11, 4.15816e-35, 4.15816e-35, 4.15816e-35, 6.92525e-13, 4.15816e-35, 1.35037e-09, 4.15816e-35, 4.15816e-35, 4.15816e-35
0.389795, 0, 2.1202e-09, 2.96312e-34, 1.41421, -2.1202e-09, 0, 2.96312e-34, 2.96312e-34, 2.96312e-34, 2.96312e-34, 2.96312e-34, 2.96312e-34, 2.96312e-34, 2.96312e-34, 7.1304e-11, 2.96312e-34, 2.96312e-34, 2.96312e-34, 1.13151e-12, 2.96312e-34, 2.04777e-09, 2.96312e-34, 2.96312e-34, 2.96312e-34
0.397658, 0, 3.19104e-09, 2.03169e-33, 1.41421, -3.19104e-09, 0, 2.03169e-33, 2.03169e-33, 2.03169e-33, 2.03169e-33, 2.03169e-33, 2.03169e-33, 2.03169e-33, 2.03169e-33, 1.07487e-10, 2.03169e-33, 2.03169e-33, 2.03169e-33, 1.84501e-12, 2.03169e-33, 3.08171e-09, 2.03169e-33, 2.03169e-33, 2.03169e-33
0.405522, 0, 4.76652e-09, 1.16086e-32, 1.41421, -4.76652e-09, 0, 1.16086e-32, 1.16086e-32, 1.16086e-32, 1.16086e-32, 1.16086e-32, 1.16086e-32, 1.16086e-32, 1.16086e-32, 1.60858e-10, 1.16086e-32, 1.16086e-32, 1.16086e-32, 3.00351e-12, 1.16086e-32, 4.60266e-09, 1.16086e-32, 1.16086e-32, 1.16086e-32
0.413386, 0, 7.06661e-09, 6.25744e-32, 1.41421, -7.06661e-09, 0, 6.25744e-32, 6.25744e-32, 6.25744e-32, 6.25744e-32, 6.25744e-32, 6.25744e-32, 6.25744e-32, 6.25744e-32, 2.39015e-10, 6.25744e-32, 6.25744e-32, 6.25744e-32, 4.88308e-12, 6.25744e-32, 6.82271e-09, 6.25744e-32, 6.25744e-32, 6.25744e-32
0.42125, 0, 1.03989e-08, 3.37334e-31, 1.41421, -1.03989e-08, 0, 3.37334e-31, 3.37334e-31, 3.37334e-31, 3.37334e-31, 3.37334e-31, 3.37334e-31, 3.37334e-31, 3.37334e-31, 3.52652e-10, 3.37334e-31, 3.37334e-31, 3.37334e-31, 7.93049e-12, 3.37334e-31, 1.00383e-08, 3.37334e-31, 3.37334e-31, 3.37334e-31
0.429113, 0, 1.51901e-08, 1.74846e-30, 1.41421, -1.51901e-08, 0, 1.74846e-30, 1.74846e-30, 1.74846e-30, 1.74846e-30, 1.74846e-30, 1.74846e-30, 1.74846e-30, 1.74846e-30, 5.16729e-10, 1.74846e-30, 1.74846e-30, 1.74846e-30, 1.28682e-11, 1.74846e-30, 1.46605e-08, 1.74846e-30, 1.74846e-30, 1.74846e-30
0.436977, 0, 2.20273e-08, 8.58872e-30, 1.41421, -2.20273e-08, 0, 8.58872e-30, 8.58872e-30, 8.58872e-30, 8.58872e-30, 8.58872e-30, 8.58872e-30, 8.58872e-30, 8.58872e-30, 7.52019e-10, 8.58872e-30, 8.58872e-30, 8.58872e-30, 2.08621e-11, 8.58872e-30, 2.12545e-08, 8.58872e-30, 8.58872e-30, 8.58872e-30
0.444841, 0, 3.17118e-08, 4.00408e-29, 1.41421, -3.17118e-08, 0, 4.00408e-29, 4.00408e-29, 4.00408e-29, 4.00408e-29, 4.00408e-29, 4.00408e-29, 4.00408e-29, 4.00408e-29, 1.08718e-09, 4.00408e-29, 4.00408e-29, 4.00408e-29, 3.37901e-11, 4.00408e-29, 3.05909e-08, 4.00408e-29, 4.00408e-29, 4.00408e-29
0.452705, 0, 4.53288e-08, 1.80398e-28, 1.41421, -4.53288e-08, 0, 1.80398e-28, 1.80398e-28, 1.80398e-28, 1.80398e-28, 1.80398e-28, 1.80398e-28, 1.80398e-28, 1.80398e-28, 1.56149e-09, 1.80398e-28, 1.80398e-28, 1.80398e-28, 5.46665e-11, 1.80398e-28, 4.37126e-08, 1.80398e-28, 1.80398e-28, 1.80398e-28
0.460569, 0, 6.43359e-08, 7.78103e-28, 1.41421, -6.43359e-08, 0, 7.78103e-28, 7.78103e-28, 7.78103e-28, 7.78103e-28, 7.78103e-28, 7.78103e-28, 7.78103e-28, 7.78103e-28, 2.22847e-09, 7.78103e-28, 7.78103e-28, 7.78103e-28, 8.83095e-11, 7.78103e-28, 6.20191e-08, 7.78103e-28, 7.78103e-28, 7.78103e-28
0.468432, 0, 9.06767e-08, 3.20227e-27, 1.41421, -9.06767e-08, 0, 3.20227e-27, 3.20227e-27, 3.20227e-27, 3.20227e-27, 3.20227e-27, 3.20227e-27, 3.20227e-27, 3.20227e-27, 3.16056e-09, 3.20227e-27, 3.20227e-27, 3.20227e-27, 1.42384e-10, 3.20227e-27, 8.73738e-08, 3.20227e-27, 3.20227e-27, 3.20227e-27
0.476296, 0, 1.26923e-07, 1.25851e-26, 1.41421, -1.26923e-07, 0, 1.25851e-26, 1.25851e-26, 1.25851e-26, 1.25851e-26, 1.25851e-26, 1.25851e-26, 1.25851e-26, 1.25851e-26, 4.45524e-09, 1.25851e-26, 1.25851e-26, 1.25851e-26, 2.29011e-10, 1.25851e-26, 1.22239e-07, 1.25851e-26, 1.25851e-26, 1.25851e-26
0.48416, 0, 1.76451e-07, 4.729e-26, 1.41421, -1.76451e-07, 0, 4.729e-26, 4.729e-26, 4.729e-26, 4.729e-26, 4.729e-26, 5.62877e-13, 4.729e-26, 4.729e-26, 6.24296e-09, 4.729e-26, 4.729e-26, 4.729e-26, 3.67229e-10, 4.729e-26, 1.69841e-07, 4.729e-26, 4.729e-26, 4.729e-26
0.492024, 0, 2.43663e-07, 1.70199e-25, 1.41421, -2.43663e-07, 0, 1.70199e-25, 1.70199e-25, 1.70199e-25, 1.70199e-25, 1.70199e-25, 1.92745e-12, 1.70199e-25, 1.70199e-25, 8.69718e-09, 1.70199e-25, 1.70199e-25, 1.70199e-25, 5.86721e-10, 1.70199e-25, 2.34377e-07, 1.70199e-25, 1.70199e-25, 1.70199e-25
0.499887, 0, 3.36335e-07, 5.93483e-25, 1.41421, -3.36335e-07, 0, 4.39025e-14, 4.44033e-14, 8.60199e-10, 2.47047e-11, 1.49624e-11, 3.09358e-11, 4.06045e-11, 1.05121e-09, 1.20476e-08, 2.80026e-13, 4.6495e-12, 5.93483e-25, 9.33372e-10, 1.43828e-15, 3.21311e-07, 5.93483e-25, 5.93483e-25, 1.61092e-11
0.507751, 0, 4.62824e-07, 1.90656e-10, 1.41421, -4.62824e-07, 1.90656e-10, 1.90806e-10, 1.90808e-10, 3.12315e-09, 2.74877e-10, 2.41664e-10, 2.91075e-10, 3.29081e-10, 3.77433e-09, 1.67865e-08, 1.91611e-10, 2.06507e-10, 1.90656e-10, 1.66817e-09, 1.90661e-10, 4.37788e-07, 1.90656e-10, 1.90656e-10, 2.45574e-10
0.515615, 0, 6.3632e-07, 6.48458e-10, 1.41421, -6.3632e-07, 6.48458e-10, 6.48855e-10, 6.48859e-10, 8.42589e-09, 8.71824e-10, 7.83739e-10, 9.1051e-10, 1.01558e-09, 1.01529e-08, 2.33847e-08, 6.50989e-10, 6.90496e-10, 6.48458e-10, 2.97431e-09, 6.48471e-10, 5.92797e-07, 6.48458e-10, 6.48458e-10, 7.94108e-10
0.523479, 0, 8.77339e-07, 1.7158e-09, 1.41421, -8.77339e-07, 1.7158e-09, 1.71676e-09, 1.71677e-09, 2.05235e-08, 2.25596e-09, 2.04295e-09, 2.34413e-09, 2.60359e-09, 2.46998e-08, 3.26971e-08, 1.72193e-09, 1.81746e-09, 1.7158e-09, 5.35449e-09, 1.71584e-09, 7.98082e-07, 1.7158e-09, 1.7158e-09, 2.06802e-09
0.531343, 0, 1.21914e-06, 4.1392e-09, 1.41421, -1.21914e-06, 4.1392e-09, 4.14141e-09, 4.14144e-09, 4.74353e-08, 5.38266e-09, 4.8923e-09, 5.57717e-09, 6.18293e-09, 5.70494e-08, 4.61323e-08, 4.1533e-09, 4.37322e-09, 4.1392e-09, 9.79357e-09, 4.13927e-09, 1.06874e-06, 4.1392e-09, 4.1392e-09, 4.95002e-09
0.539206, 0, 1.71864e-06, 9.50898e-09, 1.41421, -1.71864e-06, 9.50898e-09, 9.51389e-09, 9.51395e-09, 1.05857e-07, 1.22761e-08, 1.11849e-08, 1.2693e-08, 1.40569e-08, 1.27252e-07, 6.61307e-08, 9.54034e-09, 1.00298e-08, 9.50898e-09, 1.82324e-08, 9.50914e-09, 1.42466e-06, 9.50898e-09, 9.50898e-09, 1.13133e-08
