   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_269.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.301032, 0, 1.22722e-11, 0, 1.41421, -1.22722e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.37532e-14, 0, 0, 1.54155e-16, 0, 0, 1.21883e-11, 0, 0, 0
0.308901, 0, 2.1014e-11, 0, 1.41421, -2.1014e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43421e-13, 0, 0, 2.71606e-16, 0, 0, 2.08704e-11, 0, 0, 0
0.31677, 0, 3.56652e-11, 0, 1.41421, -3.56652e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43436e-13, 0, 0, 4.75188e-16, 0, 0, 3.54213e-11, 0, 0, 0
0.324639, 0, 6.00001e-11, 0, 1.41421, -6.00001e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09584e-13, 0, 0, 8.25814e-16, 0, 0, 5.95897e-11, 0, 0, 0
0.332509, 0, 1.00059e-10, 2.70451e-43, 1.41421, -1.00059e-10, 0, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 6.83146e-13, 2.70451e-43, 2.70451e-43, 1.42615e-15, 2.70451e-43, 2.70451e-43, 9.93743e-11, 2.70451e-43, 2.70451e-43, 2.70451e-43
0.340378, 0, 1.65416e-10, 4.75601e-42, 1.41421, -1.65416e-10, 0, 4.75601e-42, 4.75601e-42, 4.75601e-42, 4.75601e-42, 4.75601e-42, 4.75601e-42, 4.75601e-42, 4.75601e-42, 4.75601e-42, 4.75601e-42, 1.1296e-12, 4.75601e-42, 4.75601e-42, 2.44853e-15, 4.75601e-42, 4.75601e-42, 1.64284e-10, 4.75601e-42, 4.75601e-42, 4.75601e-42
0.348247, 0, 2.71108e-10, 6.92087e-41, 1.41421, -2.71108e-10, 0, 6.92087e-41, 6.92087e-41, 6.92087e-41, 6.92087e-41, 6.92087e-41, 6.92087e-41, 6.92087e-41, 6.92087e-41, 6.92087e-41, 6.92087e-41, 1.85184e-12, 6.92087e-41, 6.92087e-41, 4.18138e-15, 6.92087e-41, 6.92087e-41, 2.69252e-10, 6.92087e-41, 6.92087e-41, 6.92087e-41
0.356116, 0, 4.40606e-10, 4.07004e-39, 1.41421, -4.40606e-10, 0, 4.07004e-39, 4.07004e-39, 4.07004e-39, 4.07004e-39, 4.07004e-39, 4.07004e-39, 4.07004e-39, 4.07004e-39, 4.07004e-39, 4.07004e-39, 3.0107e-12, 4.07004e-39, 4.07004e-39, 7.11988e-15, 4.07004e-39, 4.07004e-39, 4.37588e-10, 4.07004e-39, 4.07004e-39, 4.07004e-39
0.363986, 0, 7.09826e-10, 4.24624e-38, 1.41421, -7.09826e-10, 0, 4.24624e-38, 4.24624e-38, 4.24624e-38, 4.24624e-38, 4.24624e-38, 4.24624e-38, 4.24624e-38, 4.24624e-38, 4.24624e-38, 4.24624e-38, 4.85239e-12, 4.24624e-38, 4.24624e-38, 1.20486e-14, 4.24624e-38, 4.24624e-38, 7.04962e-10, 4.24624e-38, 4.24624e-38, 4.24624e-38
0.371855, 0, 1.13387e-09, 4.02199e-37, 1.41421, -1.13387e-09, 0, 4.02199e-37, 4.02199e-37, 4.02199e-37, 4.02199e-37, 4.02199e-37, 4.02199e-37, 4.02199e-37, 4.02199e-37, 4.02199e-37, 4.02199e-37, 7.75535e-12, 4.02199e-37, 4.02199e-37, 2.03143e-14, 4.02199e-37, 4.02199e-37, 1.12609e-09, 4.02199e-37, 4.02199e-37, 4.02199e-37
0.379724, 0, 1.79601e-09, 3.48137e-36, 1.41421, -1.79601e-09, 0, 3.48137e-36, 3.48137e-36, 3.48137e-36, 3.48137e-36, 3.48137e-36, 3.48137e-36, 3.48137e-36, 3.48137e-36, 3.48137e-36, 3.48137e-36, 1.22925e-11, 3.48137e-36, 3.48137e-36, 3.41449e-14, 3.48137e-36, 3.48137e-36, 1.78368e-09, 3.48137e-36, 3.48137e-36, 3.48137e-36
0.387593, 0, 2.82102e-09, 2.76516e-35, 1.41421, -2.82102e-09, 0, 2.76516e-35, 2.76516e-35, 2.76516e-35, 2.76516e-35, 2.76516e-35, 2.76516e-35, 2.76516e-35, 2.76516e-35, 2.76516e-35, 2.76516e-35, 1.93242e-11, 2.76516e-35, 2.76516e-35, 5.7248e-14, 2.76516e-35, 2.76516e-35, 2.80164e-09, 2.76516e-35, 2.76516e-35, 2.76516e-35
0.395463, 0, 4.39426e-09, 2.02438e-34, 1.41421, -4.39426e-09, 0, 2.02438e-34, 2.02438e-34, 2.02438e-34, 2.02438e-34, 2.02438e-34, 2.02438e-34, 2.02438e-34, 2.02438e-34, 2.02438e-34, 2.02438e-34, 3.01321e-11, 2.02438e-34, 2.02438e-34, 9.57954e-14, 2.02438e-34, 2.02438e-34, 4.36403e-09, 2.02438e-34, 2.02438e-34, 2.02438e-34
