   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_44.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.228755, 0, 9.83577e-13, 0, 1.41421, -9.83577e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.65254e-15, 0, 0, 0, 2.99933e-17, 0, 9.77895e-13, 0, 0, 0
0.236647, 0, 1.69856e-12, 0, 1.41421, -1.69856e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.76159e-15, 0, 0, 0, 5.32336e-17, 0, 1.68875e-12, 0, 0, 0
0.244539, 0, 2.90965e-12, 0, 1.41421, -2.90965e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67219e-14, 0, 0, 0, 9.38252e-17, 0, 2.89283e-12, 0, 0, 0
0.252432, 0, 4.94932e-12, 0, 1.41421, -4.94932e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84448e-14, 0, 0, 0, 1.64685e-16, 0, 4.92072e-12, 0, 0, 0
0.260324, 0, 8.34234e-12, 0, 1.41421, -8.34234e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79468e-14, 0, 0, 0, 2.86308e-16, 0, 8.29411e-12, 0, 0, 0
0.268216, 0, 1.39507e-11, 0, 1.41421, -1.39507e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.01841e-14, 0, 0, 0, 4.94528e-16, 0, 1.38701e-11, 0, 0, 0
0.276109, 0, 2.31471e-11, 0, 1.41421, -2.31471e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3305e-13, 0, 0, 0, 8.48795e-16, 0, 2.30132e-11, 0, 0, 0
0.284001, 0, 3.8107e-11, 0, 1.41421, -3.8107e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19057e-13, 0, 0, 0, 1.44792e-15, 0, 3.78865e-11, 0, 0, 0
0.291893, 0, 6.22502e-11, 0, 1.41421, -6.22502e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57882e-13, 0, 0, 0, 2.45531e-15, 0, 6.18898e-11, 0, 0, 0
0.299786, 0, 1.00907e-10, 0, 1.41421, -1.00907e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80207e-13, 0, 0, 0, 4.13979e-15, 0, 1.00323e-10, 0, 0, 0
0.307678, 0, 1.6232e-10, 1.35926e-43, 1.41421, -1.6232e-10, 0, 1.35926e-43, 1.35926e-43, 1.35926e-43, 1.35926e-43, 1.35926e-43, 1.35926e-43, 1.35926e-43, 1.35926e-43, 1.35926e-43, 1.35926e-43, 9.33492e-13, 1.35926e-43, 1.35926e-43, 1.35926e-43, 6.94173e-15, 1.35926e-43, 1.61379e-10, 1.35926e-43, 1.35926e-43, 1.35926e-43
0.315571, 0, 2.59121e-10, 2.39622e-42, 1.41421, -2.59121e-10, 0, 2.39622e-42, 2.39622e-42, 2.39622e-42, 2.39622e-42, 2.39622e-42, 2.39622e-42, 2.39622e-42, 2.39622e-42, 2.39622e-42, 2.39622e-42, 1.49054e-12, 2.39622e-42, 2.39622e-42, 2.39622e-42, 1.15794e-14, 2.39622e-42, 2.57619e-10, 2.39622e-42, 2.39622e-42, 2.39622e-42
0.323463, 0, 4.10522e-10, 3.50507e-41, 1.41421, -4.10522e-10, 0, 3.50507e-41, 3.50507e-41, 3.50507e-41, 3.50507e-41, 3.50507e-41, 3.50507e-41, 3.50507e-41, 3.50507e-41, 3.50507e-41, 3.50507e-41, 2.36212e-12, 3.50507e-41, 3.50507e-41, 3.50507e-41, 1.92202e-14, 3.50507e-41, 4.0814e-10, 3.50507e-41, 3.50507e-41, 3.50507e-41
0.331355, 0, 6.45486e-10, 4.54479e-40, 1.41421, -6.45486e-10, 0, 4.54479e-40, 4.54479e-40, 4.54479e-40, 4.54479e-40, 4.54479e-40, 4.54479e-40, 4.54479e-40, 4.54479e-40, 4.54479e-40, 4.54479e-40, 3.71544e-12, 4.54479e-40, 4.54479e-40, 4.54479e-40, 3.17556e-14, 4.54479e-40, 6.41739e-10, 4.54479e-40, 4.54479e-40, 4.54479e-40
0.339248, 0, 1.00734e-09, 5.26446e-39, 1.41421, -1.00734e-09, 0, 5.26446e-39, 5.26446e-39, 5.26446e-39, 5.26446e-39, 5.26446e-39, 5.26446e-39, 5.26446e-39, 5.26446e-39, 5.26446e-39, 5.26446e-39, 5.8009e-12, 5.26446e-39, 5.26446e-39, 5.26446e-39, 5.22416e-14, 5.26446e-39, 1.00148e-09, 5.26446e-39, 5.26446e-39, 5.26446e-39
0.34714, 0, 1.56034e-09, 5.50412e-38, 1.41421, -1.56034e-09, 0, 5.50412e-38, 5.50412e-38, 5.50412e-38, 5.50412e-38, 5.50412e-38, 5.50412e-38, 5.50412e-38, 5.50412e-38, 5.50412e-38, 5.50412e-38, 8.99046e-12, 5.50412e-38, 5.50412e-38, 5.50412e-38, 8.56052e-14, 5.50412e-38, 1.55126e-09, 5.50412e-38, 5.50412e-38, 5.50412e-38
0.355032, 0, 2.39902e-09, 5.22053e-37, 1.41421, -2.39902e-09, 0, 5.22053e-37, 5.22053e-37, 5.22053e-37, 5.22053e-37, 5.22053e-37, 5.22053e-37, 5.22053e-37, 5.22053e-37, 5.22053e-37, 5.22053e-37, 1.38323e-11, 5.22053e-37, 5.22053e-37, 5.22053e-37, 1.39776e-13, 5.22053e-37, 2.38505e-09, 5.22053e-37, 5.22053e-37, 5.22053e-37
0.362925, 0, 3.66135e-09, 4.52321e-36, 1.41421, -3.66135e-09, 0, 4.52321e-36, 4.52321e-36, 4.52321e-36, 4.52321e-36, 4.52321e-36, 4.52321e-36, 4.52321e-36, 4.52321e-36, 4.52321e-36, 4.52321e-36, 2.11284e-11, 4.52321e-36, 4.52321e-36, 4.52321e-36, 2.27499e-13, 4.52321e-36, 3.64e-09, 4.52321e-36, 4.52321e-36, 4.52321e-36
0.370817, 0, 5.54704e-09, 3.59409e-35, 1.41421, -5.54704e-09, 0, 3.59409e-35, 3.59409e-35, 3.59409e-35, 3.59409e-35, 3.59409e-35, 3.59409e-35, 3.59409e-35, 3.59409e-35, 3.59409e-35, 3.59409e-35, 3.20425e-11, 3.59409e-35, 3.59409e-35, 3.59409e-35, 3.69235e-13, 3.59409e-35, 5.51462e-09, 3.59409e-35, 3.59409e-35, 3.59409e-35
0.378709, 0, 8.3428e-09, 2.63044e-34, 1.41421, -8.3428e-09, 0, 2.63044e-34, 2.63044e-34, 2.63044e-34, 2.63044e-34, 2.63044e-34, 2.63044e-34, 2.63044e-34, 2.63044e-34, 2.63044e-34, 2.63044e-34, 4.82511e-11, 2.63044e-34, 2.63044e-34, 2.63044e-34, 5.97809e-13, 2.63044e-34, 8.29395e-09, 2.63044e-34, 2.63044e-34, 2.63044e-34
0.386602, 0, 1.2457e-08, 1.81812e-33, 1.41421, -1.2457e-08, 0, 1.81812e-33, 1.81812e-33, 1.81812e-33, 1.81812e-33, 1.81812e-33, 1.81812e-33, 1.81812e-33, 1.81812e-33, 1.81812e-33, 1.81812e-33, 7.21514e-11, 1.81812e-33, 1.81812e-33, 1.81812e-33, 9.65839e-13, 1.81812e-33, 1.23839e-08, 1.81812e-33, 1.81812e-33, 1.81812e-33
0.394494, 0, 1.84667e-08, 1.06878e-32, 1.41421, -1.84667e-08, 0, 1.06878e-32, 1.06878e-32, 1.06878e-32, 1.06878e-32, 1.06878e-32, 1.06878e-32, 1.06878e-32, 1.06878e-32, 1.06878e-32, 1.06878e-32, 1.07147e-10, 1.06878e-32, 1.06878e-32, 1.06878e-32, 1.55761e-12, 1.06878e-32, 1.8358e-08, 1.06878e-32, 1.06878e-32, 1.06878e-32
0.402386, 0, 2.71809e-08, 6.38563e-32, 1.41421, -2.71809e-08, 0, 6.38563e-32, 6.38563e-32, 6.38563e-32, 6.38563e-32, 6.38563e-32, 6.38563e-32, 6.38563e-32, 6.38563e-32, 6.38563e-32, 6.38563e-32, 1.58034e-10, 6.38563e-32, 6.38563e-32, 6.38563e-32, 2.508e-12, 6.38563e-32, 2.70203e-08, 6.38563e-32, 6.38563e-32, 6.38563e-32
0.410279, 0, 3.97243e-08, 3.40257e-31, 1.41421, -3.97243e-08, 0, 3.40257e-31, 3.40257e-31, 3.40257e-31, 3.40257e-31, 3.40257e-31, 3.40257e-31, 3.40257e-31, 3.40257e-31, 3.40257e-31, 3.40257e-31, 2.31528e-10, 3.40257e-31, 3.40257e-31, 3.40257e-31, 4.03256e-12, 3.40257e-31, 3.94887e-08, 3.40257e-31, 3.40257e-31, 3.40257e-31
0.418171, 0, 5.76494e-08, 1.77765e-30, 1.41421, -5.76494e-08, 0, 1.77765e-30, 1.77765e-30, 1.77765e-30, 1.77765e-30, 1.77765e-30, 1.77765e-30, 1.77765e-30, 1.77765e-30, 1.77765e-30, 1.77765e-30, 3.36964e-10, 1.77765e-30, 1.77765e-30, 1.77765e-30, 6.47522e-12, 1.77765e-30, 5.7306e-08, 1.77765e-30, 1.77765e-30, 1.77765e-30
