   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_194.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.32424, 0, 1.0634e-10, 1.86373e-43, 1.41421, -1.0634e-10, 0, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 1.86373e-43, 4.23688e-15, 7.26227e-14, 1.86373e-43, 1.06263e-10, 1.86373e-43, 1.86373e-43, 1.86373e-43
0.332112, 0, 1.72505e-10, 3.28604e-42, 1.41421, -1.72505e-10, 0, 3.28604e-42, 3.28604e-42, 3.28604e-42, 3.28604e-42, 3.28604e-42, 3.28604e-42, 3.28604e-42, 3.28604e-42, 3.28604e-42, 3.28604e-42, 3.28604e-42, 3.28604e-42, 7.13603e-15, 1.22855e-13, 3.28604e-42, 1.72375e-10, 3.28604e-42, 3.28604e-42, 3.28604e-42
0.339984, 0, 2.77639e-10, 2.51478e-40, 1.41421, -2.77639e-10, 0, 2.51478e-40, 2.51478e-40, 2.51478e-40, 2.51478e-40, 2.51478e-40, 2.51478e-40, 2.51478e-40, 2.51478e-40, 2.51478e-40, 2.51478e-40, 2.51478e-40, 2.51478e-40, 1.19801e-14, 2.07088e-13, 2.51478e-40, 2.7742e-10, 2.51478e-40, 2.51478e-40, 2.51478e-40
0.347856, 0, 4.43161e-10, 2.91184e-39, 1.41421, -4.43161e-10, 0, 2.91184e-39, 2.91184e-39, 2.91184e-39, 2.91184e-39, 2.91184e-39, 2.91184e-39, 2.91184e-39, 2.91184e-39, 2.91184e-39, 2.91184e-39, 2.91184e-39, 2.91184e-39, 1.99853e-14, 3.46761e-13, 2.91184e-39, 4.42794e-10, 2.91184e-39, 2.91184e-39, 2.91184e-39
0.355728, 0, 7.01728e-10, 3.04326e-38, 1.41421, -7.01728e-10, 0, 3.04326e-38, 3.04326e-38, 3.04326e-38, 3.04326e-38, 3.04326e-38, 3.04326e-38, 3.04326e-38, 3.04326e-38, 3.04326e-38, 3.04326e-38, 3.04326e-38, 3.04326e-38, 3.32045e-14, 5.78011e-13, 3.04326e-38, 7.01117e-10, 3.04326e-38, 3.04326e-38, 3.04326e-38
0.3636, 0, 1.10235e-09, 2.88673e-37, 1.41421, -1.10235e-09, 0, 2.88673e-37, 2.88673e-37, 2.88673e-37, 2.88673e-37, 2.88673e-37, 2.88673e-37, 2.88673e-37, 2.88673e-37, 2.88673e-37, 2.88673e-37, 2.88673e-37, 2.88673e-37, 5.49731e-14, 9.59522e-13, 2.88673e-37, 1.10134e-09, 2.88673e-37, 2.88673e-37, 2.88673e-37
0.371472, 0, 1.71807e-09, 2.49961e-36, 1.41421, -1.71807e-09, 0, 2.49961e-36, 2.49961e-36, 2.49961e-36, 2.49961e-36, 2.49961e-36, 2.49961e-36, 2.49961e-36, 2.49961e-36, 2.49961e-36, 2.49961e-36, 2.49961e-36, 2.49961e-36, 9.07411e-14, 1.58702e-12, 2.49961e-36, 1.71639e-09, 2.49961e-36, 2.49961e-36, 2.49961e-36
0.379344, 0, 2.65672e-09, 1.985e-35, 1.41421, -2.65672e-09, 0, 1.985e-35, 1.985e-35, 1.985e-35, 1.985e-35, 1.985e-35, 1.985e-35, 1.985e-35, 1.985e-35, 1.985e-35, 1.985e-35, 1.985e-35, 1.985e-35, 1.49414e-13, 2.61648e-12, 1.985e-35, 2.65395e-09, 1.985e-35, 1.985e-35, 1.985e-35
0.387216, 0, 4.07623e-09, 1.45247e-34, 1.41421, -4.07623e-09, 0, 1.45247e-34, 1.45247e-34, 1.45247e-34, 1.45247e-34, 1.45247e-34, 1.45247e-34, 1.45247e-34, 1.45247e-34, 1.45247e-34, 1.45247e-34, 1.45247e-34, 1.45247e-34, 2.45544e-13, 4.30193e-12, 1.45247e-34, 4.07169e-09, 1.45247e-34, 1.45247e-34, 1.45247e-34
0.395088, 0, 6.20588e-09, 1.00344e-33, 1.41421, -6.20588e-09, 0, 1.00344e-33, 1.00344e-33, 1.00344e-33, 1.00344e-33, 1.00344e-33, 1.00344e-33, 1.00344e-33, 1.00344e-33, 1.00344e-33, 1.00344e-33, 1.00344e-33, 1.00344e-33, 4.02922e-13, 7.05689e-12, 1.00344e-33, 6.19842e-09, 1.00344e-33, 1.00344e-33, 1.00344e-33
0.40296, 0, 9.37566e-09, 6.51617e-33, 1.41421, -9.37566e-09, 0, 6.51617e-33, 6.51617e-33, 6.51617e-33, 6.51617e-33, 6.51617e-33, 6.51617e-33, 6.51617e-33, 6.51617e-33, 6.51617e-33, 6.51617e-33, 6.51617e-33, 6.51617e-33, 6.60441e-13, 1.15544e-11, 6.51617e-33, 9.36344e-09, 6.51617e-33, 6.51617e-33, 6.51617e-33
0.410832, 0, 1.40565e-08, 4.09693e-32, 1.41421, -1.40565e-08, 0, 4.09693e-32, 4.09693e-32, 4.09693e-32, 4.09693e-32, 4.09693e-32, 4.09693e-32, 4.09693e-32, 4.09693e-32, 4.09693e-32, 4.09693e-32, 4.09693e-32, 4.09693e-32, 1.08168e-12, 1.88895e-11, 4.09693e-32, 1.40366e-08, 4.09693e-32, 4.09693e-32, 4.09693e-32
0.418704, 0, 2.09151e-08, 2.36289e-31, 1.41421, -2.09151e-08, 0, 2.36289e-31, 2.36289e-31, 2.36289e-31, 2.36289e-31, 2.36289e-31, 2.36289e-31, 2.36289e-31, 2.36289e-31, 2.36289e-31, 2.36289e-31, 2.36289e-31, 2.36289e-31, 1.7705e-12, 3.0843e-11, 2.36289e-31, 2.08825e-08, 2.36289e-31, 2.36289e-31, 2.36289e-31
0.426576, 0, 3.0887e-08, 1.2962e-30, 1.41421, -3.0887e-08, 0, 1.2962e-30, 1.2962e-30, 1.2962e-30, 1.2962e-30, 1.2962e-30, 1.2962e-30, 1.2962e-30, 1.2962e-30, 1.2962e-30, 1.2962e-30, 1.2962e-30, 1.2962e-30, 2.89635e-12, 5.03081e-11, 1.2962e-30, 3.08338e-08, 1.2962e-30, 1.2962e-30, 1.2962e-30
0.434448, 0, 4.52744e-08, 6.70531e-30, 1.41421, -4.52744e-08, 0, 6.70531e-30, 6.70531e-30, 6.70531e-30, 6.70531e-30, 6.70531e-30, 6.70531e-30, 6.70531e-30, 6.70531e-30, 6.70531e-30, 6.70531e-30, 6.70531e-30, 6.70531e-30, 4.73519e-12, 8.19776e-11, 6.70531e-30, 4.51877e-08, 6.70531e-30, 6.70531e-30, 6.70531e-30
0.44232, 0, 6.58752e-08, 3.26711e-29, 1.41421, -6.58752e-08, 0, 3.26711e-29, 3.26711e-29, 3.26711e-29, 3.26711e-29, 3.26711e-29, 3.26711e-29, 3.26711e-29, 3.26711e-29, 3.26711e-29, 3.26711e-29, 3.26711e-29, 3.26711e-29, 7.73523e-12, 1.33447e-10, 3.26711e-29, 6.5734e-08, 3.26711e-29, 3.26711e-29, 3.26711e-29
0.450192, 0, 9.51519e-08, 1.51641e-28, 1.41421, -9.51519e-08, 0, 1.51641e-28, 1.51641e-28, 1.51641e-28, 1.51641e-28, 1.51641e-28, 1.51641e-28, 1.51641e-28, 1.51641e-28, 1.51641e-28, 1.51641e-28, 1.51641e-28, 1.51641e-28, 1.2622e-11, 2.1697e-10, 1.51641e-28, 9.49223e-08, 1.51641e-28, 1.51641e-28, 1.51641e-28
0.458064, 0, 1.3645e-07, 6.69455e-28, 1.41421, -1.3645e-07, 0, 6.69455e-28, 6.69455e-28, 6.69455e-28, 6.69455e-28, 6.69455e-28, 6.69455e-28, 6.69455e-28, 6.69455e-28, 6.69455e-28, 6.69455e-28, 6.69455e-28, 6.69455e-28, 2.05652e-11, 3.5224e-10, 6.69455e-28, 1.36077e-07, 6.69455e-28, 6.69455e-28, 6.69455e-28
0.465936, 0, 1.94278e-07, 2.81107e-27, 1.41421, -1.94278e-07, 0, 2.81107e-27, 2.81107e-27, 2.81107e-27, 2.81107e-27, 2.81107e-27, 2.81107e-27, 2.81107e-27, 2.81107e-27, 2.81107e-27, 2.81107e-27, 2.81107e-27, 2.81107e-27, 3.34412e-11, 5.70752e-10, 2.81107e-27, 1.93673e-07, 2.81107e-27, 2.81107e-27, 2.81107e-27
0.473808, 0, 2.74668e-07, 1.12465e-26, 1.41421, -2.74668e-07, 0, 1.12465e-26, 1.12465e-26, 1.12465e-26, 1.12465e-26, 1.12465e-26, 1.12465e-26, 1.12465e-26, 1.12465e-26, 1.12465e-26, 1.12465e-26, 1.12465e-26, 1.12465e-26, 5.42442e-11, 9.22584e-10, 1.12465e-26, 2.73691e-07, 1.12465e-26, 1.12465e-26, 1.12465e-26
0.48168, 0, 3.85627e-07, 4.29579e-26, 1.41421, -3.85627e-07, 0, 4.29579e-26, 4.29579e-26, 4.29579e-26, 4.29579e-26, 4.29579e-26, 4.29579e-26, 2.62705e-12, 4.29579e-26, 4.29579e-26, 4.29579e-26, 4.29579e-26, 4.29579e-26, 8.77227e-11, 1.48684e-09, 4.29579e-26, 3.8405e-07, 4.29579e-26, 4.29579e-26, 4.29579e-26
0.489552, 0, 5.37703e-07, 1.56989e-25, 1.41421, -5.37703e-07, 0, 1.56989e-25, 1.56989e-25, 1.56989e-25, 1.56989e-25, 1.56989e-25, 1.56989e-25, 9.05795e-12, 1.56989e-25, 1.56989e-25, 1.56989e-25, 1.56989e-25, 1.56989e-25, 1.41359e-10, 2.38752e-09, 1.56989e-25, 5.35165e-07, 1.56989e-25, 1.56989e-25, 1.56989e-25
0.497424, 0, 7.44688e-07, 5.53655e-25, 1.41421, -7.44688e-07, 0, 5.53655e-25, 5.53655e-25, 5.53655e-25, 5.53655e-25, 5.53655e-25, 5.53655e-25, 2.4298e-11, 5.53655e-25, 5.53655e-25, 5.53655e-25, 5.53655e-25, 5.53655e-25, 2.26855e-10, 3.81746e-09, 5.53655e-25, 7.4062e-07, 5.53655e-25, 5.53655e-25, 5.53655e-25
