   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_344.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.341307, 0, 9.81162e-11, 4.10875e-41, 1.41421, -9.81162e-11, 0, 4.10875e-41, 4.10875e-41, 4.10875e-41, 4.10875e-41, 4.10875e-41, 4.10875e-41, 4.10875e-41, 4.10875e-41, 4.10875e-41, 4.10875e-41, 4.10875e-41, 7.52592e-15, 4.10875e-41, 4.10875e-41, 9.81087e-11, 4.10875e-41, 4.10875e-41, 4.10875e-41
0.349171, 0, 1.59123e-10, 5.2278e-40, 1.41421, -1.59123e-10, 0, 5.2278e-40, 5.2278e-40, 5.2278e-40, 5.2278e-40, 5.2278e-40, 5.2278e-40, 5.2278e-40, 5.2278e-40, 5.2278e-40, 5.2278e-40, 5.2278e-40, 1.27443e-14, 5.2278e-40, 5.2278e-40, 1.5911e-10, 5.2278e-40, 5.2278e-40, 5.2278e-40
0.357036, 0, 2.55907e-10, 5.94548e-39, 1.41421, -2.55907e-10, 0, 5.94548e-39, 5.94548e-39, 5.94548e-39, 5.94548e-39, 5.94548e-39, 5.94548e-39, 5.94548e-39, 5.94548e-39, 5.94548e-39, 5.94548e-39, 5.94548e-39, 2.1486e-14, 5.94548e-39, 5.94548e-39, 2.55886e-10, 5.94548e-39, 5.94548e-39, 5.94548e-39
0.3649, 0, 4.08144e-10, 6.11527e-38, 1.41421, -4.08144e-10, 0, 6.11527e-38, 6.11527e-38, 6.11527e-38, 6.11527e-38, 6.11527e-38, 6.11527e-38, 6.11527e-38, 6.11527e-38, 6.11527e-38, 6.11527e-38, 6.11527e-38, 3.60841e-14, 6.11527e-38, 6.11527e-38, 4.08108e-10, 6.11527e-38, 6.11527e-38, 6.11527e-38
0.372765, 0, 6.45574e-10, 5.71608e-37, 1.41421, -6.45574e-10, 0, 5.71608e-37, 5.71608e-37, 5.71608e-37, 5.71608e-37, 5.71608e-37, 5.71608e-37, 5.71608e-37, 5.71608e-37, 5.71608e-37, 5.71608e-37, 5.71608e-37, 6.04022e-14, 5.71608e-37, 5.71608e-37, 6.45514e-10, 5.71608e-37, 5.71608e-37, 5.71608e-37
0.380629, 0, 1.01275e-09, 4.88941e-36, 1.41421, -1.01275e-09, 0, 4.88941e-36, 4.88941e-36, 4.88941e-36, 4.88941e-36, 4.88941e-36, 4.88941e-36, 4.88941e-36, 4.88941e-36, 4.88941e-36, 4.88941e-36, 4.88941e-36, 1.00835e-13, 4.88941e-36, 4.88941e-36, 1.01265e-09, 4.88941e-36, 4.88941e-36, 4.88941e-36
0.388494, 0, 1.57581e-09, 3.84048e-35, 1.41421, -1.57581e-09, 0, 3.84048e-35, 3.84048e-35, 3.84048e-35, 3.84048e-35, 3.84048e-35, 3.84048e-35, 3.84048e-35, 3.84048e-35, 3.84048e-35, 3.84048e-35, 3.84048e-35, 1.6797e-13, 3.84048e-35, 3.84048e-35, 1.57565e-09, 3.84048e-35, 3.84048e-35, 3.84048e-35
0.396358, 0, 2.43208e-09, 2.78197e-34, 1.41421, -2.43208e-09, 0, 2.78197e-34, 2.78197e-34, 2.78197e-34, 2.78197e-34, 2.78197e-34, 2.78197e-34, 2.78197e-34, 2.78197e-34, 2.78197e-34, 2.78197e-34, 2.78197e-34, 2.79342e-13, 2.78197e-34, 2.78197e-34, 2.4318e-09, 2.78197e-34, 2.78197e-34, 2.78197e-34
0.404223, 0, 3.72344e-09, 1.91656e-33, 1.41421, -3.72344e-09, 0, 1.91656e-33, 1.91656e-33, 1.91656e-33, 1.91656e-33, 1.91656e-33, 1.91656e-33, 1.91656e-33, 1.91656e-33, 1.91656e-33, 1.91656e-33, 1.91656e-33, 4.63987e-13, 1.91656e-33, 1.91656e-33, 3.72297e-09, 1.91656e-33, 1.91656e-33, 1.91656e-33
0.412087, 0, 5.65496e-09, 1.10776e-32, 1.41421, -5.65496e-09, 0, 1.10776e-32, 1.10776e-32, 1.10776e-32, 1.10776e-32, 1.10776e-32, 1.10776e-32, 1.10776e-32, 1.10776e-32, 1.10776e-32, 1.10776e-32, 1.10776e-32, 7.69995e-13, 1.10776e-32, 1.10776e-32, 5.65419e-09, 1.10776e-32, 1.10776e-32, 1.10776e-32
0.419952, 0, 8.5204e-09, 6.51401e-32, 1.41421, -8.5204e-09, 0, 6.51401e-32, 6.51401e-32, 6.51401e-32, 6.51401e-32, 6.51401e-32, 6.51401e-32, 6.51401e-32, 6.51401e-32, 6.51401e-32, 6.51401e-32, 6.51401e-32, 1.27694e-12, 6.51401e-32, 6.51401e-32, 8.51912e-09, 6.51401e-32, 6.51401e-32, 6.51401e-32
0.427816, 0, 1.27369e-08, 3.42024e-31, 1.41421, -1.27369e-08, 0, 3.42024e-31, 3.42024e-31, 3.42024e-31, 3.42024e-31, 3.42024e-31, 3.42024e-31, 3.42024e-31, 3.42024e-31, 3.42024e-31, 3.42024e-31, 3.42024e-31, 2.11634e-12, 3.42024e-31, 3.42024e-31, 1.27348e-08, 3.42024e-31, 3.42024e-31, 3.42024e-31
0.435681, 0, 1.88915e-08, 1.76427e-30, 1.41421, -1.88915e-08, 0, 1.76427e-30, 1.76427e-30, 1.76427e-30, 1.76427e-30, 1.76427e-30, 1.76427e-30, 1.76427e-30, 1.76427e-30, 1.76427e-30, 1.76427e-30, 1.76427e-30, 3.50514e-12, 1.76427e-30, 1.76427e-30, 1.8888e-08, 1.76427e-30, 1.76427e-30, 1.76427e-30
0.443545, 0, 2.78038e-08, 8.7094e-30, 1.41421, -2.78038e-08, 0, 8.7094e-30, 8.7094e-30, 8.7094e-30, 8.7094e-30, 8.7094e-30, 8.7094e-30, 8.7094e-30, 8.7094e-30, 8.7094e-30, 8.7094e-30, 8.7094e-30, 5.80019e-12, 8.7094e-30, 8.7094e-30, 2.7798e-08, 8.7094e-30, 8.7094e-30, 8.7094e-30
