   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_209.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0909645, 0, 1.18376e-20, 0, 1.41421, -1.18376e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38987e-25, 0, 0, 1.18373e-20, 0, 0, 0
0.0988318, 0, 3.02021e-20, 0, 1.41421, -3.02021e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.71878e-25, 0, 0, 3.02013e-20, 0, 0, 0
0.106699, 0, 7.55656e-20, 0, 1.41421, -7.55656e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19952e-24, 0, 0, 7.55634e-20, 0, 0, 0
0.114566, 0, 1.85609e-19, 0, 1.41421, -1.85609e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44866e-24, 0, 0, 1.85604e-19, 0, 0, 0
0.122434, 0, 4.47996e-19, 0, 1.41421, -4.47996e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32666e-23, 0, 0, 4.47983e-19, 0, 0, 0
0.130301, 0, 1.06344e-18, 0, 1.41421, -1.06344e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17768e-23, 0, 0, 1.06341e-18, 0, 0, 0
0.138168, 0, 2.4845e-18, 0, 1.41421, -2.4845e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.49331e-23, 0, 0, 2.48442e-18, 0, 0, 0
0.146036, 0, 5.71649e-18, 0, 1.41421, -5.71649e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74076e-22, 0, 0, 5.71632e-18, 0, 0, 0
0.153903, 0, 1.2961e-17, 0, 1.41421, -1.2961e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.98625e-22, 0, 0, 1.29606e-17, 0, 0, 0
0.16177, 0, 2.8973e-17, 0, 1.41421, -2.8973e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.003e-22, 0, 0, 2.89721e-17, 0, 0, 0
0.169638, 0, 6.38843e-17, 0, 1.41421, -6.38843e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00638e-21, 0, 0, 6.38823e-17, 0, 0, 0
0.177505, 0, 1.39e-16, 0, 1.41421, -1.39e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41393e-21, 0, 0, 1.38996e-16, 0, 0, 0
0.185372, 0, 2.98555e-16, 0, 1.41421, -2.98555e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.58954e-21, 0, 0, 2.98546e-16, 0, 0, 0
0.193239, 0, 6.33227e-16, 0, 1.41421, -6.33227e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05815e-20, 0, 0, 6.33206e-16, 0, 0, 0
0.201107, 0, 1.32663e-15, 0, 1.41421, -1.32663e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36514e-20, 0, 0, 1.32659e-15, 0, 0, 0
0.208974, 0, 2.74608e-15, 0, 1.41421, -2.74608e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.15137e-20, 0, 0, 2.74598e-15, 0, 0, 0
0.216841, 0, 5.61758e-15, 0, 1.41421, -5.61758e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89693e-19, 0, 0, 5.61739e-15, 0, 0, 0
0.224709, 0, 1.13594e-14, 0, 1.41421, -1.13594e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8886e-19, 0, 0, 1.1359e-14, 0, 0, 0
0.232576, 0, 2.27097e-14, 0, 1.41421, -2.27097e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.88511e-19, 0, 0, 2.27089e-14, 0, 0, 0
0.240443, 0, 4.48949e-14, 0, 1.41421, -4.48949e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58189e-18, 0, 0, 4.48933e-14, 0, 0, 0
0.248311, 0, 8.77771e-14, 0, 1.41421, -8.77771e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14036e-18, 0, 0, 8.77739e-14, 0, 0, 0
0.256178, 0, 1.69757e-13, 0, 1.41421, -1.69757e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.17029e-18, 0, 0, 1.6975e-13, 0, 0, 0
0.264045, 0, 3.24783e-13, 0, 1.41421, -3.24783e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20015e-17, 0, 0, 3.24771e-13, 0, 0, 0
0.271913, 0, 6.14798e-13, 0, 1.41421, -6.14798e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31125e-17, 0, 0, 6.14775e-13, 0, 0, 0
0.27978, 0, 1.15158e-12, 0, 1.41421, -1.15158e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40773e-17, 0, 0, 1.15154e-12, 0, 0, 0
0.287647, 0, 2.13464e-12, 0, 1.41421, -2.13464e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.32567e-17, 0, 0, 2.13456e-12, 0, 0, 0
0.295514, 0, 3.9162e-12, 0, 1.41421, -3.9162e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55793e-16, 0, 0, 3.91604e-12, 0, 0, 0
0.303382, 0, 7.11138e-12, 0, 1.41421, -7.11138e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88865e-16, 0, 0, 7.11109e-12, 0, 0, 0
0.311249, 0, 1.27939e-11, 0, 1.41421, -1.27939e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31943e-16, 0, 0, 1.27933e-11, 0, 0, 0
0.319116, 0, 2.27635e-11, 0, 1.41421, -2.27635e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.69037e-16, 0, 0, 2.27626e-11, 0, 0, 0
0.326984, 0, 4.00998e-11, 0, 1.41421, -4.00998e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75069e-15, 0, 0, 4.0098e-11, 0, 0, 0
0.334851, 0, 6.99419e-11, 0, 1.41421, -6.99419e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13778e-15, 0, 0, 6.99388e-11, 0, 0, 0
0.342718, 0, 1.20797e-10, 3.90962e-43, 1.41421, -1.20797e-10, 0, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 5.5815e-15, 3.90962e-43, 3.90962e-43, 1.20792e-10, 3.90962e-43, 3.90962e-43, 3.90962e-43
0.350586, 0, 2.06599e-10, 6.77528e-42, 1.41421, -2.06599e-10, 0, 6.77528e-42, 6.77528e-42, 6.77528e-42, 6.77528e-42, 6.77528e-42, 6.77528e-42, 6.77528e-42, 6.77528e-42, 6.77528e-42, 6.77528e-42, 6.77528e-42, 9.85798e-15, 6.77528e-42, 6.77528e-42, 2.0659e-10, 6.77528e-42, 6.77528e-42, 6.77528e-42
0.358453, 0, 3.49929e-10, 9.59469e-41, 1.41421, -3.49929e-10, 0, 9.59469e-41, 9.59469e-41, 9.59469e-41, 9.59469e-41, 9.59469e-41, 9.59469e-41, 9.59469e-41, 9.59469e-41, 9.59469e-41, 9.59469e-41, 9.59469e-41, 1.72962e-14, 9.59469e-41, 9.59469e-41, 3.49911e-10, 9.59469e-41, 9.59469e-41, 9.59469e-41
0.36632, 0, 5.87e-10, 1.20575e-39, 1.41421, -5.87e-10, 0, 1.20575e-39, 1.20575e-39, 1.20575e-39, 1.20575e-39, 1.20575e-39, 1.20575e-39, 1.20575e-39, 1.20575e-39, 1.20575e-39, 1.20575e-39, 1.20575e-39, 3.0164e-14, 1.20575e-39, 1.20575e-39, 5.8697e-10, 1.20575e-39, 1.20575e-39, 1.20575e-39
0.374187, 0, 9.75286e-10, 1.3541e-38, 1.41421, -9.75286e-10, 0, 1.3541e-38, 1.3541e-38, 1.3541e-38, 1.3541e-38, 1.3541e-38, 1.3541e-38, 1.3541e-38, 1.3541e-38, 1.3541e-38, 1.3541e-38, 1.3541e-38, 5.23202e-14, 1.3541e-38, 1.3541e-38, 9.75234e-10, 1.3541e-38, 1.3541e-38, 1.3541e-38
0.382055, 0, 1.60505e-09, 1.37695e-37, 1.41421, -1.60505e-09, 0, 1.37695e-37, 1.37695e-37, 1.37695e-37, 1.37695e-37, 1.37695e-37, 1.37695e-37, 1.37695e-37, 1.37695e-37, 1.37695e-37, 1.37695e-37, 1.37695e-37, 9.03195e-14, 1.37695e-37, 1.37695e-37, 1.60496e-09, 1.37695e-37, 1.37695e-37, 1.37695e-37
0.389922, 0, 2.61658e-09, 1.2748e-36, 1.41421, -2.61658e-09, 0, 1.2748e-36, 1.2748e-36, 1.2748e-36, 1.2748e-36, 1.2748e-36, 1.2748e-36, 1.2748e-36, 1.2748e-36, 1.2748e-36, 1.2748e-36, 1.2748e-36, 1.55287e-13, 1.2748e-36, 1.2748e-36, 2.61643e-09, 1.2748e-36, 1.2748e-36, 1.2748e-36
0.397789, 0, 4.22571e-09, 1.08108e-35, 1.41421, -4.22571e-09, 0, 1.08108e-35, 1.08108e-35, 1.08108e-35, 1.08108e-35, 1.08108e-35, 1.08108e-35, 1.08108e-35, 1.08108e-35, 1.08108e-35, 1.08108e-35, 1.08108e-35, 2.66099e-13, 1.08108e-35, 1.08108e-35, 4.22544e-09, 1.08108e-35, 1.08108e-35, 1.08108e-35
0.405657, 0, 6.76101e-09, 8.42697e-35, 1.41421, -6.76101e-09, 0, 8.42697e-35, 8.42697e-35, 8.42697e-35, 8.42697e-35, 8.42697e-35, 8.42697e-35, 8.42697e-35, 8.42697e-35, 8.42697e-35, 8.42697e-35, 8.42697e-35, 4.548e-13, 8.42697e-35, 8.42697e-35, 6.76055e-09, 8.42697e-35, 8.42697e-35, 8.42697e-35
