   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_289.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.20733, 0, 1.15714e-14, 0, 1.41421, -1.15714e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51625e-19, 0, 1.15712e-14, 0, 0, 0
0.215195, 0, 2.19138e-14, 0, 1.41421, -2.19138e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92674e-19, 0, 2.19135e-14, 0, 0, 0
0.22306, 0, 4.11005e-14, 0, 1.41421, -4.11005e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.59723e-19, 0, 4.10999e-14, 0, 0, 0
0.230925, 0, 7.63527e-14, 0, 1.41421, -7.63527e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06078e-18, 0, 7.63516e-14, 0, 0, 0
0.238791, 0, 1.40506e-13, 0, 1.41421, -1.40506e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99251e-18, 0, 1.40504e-13, 0, 0, 0
0.246656, 0, 2.56157e-13, 0, 1.41421, -2.56157e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70993e-18, 0, 2.56154e-13, 0, 0, 0
0.254521, 0, 4.62697e-13, 0, 1.41421, -4.62697e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.84831e-18, 0, 4.6269e-13, 0, 0, 0
0.262386, 0, 8.28138e-13, 0, 1.41421, -8.28138e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25349e-17, 0, 8.28125e-13, 0, 0, 0
0.270251, 0, 1.47074e-12, 0, 1.41421, -1.47074e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28164e-17, 0, 1.47071e-12, 0, 0, 0
0.278116, 0, 2.58458e-12, 0, 1.41421, -2.58458e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10745e-17, 0, 2.58454e-12, 0, 0, 0
0.285982, 0, 4.50165e-12, 0, 1.41421, -4.50165e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.33643e-17, 0, 4.50158e-12, 0, 0, 0
0.293847, 0, 7.77155e-12, 0, 1.41421, -7.77155e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30042e-16, 0, 7.77142e-12, 0, 0, 0
0.301712, 0, 1.32991e-11, 0, 1.41421, -1.32991e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28816e-16, 0, 1.32989e-11, 0, 0, 0
0.309577, 0, 2.25601e-11, 0, 1.41421, -2.25601e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99774e-16, 0, 2.25597e-11, 0, 0, 0
0.317442, 0, 3.79392e-11, 0, 1.41421, -3.79392e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.93757e-16, 0, 3.79386e-11, 0, 0, 0
0.325307, 0, 6.32536e-11, 1.54143e-43, 1.41421, -6.32536e-11, 0, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.54143e-43, 1.19625e-15, 1.54143e-43, 6.32524e-11, 1.54143e-43, 1.54143e-43, 1.54143e-43
0.333173, 0, 1.04557e-10, 2.70871e-42, 1.41421, -1.04557e-10, 0, 2.70871e-42, 2.70871e-42, 2.70871e-42, 2.70871e-42, 2.70871e-42, 2.70871e-42, 2.70871e-42, 2.70871e-42, 2.70871e-42, 2.70871e-42, 2.05042e-15, 2.70871e-42, 1.04555e-10, 2.70871e-42, 2.70871e-42, 2.70871e-42
