   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_258.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.199852, 0, 6.92714e-15, 0, 1.41421, -6.92714e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00457e-19, 0, 1.35336e-18, 0, 6.92559e-15, 0, 0, 0
0.207719, 0, 1.31016e-14, 0, 1.41421, -1.31016e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86508e-19, 0, 2.6087e-18, 0, 1.30986e-14, 0, 0, 0
0.215587, 0, 2.45469e-14, 0, 1.41421, -2.45469e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.38551e-19, 0, 4.98432e-18, 0, 2.45412e-14, 0, 0, 0
0.223455, 0, 4.55641e-14, 0, 1.41421, -4.55641e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39877e-18, 0, 9.44131e-18, 0, 4.55533e-14, 0, 0, 0
0.231322, 0, 8.37998e-14, 0, 1.41421, -8.37998e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62609e-18, 0, 1.77324e-17, 0, 8.37794e-14, 0, 0, 0
0.23919, 0, 1.5272e-13, 0, 1.41421, -1.5272e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88801e-18, 0, 3.30276e-17, 0, 1.52682e-13, 0, 0, 0
0.247058, 0, 2.75817e-13, 0, 1.41421, -2.75817e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.02141e-18, 0, 6.10131e-17, 0, 2.75747e-13, 0, 0, 0
0.254925, 0, 4.93683e-13, 0, 1.41421, -4.93683e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6512e-17, 0, 1.11807e-16, 0, 4.93555e-13, 0, 0, 0
0.262793, 0, 8.75815e-13, 0, 1.41421, -8.75815e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99762e-17, 0, 2.03282e-16, 0, 8.75582e-13, 0, 0, 0
0.270661, 0, 1.54007e-12, 0, 1.41421, -1.54007e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39854e-17, 0, 3.66748e-16, 0, 1.53965e-12, 0, 0, 0
0.278528, 0, 2.6845e-12, 0, 1.41421, -2.6845e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.6468e-17, 0, 6.56669e-16, 0, 2.68374e-12, 0, 0, 0
0.286396, 0, 4.63878e-12, 0, 1.41421, -4.63878e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71074e-16, 0, 1.1671e-15, 0, 4.63744e-12, 0, 0, 0
0.294264, 0, 7.94674e-12, 0, 1.41421, -7.94674e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01152e-16, 0, 2.05933e-15, 0, 7.94438e-12, 0, 0, 0
0.302131, 0, 1.34971e-11, 0, 1.41421, -1.34971e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26382e-16, 0, 3.60821e-15, 0, 1.3493e-11, 0, 0, 0
0.309999, 0, 2.27291e-11, 0, 1.41421, -2.27291e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.13816e-16, 0, 6.27908e-15, 0, 2.27219e-11, 0, 0, 0
0.317867, 0, 3.79521e-11, 0, 1.41421, -3.79521e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57617e-15, 0, 1.08553e-14, 0, 3.79397e-11, 0, 0, 0
0.325734, 0, 6.28379e-11, 2.158e-43, 1.41421, -6.28379e-11, 0, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 2.158e-43, 2.70208e-15, 2.158e-43, 1.86487e-14, 2.158e-43, 6.28166e-11, 2.158e-43, 2.158e-43, 2.158e-43
0.333602, 0, 1.03171e-10, 3.75408e-42, 1.41421, -1.03171e-10, 0, 3.75408e-42, 3.75408e-42, 3.75408e-42, 3.75408e-42, 3.75408e-42, 3.75408e-42, 3.75408e-42, 3.75408e-42, 3.75408e-42, 3.75408e-42, 3.75408e-42, 4.60597e-15, 3.75408e-42, 3.18449e-14, 3.75408e-42, 1.03135e-10, 3.75408e-42, 3.75408e-42, 3.75408e-42
0.34147, 0, 1.67986e-10, 5.37664e-41, 1.41421, -1.67986e-10, 0, 5.37664e-41, 5.37664e-41, 5.37664e-41, 5.37664e-41, 5.37664e-41, 5.37664e-41, 5.37664e-41, 5.37664e-41, 5.37664e-41, 5.37664e-41, 5.37664e-41, 7.81047e-15, 5.37664e-41, 5.40708e-14, 5.37664e-41, 1.67924e-10, 5.37664e-41, 5.37664e-41, 5.37664e-41
0.349337, 0, 2.71255e-10, 6.81465e-40, 1.41421, -2.71255e-10, 0, 6.81465e-40, 6.81465e-40, 6.81465e-40, 6.81465e-40, 6.81465e-40, 6.81465e-40, 6.81465e-40, 6.81465e-40, 6.81465e-40, 6.81465e-40, 6.81465e-40, 1.3182e-14, 6.81465e-40, 9.13217e-14, 6.81465e-40, 2.71151e-10, 6.81465e-40, 6.81465e-40, 6.81465e-40
0.357205, 0, 4.34408e-10, 7.74493e-39, 1.41421, -4.34408e-10, 0, 7.74493e-39, 7.74493e-39, 7.74493e-39, 7.74493e-39, 7.74493e-39, 7.74493e-39, 7.74493e-39, 7.74493e-39, 7.74493e-39, 7.74493e-39, 7.74493e-39, 2.21547e-14, 7.74493e-39, 1.53479e-13, 7.74493e-39, 4.34232e-10, 7.74493e-39, 7.74493e-39, 7.74493e-39
0.365073, 0, 6.90004e-10, 7.95415e-38, 1.41421, -6.90004e-10, 0, 7.95415e-38, 7.95415e-38, 7.95415e-38, 7.95415e-38, 7.95415e-38, 7.95415e-38, 7.95415e-38, 7.95415e-38, 7.95415e-38, 7.95415e-38, 7.95415e-38, 3.71001e-14, 7.95415e-38, 2.56789e-13, 7.95415e-38, 6.8971e-10, 7.95415e-38, 7.95415e-38, 7.95415e-38
0.37294, 0, 1.08708e-09, 7.4216e-37, 1.41421, -1.08708e-09, 0, 7.4216e-37, 7.4216e-37, 7.4216e-37, 7.4216e-37, 7.4216e-37, 7.4216e-37, 7.4216e-37, 7.4216e-37, 7.4216e-37, 7.4216e-37, 7.4216e-37, 6.19384e-14, 7.4216e-37, 4.27915e-13, 7.4216e-37, 1.08659e-09, 7.4216e-37, 7.4216e-37, 7.4216e-37
0.380808, 0, 1.69882e-09, 6.32745e-36, 1.41421, -1.69882e-09, 0, 6.32745e-36, 6.32745e-36, 6.32745e-36, 6.32745e-36, 6.32745e-36, 6.32745e-36, 6.32745e-36, 6.32745e-36, 6.32745e-36, 6.32745e-36, 6.32745e-36, 1.03149e-13, 6.32745e-36, 7.1057e-13, 6.32745e-36, 1.698e-09, 6.32745e-36, 6.32745e-36, 6.32745e-36
0.388676, 0, 2.63349e-09, 4.952e-35, 1.41421, -2.63349e-09, 0, 4.952e-35, 4.952e-35, 4.952e-35, 4.952e-35, 4.952e-35, 4.952e-35, 4.952e-35, 4.952e-35, 4.952e-35, 4.952e-35, 4.952e-35, 1.71444e-13, 4.952e-35, 1.17636e-12, 4.952e-35, 2.63214e-09, 4.952e-35, 4.952e-35, 4.952e-35
