   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_219.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.221577, 0, 1.31921e-13, 0, 1.41421, -1.31921e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.0594e-16, 0, 0, 1.51339e-18, 0, 3.56611e-18, 0, 1.3131e-13, 0, 0, 0
0.229448, 0, 2.38338e-13, 0, 1.41421, -2.38338e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09473e-15, 0, 0, 2.79089e-18, 0, 6.59393e-18, 0, 2.37234e-13, 0, 0, 0
0.237318, 0, 4.26813e-13, 0, 1.41421, -4.26813e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96043e-15, 0, 0, 5.10436e-18, 0, 1.20953e-17, 0, 4.24835e-13, 0, 0, 0
0.245189, 0, 7.57675e-13, 0, 1.41421, -7.57675e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48014e-15, 0, 0, 9.25988e-18, 0, 2.20129e-17, 0, 7.54163e-13, 0, 0, 0
0.253059, 0, 1.33341e-12, 0, 1.41421, -1.33341e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.12465e-15, 0, 0, 1.66648e-17, 0, 3.97546e-17, 0, 1.32723e-12, 0, 0, 0
0.26093, 0, 2.32655e-12, 0, 1.41421, -2.32655e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06865e-14, 0, 0, 2.97574e-17, 0, 7.12582e-17, 0, 2.31577e-12, 0, 0, 0
0.268801, 0, 4.02491e-12, 0, 1.41421, -4.02491e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84879e-14, 0, 0, 5.27305e-17, 0, 1.26787e-16, 0, 4.00625e-12, 0, 0, 0
0.276671, 0, 6.90433e-12, 0, 1.41421, -6.90433e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17149e-14, 0, 0, 9.27432e-17, 0, 2.23963e-16, 0, 6.87229e-12, 0, 0, 0
0.284542, 0, 1.17444e-11, 0, 1.41421, -1.17444e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39501e-14, 0, 0, 1.61937e-16, 0, 3.92838e-16, 0, 1.16899e-11, 0, 0, 0
0.292412, 0, 1.98114e-11, 0, 1.41421, -1.98114e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.10122e-14, 0, 0, 2.80772e-16, 0, 6.84332e-16, 0, 1.97194e-11, 0, 0, 0
