   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_62.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0646754, 0, 3.5537e-20, 0, 1.41421, -3.5537e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.89276e-22, 0, 0, 0, 3.47477e-20, 0, 0, 0
0.0725591, 0, 7.93848e-20, 0, 1.41421, -7.93848e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76314e-21, 0, 0, 0, 7.76216e-20, 0, 0, 0
0.0804428, 0, 1.74897e-19, 0, 1.41421, -1.74897e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88446e-21, 0, 0, 0, 1.71013e-19, 0, 0, 0
0.0883265, 0, 3.80236e-19, 0, 1.41421, -3.80236e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.44504e-21, 0, 0, 0, 3.71791e-19, 0, 0, 0
0.0962101, 0, 8.16137e-19, 0, 1.41421, -8.16137e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81264e-20, 0, 0, 0, 7.98011e-19, 0, 0, 0
0.104094, 0, 1.73023e-18, 0, 1.41421, -1.73023e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.84283e-20, 0, 0, 0, 1.6918e-18, 0, 0, 0
0.111978, 0, 3.62449e-18, 0, 1.41421, -3.62449e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.04999e-20, 0, 0, 0, 3.54399e-18, 0, 0, 0
0.119861, 0, 7.505e-18, 0, 1.41421, -7.505e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66686e-19, 0, 0, 0, 7.33831e-18, 0, 0, 0
0.127745, 0, 1.53659e-17, 0, 1.41421, -1.53659e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41276e-19, 0, 0, 0, 1.50246e-17, 0, 0, 0
0.135629, 0, 3.11172e-17, 0, 1.41421, -3.11172e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.91112e-19, 0, 0, 0, 3.04261e-17, 0, 0, 0
0.143512, 0, 6.23437e-17, 0, 1.41421, -6.23437e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38465e-18, 0, 0, 0, 6.0959e-17, 0, 0, 0
0.151396, 0, 1.23607e-16, 0, 1.41421, -1.23607e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74531e-18, 0, 0, 0, 1.20862e-16, 0, 0, 0
0.15928, 0, 2.42578e-16, 0, 1.41421, -2.42578e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38764e-18, 0, 0, 0, 2.3719e-16, 0, 0, 0
0.167163, 0, 4.71305e-16, 0, 1.41421, -4.71305e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04677e-17, 0, 0, 0, 4.60838e-16, 0, 0, 0
0.175047, 0, 9.0673e-16, 0, 1.41421, -9.0673e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01384e-17, 0, 0, 0, 8.86591e-16, 0, 0, 0
0.182931, 0, 1.72763e-15, 0, 1.41421, -1.72763e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83704e-17, 0, 0, 0, 1.68926e-15, 0, 0, 0
0.190814, 0, 3.26051e-15, 0, 1.41421, -3.26051e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24155e-17, 0, 0, 0, 3.1881e-15, 0, 0, 0
0.198698, 0, 6.09601e-15, 0, 1.41421, -6.09601e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35391e-16, 0, 0, 0, 5.96062e-15, 0, 0, 0
0.206582, 0, 1.12923e-14, 0, 1.41421, -1.12923e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.508e-16, 0, 0, 0, 1.10415e-14, 0, 0, 0
0.214465, 0, 2.07276e-14, 0, 1.41421, -2.07276e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.60354e-16, 0, 0, 0, 2.02673e-14, 0, 0, 0
0.222349, 0, 3.77042e-14, 0, 1.41421, -3.77042e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.37398e-16, 0, 0, 0, 3.68668e-14, 0, 0, 0
0.230233, 0, 6.79746e-14, 0, 1.41421, -6.79746e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50969e-15, 0, 0, 0, 6.64649e-14, 0, 0, 0
0.238117, 0, 1.21467e-13, 0, 1.41421, -1.21467e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69775e-15, 0, 0, 0, 1.18769e-13, 0, 0, 0
0.246, 0, 2.1516e-13, 0, 1.41421, -2.1516e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77865e-15, 0, 0, 0, 2.10381e-13, 0, 0, 0
0.253884, 0, 3.77822e-13, 0, 1.41421, -3.77822e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.39144e-15, 0, 0, 0, 3.69431e-13, 0, 0, 0
0.261768, 0, 6.57762e-13, 0, 1.41421, -6.57762e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46091e-14, 0, 0, 0, 6.43153e-13, 0, 0, 0
0.269651, 0, 1.13536e-12, 0, 1.41421, -1.13536e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52172e-14, 0, 0, 0, 1.11014e-12, 0, 0, 0
0.277535, 0, 1.94317e-12, 0, 1.41421, -1.94317e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.31606e-14, 0, 0, 0, 1.90001e-12, 0, 0, 0
0.285419, 0, 3.29778e-12, 0, 1.41421, -3.29778e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.32518e-14, 0, 0, 0, 3.22452e-12, 0, 0, 0
0.293302, 0, 5.55322e-12, 0, 1.41421, -5.55322e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2336e-13, 0, 0, 0, 5.42986e-12, 0, 0, 0
0.301186, 0, 9.26751e-12, 0, 1.41421, -9.26751e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05888e-13, 0, 0, 0, 9.06162e-12, 0, 0, 0
0.30907, 0, 1.53389e-11, 0, 1.41421, -1.53389e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40809e-13, 0, 0, 0, 1.49981e-11, 0, 0, 0
0.316953, 0, 2.518e-11, 1.63952e-43, 1.41421, -2.518e-11, 0, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 5.59551e-13, 1.63952e-43, 1.63952e-43, 1.63952e-43, 2.46204e-11, 1.63952e-43, 1.63952e-43, 1.63952e-43
0.324837, 0, 4.09989e-11, 2.86986e-42, 1.41421, -4.09989e-11, 0, 2.86986e-42, 2.86986e-42, 2.86986e-42, 2.86986e-42, 2.86986e-42, 2.86986e-42, 2.86986e-42, 2.86986e-42, 2.86986e-42, 2.86986e-42, 9.11257e-13, 2.86986e-42, 2.86986e-42, 2.86986e-42, 4.00876e-11, 2.86986e-42, 2.86986e-42, 2.86986e-42
0.332721, 0, 6.62158e-11, 4.14462e-41, 1.41421, -6.62158e-11, 0, 4.14462e-41, 4.14462e-41, 4.14462e-41, 4.14462e-41, 4.14462e-41, 4.14462e-41, 4.14462e-41, 4.14462e-41, 4.14462e-41, 4.14462e-41, 1.47211e-12, 4.14462e-41, 4.14462e-41, 4.14462e-41, 6.47437e-11, 4.14462e-41, 4.14462e-41, 4.14462e-41
0.340605, 0, 1.06083e-10, 5.3018e-40, 1.41421, -1.06083e-10, 0, 5.3018e-40, 5.3018e-40, 5.3018e-40, 5.3018e-40, 5.3018e-40, 5.3018e-40, 5.3018e-40, 5.3018e-40, 5.3018e-40, 5.3018e-40, 2.35917e-12, 5.3018e-40, 5.3018e-40, 5.3018e-40, 1.03723e-10, 5.3018e-40, 5.3018e-40, 5.3018e-40
0.348488, 0, 1.68594e-10, 6.06877e-39, 1.41421, -1.68594e-10, 0, 6.06877e-39, 6.06877e-39, 6.06877e-39, 6.06877e-39, 6.06877e-39, 6.06877e-39, 6.06877e-39, 6.06877e-39, 6.06877e-39, 6.06877e-39, 3.75086e-12, 6.06877e-39, 6.06877e-39, 6.06877e-39, 1.64843e-10, 6.06877e-39, 6.06877e-39, 6.06877e-39
0.356372, 0, 2.6581e-10, 6.27539e-38, 1.41421, -2.6581e-10, 0, 6.27539e-38, 6.27539e-38, 6.27539e-38, 6.27539e-38, 6.27539e-38, 6.27539e-38, 6.27539e-38, 6.27539e-38, 6.27539e-38, 6.27539e-38, 5.91668e-12, 6.27539e-38, 6.27539e-38, 6.27539e-38, 2.59893e-10, 6.27539e-38, 6.27539e-38, 6.27539e-38
0.364256, 0, 4.15773e-10, 5.89296e-37, 1.41421, -4.15773e-10, 0, 5.89296e-37, 5.89296e-37, 5.89296e-37, 5.89296e-37, 5.89296e-37, 5.89296e-37, 5.89296e-37, 5.89296e-37, 5.89296e-37, 5.89296e-37, 9.26043e-12, 5.89296e-37, 5.89296e-37, 5.89296e-37, 4.06512e-10, 5.89296e-37, 5.89296e-37, 5.89296e-37
0.372139, 0, 6.45231e-10, 5.05666e-36, 1.41421, -6.45231e-10, 0, 5.05666e-36, 5.05666e-36, 5.05666e-36, 5.05666e-36, 5.05666e-36, 5.05666e-36, 5.05666e-36, 5.05666e-36, 5.05666e-36, 5.05666e-36, 1.43821e-11, 5.05666e-36, 5.05666e-36, 5.05666e-36, 6.30849e-10, 5.05666e-36, 5.05666e-36, 5.05666e-36
0.380023, 0, 9.93508e-10, 3.9822e-35, 1.41421, -9.93508e-10, 0, 3.9822e-35, 3.9822e-35, 3.9822e-35, 3.9822e-35, 3.9822e-35, 3.9822e-35, 3.9822e-35, 3.9822e-35, 3.9822e-35, 3.9822e-35, 2.21658e-11, 3.9822e-35, 3.9822e-35, 3.9822e-35, 9.71342e-10, 3.9822e-35, 3.9822e-35, 3.9822e-35
0.387907, 0, 1.51791e-09, 2.89078e-34, 1.41421, -1.51791e-09, 0, 2.89078e-34, 2.89078e-34, 2.89078e-34, 2.89078e-34, 2.89078e-34, 2.89078e-34, 2.89078e-34, 2.89078e-34, 2.89078e-34, 2.89078e-34, 3.39039e-11, 2.89078e-34, 2.89078e-34, 2.89078e-34, 1.48401e-09, 2.89078e-34, 2.89078e-34, 2.89078e-34
0.39579, 0, 2.30125e-09, 1.99457e-33, 1.41421, -2.30125e-09, 0, 1.99457e-33, 1.99457e-33, 1.99457e-33, 1.99457e-33, 1.99457e-33, 1.99457e-33, 1.99457e-33, 1.99457e-33, 1.99457e-33, 1.99457e-33, 5.1471e-11, 1.99457e-33, 1.99457e-33, 1.99457e-33, 2.24978e-09, 1.99457e-33, 1.99457e-33, 1.99457e-33
0.403674, 0, 3.46215e-09, 1.16613e-32, 1.41421, -3.46215e-09, 0, 1.16613e-32, 1.16613e-32, 1.16613e-32, 1.16613e-32, 1.16613e-32, 1.16613e-32, 1.16613e-32, 1.16613e-32, 1.16613e-32, 1.16613e-32, 7.75641e-11, 1.16613e-32, 1.16613e-32, 1.16613e-32, 3.38458e-09, 1.16613e-32, 1.16613e-32, 1.16613e-32
0.411558, 0, 5.16915e-09, 6.91036e-32, 1.41421, -5.16915e-09, 0, 6.91036e-32, 6.91036e-32, 6.91036e-32, 6.91036e-32, 6.91036e-32, 6.91036e-32, 6.91036e-32, 6.91036e-32, 6.91036e-32, 6.91036e-32, 1.16035e-10, 6.91036e-32, 6.91036e-32, 6.91036e-32, 5.05312e-09, 6.91036e-32, 6.91036e-32, 6.91036e-32
0.419441, 0, 7.65968e-09, 3.65869e-31, 1.41421, -7.65968e-09, 0, 3.65869e-31, 3.65869e-31, 3.65869e-31, 3.65869e-31, 3.65869e-31, 3.65869e-31, 3.65869e-31, 3.65869e-31, 3.65869e-31, 3.65869e-31, 1.72344e-10, 3.65869e-31, 3.65869e-31, 3.65869e-31, 7.48733e-09, 3.65869e-31, 3.65869e-31, 3.65869e-31
0.427325, 0, 1.12654e-08, 1.89839e-30, 1.41421, -1.12654e-08, 0, 1.89839e-30, 1.89839e-30, 1.89839e-30, 1.89839e-30, 1.89839e-30, 1.89839e-30, 1.89839e-30, 1.89839e-30, 1.89839e-30, 1.89839e-30, 2.54175e-10, 1.89839e-30, 1.89839e-30, 1.89839e-30, 1.10112e-08, 1.89839e-30, 1.89839e-30, 1.89839e-30
0.435209, 0, 1.64458e-08, 9.41009e-30, 1.41421, -1.64458e-08, 0, 9.41009e-30, 9.41009e-30, 9.41009e-30, 9.41009e-30, 9.41009e-30, 9.41009e-30, 9.41009e-30, 9.41009e-30, 9.41009e-30, 9.41009e-30, 3.72262e-10, 9.41009e-30, 9.41009e-30, 9.41009e-30, 1.60735e-08, 9.41009e-30, 9.41009e-30, 9.41009e-30
0.443092, 0, 2.38324e-08, 4.42592e-29, 1.41421, -2.38324e-08, 0, 4.42592e-29, 4.42592e-29, 4.42592e-29, 4.42592e-29, 4.42592e-29, 4.42592e-29, 4.42592e-29, 4.42592e-29, 4.42592e-29, 4.42592e-29, 5.41508e-10, 4.42592e-29, 4.42592e-29, 4.42592e-29, 2.32909e-08, 4.42592e-29, 4.42592e-29, 4.42592e-29
0.450976, 0, 3.42859e-08, 2.01539e-28, 1.41421, -3.42859e-08, 0, 2.01539e-28, 2.01539e-28, 2.01539e-28, 2.01539e-28, 2.01539e-28, 2.01539e-28, 2.01539e-28, 2.01539e-28, 2.01539e-28, 2.01539e-28, 7.82453e-10, 2.01539e-28, 2.01539e-28, 2.01539e-28, 3.35034e-08, 2.01539e-28, 2.01539e-28, 2.01539e-28
0.45886, 0, 4.89699e-08, 8.79008e-28, 1.41421, -4.89699e-08, 0, 8.79008e-28, 8.79008e-28, 8.79008e-28, 8.79008e-28, 8.79008e-28, 8.79008e-28, 8.79008e-28, 8.79008e-28, 8.79008e-28, 8.79008e-28, 1.12323e-09, 8.79008e-28, 8.79008e-28, 8.79008e-28, 4.78467e-08, 8.79008e-28, 8.79008e-28, 8.79008e-28
0.466744, 0, 6.94456e-08, 3.65773e-27, 1.41421, -6.94456e-08, 0, 3.65773e-27, 3.65773e-27, 3.65773e-27, 3.65773e-27, 3.65773e-27, 3.65773e-27, 3.65773e-27, 3.65773e-27, 3.65773e-27, 3.65773e-27, 1.60215e-09, 3.65773e-27, 3.65773e-27, 3.65773e-27, 6.78435e-08, 3.65773e-27, 3.65773e-27, 3.65773e-27
0.474627, 0, 9.77904e-08, 1.45288e-26, 1.41421, -9.77904e-08, 0, 1.45288e-26, 1.45288e-26, 1.45288e-26, 1.45288e-26, 1.45288e-26, 1.45288e-26, 1.45288e-26, 1.45288e-26, 1.45288e-26, 1.45288e-26, 2.27102e-09, 1.45288e-26, 1.45288e-26, 1.45288e-26, 9.55194e-08, 1.45288e-26, 1.45288e-26, 1.45288e-26
0.482511, 0, 1.36748e-07, 5.51465e-26, 1.41421, -1.36748e-07, 0, 5.51465e-26, 5.51465e-26, 5.51465e-26, 5.51465e-26, 5.51465e-26, 5.51465e-26, 8.06084e-13, 5.51465e-26, 5.51465e-26, 5.51465e-26, 3.19952e-09, 5.51465e-26, 5.51465e-26, 5.51465e-26, 1.33548e-07, 5.51465e-26, 5.51465e-26, 5.51465e-26
0.490395, 0, 1.89913e-07, 2.00383e-25, 1.41421, -1.89913e-07, 0, 2.00383e-25, 2.00383e-25, 2.00383e-25, 2.00383e-25, 2.00383e-25, 2.00383e-25, 2.76421e-12, 2.00383e-25, 2.00383e-25, 2.00383e-25, 4.48081e-09, 2.00383e-25, 2.00383e-25, 2.00383e-25, 1.85429e-07, 2.00383e-25, 2.00383e-25, 2.00383e-25
0.498278, 0, 2.6196e-07, 7.04288e-25, 1.41421, -2.6196e-07, 0, 7.04288e-25, 7.04288e-25, 7.04288e-25, 7.04288e-25, 7.04288e-25, 7.04288e-25, 7.36714e-12, 7.04288e-25, 7.04288e-25, 7.04288e-25, 6.2387e-09, 7.04288e-25, 7.04288e-25, 7.04288e-25, 2.55713e-07, 7.04288e-25, 7.04288e-25, 7.04288e-25
0.506162, 0, 3.61123e-07, 1.63634e-10, 1.41421, -3.61123e-07, 1.63634e-10, 1.63666e-10, 8.91182e-10, 1.80327e-10, 2.35679e-10, 1.81187e-10, 1.76063e-10, 2.19553e-10, 1.7963e-10, 1.66588e-10, 1.23272e-09, 8.80063e-09, 1.66244e-10, 1.66949e-10, 1.63638e-10, 3.50479e-07, 1.63634e-10, 1.63634e-10, 1.74948e-10
0.514046, 0, 4.96041e-07, 5.55512e-10, 1.41421, -4.96041e-07, 5.55512e-10, 5.55618e-10, 3.03646e-09, 6.12434e-10, 8.01185e-10, 6.15366e-10, 5.97893e-10, 7.26521e-10, 6.10057e-10, 5.65585e-10, 4.20109e-09, 1.24461e-08, 5.64412e-10, 5.66815e-10, 5.55523e-10, 4.77324e-07, 5.55512e-10, 5.55512e-10, 5.94091e-10
0.521929, 0, 6.80644e-07, 1.46987e-09, 1.41421, -6.80644e-07, 1.46987e-09, 1.47015e-09, 8.04899e-09, 1.62082e-09, 2.12136e-09, 1.62859e-09, 1.58226e-09, 1.90602e-09, 1.61451e-09, 1.49658e-09, 1.11374e-08, 1.77503e-08, 1.49347e-09, 1.49984e-09, 1.4699e-09, 6.46279e-07, 1.46987e-09, 1.46987e-09, 1.57217e-09
0.529813, 0, 9.36109e-07, 3.54833e-09, 1.41421, -9.36109e-07, 3.54833e-09, 3.54901e-09, 1.94514e-08, 3.91321e-09, 5.12311e-09, 3.932e-09, 3.82e-09, 4.57983e-09, 3.89797e-09, 3.6129e-09, 2.69168e-08, 2.57195e-08, 3.60538e-09, 3.62079e-09, 3.5484e-09, 8.70248e-07, 3.54833e-09, 3.54833e-09, 3.79562e-09
0.537697, 0, 1.29677e-06, 8.15525e-09, 1.41421, -1.29677e-06, 8.15525e-09, 8.15682e-09, 4.474e-08, 8.99465e-09, 1.1778e-08, 9.03787e-09, 8.78021e-09, 1.04903e-08, 8.95958e-09, 8.30378e-09, 6.1914e-08, 3.81887e-08, 8.28649e-09, 8.32194e-09, 8.15541e-09, 1.16626e-06, 8.15525e-09, 8.15525e-09, 8.72415e-09
0.545581, 0, 1.82133e-06, 1.81208e-08, 1.41421, -1.82133e-06, 1.81208e-08, 1.81243e-08, 9.94631e-08, 1.99871e-08, 2.61756e-08, 2.00832e-08, 1.95103e-08, 2.3633e-08, 1.99092e-08, 1.84511e-08, 1.37648e-07, 5.85922e-08, 1.84126e-08, 1.84914e-08, 1.81212e-08, 1.55716e-06, 1.81208e-08, 1.81208e-08, 1.93857e-08
0.553464, 0, 2.61309e-06, 3.9161e-08, 1.41421, -2.61309e-06, 3.9161e-08, 3.91685e-08, 2.15037e-07, 4.31962e-08, 5.65769e-08, 4.34041e-08, 4.21654e-08, 5.18186e-08, 4.30277e-08, 3.9875e-08, 2.97599e-07, 9.34159e-08, 3.97919e-08, 3.99623e-08, 3.91617e-08, 2.07441e-06, 3.9161e-08, 3.9161e-08, 4.18959e-08
0.561348, 0, 3.8655e-06, 8.25266e-08, 1.41421, -3.8655e-06, 8.25266e-08, 8.25425e-08, 4.53322e-07, 9.10341e-08, 1.19244e-07, 9.14722e-08, 8.88608e-08, 1.18112e-07, 9.06787e-08, 8.4032e-08, 6.27386e-07, 1.54888e-07, 8.38568e-08, 8.4216e-08, 8.25282e-08, 2.76293e-06, 8.25266e-08, 8.25266e-08, 8.82925e-08
0.569232, 0, 5.92297e-06, 1.69871e-07, 1.41421, -5.92297e-06, 1.69871e-07, 1.69904e-07, 9.33437e-07, 1.8739e-07, 2.45482e-07, 1.88292e-07, 1.82915e-07, 2.59148e-07, 1.86658e-07, 1.72971e-07, 1.29188e-06, 2.65893e-07, 1.7261e-07, 1.7335e-07, 1.69875e-07, 3.68948e-06, 1.69871e-07, 1.69871e-07, 1.81745e-07
0.577115, 0, 9.39508e-06, 3.41346e-07, 1.41421, -9.39508e-06, 3.41346e-07, 3.41412e-07, 1.87629e-06, 3.76563e-07, 4.93342e-07, 3.78377e-07, 3.67567e-07, 5.36436e-07, 3.75092e-07, 3.47578e-07, 2.59684e-06, 4.6813e-07, 3.46852e-07, 3.48339e-07, 3.41353e-07, 4.95589e-06, 3.41346e-07, 3.41346e-07, 3.65214e-07
0.584999, 0, 1.53942e-05, 6.70397e-07, 1.41421, -1.53942e-05, 6.70397e-07, 6.70527e-07, 3.68622e-06, 7.39592e-07, 9.69037e-07, 7.43155e-07, 7.21915e-07, 1.08492e-06, 7.36702e-07, 6.82641e-07, 5.10195e-06, 8.36979e-07, 6.81216e-07, 6.84138e-07, 6.70411e-07, 6.7235e-06, 6.70397e-07, 6.70397e-07, 7.17294e-07
0.592883, 0, 2.58681e-05, 1.2871e-06, 1.41421, -2.58681e-05, 1.2871e-06, 1.28734e-06, 7.07963e-06, 1.42e-06, 1.8607e-06, 1.42684e-06, 1.38605e-06, 2.14868e-06, 1.41445e-06, 1.31061e-06, 9.79884e-06, 1.50492e-06, 1.30788e-06, 1.31349e-06, 1.28712e-06, 9.25079e-06, 1.2871e-06, 1.2871e-06, 1.37717e-06
0.600766, 0, 4.41784e-05, 2.41607e-06, 1.41421, -4.41784e-05, 2.41607e-06, 2.41654e-06, 1.32943e-05, 2.66566e-06, 3.49328e-06, 2.67852e-06, 2.6019e-06, 4.176e-06, 2.65524e-06, 2.46024e-06, 1.8401e-05, 2.69959e-06, 2.4551e-06, 2.46564e-06, 2.41612e-06, 1.29552e-05, 2.41607e-06, 2.41607e-06, 2.58523e-06
0.60865, 0, 7.59973e-05, 4.43512e-06, 1.41421, -7.59973e-05, 4.43512e-06, 4.43598e-06, 2.44133e-05, 4.8935e-06, 6.41344e-06, 4.9171e-06, 4.7764e-06, 7.96745e-06, 4.87435e-06, 4.51623e-06, 3.37917e-05, 4.80251e-06, 4.50679e-06, 4.52614e-06, 4.43521e-06, 1.85083e-05, 4.43512e-06, 4.43512e-06, 4.74578e-06
0.616534, 0, 0.000130681, 7.9628e-06, 1.41421, -0.000130681, 7.9628e-06, 7.96434e-06, 4.38487e-05, 8.78616e-06, 1.15164e-05, 8.82856e-06, 8.57582e-06, 1.49274e-05, 8.75177e-06, 8.10849e-06, 6.06948e-05, 8.43688e-06, 8.09153e-06, 8.1263e-06, 7.96296e-06, 2.69821e-05, 7.9628e-06, 7.9628e-06, 8.52083e-06
0.624417, 0, 0.000223301, 1.39851e-05, 1.41421, -0.000223301, 1.39851e-05, 1.39878e-05, 7.70437e-05, 1.54319e-05, 2.02294e-05, 1.55064e-05, 1.50623e-05, 2.74718e-05, 1.53715e-05, 1.42411e-05, 0.000106645, 1.45945e-05, 1.42113e-05, 1.42724e-05, 1.39854e-05, 4.00566e-05, 1.39851e-05, 1.39851e-05, 1.49657e-05
0.632301, 0, 0.000377558, 2.40318e-05, 1.41421, -0.000377558, 2.40318e-05, 2.40364e-05, 0.000132448, 2.65192e-05, 3.47675e-05, 2.66473e-05, 2.58838e-05, 4.96747e-05, 2.64153e-05, 2.44719e-05, 0.000183342, 2.48123e-05, 2.44207e-05, 2.45257e-05, 2.40322e-05, 6.03201e-05, 2.40318e-05, 2.40318e-05, 2.57176e-05
0.640185, 0, 0.000629821, 4.04108e-05, 1.41421, -0.000629821, 4.04108e-05, 4.04186e-05, 0.000222819, 4.4596e-05, 5.84736e-05, 4.48115e-05, 4.35268e-05, 8.82704e-05, 4.44211e-05, 4.11514e-05, 0.000308448, 4.14073e-05, 4.10652e-05, 4.12419e-05, 4.04116e-05, 9.16735e-05, 4.04108e-05, 4.04108e-05, 4.32473e-05
0.648068, 0, 0.00103455, 6.65098e-05, 1.41421, -0.00103455, 6.65098e-05, 6.65227e-05, 0.000366899, 7.34019e-05, 9.62556e-05, 7.37569e-05, 7.16413e-05, 0.000154169, 7.3114e-05, 6.77294e-05, 0.000507912, 6.77784e-05, 6.75874e-05, 6.78785e-05, 6.65112e-05, 0.00013986, 6.65098e-05, 6.65098e-05, 7.11809e-05
0.655952, 0, 0.00167128, 0.00010716, 1.41421, -0.00167128, 0.00010716, 0.00010718, 0.000591435, 0.000118271, 0.000155115, 0.000118843, 0.000115432, 0.000264684, 0.000117807, 0.000109126, 0.00081877, 0.00010877, 0.000108897, 0.000109366, 0.000107162, 0.000213124, 0.00010716, 0.00010716, 0.00011469
