   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_30.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.182193, 0, 2.1143e-13, 0, 1.41421, -2.1143e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20706e-15, 0, 0, 0, 2.10222e-13, 0, 0, 0
0.190089, 0, 3.58e-13, 0, 1.41421, -3.58e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04384e-15, 0, 0, 0, 3.55956e-13, 0, 0, 0
0.197984, 0, 6.01865e-13, 0, 1.41421, -6.01865e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43611e-15, 0, 0, 0, 5.98429e-13, 0, 0, 0
0.20588, 0, 1.00469e-12, 0, 1.41421, -1.00469e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.73597e-15, 0, 0, 0, 9.98955e-13, 0, 0, 0
0.213776, 0, 1.66535e-12, 0, 1.41421, -1.66535e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.50799e-15, 0, 0, 0, 1.65584e-12, 0, 0, 0
0.221671, 0, 2.74118e-12, 0, 1.41421, -2.74118e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56506e-14, 0, 0, 0, 2.72553e-12, 0, 0, 0
0.229567, 0, 4.48069e-12, 0, 1.41421, -4.48069e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55832e-14, 0, 0, 0, 4.4551e-12, 0, 0, 0
0.237463, 0, 7.27352e-12, 0, 1.41421, -7.27352e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.15312e-14, 0, 0, 0, 7.23199e-12, 0, 0, 0
0.245358, 0, 1.17261e-11, 0, 1.41421, -1.17261e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.69594e-14, 0, 0, 0, 1.16591e-11, 0, 0, 0
0.253254, 0, 1.87753e-11, 0, 1.41421, -1.87753e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07221e-13, 0, 0, 0, 1.86681e-11, 0, 0, 0
0.261149, 0, 2.98579e-11, 0, 1.41421, -2.98579e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70529e-13, 0, 0, 0, 2.96874e-11, 0, 0, 0
0.269045, 0, 4.71613e-11, 0, 1.41421, -4.71613e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6939e-13, 0, 0, 0, 4.68919e-11, 0, 0, 0
0.276941, 0, 7.39912e-11, 0, 1.41421, -7.39912e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22716e-13, 0, 0, 0, 7.35685e-11, 0, 0, 0
0.284836, 0, 1.15307e-10, 0, 1.41421, -1.15307e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58892e-13, 0, 0, 0, 1.14648e-10, 0, 0, 0
0.292732, 0, 1.78494e-10, 2.45227e-43, 1.41421, -1.78494e-10, 0, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 1.02023e-12, 2.45227e-43, 2.45227e-43, 2.45227e-43, 1.77474e-10, 2.45227e-43, 2.45227e-43, 2.45227e-43
0.300627, 0, 2.74474e-10, 4.2081e-42, 1.41421, -2.74474e-10, 0, 4.2081e-42, 4.2081e-42, 4.2081e-42, 4.2081e-42, 4.2081e-42, 4.2081e-42, 4.2081e-42, 4.2081e-42, 4.2081e-42, 1.56933e-12, 4.2081e-42, 4.2081e-42, 4.2081e-42, 2.72905e-10, 4.2081e-42, 4.2081e-42, 4.2081e-42
0.308523, 0, 4.19276e-10, 6.03091e-41, 1.41421, -4.19276e-10, 0, 6.03091e-41, 6.03091e-41, 6.03091e-41, 6.03091e-41, 6.03091e-41, 6.03091e-41, 6.03091e-41, 6.03091e-41, 6.03091e-41, 2.39819e-12, 6.03091e-41, 6.03091e-41, 6.03091e-41, 4.16878e-10, 6.03091e-41, 6.03091e-41, 6.03091e-41
0.316419, 0, 6.3626e-10, 7.66512e-40, 1.41421, -6.3626e-10, 0, 7.66512e-40, 7.66512e-40, 7.66512e-40, 7.66512e-40, 7.66512e-40, 7.66512e-40, 7.66512e-40, 7.66512e-40, 7.66512e-40, 3.64105e-12, 7.66512e-40, 7.66512e-40, 7.66512e-40, 6.32619e-10, 7.66512e-40, 7.66512e-40, 7.66512e-40
0.324314, 0, 9.59217e-10, 8.71375e-39, 1.41421, -9.59217e-10, 0, 8.71375e-39, 8.71375e-39, 8.71375e-39, 8.71375e-39, 8.71375e-39, 8.71375e-39, 8.71375e-39, 8.71375e-39, 8.71375e-39, 5.49241e-12, 8.71375e-39, 8.71375e-39, 8.71375e-39, 9.53725e-10, 8.71375e-39, 8.71375e-39, 8.71375e-39
0.33221, 0, 1.43669e-09, 8.9457e-38, 1.41421, -1.43669e-09, 0, 8.9457e-38, 8.9457e-38, 8.9457e-38, 8.9457e-38, 8.9457e-38, 8.9457e-38, 8.9457e-38, 8.9457e-38, 8.9457e-38, 8.23217e-12, 8.9457e-38, 8.9457e-38, 8.9457e-38, 1.42846e-09, 8.9457e-38, 8.9457e-38, 8.9457e-38
0.340106, 0, 2.13789e-09, 8.3372e-37, 1.41421, -2.13789e-09, 0, 8.3372e-37, 8.3372e-37, 8.3372e-37, 8.3372e-37, 8.3372e-37, 8.3372e-37, 8.3372e-37, 8.3372e-37, 8.3372e-37, 1.22604e-11, 8.3372e-37, 8.3372e-37, 8.3372e-37, 2.12563e-09, 8.3372e-37, 8.3372e-37, 8.3372e-37
0.348001, 0, 3.16084e-09, 7.099e-36, 1.41421, -3.16084e-09, 0, 7.099e-36, 7.099e-36, 7.099e-36, 7.099e-36, 7.099e-36, 7.099e-36, 7.099e-36, 7.099e-36, 7.099e-36, 1.81451e-11, 7.099e-36, 7.099e-36, 7.099e-36, 3.14269e-09, 7.099e-36, 7.099e-36, 7.099e-36
0.355897, 0, 4.64329e-09, 5.54519e-35, 1.41421, -4.64329e-09, 0, 5.54519e-35, 5.54519e-35, 5.54519e-35, 5.54519e-35, 5.54519e-35, 5.54519e-35, 5.54519e-35, 5.54519e-35, 5.54519e-35, 2.66872e-11, 5.54519e-35, 5.54519e-35, 5.54519e-35, 4.6166e-09, 5.54519e-35, 5.54519e-35, 5.54519e-35
0.363792, 0, 6.77755e-09, 3.99118e-34, 1.41421, -6.77755e-09, 0, 3.99118e-34, 3.99118e-34, 3.99118e-34, 3.99118e-34, 3.99118e-34, 3.99118e-34, 3.99118e-34, 3.99118e-34, 3.99118e-34, 3.90092e-11, 3.99118e-34, 3.99118e-34, 3.99118e-34, 6.73854e-09, 3.99118e-34, 3.99118e-34, 3.99118e-34
0.371688, 0, 9.83019e-09, 2.74084e-33, 1.41421, -9.83019e-09, 0, 2.74084e-33, 2.74084e-33, 2.74084e-33, 2.74084e-33, 2.74084e-33, 2.74084e-33, 2.74084e-33, 2.74084e-33, 2.74084e-33, 5.6674e-11, 2.74084e-33, 2.74084e-33, 2.74084e-33, 9.77352e-09, 2.74084e-33, 2.74084e-33, 2.74084e-33
0.379584, 0, 1.4168e-08, 1.60593e-32, 1.41421, -1.4168e-08, 0, 1.60593e-32, 1.60593e-32, 1.60593e-32, 1.60593e-32, 1.60593e-32, 1.60593e-32, 1.60593e-32, 1.60593e-32, 1.60593e-32, 8.18434e-11, 1.60593e-32, 1.60593e-32, 1.60593e-32, 1.40862e-08, 1.60593e-32, 1.60593e-32, 1.60593e-32
0.387479, 0, 2.02924e-08, 9.52054e-32, 1.41421, -2.02924e-08, 0, 9.52054e-32, 9.52054e-32, 9.52054e-32, 9.52054e-32, 9.52054e-32, 9.52054e-32, 9.52054e-32, 9.52054e-32, 9.52054e-32, 1.1749e-10, 9.52054e-32, 9.52054e-32, 9.52054e-32, 2.01749e-08, 9.52054e-32, 9.52054e-32, 9.52054e-32
0.395375, 0, 2.88838e-08, 5.03221e-31, 1.41421, -2.88838e-08, 0, 5.03221e-31, 5.03221e-31, 5.03221e-31, 5.03221e-31, 5.03221e-31, 5.03221e-31, 5.03221e-31, 5.03221e-31, 5.03221e-31, 1.67679e-10, 5.03221e-31, 5.03221e-31, 5.03221e-31, 2.87161e-08, 5.03221e-31, 5.03221e-31, 5.03221e-31
0.403271, 0, 4.08594e-08, 2.60326e-30, 1.41421, -4.08594e-08, 0, 2.60326e-30, 2.60326e-30, 2.60326e-30, 2.60326e-30, 2.60326e-30, 2.60326e-30, 2.60326e-30, 2.60326e-30, 2.60326e-30, 2.37932e-10, 2.60326e-30, 2.60326e-30, 2.60326e-30, 4.06214e-08, 2.60326e-30, 2.60326e-30, 2.60326e-30
0.411166, 0, 5.74469e-08, 1.28357e-29, 1.41421, -5.74469e-08, 0, 1.28357e-29, 1.28357e-29, 1.28357e-29, 1.28357e-29, 1.28357e-29, 1.28357e-29, 1.28357e-29, 1.28357e-29, 1.28357e-29, 3.35712e-10, 1.28357e-29, 1.28357e-29, 1.28357e-29, 5.71112e-08, 1.28357e-29, 1.28357e-29, 1.28357e-29
0.419062, 0, 8.02791e-08, 5.99588e-29, 1.41421, -8.02791e-08, 0, 5.99588e-29, 5.99588e-29, 5.99588e-29, 5.99588e-29, 5.99588e-29, 5.99588e-29, 5.99588e-29, 5.99588e-29, 5.99588e-29, 4.71046e-10, 5.99588e-29, 5.99588e-29, 5.99588e-29, 7.9808e-08, 5.99588e-29, 5.99588e-29, 5.99588e-29
0.426957, 0, 1.11512e-07, 2.70796e-28, 1.41421, -1.11512e-07, 0, 2.70796e-28, 2.70796e-28, 2.70796e-28, 2.70796e-28, 2.70796e-28, 2.70796e-28, 2.70796e-28, 2.70796e-28, 2.70796e-28, 6.57337e-10, 2.70796e-28, 2.70796e-28, 2.70796e-28, 1.10854e-07, 2.70796e-28, 2.70796e-28, 2.70796e-28
0.434853, 0, 1.53973e-07, 1.16947e-27, 1.41421, -1.53973e-07, 0, 1.16947e-27, 1.16947e-27, 1.16947e-27, 1.16947e-27, 1.16947e-27, 1.16947e-27, 1.16947e-27, 1.16947e-27, 1.16947e-27, 9.12404e-10, 1.16947e-27, 1.16947e-27, 1.16947e-27, 1.53061e-07, 1.16947e-27, 1.16947e-27, 1.16947e-27
0.442749, 0, 2.1135e-07, 4.81188e-27, 1.41421, -2.1135e-07, 0, 4.81188e-27, 4.81188e-27, 4.81188e-27, 4.81188e-27, 4.81188e-27, 4.81188e-27, 4.81188e-27, 4.81188e-27, 4.81188e-27, 1.25982e-09, 4.81188e-27, 4.81188e-27, 4.81188e-27, 2.1009e-07, 4.81188e-27, 4.81188e-27, 4.81188e-27
0.450644, 0, 2.88413e-07, 1.8881e-26, 1.41421, -2.88413e-07, 0, 1.8881e-26, 1.8881e-26, 1.8881e-26, 1.8881e-26, 1.8881e-26, 1.8881e-26, 1.8881e-26, 1.8881e-26, 1.8881e-26, 1.7306e-09, 1.8881e-26, 1.8881e-26, 1.8881e-26, 2.86683e-07, 1.8881e-26, 1.8881e-26, 1.8881e-26
0.45854, 0, 3.91303e-07, 7.07459e-26, 1.41421, -3.91303e-07, 0, 7.07459e-26, 7.07459e-26, 7.07459e-26, 7.07459e-26, 7.07459e-26, 1.92006e-12, 7.07459e-26, 7.07459e-26, 7.07459e-26, 2.36538e-09, 7.07459e-26, 7.07459e-26, 7.07459e-26, 3.88936e-07, 7.07459e-26, 7.07459e-26, 7.07459e-26
0.466436, 0, 5.27865e-07, 4.01619e-25, 1.41421, -5.27865e-07, 0, 4.01619e-25, 4.01619e-25, 4.01619e-25, 4.01619e-25, 4.01619e-25, 7.11407e-12, 4.01619e-25, 4.01619e-25, 4.01619e-25, 3.21712e-09, 4.01619e-25, 4.01619e-25, 4.01619e-25, 5.24641e-07, 4.01619e-25, 4.01619e-25, 4.01619e-25
0.474331, 0, 7.09637e-07, 1.97495e-10, 1.41421, -7.09637e-07, 1.97495e-10, 1.97506e-10, 5.88762e-10, 2.08551e-10, 1.97994e-10, 2.06498e-10, 2.53335e-10, 3.79544e-10, 1.99274e-10, 8.67255e-10, 4.552e-09, 1.98007e-10, 1.99364e-10, 1.97496e-10, 7.03949e-07, 1.97495e-10, 1.97495e-10, 2.07682e-10
0.482227, 0, 9.49621e-07, 6.40766e-10, 1.41421, -9.49621e-07, 6.40766e-10, 6.40802e-10, 1.91968e-09, 6.76903e-10, 6.42398e-10, 6.70193e-10, 8.05802e-10, 1.23582e-09, 6.46581e-10, 2.82997e-09, 6.50693e-09, 6.42438e-10, 6.46875e-10, 6.40769e-10, 9.39412e-07, 6.40766e-10, 6.40766e-10, 6.74064e-10
0.490122, 0, 1.26606e-06, 1.61549e-09, 1.41421, -1.26606e-06, 1.61549e-09, 1.61559e-09, 4.85852e-09, 1.70713e-09, 1.61963e-09, 1.69011e-09, 2.01953e-09, 3.12442e-09, 1.63024e-09, 7.16682e-09, 9.48144e-09, 1.61973e-09, 1.63099e-09, 1.6155e-09, 1.2472e-06, 1.61549e-09, 1.61549e-09, 1.69993e-09
0.498018, 0, 1.68352e-06, 3.71927e-09, 1.41421, -1.68352e-06, 3.71927e-09, 3.71949e-09, 1.12125e-08, 3.931e-09, 3.72884e-09, 3.89169e-09, 4.63532e-09, 7.20572e-09, 3.75335e-09, 1.65459e-08, 1.42186e-08, 3.72907e-09, 3.75507e-09, 3.71929e-09, 1.64763e-06, 3.71927e-09, 3.71927e-09, 3.91437e-09
0.505914, 0, 2.23652e-06, 8.16953e-09, 1.41421, -2.23652e-06, 8.16953e-09, 8.17e-09, 2.46674e-08, 8.63569e-09, 8.19058e-09, 8.54913e-09, 1.01592e-08, 1.58457e-08, 8.24455e-09, 3.64102e-08, 2.21209e-08, 8.1911e-09, 8.24834e-09, 8.16957e-09, 2.16669e-06, 8.16953e-09, 8.16953e-09, 8.59908e-09
0.513809, 0, 2.97574e-06, 1.73951e-08, 1.41421, -2.97574e-06, 1.73951e-08, 1.73961e-08, 5.2582e-08, 1.83894e-08, 1.744e-08, 1.82047e-08, 2.19826e-08, 3.37669e-08, 1.75551e-08, 7.7627e-08, 3.58514e-08, 1.74411e-08, 1.75632e-08, 1.73952e-08, 2.83777e-06, 1.73951e-08, 1.73951e-08, 1.83113e-08
0.521705, 0, 3.97818e-06, 3.61386e-08, 1.41421, -3.97818e-06, 3.61386e-08, 3.61407e-08, 1.09334e-07, 3.82068e-08, 3.6232e-08, 3.78228e-08, 4.64462e-08, 7.01952e-08, 3.64715e-08, 1.61433e-07, 6.04473e-08, 3.62343e-08, 3.64883e-08, 3.61388e-08, 3.70449e-06, 3.61386e-08, 3.61386e-08, 3.80444e-08
0.529601, 0, 5.37406e-06, 7.34612e-08, 1.41421, -5.37406e-06, 7.34612e-08, 7.34655e-08, 2.22415e-07, 7.76701e-08, 7.36513e-08, 7.68885e-08, 1.04071e-07, 1.42767e-07, 7.41386e-08, 3.28437e-07, 1.05339e-07, 7.3656e-08, 7.41728e-08, 7.34616e-08, 4.82504e-06, 7.34612e-08, 7.34612e-08, 7.73395e-08
0.537496, 0, 7.36433e-06, 1.46307e-07, 1.41421, -7.36433e-06, 1.46307e-07, 1.46315e-07, 4.43265e-07, 1.54698e-07, 1.46686e-07, 1.53139e-07, 2.19756e-07, 2.84476e-07, 1.47657e-07, 6.54632e-07, 1.87931e-07, 1.46695e-07, 1.47725e-07, 1.46307e-07, 6.27931e-06, 1.46307e-07, 1.46307e-07, 1.54038e-07
0.545392, 0, 1.02924e-05, 2.85673e-07, 1.41421, -1.02924e-05, 2.85673e-07, 2.8569e-07, 8.66068e-07, 3.02073e-07, 2.86414e-07, 2.99028e-07, 4.47887e-07, 5.5572e-07, 2.88313e-07, 1.27918e-06, 3.39793e-07, 2.86432e-07, 2.88446e-07, 2.85675e-07, 8.18029e-06, 2.85673e-07, 2.85673e-07, 3.00785e-07
0.553287, 0, 1.47387e-05, 5.47045e-07, 1.41421, -1.47387e-05, 5.47045e-07, 5.47077e-07, 1.65954e-06, 5.7848e-07, 5.48465e-07, 5.72643e-07, 8.89245e-07, 1.06467e-06, 5.52104e-07, 2.45139e-06, 6.17115e-07, 5.485e-07, 5.5236e-07, 5.47048e-07, 1.06927e-05, 5.47045e-07, 5.47045e-07, 5.76011e-07
0.561183, 0, 2.16812e-05, 1.0276e-06, 1.41421, -2.16812e-05, 1.0276e-06, 1.02766e-06, 3.11944e-06, 1.0867e-06, 1.03027e-06, 1.07573e-06, 1.72246e-06, 2.00089e-06, 1.03711e-06, 4.60836e-06, 1.11794e-06, 1.03033e-06, 1.03759e-06, 1.0276e-06, 1.40634e-05, 1.0276e-06, 1.0276e-06, 1.08206e-06
0.569079, 0, 3.27762e-05, 1.89379e-06, 1.41421, -3.27762e-05, 1.89379e-06, 1.8939e-06, 5.75289e-06, 2.00283e-06, 1.89872e-06, 1.98258e-06, 3.27962e-06, 3.68936e-06, 1.91134e-06, 8.4997e-06, 2.0098e-06, 1.89884e-06, 1.91222e-06, 1.8938e-06, 1.86694e-05, 1.89379e-06, 1.89379e-06, 1.99427e-06
0.576974, 0, 5.07803e-05, 3.42459e-06, 1.41421, -5.07803e-05, 3.42459e-06, 3.42479e-06, 1.04106e-05, 3.62198e-06, 3.4335e-06, 3.58533e-06, 6.14514e-06, 6.67505e-06, 3.45635e-06, 1.53831e-05, 3.57296e-06, 3.43372e-06, 3.45796e-06, 3.42461e-06, 2.5093e-05, 3.42459e-06, 3.42459e-06, 3.60648e-06
0.58487, 0, 8.02195e-05, 6.07717e-06, 1.41421, -8.02195e-05, 6.07717e-06, 6.07752e-06, 1.84883e-05, 6.42785e-06, 6.09301e-06, 6.36273e-06, 1.13333e-05, 1.18518e-05, 6.1336e-06, 2.73222e-05, 6.2662e-06, 6.09339e-06, 6.13645e-06, 6.0772e-06, 3.42359e-05, 6.07717e-06, 6.07717e-06, 6.40031e-06
0.592766, 0, 0.000128415, 1.05842e-05, 1.41421, -0.000128415, 1.05842e-05, 1.05848e-05, 3.22255e-05, 1.11957e-05, 1.06118e-05, 1.10822e-05, 2.05768e-05, 2.06535e-05, 1.06826e-05, 4.76291e-05, 1.08242e-05, 1.06125e-05, 1.06876e-05, 1.05843e-05, 4.74954e-05, 1.05842e-05, 1.05842e-05, 1.11477e-05
0.600661, 0, 0.000206984, 1.80937e-05, 1.41421, -0.000206984, 1.80937e-05, 1.80948e-05, 5.51355e-05, 1.91404e-05, 1.8141e-05, 1.8946e-05, 3.67837e-05, 3.53285e-05, 1.82622e-05, 8.15007e-05, 1.83972e-05, 1.81421e-05, 1.82707e-05, 1.80938e-05, 6.70014e-05, 1.80937e-05, 1.80937e-05, 1.90582e-05
0.608557, 0, 0.000334053, 3.03641e-05, 1.41421, -0.000334053, 3.03641e-05, 3.03659e-05, 9.26075e-05, 3.21228e-05, 3.04435e-05, 3.17963e-05, 6.47511e-05, 5.93247e-05, 3.06471e-05, 0.000136911, 3.07468e-05, 3.04455e-05, 3.06614e-05, 3.03643e-05, 9.59779e-05, 3.03641e-05, 3.03641e-05, 3.19847e-05
0.616452, 0, 0.00053735, 5.0027e-05, 1.41421, -0.00053735, 5.0027e-05, 5.00299e-05, 0.000152719, 5.29287e-05, 5.01581e-05, 5.23899e-05, 0.000112251, 9.78077e-05, 5.0494e-05, 0.000225813, 5.05081e-05, 5.01613e-05, 5.05176e-05, 5.00273e-05, 0.000139222, 5.0027e-05, 5.0027e-05, 5.27008e-05
0.624348, 0, 0.000858488, 8.09302e-05, 1.41421, -0.000858488, 8.09302e-05, 8.09349e-05, 0.000247301, 8.56311e-05, 8.11425e-05, 8.47582e-05, 0.000191654, 0.000158339, 8.16867e-05, 0.000365719, 8.15332e-05, 8.11477e-05, 8.17249e-05, 8.09306e-05, 0.000203745, 8.09302e-05, 8.09302e-05, 8.52619e-05
0.632244, 0, 0.0013587, 0.000128568, 1.41421, -0.0013587, 0.000128568, 0.000128575, 0.000393277, 0.000136047, 0.000128906, 0.000134658, 0.000322289, 0.000251731, 0.000129771, 0.00058169, 0.000129322, 0.000128914, 0.000129832, 0.000128568, 0.000299603, 0.000128568, 0.000128568, 0.00013546
0.640139, 0, 0.00212628, 0.000200596, 1.41421, -0.00212628, 0.000200596, 0.000200608, 0.000614281, 0.000212285, 0.000201124, 0.000210115, 0.000533797, 0.000393075, 0.000202477, 0.000908731, 0.000201537, 0.000201137, 0.000202573, 0.000200597, 0.000440926, 0.000200596, 0.000200596, 0.000211367
0.648035, 0, 0.00328607, 0.000307425, 1.41421, -0.00328607, 0.000307425, 0.000307443, 0.00094252, 0.00032537, 0.000308236, 0.000322038, 0.000870774, 0.00060292, 0.000310313, 0.00139456, 0.000308596, 0.000308255, 0.00031046, 0.000307427, 0.000647151, 0.000307425, 0.000307425, 0.000323962
0.65593, 0, 0.00501097, 0.000462854, 1.41421, -0.00501097, 0.000462854, 0.000462881, 0.0014208, 0.000489922, 0.000464076, 0.000484895, 0.00139901, 0.000908561, 0.00046721, 0.00210263, 0.000464309, 0.000464106, 0.000467432, 0.000462856, 0.000944443, 0.000462854, 0.000462854, 0.000487797
0.663826, 0, 0.00753554, 0.000684695, 1.41421, -0.00753554, 0.000684695, 0.000684736, 0.00210453, 0.000724814, 0.000686507, 0.000717364, 0.00221357, 0.00134531, 0.000691151, 0.00311513, 0.0006865, 0.000686551, 0.000691481, 0.000684699, 0.00136726, 0.000684695, 0.000684695, 0.000721666
0.671722, 0, 0.0111714, 0.000995323, 1.41421, -0.0111714, 0.000995323, 0.000995382, 0.00306358, 0.00105376, 0.000997962, 0.00104291, 0.00344899, 0.00195762, 0.00100473, 0.00453571, 0.000997555, 0.000998026, 0.00100521, 0.000995328, 0.00195998, 0.000995323, 0.000995323, 0.00104918
