   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_84.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.380487, 0, 9.57998e-09, 1.39604e-33, 1.41421, -9.57998e-09, 0, 1.39604e-33, 1.39604e-33, 1.39604e-33, 1.39604e-33, 1.39604e-33, 1.39604e-33, 1.39604e-33, 1.39604e-33, 3.58604e-11, 1.39604e-33, 3.42287e-13, 1.39604e-33, 9.54378e-09, 1.39604e-33, 1.39604e-33, 1.39604e-33
0.388367, 0, 1.41494e-08, 8.69899e-33, 1.41421, -1.41494e-08, 0, 8.69899e-33, 8.69899e-33, 8.69899e-33, 8.69899e-33, 8.69899e-33, 8.69899e-33, 8.69899e-33, 8.69899e-33, 5.30547e-11, 8.69899e-33, 5.49172e-13, 8.69899e-33, 1.40958e-08, 8.69899e-33, 8.69899e-33, 8.69899e-33
0.396246, 0, 2.07539e-08, 5.31382e-32, 1.41421, -2.07539e-08, 0, 5.31382e-32, 5.31382e-32, 5.31382e-32, 5.31382e-32, 5.31382e-32, 5.31382e-32, 5.31382e-32, 5.31382e-32, 7.7975e-11, 5.31382e-32, 8.80718e-13, 5.31382e-32, 2.06751e-08, 5.31382e-32, 5.31382e-32, 5.31382e-32
0.404125, 0, 3.02325e-08, 2.94435e-31, 1.41421, -3.02325e-08, 0, 2.94435e-31, 2.94435e-31, 2.94435e-31, 2.94435e-31, 2.94435e-31, 2.94435e-31, 2.94435e-31, 2.94435e-31, 1.13855e-10, 2.94435e-31, 1.41199e-12, 2.94435e-31, 3.01172e-08, 2.94435e-31, 2.94435e-31, 2.94435e-31
0.412004, 0, 4.37401e-08, 1.5673e-30, 1.41421, -4.37401e-08, 0, 1.5673e-30, 1.5673e-30, 1.5673e-30, 1.5673e-30, 1.5673e-30, 1.5673e-30, 1.5673e-30, 1.5673e-30, 1.6518e-10, 1.5673e-30, 2.26307e-12, 1.5673e-30, 4.35727e-08, 1.5673e-30, 1.5673e-30, 1.5673e-30
0.419884, 0, 6.28556e-08, 7.89914e-30, 1.41421, -6.28556e-08, 0, 7.89914e-30, 7.89914e-30, 7.89914e-30, 7.89914e-30, 7.89914e-30, 7.89914e-30, 7.89914e-30, 7.89914e-30, 2.38132e-10, 7.89914e-30, 3.62572e-12, 7.89914e-30, 6.26139e-08, 7.89914e-30, 7.89914e-30, 7.89914e-30
0.427763, 0, 8.97201e-08, 3.76189e-29, 1.41421, -8.97201e-08, 0, 3.76189e-29, 3.76189e-29, 3.76189e-29, 3.76189e-29, 3.76189e-29, 3.76189e-29, 3.76189e-29, 3.76189e-29, 3.41179e-10, 3.76189e-29, 5.80538e-12, 3.76189e-29, 8.93731e-08, 3.76189e-29, 3.76189e-29, 3.76189e-29
0.435642, 0, 1.27216e-07, 1.71679e-28, 1.41421, -1.27216e-07, 0, 1.71679e-28, 1.71679e-28, 1.71679e-28, 1.71679e-28, 1.71679e-28, 1.71679e-28, 1.71679e-28, 1.71679e-28, 4.85849e-10, 1.71679e-28, 9.28698e-12, 1.71679e-28, 1.26721e-07, 1.71679e-28, 1.71679e-28, 1.71679e-28
0.443521, 0, 1.79197e-07, 7.46699e-28, 1.41421, -1.79197e-07, 0, 7.46699e-28, 7.46699e-28, 7.46699e-28, 7.46699e-28, 7.46699e-28, 7.46699e-28, 7.46699e-28, 7.46699e-28, 6.87747e-10, 7.46699e-28, 1.48375e-11, 7.46699e-28, 1.78495e-07, 7.46699e-28, 7.46699e-28, 7.46699e-28
0.4514, 0, 2.50774e-07, 3.09142e-27, 1.41421, -2.50774e-07, 0, 3.09142e-27, 3.09142e-27, 3.09142e-27, 3.09142e-27, 3.09142e-27, 3.09142e-27, 3.09142e-27, 3.09142e-27, 9.67871e-10, 3.09142e-27, 2.36644e-11, 3.09142e-27, 2.49783e-07, 3.09142e-27, 3.09142e-27, 3.09142e-27
0.45928, 0, 3.48679e-07, 1.22021e-26, 1.41421, -3.48679e-07, 0, 1.22021e-26, 1.22021e-26, 1.22021e-26, 1.22021e-26, 1.22021e-26, 1.22021e-26, 1.22021e-26, 1.22021e-26, 1.35432e-09, 1.22021e-26, 3.76586e-11, 1.22021e-26, 3.47287e-07, 1.22021e-26, 1.22021e-26, 1.22021e-26
0.467159, 0, 4.81719e-07, 4.59976e-26, 1.41421, -4.81719e-07, 0, 4.59976e-26, 4.59976e-26, 4.59976e-26, 4.59976e-26, 4.59976e-26, 2.12648e-12, 4.59976e-26, 4.59976e-26, 1.88451e-09, 4.59976e-26, 5.97652e-11, 4.59976e-26, 4.79773e-07, 4.59976e-26, 4.59976e-26, 4.59976e-26
0.475038, 0, 6.61323e-07, 1.65936e-25, 1.41421, -6.61323e-07, 0, 1.65936e-25, 1.65936e-25, 1.65936e-25, 1.65936e-25, 1.65936e-25, 7.1384e-12, 1.65936e-25, 1.65936e-25, 2.60794e-09, 1.65936e-25, 9.45413e-11, 1.65936e-25, 6.58613e-07, 1.65936e-25, 1.65936e-25, 1.65936e-25
0.482917, 0, 9.02234e-07, 5.7929e-25, 1.41421, -9.02234e-07, 0, 5.7929e-25, 5.7929e-25, 5.7929e-25, 5.7929e-25, 5.7929e-25, 1.86041e-11, 5.7929e-25, 5.7929e-25, 3.58982e-09, 5.7929e-25, 1.48993e-10, 5.7929e-25, 8.98476e-07, 5.7929e-25, 5.7929e-25, 5.7929e-25
0.490797, 0, 1.22602e-06, 3.16119e-10, 1.41421, -1.22602e-06, 3.16119e-10, 3.16137e-10, 3.16178e-10, 6.58868e-10, 3.24235e-10, 3.28835e-10, 4.59453e-10, 6.80238e-10, 1.70204e-09, 5.23178e-09, 3.18237e-10, 5.49932e-10, 3.16119e-10, 1.21859e-06, 3.16119e-10, 3.16119e-10, 3.39497e-10
0.498676, 0, 1.6576e-06, 1.04836e-09, 1.41421, -1.6576e-06, 1.04836e-09, 1.04842e-09, 1.04856e-09, 2.19311e-09, 1.07547e-09, 1.09083e-09, 1.47941e-09, 2.26449e-09, 5.67721e-09, 7.74506e-09, 1.05543e-09, 1.41361e-09, 1.04836e-09, 1.64297e-06, 1.04836e-09, 1.04836e-09, 1.12644e-09
0.506555, 0, 2.23205e-06, 2.70697e-09, 1.41421, -2.23205e-06, 2.70697e-09, 2.70712e-09, 2.70749e-09, 5.67717e-09, 2.7773e-09, 2.81717e-09, 3.7847e-09, 5.86235e-09, 1.47171e-08, 1.17842e-08, 2.72532e-09, 3.27462e-09, 2.70697e-09, 2.20279e-06, 2.70697e-09, 2.70697e-09, 2.90956e-09
0.514434, 0, 2.99696e-06, 6.37937e-09, 1.41421, -2.99696e-06, 6.37937e-09, 6.37974e-09, 6.38059e-09, 1.34039e-08, 6.5457e-09, 6.63999e-09, 8.8769e-09, 1.38418e-08, 3.47832e-08, 1.86226e-08, 6.42277e-09, 7.2568e-09, 6.37938e-09, 2.9375e-06, 6.37937e-09, 6.37937e-09, 6.8585e-09
0.522314, 0, 4.02002e-06, 1.43362e-08, 1.41421, -4.02002e-06, 1.43362e-08, 1.4337e-08, 1.43389e-08, 3.0159e-08, 1.47108e-08, 1.49232e-08, 1.98792e-08, 3.11455e-08, 7.83165e-08, 3.07694e-08, 1.44339e-08, 1.56846e-08, 1.43362e-08, 3.89794e-06, 1.43362e-08, 1.43362e-08, 1.54154e-08
0.530193, 0, 5.40232e-06, 3.11989e-08, 1.41421, -5.40232e-06, 3.11989e-08, 3.12008e-08, 3.1205e-08, 6.56903e-08, 3.20157e-08, 3.24787e-08, 4.41355e-08, 6.78408e-08, 1.70666e-07, 5.31501e-08, 3.14121e-08, 3.32586e-08, 3.1199e-08, 5.1501e-06, 3.11989e-08, 3.11989e-08, 3.35515e-08
0.538072, 0, 7.29993e-06, 6.61565e-08, 1.41421, -7.29993e-06, 6.61565e-08, 6.61603e-08, 6.61693e-08, 1.39389e-07, 6.78905e-08, 6.88736e-08, 9.55539e-08, 1.43954e-07, 3.62273e-07, 9.53391e-08, 6.6609e-08, 6.92829e-08, 6.61566e-08, 6.78116e-06, 6.61565e-08, 6.61565e-08, 7.11515e-08
0.545951, 0, 9.98602e-06, 1.37049e-07, 1.41421, -9.98602e-06, 1.37049e-07, 1.37057e-07, 1.37076e-07, 2.88924e-07, 1.40645e-07, 1.42684e-07, 2.22819e-07, 2.98392e-07, 7.51159e-07, 1.75663e-07, 1.37988e-07, 1.41764e-07, 1.37049e-07, 8.90903e-06, 1.37049e-07, 1.37049e-07, 1.47408e-07
0.55383, 0, 1.38857e-05, 2.77702e-07, 1.41421, -1.38857e-05, 2.77702e-07, 2.77718e-07, 2.77756e-07, 5.85759e-07, 2.84996e-07, 2.89132e-07, 4.84529e-07, 6.04965e-07, 1.52334e-06, 3.28558e-07, 2.79606e-07, 2.84766e-07, 2.77702e-07, 1.16983e-05, 2.77702e-07, 2.77702e-07, 2.98714e-07
0.56171, 0, 1.97422e-05, 5.5074e-07, 1.41421, -1.97422e-05, 5.5074e-07, 5.50772e-07, 5.50847e-07, 1.16229e-06, 5.65221e-07, 5.7343e-07, 1.01261e-06, 1.20042e-06, 3.02357e-06, 6.1741e-07, 5.54519e-07, 5.61255e-07, 5.50741e-07, 1.53863e-05, 5.5074e-07, 5.5074e-07, 5.92452e-07
0.569589, 0, 2.88345e-05, 1.06935e-06, 1.41421, -2.88345e-05, 1.06935e-06, 1.06941e-06, 1.06956e-06, 2.25797e-06, 1.09749e-06, 1.11345e-06, 2.05687e-06, 2.33208e-06, 5.8756e-06, 1.15635e-06, 1.07669e-06, 1.08489e-06, 1.06935e-06, 2.03259e-05, 1.06935e-06, 1.06935e-06, 1.15042e-06
0.577468, 0, 4.33484e-05, 2.03328e-06, 1.41421, -4.33484e-05, 2.03328e-06, 2.0334e-06, 2.03367e-06, 4.29572e-06, 2.08685e-06, 2.11722e-06, 4.06902e-06, 4.43677e-06, 1.11815e-05, 2.14632e-06, 2.04726e-06, 2.0561e-06, 2.03328e-06, 2.70562e-05, 2.03328e-06, 2.03328e-06, 2.1876e-06
0.585347, 0, 6.70394e-05, 3.78666e-06, 1.41421, -6.70394e-05, 3.78666e-06, 3.78688e-06, 3.7874e-06, 8.00469e-06, 3.88654e-06, 3.94316e-06, 7.90594e-06, 8.26767e-06, 2.08424e-05, 3.93288e-06, 3.81272e-06, 3.81995e-06, 3.78667e-06, 3.64146e-05, 3.78666e-06, 3.78666e-06, 4.07436e-06
0.593227, 0, 0.000106228, 6.90806e-06, 1.41421, -0.000106228, 6.90806e-06, 6.90847e-06, 6.90941e-06, 1.46119e-05, 7.09048e-06, 7.1939e-06, 1.51048e-05, 1.50922e-05, 3.80589e-05, 7.09641e-06, 6.95567e-06, 6.9563e-06, 6.90808e-06, 4.97125e-05, 6.90806e-06, 6.90806e-06, 7.43353e-06
0.601106, 0, 0.000171391, 1.2347e-05, 1.41421, -0.000171391, 1.2347e-05, 1.23477e-05, 1.23494e-05, 2.61329e-05, 1.26734e-05, 1.28584e-05, 2.83831e-05, 2.69924e-05, 6.80909e-05, 1.25886e-05, 1.24321e-05, 1.24164e-05, 1.2347e-05, 6.90021e-05, 1.2347e-05, 1.2347e-05, 1.32873e-05
0.608985, 0, 0.000279613, 2.16236e-05, 1.41421, -0.000279613, 2.16236e-05, 2.16248e-05, 2.16278e-05, 4.57981e-05, 2.2196e-05, 2.25205e-05, 5.24635e-05, 4.73052e-05, 0.000119374, 2.19324e-05, 2.1773e-05, 2.17229e-05, 2.16236e-05, 9.74849e-05, 2.16236e-05, 2.16236e-05, 2.32725e-05
0.616864, 0, 0.000458184, 3.7112e-05, 1.41421, -0.000458184, 3.7112e-05, 3.71142e-05, 3.71193e-05, 7.86582e-05, 3.80958e-05, 3.86535e-05, 9.54004e-05, 8.12484e-05, 0.000205105, 3.75053e-05, 3.73688e-05, 3.72534e-05, 3.71121e-05, 0.00014006, 3.7112e-05, 3.7112e-05, 3.99458e-05
0.624744, 0, 0.000749901, 6.24286e-05, 1.41421, -0.000749901, 6.24286e-05, 6.24323e-05, 6.24408e-05, 0.000132416, 6.40858e-05, 6.50253e-05, 0.000170675, 0.000136779, 0.000345425, 6.29277e-05, 6.28611e-05, 6.26285e-05, 6.24287e-05, 0.000204144, 6.24286e-05, 6.24286e-05, 6.72023e-05
0.632623, 0, 0.00122052, 0.000102943, 1.41421, -0.00122052, 0.000102943, 0.000102949, 0.000102963, 0.000218525, 0.00010568, 0.000107232, 0.000300424, 0.000225731, 0.000570305, 0.000103575, 0.000103657, 0.000103224, 0.000102943, 0.000300746, 0.000102943, 0.000102943, 0.000110827
0.640502, 0, 0.00196902, 0.000166424, 1.41421, -0.00196902, 0.000166424, 0.000166434, 0.000166457, 0.000353583, 0.000170856, 0.000173368, 0.000520275, 0.000365251, 0.000923206, 0.000167222, 0.000167581, 0.000166818, 0.000166425, 0.000445868, 0.000166424, 0.000166424, 0.00017919
0.648381, 0, 0.00314134, 0.000263821, 1.41421, -0.00314134, 0.000263821, 0.000263837, 0.000263873, 0.000561018, 0.000270858, 0.000274848, 0.000886445, 0.000579546, 0.00146555, 0.000264825, 0.000265658, 0.00026437, 0.000263822, 0.000662279, 0.000263821, 0.000263821, 0.000284093
0.65626, 0, 0.00494826, 0.000410152, 1.41421, -0.00494826, 0.000410152, 0.000410176, 0.000410232, 0.000873031, 0.000421112, 0.000427326, 0.00148579, 0.000901888, 0.00228182, 0.000411413, 0.000413012, 0.000410914, 0.000410152, 0.000981632, 0.000410152, 0.000410152, 0.000441725
0.66414, 0, 0.00768778, 0.000625452, 1.41421, -0.00768778, 0.000625452, 0.00062549, 0.000625576, 0.00133268, 0.000642199, 0.000651692, 0.00244969, 0.00137677, 0.00348515, 0.000627033, 0.000629823, 0.000626506, 0.000625453, 0.00144691, 0.000625452, 0.000625452, 0.000673693
0.672019, 0, 0.0117722, 0.000935687, 1.41421, -0.0117722, 0.000935687, 0.000935743, 0.000935872, 0.00199589, 0.000960791, 0.000975023, 0.0039724, 0.00206199, 0.00522267, 0.000937663, 0.00094224, 0.000937139, 0.000935688, 0.00211505, 0.000935687, 0.000935687, 0.00100801
0.679898, 0, 0.0177601, 0.00137351, 1.41421, -0.0177601, 0.00137351, 0.0013736, 0.00137379, 0.00293324, 0.00141045, 0.00143138, 0.00633473, 0.00303047, 0.00768034, 0.00137598, 0.00138316, 0.00137551, 0.00137352, 0.00305975, 0.00137351, 0.00137351, 0.00147991
0.687777, 0, 0.0263911, 0.00197873, 1.41421, -0.0263911, 0.00197873, 0.00197885, 0.00197912, 0.00423101, 0.00203206, 0.00206229, 0.00993283, 0.0043714, 0.0110859, 0.00198179, 0.00199265, 0.00198145, 0.00197873, 0.00437403, 0.00197873, 0.00197873, 0.00213237
