   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_331.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.294731, 0, 1.33133e-11, 0, 1.41421, -1.33133e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.4784e-14, 0, 0, 4.83568e-16, 0, 1.3248e-11, 0, 0, 0
0.302595, 0, 2.23844e-11, 0, 1.41421, -2.23844e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08933e-13, 0, 0, 8.37329e-16, 0, 2.22746e-11, 0, 0, 0
0.310459, 0, 3.7324e-11, 0, 1.41421, -3.7324e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81656e-13, 0, 0, 1.4405e-15, 0, 3.71409e-11, 0, 0, 0
0.318323, 0, 6.17214e-11, 0, 1.41421, -6.17214e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00438e-13, 0, 0, 2.46298e-15, 0, 6.14185e-11, 0, 0, 0
0.326186, 0, 1.0123e-10, 3.58732e-43, 1.41421, -1.0123e-10, 0, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 3.58732e-43, 4.9284e-13, 3.58732e-43, 3.58732e-43, 4.18703e-15, 3.58732e-43, 1.00733e-10, 3.58732e-43, 3.58732e-43, 3.58732e-43
0.33405, 0, 1.64675e-10, 6.13909e-42, 1.41421, -1.64675e-10, 0, 6.13909e-42, 6.13909e-42, 6.13909e-42, 6.13909e-42, 6.13909e-42, 6.13909e-42, 6.13909e-42, 6.13909e-42, 6.13909e-42, 8.01907e-13, 6.13909e-42, 6.13909e-42, 7.08005e-15, 6.13909e-42, 1.63866e-10, 6.13909e-42, 6.13909e-42, 6.13909e-42
0.341914, 0, 2.65711e-10, 8.72154e-41, 1.41421, -2.65711e-10, 0, 8.72154e-41, 8.72154e-41, 8.72154e-41, 8.72154e-41, 8.72154e-41, 8.72154e-41, 8.72154e-41, 8.72154e-41, 8.72154e-41, 1.2943e-12, 8.72154e-41, 8.72154e-41, 1.19139e-14, 8.72154e-41, 2.64405e-10, 8.72154e-41, 8.72154e-41, 8.72154e-41
0.349778, 0, 4.25282e-10, 1.09667e-39, 1.41421, -4.25282e-10, 0, 1.09667e-39, 1.09667e-39, 1.09667e-39, 1.09667e-39, 1.09667e-39, 1.09667e-39, 1.09667e-39, 1.09667e-39, 1.09667e-39, 2.07235e-12, 1.09667e-39, 1.09667e-39, 1.99607e-14, 1.09667e-39, 4.2319e-10, 1.09667e-39, 1.09667e-39, 1.09667e-39
0.357642, 0, 6.75222e-10, 1.23676e-38, 1.41421, -6.75222e-10, 0, 1.23676e-38, 1.23676e-38, 1.23676e-38, 1.23676e-38, 1.23676e-38, 1.23676e-38, 1.23676e-38, 1.23676e-38, 1.23676e-38, 3.29182e-12, 1.23676e-38, 1.23676e-38, 3.33149e-14, 1.23676e-38, 6.71897e-10, 1.23676e-38, 1.23676e-38, 1.23676e-38
0.365506, 0, 1.06351e-09, 1.26087e-37, 1.41421, -1.06351e-09, 0, 1.26087e-37, 1.26087e-37, 1.26087e-37, 1.26087e-37, 1.26087e-37, 1.26087e-37, 1.26087e-37, 1.26087e-37, 1.26087e-37, 5.18779e-12, 1.26087e-37, 1.26087e-37, 5.54215e-14, 1.26087e-37, 1.05826e-09, 1.26087e-37, 1.26087e-37, 1.26087e-37
0.37337, 0, 1.66179e-09, 1.16826e-36, 1.41421, -1.66179e-09, 0, 1.16826e-36, 1.16826e-36, 1.16826e-36, 1.16826e-36, 1.16826e-36, 1.16826e-36, 1.16826e-36, 1.16826e-36, 1.16826e-36, 8.11208e-12, 1.16826e-36, 1.16826e-36, 9.19475e-14, 1.16826e-36, 1.65359e-09, 1.16826e-36, 1.16826e-36, 1.16826e-36
0.381234, 0, 2.57639e-09, 3.14767e-35, 1.41421, -2.57639e-09, 0, 3.14767e-35, 3.14767e-35, 3.14767e-35, 3.14767e-35, 3.14767e-35, 3.14767e-35, 3.14767e-35, 3.14767e-35, 3.14767e-35, 1.25882e-11, 3.14767e-35, 3.14767e-35, 1.52489e-13, 3.14767e-35, 2.56365e-09, 3.14767e-35, 3.14767e-35, 3.14767e-35
0.389098, 0, 3.96269e-09, 2.26302e-34, 1.41421, -3.96269e-09, 0, 2.26302e-34, 2.26302e-34, 2.26302e-34, 2.26302e-34, 2.26302e-34, 2.26302e-34, 2.26302e-34, 2.26302e-34, 2.26302e-34, 1.93826e-11, 2.26302e-34, 2.26302e-34, 2.52003e-13, 2.26302e-34, 3.94305e-09, 2.26302e-34, 2.26302e-34, 2.26302e-34
0.396961, 0, 6.04749e-09, 1.55869e-33, 1.41421, -6.04749e-09, 0, 1.55869e-33, 1.55869e-33, 1.55869e-33, 1.55869e-33, 1.55869e-33, 1.55869e-33, 1.55869e-33, 1.55869e-33, 1.55869e-33, 2.96189e-11, 1.55869e-33, 1.55869e-33, 4.1594e-13, 1.55869e-33, 6.01746e-09, 1.55869e-33, 1.55869e-33, 1.55869e-33
0.404825, 0, 9.15778e-09, 9.75201e-33, 1.41421, -9.15778e-09, 0, 9.75201e-33, 9.75201e-33, 9.75201e-33, 9.75201e-33, 9.75201e-33, 9.75201e-33, 9.75201e-33, 9.75201e-33, 9.75201e-33, 4.49235e-11, 9.75201e-33, 9.75201e-33, 6.85908e-13, 9.75201e-33, 9.11218e-09, 9.75201e-33, 9.75201e-33, 9.75201e-33
0.412689, 0, 1.37613e-08, 5.96172e-32, 1.41421, -1.37613e-08, 0, 5.96172e-32, 5.96172e-32, 5.96172e-32, 5.96172e-32, 5.96172e-32, 5.96172e-32, 5.96172e-32, 5.96172e-32, 5.96172e-32, 6.76345e-11, 5.96172e-32, 5.96172e-32, 1.13036e-12, 5.96172e-32, 1.36925e-08, 5.96172e-32, 5.96172e-32, 5.96172e-32
0.420553, 0, 2.05213e-08, 3.31615e-31, 1.41421, -2.05213e-08, 0, 3.31615e-31, 3.31615e-31, 3.31615e-31, 3.31615e-31, 3.31615e-31, 3.31615e-31, 3.31615e-31, 3.31615e-31, 3.31615e-31, 1.01088e-10, 3.31615e-31, 3.31615e-31, 1.86183e-12, 3.31615e-31, 2.04183e-08, 3.31615e-31, 3.31615e-31, 3.31615e-31
0.428417, 0, 3.03706e-08, 1.7691e-30, 1.41421, -3.03706e-08, 0, 1.7691e-30, 1.7691e-30, 1.7691e-30, 1.7691e-30, 1.7691e-30, 1.7691e-30, 1.7691e-30, 1.7691e-30, 1.7691e-30, 1.50009e-10, 1.7691e-30, 1.7691e-30, 3.06496e-12, 1.7691e-30, 3.02176e-08, 1.7691e-30, 1.7691e-30, 1.7691e-30
0.436281, 0, 4.46102e-08, 8.93561e-30, 1.41421, -4.46102e-08, 0, 8.93561e-30, 8.93561e-30, 8.93561e-30, 8.93561e-30, 8.93561e-30, 8.93561e-30, 8.93561e-30, 8.93561e-30, 8.93561e-30, 2.21042e-10, 8.93561e-30, 8.93561e-30, 5.04209e-12, 8.93561e-30, 4.43841e-08, 8.93561e-30, 8.93561e-30, 8.93561e-30
0.444145, 0, 6.50391e-08, 4.26673e-29, 1.41421, -6.50391e-08, 0, 4.26673e-29, 4.26673e-29, 4.26673e-29, 4.26673e-29, 4.26673e-29, 4.26673e-29, 4.26673e-29, 4.26673e-29, 4.26673e-29, 3.23465e-10, 4.26673e-29, 4.26673e-29, 8.28666e-12, 4.26673e-29, 6.47073e-08, 4.26673e-29, 4.26673e-29, 4.26673e-29
0.452009, 0, 9.41247e-08, 1.9512e-28, 1.41421, -9.41247e-08, 0, 1.9512e-28, 1.9512e-28, 1.9512e-28, 1.9512e-28, 1.9512e-28, 1.9512e-28, 1.9512e-28, 1.9512e-28, 1.9512e-28, 4.70147e-10, 1.9512e-28, 1.9512e-28, 1.36009e-11, 1.9512e-28, 9.3641e-08, 1.9512e-28, 1.9512e-28, 1.9512e-28
