   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_249.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.316033, 0, 4.54526e-11, 1.56945e-43, 1.41421, -4.54526e-11, 0, 1.56945e-43, 1.56945e-43, 1.56945e-43, 1.56945e-43, 1.56945e-43, 1.56945e-43, 1.56945e-43, 1.56945e-43, 1.56945e-43, 1.56945e-43, 5.72282e-13, 1.56945e-43, 7.4023e-16, 1.56945e-43, 1.56945e-43, 4.48795e-11, 1.56945e-43, 1.56945e-43, 1.56945e-43
0.323904, 0, 7.27281e-11, 2.74795e-42, 1.41421, -7.27281e-11, 0, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 2.74795e-42, 9.15931e-13, 2.74795e-42, 1.23016e-15, 2.74795e-42, 2.74795e-42, 7.18109e-11, 2.74795e-42, 2.74795e-42, 2.74795e-42
0.331775, 0, 1.15477e-10, 4.00001e-41, 1.41421, -1.15477e-10, 0, 4.00001e-41, 4.00001e-41, 4.00001e-41, 4.00001e-41, 4.00001e-41, 4.00001e-41, 4.00001e-41, 4.00001e-41, 4.00001e-41, 4.00001e-41, 1.45477e-12, 4.00001e-41, 2.03478e-15, 4.00001e-41, 4.00001e-41, 1.1402e-10, 4.00001e-41, 4.00001e-41, 4.00001e-41
0.339646, 0, 1.81953e-10, 5.17118e-40, 1.41421, -1.81953e-10, 0, 5.17118e-40, 5.17118e-40, 5.17118e-40, 5.17118e-40, 5.17118e-40, 5.17118e-40, 5.17118e-40, 5.17118e-40, 5.17118e-40, 5.17118e-40, 2.29314e-12, 5.17118e-40, 3.35144e-15, 5.17118e-40, 5.17118e-40, 1.79657e-10, 5.17118e-40, 5.17118e-40, 5.17118e-40
0.347517, 0, 2.84518e-10, 5.96379e-39, 1.41421, -2.84518e-10, 0, 5.96379e-39, 5.96379e-39, 5.96379e-39, 5.96379e-39, 5.96379e-39, 5.96379e-39, 5.96379e-39, 5.96379e-39, 5.96379e-39, 5.96379e-39, 3.58751e-12, 5.96379e-39, 5.49935e-15, 5.96379e-39, 5.96379e-39, 2.80925e-10, 5.96379e-39, 5.96379e-39, 5.96379e-39
0.355388, 0, 4.41537e-10, 6.21361e-38, 1.41421, -4.41537e-10, 0, 6.21361e-38, 6.21361e-38, 6.21361e-38, 6.21361e-38, 6.21361e-38, 6.21361e-38, 6.21361e-38, 6.21361e-38, 6.21361e-38, 6.21361e-38, 5.57075e-12, 6.21361e-38, 8.9945e-15, 6.21361e-38, 6.21361e-38, 4.35958e-10, 6.21361e-38, 6.21361e-38, 6.21361e-38
0.363259, 0, 6.80061e-10, 5.8725e-37, 1.41421, -6.80061e-10, 0, 5.8725e-37, 5.8725e-37, 5.8725e-37, 5.8725e-37, 5.8725e-37, 5.8725e-37, 5.8725e-37, 5.8725e-37, 5.8725e-37, 5.8725e-37, 8.58651e-12, 5.8725e-37, 1.46706e-14, 5.8725e-37, 5.8725e-37, 6.71459e-10, 5.8725e-37, 5.8725e-37, 5.8725e-37
0.371129, 0, 1.03961e-09, 5.07734e-36, 1.41421, -1.03961e-09, 0, 5.07734e-36, 5.07734e-36, 5.07734e-36, 5.07734e-36, 5.07734e-36, 5.07734e-36, 5.07734e-36, 5.07734e-36, 5.07734e-36, 5.07734e-36, 1.31381e-11, 5.07734e-36, 2.38748e-14, 5.07734e-36, 5.07734e-36, 1.02645e-09, 5.07734e-36, 5.07734e-36, 5.07734e-36
0.379, 0, 1.57756e-09, 1.23364e-34, 1.41421, -1.57756e-09, 0, 1.23364e-34, 1.23364e-34, 1.23364e-34, 1.23364e-34, 1.23364e-34, 1.23364e-34, 1.23364e-34, 1.23364e-34, 1.23364e-34, 1.23364e-34, 1.99587e-11, 1.23364e-34, 3.88472e-14, 1.23364e-34, 1.23364e-34, 1.55756e-09, 1.23364e-34, 1.23364e-34, 1.23364e-34
0.386871, 0, 2.37602e-09, 8.48913e-34, 1.41421, -2.37602e-09, 0, 8.48913e-34, 8.48913e-34, 8.48913e-34, 8.48913e-34, 8.48913e-34, 8.48913e-34, 8.48913e-34, 8.48913e-34, 8.48913e-34, 8.48913e-34, 3.01004e-11, 8.48913e-34, 6.30205e-14, 8.48913e-34, 8.48913e-34, 2.34586e-09, 8.48913e-34, 8.48913e-34, 8.48913e-34
0.394742, 0, 3.5524e-09, 4.99382e-33, 1.41421, -3.5524e-09, 0, 4.99382e-33, 4.99382e-33, 4.99382e-33, 4.99382e-33, 4.99382e-33, 4.99382e-33, 4.99382e-33, 4.99382e-33, 4.99382e-33, 4.99382e-33, 4.50744e-11, 4.99382e-33, 1.02136e-13, 4.99382e-33, 4.99382e-33, 3.50722e-09, 4.99382e-33, 4.99382e-33, 4.99382e-33
0.402613, 0, 5.27254e-09, 2.98507e-32, 1.41421, -5.27254e-09, 0, 2.98507e-32, 2.98507e-32, 2.98507e-32, 2.98507e-32, 2.98507e-32, 2.98507e-32, 2.98507e-32, 2.98507e-32, 2.98507e-32, 2.98507e-32, 6.70264e-11, 2.98507e-32, 1.65412e-13, 2.98507e-32, 2.98507e-32, 5.20534e-09, 2.98507e-32, 2.98507e-32, 2.98507e-32
0.410484, 0, 7.76906e-09, 1.59395e-31, 1.41421, -7.76906e-09, 0, 1.59395e-31, 1.59395e-31, 1.59395e-31, 1.59395e-31, 1.59395e-31, 1.59395e-31, 1.59395e-31, 1.59395e-31, 1.59395e-31, 1.59395e-31, 9.89838e-11, 1.59395e-31, 2.67753e-13, 1.59395e-31, 1.59395e-31, 7.66981e-09, 1.59395e-31, 1.59395e-31, 1.59395e-31
0.418355, 0, 1.13656e-08, 8.34141e-31, 1.41421, -1.13656e-08, 0, 8.34141e-31, 8.34141e-31, 8.34141e-31, 8.34141e-31, 8.34141e-31, 8.34141e-31, 8.34141e-31, 8.34141e-31, 8.34141e-31, 8.34141e-31, 1.45188e-10, 8.34141e-31, 4.33214e-13, 8.34141e-31, 8.34141e-31, 1.122e-08, 8.34141e-31, 8.34141e-31, 8.34141e-31
0.426226, 0, 1.65088e-08, 4.16776e-30, 1.41421, -1.65088e-08, 0, 4.16776e-30, 4.16776e-30, 4.16776e-30, 4.16776e-30, 4.16776e-30, 4.16776e-30, 4.16776e-30, 4.16776e-30, 4.16776e-30, 4.16776e-30, 2.1154e-10, 4.16776e-30, 7.00572e-13, 4.16776e-30, 4.16776e-30, 1.62966e-08, 4.16776e-30, 4.16776e-30, 4.16776e-30
0.434097, 0, 2.38104e-08, 1.97099e-29, 1.41421, -2.38104e-08, 0, 1.97099e-29, 1.97099e-29, 1.97099e-29, 1.97099e-29, 1.97099e-29, 1.97099e-29, 1.97099e-29, 1.97099e-29, 1.97099e-29, 1.97099e-29, 3.06197e-10, 1.97099e-29, 1.13217e-12, 1.97099e-29, 1.97099e-29, 2.3503e-08, 1.97099e-29, 1.97099e-29, 1.97099e-29
0.441968, 0, 3.41014e-08, 8.99876e-29, 1.41421, -3.41014e-08, 0, 8.99876e-29, 8.99876e-29, 8.99876e-29, 8.99876e-29, 8.99876e-29, 8.99876e-29, 8.99876e-29, 8.99876e-29, 8.99876e-29, 8.99876e-29, 4.40364e-10, 8.99876e-29, 1.82794e-12, 8.99876e-29, 8.99876e-29, 3.36592e-08, 8.99876e-29, 8.99876e-29, 8.99876e-29
0.449839, 0, 4.85021e-08, 3.94094e-28, 1.41421, -4.85021e-08, 0, 3.94094e-28, 3.94094e-28, 3.94094e-28, 3.94094e-28, 3.94094e-28, 3.94094e-28, 3.94094e-28, 3.94094e-28, 3.94094e-28, 3.94094e-28, 6.29334e-10, 3.94094e-28, 2.94745e-12, 3.94094e-28, 3.94094e-28, 4.78699e-08, 3.94094e-28, 3.94094e-28, 3.94094e-28
0.45771, 0, 6.85118e-08, 1.64663e-27, 1.41421, -6.85118e-08, 0, 1.64663e-27, 1.64663e-27, 1.64663e-27, 1.64663e-27, 1.64663e-27, 1.64663e-27, 1.64663e-27, 1.64663e-27, 1.64663e-27, 1.64663e-27, 8.93852e-10, 1.64663e-27, 4.74437e-12, 1.64663e-27, 1.64663e-27, 6.76132e-08, 1.64663e-27, 1.64663e-27, 1.64663e-27
0.465581, 0, 9.61201e-08, 6.56889e-27, 1.41421, -9.61201e-08, 0, 6.56889e-27, 6.56889e-27, 6.56889e-27, 6.56889e-27, 6.56889e-27, 6.56889e-27, 6.56889e-27, 6.56889e-27, 6.56889e-27, 6.56889e-27, 1.26189e-09, 6.56889e-27, 7.6199e-12, 6.56889e-27, 6.56889e-27, 9.48505e-08, 6.56889e-27, 6.56889e-27, 6.56889e-27
0.473451, 0, 1.3395e-07, 2.50415e-26, 1.41421, -1.3395e-07, 0, 2.50415e-26, 2.50415e-26, 2.50415e-26, 2.50415e-26, 2.50415e-26, 2.50415e-26, 4.8405e-13, 2.50415e-26, 2.50415e-26, 2.50415e-26, 1.77098e-09, 2.50415e-26, 1.2205e-11, 2.50415e-26, 2.50415e-26, 1.32166e-07, 2.50415e-26, 2.50415e-26, 2.50415e-26
0.481322, 0, 1.85431e-07, 9.13699e-26, 1.41421, -1.85431e-07, 0, 9.13699e-26, 9.13699e-26, 9.13699e-26, 9.13699e-26, 9.13699e-26, 9.13699e-26, 1.64937e-12, 9.13699e-26, 9.13699e-26, 9.13699e-26, 2.47111e-09, 9.13699e-26, 1.94859e-11, 9.13699e-26, 9.13699e-26, 1.82939e-07, 9.13699e-26, 9.13699e-26, 9.13699e-26
0.489193, 0, 2.55016e-07, 3.2165e-25, 1.41421, -2.55016e-07, 0, 3.2165e-25, 3.2165e-25, 3.2165e-25, 3.2165e-25, 3.2165e-25, 3.2165e-25, 4.36889e-12, 3.2165e-25, 3.2165e-25, 3.2165e-25, 3.42858e-09, 3.2165e-25, 3.09936e-11, 3.2165e-25, 3.2165e-25, 2.51552e-07, 3.2165e-25, 3.2165e-25, 3.2165e-25
0.497064, 0, 3.50128e-07, 9.45185e-11, 1.41421, -3.50128e-07, 9.45185e-11, 9.45327e-11, 9.45308e-11, 6.56487e-10, 1.22468e-10, 9.4664e-11, 1.10556e-10, 1.2771e-10, 2.42669e-10, 9.49944e-11, 8.56071e-10, 4.82541e-09, 9.73418e-11, 1.43607e-10, 9.45185e-11, 9.45199e-11, 3.43786e-07, 9.45185e-11, 9.45185e-11, 1.04258e-10
0.504935, 0, 4.78766e-07, 3.20837e-10, 1.41421, -4.78766e-07, 3.20837e-10, 3.20885e-10, 3.20878e-10, 2.22581e-09, 4.1558e-10, 3.2133e-10, 3.75202e-10, 4.21841e-10, 8.23041e-10, 3.2245e-10, 2.90237e-09, 6.81343e-09, 3.30407e-10, 3.98229e-10, 3.20837e-10, 3.20841e-10, 4.66913e-07, 3.20837e-10, 3.20837e-10, 3.53852e-10
0.512806, 0, 6.53331e-07, 8.46835e-10, 1.41421, -6.53331e-07, 8.46835e-10, 8.46962e-10, 8.46944e-10, 5.86975e-09, 1.09665e-09, 8.48135e-10, 9.90182e-10, 1.10312e-09, 2.17101e-09, 8.51088e-10, 7.65364e-09, 9.70994e-09, 8.7207e-10, 9.68226e-10, 8.46835e-10, 8.46847e-10, 6.30426e-07, 8.46835e-10, 8.46835e-10, 9.33887e-10
0.520677, 0, 8.92109e-07, 2.03792e-09, 1.41421, -8.92109e-07, 2.03792e-09, 2.03823e-09, 2.03819e-09, 1.41162e-08, 2.63863e-09, 2.04105e-09, 2.38262e-09, 2.64118e-09, 5.22209e-09, 2.04815e-09, 1.84058e-08, 1.40741e-08, 2.0986e-09, 2.22728e-09, 2.03792e-09, 2.03795e-09, 8.46421e-07, 2.03792e-09, 2.03792e-09, 2.24725e-09
0.528548, 0, 1.22375e-06, 4.66947e-09, 1.41421, -1.22375e-06, 4.66947e-09, 4.67017e-09, 4.67007e-09, 3.23297e-08, 6.04514e-09, 4.67663e-09, 5.45886e-09, 6.02948e-09, 1.19615e-08, 4.69289e-09, 4.21533e-08, 2.09307e-08, 4.80843e-09, 4.96315e-09, 4.66947e-09, 4.66954e-09, 1.13059e-06, 4.66947e-09, 4.66947e-09, 5.14885e-09
0.536419, 0, 1.69549e-06, 1.03477e-08, 1.41421, -1.69549e-06, 1.03477e-08, 1.03493e-08, 1.03491e-08, 7.1617e-08, 1.33949e-08, 1.03636e-08, 1.20963e-08, 1.33687e-08, 2.65e-08, 1.03996e-08, 9.33768e-08, 3.22061e-08, 1.06555e-08, 1.08004e-08, 1.03477e-08, 1.03479e-08, 1.50347e-06, 1.03477e-08, 1.03477e-08, 1.14096e-08
0.54429, 0, 2.38872e-06, 2.2317e-08, 1.41421, -2.38872e-06, 2.2317e-08, 2.23203e-08, 2.23199e-08, 1.54407e-07, 2.88865e-08, 2.23512e-08, 2.60867e-08, 2.92739e-08, 5.71395e-08, 2.24289e-08, 2.01319e-07, 5.1552e-08, 2.29806e-08, 2.30104e-08, 2.2317e-08, 2.23173e-08, 1.99248e-06, 2.2317e-08, 2.2317e-08, 2.46063e-08
0.552161, 0, 3.45092e-06, 4.69696e-08, 1.41421, -3.45092e-06, 4.69696e-08, 4.69766e-08, 4.69757e-08, 3.2488e-07, 6.07914e-08, 4.70416e-08, 5.49008e-08, 6.66546e-08, 1.20234e-07, 4.7205e-08, 4.23579e-07, 8.58771e-08, 4.83658e-08, 4.80247e-08, 4.69696e-08, 4.69703e-08, 2.6352e-06, 4.69696e-08, 4.69696e-08, 5.17861e-08
0.560032, 0, 5.13955e-06, 9.65901e-08, 1.41421, -5.13955e-06, 9.65901e-08, 9.66045e-08, 9.66025e-08, 6.67914e-07, 1.25005e-07, 9.6738e-08, 1.12895e-07, 1.43805e-07, 2.47207e-07, 9.70739e-08, 8.70819e-07, 1.48117e-07, 9.94604e-08, 9.81847e-08, 9.65901e-08, 9.65915e-08, 3.48489e-06, 9.65901e-08, 9.65901e-08, 1.06492e-07
0.567903, 0, 7.91987e-06, 1.94206e-07, 1.41421, -7.91987e-06, 1.94206e-07, 1.94235e-07, 1.94231e-07, 1.34256e-06, 2.51319e-07, 1.94503e-07, 2.26979e-07, 2.99845e-07, 4.96944e-07, 1.95178e-07, 1.7504e-06, 2.62114e-07, 1.99975e-07, 1.96601e-07, 1.94206e-07, 1.94209e-07, 4.61975e-06, 1.94206e-07, 1.94206e-07, 2.14108e-07
0.575774, 0, 1.26197e-05, 3.81918e-07, 1.41421, -1.26197e-05, 3.81918e-07, 3.81975e-07, 3.81967e-07, 2.63952e-06, 4.94199e-07, 3.82503e-07, 4.46347e-07, 6.08801e-07, 9.77084e-07, 3.8383e-07, 3.44131e-06, 4.7099e-07, 3.9326e-07, 3.8549e-07, 3.81918e-07, 3.81924e-07, 6.15822e-06, 3.81918e-07, 3.81918e-07, 4.21045e-07
0.583645, 0, 2.06927e-05, 7.3478e-07, 1.41421, -2.06927e-05, 7.3478e-07, 7.3489e-07, 7.34875e-07, 5.0768e-06, 9.50729e-07, 7.35904e-07, 8.58696e-07, 1.20858e-06, 1.87946e-06, 7.38457e-07, 6.61887e-06, 8.51064e-07, 7.56594e-07, 7.40071e-07, 7.3478e-07, 7.34791e-07, 8.28455e-06, 7.3478e-07, 7.3478e-07, 8.10032e-07
0.591515, 0, 3.46457e-05, 1.38329e-06, 1.41421, -3.46457e-05, 1.38329e-06, 1.3835e-06, 1.38347e-06, 9.55468e-06, 1.78969e-06, 1.3854e-06, 1.61649e-06, 2.34974e-06, 3.53749e-06, 1.39021e-06, 1.24568e-05, 1.53441e-06, 1.42434e-06, 1.39107e-06, 1.38329e-06, 1.38331e-06, 1.12895e-05, 1.38329e-06, 1.38329e-06, 1.52491e-06
0.599386, 0, 5.87242e-05, 2.54863e-06, 1.41421, -5.87242e-05, 2.54863e-06, 2.54901e-06, 2.54896e-06, 1.75984e-05, 3.29713e-06, 2.55253e-06, 2.97813e-06, 4.48716e-06, 6.51616e-06, 2.56138e-06, 2.29433e-05, 2.74417e-06, 2.62424e-06, 2.56001e-06, 2.54863e-06, 2.54867e-06, 1.5635e-05, 2.54863e-06, 2.54863e-06, 2.80946e-06
0.607257, 0, 9.99544e-05, 4.59635e-06, 1.41421, -9.99544e-05, 4.59635e-06, 4.59703e-06, 4.59694e-06, 3.1727e-05, 5.94568e-06, 4.60337e-06, 5.37062e-06, 8.41919e-06, 1.17487e-05, 4.61932e-06, 4.13625e-05, 4.84829e-06, 4.73265e-06, 4.61286e-06, 4.59635e-06, 4.59641e-06, 2.20524e-05, 4.59635e-06, 4.59635e-06, 5.06655e-06
0.615128, 0, 0.00016971, 8.11512e-06, 1.41421, -0.00016971, 8.11512e-06, 8.11633e-06, 8.11617e-06, 5.59952e-05, 1.04964e-05, 8.12752e-06, 9.48156e-06, 1.55251e-05, 2.07376e-05, 8.15567e-06, 7.29998e-05, 8.43847e-06, 8.35567e-06, 8.13895e-06, 8.11512e-06, 8.11524e-06, 3.16921e-05, 8.11512e-06, 8.11512e-06, 8.94494e-06
0.622999, 0, 0.000285971, 1.40289e-05, 1.41421, -0.000285971, 1.40289e-05, 1.4031e-05, 1.40307e-05, 9.6762e-05, 1.81436e-05, 1.40503e-05, 1.639e-05, 2.8143e-05, 3.58396e-05, 1.4099e-05, 0.000126145, 1.44424e-05, 1.44446e-05, 1.40631e-05, 1.40289e-05, 1.40291e-05, 4.63284e-05, 1.40289e-05, 1.40289e-05, 1.54628e-05
