   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_102.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.245438, 0, 4.63062e-12, 0, 1.41421, -4.63062e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37376e-14, 0, 0, 1.10361e-16, 2.16738e-16, 0, 4.58655e-12, 0, 0, 0
0.253315, 0, 7.76525e-12, 0, 1.41421, -7.76525e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.33474e-14, 0, 0, 1.89755e-16, 3.74939e-16, 0, 7.69134e-12, 0, 0, 0
0.261192, 0, 1.2922e-11, 0, 1.41421, -1.2922e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22061e-13, 0, 0, 3.24085e-16, 6.44501e-16, 0, 1.2799e-11, 0, 0, 0
0.269069, 0, 2.13396e-11, 0, 1.41421, -2.13396e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01585e-13, 0, 0, 5.49923e-16, 1.10101e-15, 0, 2.11363e-11, 0, 0, 0
0.276947, 0, 3.49735e-11, 0, 1.41421, -3.49735e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30404e-13, 0, 0, 9.27293e-16, 1.86955e-15, 0, 3.46403e-11, 0, 0, 0
0.284824, 0, 5.68867e-11, 0, 1.41421, -5.68867e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.37476e-13, 0, 0, 1.5542e-15, 3.15605e-15, 0, 5.63445e-11, 0, 0, 0
0.292701, 0, 9.18368e-11, 0, 1.41421, -9.18368e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.67806e-13, 0, 0, 2.58997e-15, 5.29781e-15, 0, 9.09611e-11, 0, 0, 0
0.300579, 0, 1.47155e-10, 0, 1.41421, -1.47155e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39077e-12, 0, 0, 4.29251e-15, 8.84493e-15, 0, 1.45751e-10, 0, 0, 0
0.308456, 0, 2.34049e-10, 2.49431e-43, 1.41421, -2.34049e-10, 0, 2.49431e-43, 2.49431e-43, 2.49431e-43, 2.49431e-43, 2.49431e-43, 2.49431e-43, 2.49431e-43, 2.49431e-43, 2.49431e-43, 2.49431e-43, 2.49431e-43, 2.21249e-12, 2.49431e-43, 2.49431e-43, 7.07794e-15, 1.46908e-14, 2.49431e-43, 2.31815e-10, 2.49431e-43, 2.49431e-43, 2.49431e-43
0.316333, 0, 3.69509e-10, 4.36084e-42, 1.41421, -3.69509e-10, 0, 4.36084e-42, 4.36084e-42, 4.36084e-42, 4.36084e-42, 4.36084e-42, 4.36084e-42, 4.36084e-42, 4.36084e-42, 4.36084e-42, 4.36084e-42, 4.36084e-42, 3.49394e-12, 4.36084e-42, 4.36084e-42, 1.16156e-14, 2.42805e-14, 4.36084e-42, 3.65979e-10, 4.36084e-42, 4.36084e-42, 4.36084e-42
0.324211, 0, 5.79091e-10, 6.33037e-41, 1.41421, -5.79091e-10, 0, 6.33037e-41, 6.33037e-41, 6.33037e-41, 6.33037e-41, 6.33037e-41, 6.33037e-41, 6.33037e-41, 6.33037e-41, 6.33037e-41, 6.33037e-41, 6.33037e-41, 5.47755e-12, 6.33037e-41, 6.33037e-41, 1.89798e-14, 3.99453e-14, 6.33037e-41, 5.73555e-10, 6.33037e-41, 6.33037e-41, 6.33037e-41
0.332088, 0, 9.00932e-10, 8.13454e-40, 1.41421, -9.00932e-10, 0, 8.13454e-40, 8.13454e-40, 8.13454e-40, 8.13454e-40, 8.13454e-40, 8.13454e-40, 8.13454e-40, 8.13454e-40, 8.13454e-40, 8.13454e-40, 8.13454e-40, 8.5254e-12, 8.13454e-40, 8.13454e-40, 3.08925e-14, 6.54338e-14, 8.13454e-40, 8.9231e-10, 8.13454e-40, 8.13454e-40, 8.13454e-40
0.339965, 0, 1.39147e-09, 9.35452e-39, 1.41421, -1.39147e-09, 0, 9.35452e-39, 9.35452e-39, 9.35452e-39, 9.35452e-39, 9.35452e-39, 9.35452e-39, 9.35452e-39, 9.35452e-39, 9.35452e-39, 9.35452e-39, 9.35452e-39, 1.31742e-11, 9.35452e-39, 9.35452e-39, 5.01094e-14, 1.0676e-13, 9.35452e-39, 1.37814e-09, 9.35452e-39, 9.35452e-39, 9.35452e-39
0.347842, 0, 2.1336e-09, 9.711e-38, 1.41421, -2.1336e-09, 0, 9.711e-38, 9.711e-38, 9.711e-38, 9.711e-38, 9.711e-38, 9.711e-38, 9.711e-38, 9.711e-38, 9.711e-38, 9.711e-38, 9.711e-38, 2.02135e-11, 9.711e-38, 9.711e-38, 8.10411e-14, 1.73555e-13, 9.711e-38, 2.11313e-09, 9.711e-38, 9.711e-38, 9.711e-38
0.35572, 0, 3.24807e-09, 9.14764e-37, 1.41421, -3.24807e-09, 0, 9.14764e-37, 9.14764e-37, 9.14764e-37, 9.14764e-37, 9.14764e-37, 9.14764e-37, 9.14764e-37, 9.14764e-37, 9.14764e-37, 9.14764e-37, 9.14764e-37, 3.07958e-11, 9.14764e-37, 9.14764e-37, 1.30743e-13, 2.81216e-13, 9.14764e-37, 3.21686e-09, 9.14764e-37, 9.14764e-37, 9.14764e-37
0.363597, 0, 4.90943e-09, 7.8679e-36, 1.41421, -4.90943e-09, 0, 7.8679e-36, 7.8679e-36, 7.8679e-36, 7.8679e-36, 7.8679e-36, 7.8679e-36, 7.8679e-36, 7.8679e-36, 7.8679e-36, 7.8679e-36, 7.8679e-36, 4.65916e-11, 7.8679e-36, 7.8679e-36, 2.10507e-13, 4.54336e-13, 7.8679e-36, 4.86217e-09, 7.8679e-36, 7.8679e-36, 7.8679e-36
0.371474, 0, 7.36795e-09, 6.20675e-35, 1.41421, -7.36795e-09, 0, 6.20675e-35, 6.20675e-35, 6.20675e-35, 6.20675e-35, 6.20675e-35, 6.20675e-35, 6.20675e-35, 6.20675e-35, 6.20675e-35, 6.20675e-35, 6.20675e-35, 7.00032e-11, 6.20675e-35, 6.20675e-35, 3.38411e-13, 7.32144e-13, 6.20675e-35, 7.29688e-09, 6.20675e-35, 6.20675e-35, 6.20675e-35
0.379352, 0, 1.09798e-08, 4.51073e-34, 1.41421, -1.09798e-08, 0, 4.51073e-34, 4.51073e-34, 4.51073e-34, 4.51073e-34, 4.51073e-34, 4.51073e-34, 4.51073e-34, 4.51073e-34, 4.51073e-34, 4.51073e-34, 4.51073e-34, 1.04461e-10, 4.51073e-34, 4.51073e-34, 5.43406e-13, 1.17718e-12, 4.51073e-34, 1.08736e-08, 4.51073e-34, 4.51073e-34, 4.51073e-34
0.387229, 0, 1.62476e-08, 3.09861e-33, 1.41421, -1.62476e-08, 0, 3.09861e-33, 3.09861e-33, 3.09861e-33, 3.09861e-33, 3.09861e-33, 3.09861e-33, 3.09861e-33, 3.09861e-33, 3.09861e-33, 3.09861e-33, 3.09861e-33, 1.54831e-10, 3.09861e-33, 3.09861e-33, 8.71876e-13, 1.88904e-12, 3.09861e-33, 1.609e-08, 3.09861e-33, 3.09861e-33, 3.09861e-33
0.395106, 0, 2.38759e-08, 1.82562e-32, 1.41421, -2.38759e-08, 0, 1.82562e-32, 1.82562e-32, 1.82562e-32, 1.82562e-32, 1.82562e-32, 1.82562e-32, 1.82562e-32, 1.82562e-32, 1.82562e-32, 1.82562e-32, 1.82562e-32, 2.27964e-10, 1.82562e-32, 1.82562e-32, 1.39812e-12, 3.02621e-12, 1.82562e-32, 2.36436e-08, 1.82562e-32, 1.82562e-32, 1.82562e-32
0.402984, 0, 3.48437e-08, 1.08977e-31, 1.41421, -3.48437e-08, 0, 1.08977e-31, 1.08977e-31, 1.08977e-31, 1.08977e-31, 1.08977e-31, 1.08977e-31, 1.08977e-31, 1.08977e-31, 1.08977e-31, 1.08977e-31, 1.08977e-31, 3.33439e-10, 1.08977e-31, 1.08977e-31, 2.24109e-12, 4.84057e-12, 1.08977e-31, 3.45032e-08, 1.08977e-31, 1.08977e-31, 1.08977e-31
0.410861, 0, 5.05031e-08, 1.30704e-30, 1.41421, -5.05031e-08, 0, 1.30704e-30, 1.30704e-30, 1.30704e-30, 1.30704e-30, 1.30704e-30, 1.30704e-30, 1.30704e-30, 1.30704e-30, 1.30704e-30, 1.30704e-30, 1.30704e-30, 4.84587e-10, 1.30704e-30, 1.30704e-30, 3.59523e-12, 7.73898e-12, 1.30704e-30, 5.00072e-08, 1.30704e-30, 1.30704e-30, 1.30704e-30
0.418738, 0, 7.27012e-08, 6.51597e-30, 1.41421, -7.27012e-08, 0, 6.51597e-30, 6.51597e-30, 6.51597e-30, 6.51597e-30, 6.51597e-30, 6.51597e-30, 6.51597e-30, 6.51597e-30, 6.51597e-30, 6.51597e-30, 6.51597e-30, 6.99752e-10, 6.51597e-30, 6.51597e-30, 5.75788e-12, 1.23427e-11, 6.51597e-30, 7.19834e-08, 6.51597e-30, 6.51597e-30, 6.51597e-30
0.426615, 0, 1.03952e-07, 3.07285e-29, 1.41421, -1.03952e-07, 0, 3.07285e-29, 3.07285e-29, 3.07285e-29, 3.07285e-29, 3.07285e-29, 3.07285e-29, 3.07285e-29, 3.07285e-29, 3.07285e-29, 3.07285e-29, 3.07285e-29, 1.00416e-09, 3.07285e-29, 3.07285e-29, 9.21589e-12, 1.96564e-11, 3.07285e-29, 1.02919e-07, 3.07285e-29, 3.07285e-29, 3.07285e-29
0.434493, 0, 1.47646e-07, 1.40054e-28, 1.41421, -1.47646e-07, 0, 1.40054e-28, 1.40054e-28, 1.40054e-28, 1.40054e-28, 1.40054e-28, 1.40054e-28, 1.40054e-28, 1.40054e-28, 1.40054e-28, 1.40054e-28, 1.40054e-28, 1.43216e-09, 1.40054e-28, 1.40054e-28, 1.47379e-11, 3.12529e-11, 1.40054e-28, 1.46168e-07, 1.40054e-28, 1.40054e-28, 1.40054e-28
0.44237, 0, 2.08321e-07, 6.11359e-28, 1.41421, -2.08321e-07, 0, 6.11359e-28, 6.11359e-28, 6.11359e-28, 6.11359e-28, 6.11359e-28, 6.11359e-28, 6.11359e-28, 6.11359e-28, 6.11359e-28, 6.11359e-28, 6.11359e-28, 2.03037e-09, 6.11359e-28, 6.11359e-28, 2.35398e-11, 4.9598e-11, 6.11359e-28, 2.06217e-07, 6.11359e-28, 6.11359e-28, 6.11359e-28
0.450247, 0, 2.92008e-07, 2.54565e-27, 1.41421, -2.92008e-07, 0, 2.54565e-27, 2.54565e-27, 2.54565e-27, 2.54565e-27, 2.54565e-27, 2.54565e-27, 2.54565e-27, 2.54565e-27, 2.54565e-27, 2.54565e-27, 2.54565e-27, 2.86154e-09, 2.54565e-27, 2.54565e-27, 3.75371e-11, 7.85381e-11, 2.54565e-27, 2.89031e-07, 2.54565e-27, 2.54565e-27, 2.54565e-27
0.458125, 0, 4.06668e-07, 1.01139e-26, 1.41421, -4.06668e-07, 0, 1.01139e-26, 1.01139e-26, 1.01139e-26, 1.01139e-26, 1.01139e-26, 1.01139e-26, 1.01139e-26, 1.01139e-26, 1.01139e-26, 1.01139e-26, 1.01139e-26, 4.0098e-09, 1.01139e-26, 1.01139e-26, 5.97315e-11, 1.24041e-10, 1.01139e-26, 4.02475e-07, 1.01139e-26, 1.01139e-26, 1.01139e-26
0.466002, 0, 5.62735e-07, 3.83837e-26, 1.41421, -5.62735e-07, 0, 3.83837e-26, 3.83837e-26, 3.83837e-26, 3.83837e-26, 3.83837e-26, 3.83837e-26, 3.83837e-26, 6.61498e-12, 3.83837e-26, 3.83837e-26, 3.83837e-26, 5.58726e-09, 3.83837e-26, 3.83837e-26, 9.48025e-11, 1.95307e-10, 3.83837e-26, 5.56851e-07, 3.83837e-26, 3.83837e-26, 3.83837e-26
0.473879, 0, 7.73774e-07, 1.39402e-25, 1.41421, -7.73774e-07, 0, 1.39402e-25, 1.39402e-25, 1.39402e-25, 1.39402e-25, 1.39402e-25, 1.39402e-25, 1.39402e-25, 2.22743e-11, 1.39402e-25, 1.39402e-25, 1.39402e-25, 7.74253e-09, 1.39402e-25, 1.39402e-25, 1.49999e-10, 3.06426e-10, 1.39402e-25, 7.65552e-07, 1.39402e-25, 1.39402e-25, 1.39402e-25
0.481757, 0, 1.05732e-06, 4.88989e-25, 1.41421, -1.05732e-06, 0, 4.88989e-25, 4.88989e-25, 4.88989e-25, 4.88989e-25, 4.88989e-25, 4.88989e-25, 4.88989e-25, 5.82479e-11, 4.88989e-25, 4.88989e-25, 4.88989e-25, 1.06715e-08, 4.88989e-25, 4.88989e-25, 2.36483e-10, 4.78812e-10, 4.88989e-25, 1.04587e-06, 4.88989e-25, 4.88989e-25, 4.88989e-25
0.489634, 0, 1.43774e-06, 1.76165e-10, 1.41421, -1.43774e-06, 1.76165e-10, 1.76207e-10, 1.76246e-10, 1.76182e-10, 6.24025e-10, 1.82614e-10, 1.76324e-10, 1.99911e-10, 6.22145e-10, 2.39876e-10, 1.81565e-10, 8.26752e-10, 1.48077e-08, 1.82757e-10, 1.78635e-10, 5.47479e-10, 9.20903e-10, 1.76166e-10, 1.42031e-06, 1.76165e-10, 1.76165e-10, 2.04451e-10
0.497511, 0, 1.94438e-06, 5.88106e-10, 1.41421, -1.94438e-06, 5.88106e-10, 5.88249e-10, 5.88377e-10, 5.88165e-10, 2.08849e-09, 6.09713e-10, 5.88639e-10, 6.67659e-10, 1.93213e-09, 8.01548e-10, 6.06198e-10, 2.76765e-09, 2.05457e-08, 6.1019e-10, 5.96383e-10, 1.16856e-09, 1.74055e-09, 5.8811e-10, 1.9172e-06, 5.88106e-10, 5.88106e-10, 6.82869e-10
0.505388, 0, 2.61708e-06, 1.52792e-09, 1.41421, -2.61708e-06, 1.52792e-09, 1.52829e-09, 1.52863e-09, 1.52808e-09, 5.43392e-09, 1.58417e-09, 1.52931e-09, 1.73502e-09, 4.89833e-09, 2.08358e-09, 1.57502e-09, 7.20199e-09, 2.86127e-08, 1.58541e-09, 1.54947e-09, 2.43084e-09, 3.30127e-09, 1.52793e-09, 2.57317e-06, 1.52792e-09, 1.52792e-09, 1.77462e-09
0.513266, 0, 3.5084e-06, 3.62134e-09, 1.41421, -3.5084e-06, 3.62134e-09, 3.62222e-09, 3.62302e-09, 3.6217e-09, 1.28915e-08, 3.75484e-09, 3.62463e-09, 4.11286e-09, 1.14575e-08, 4.94009e-09, 3.73312e-09, 1.70877e-08, 4.0196e-08, 3.75778e-09, 3.67248e-09, 5.01845e-09, 6.33351e-09, 3.62136e-09, 3.43431e-06, 3.62134e-09, 3.62134e-09, 4.20683e-09
