   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_346.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.349853, 0, 2.91463e-10, 7.45327e-39, 1.41421, -2.91463e-10, 0, 7.45327e-39, 7.45327e-39, 7.45327e-39, 7.45327e-39, 7.45327e-39, 7.45327e-39, 7.45327e-39, 7.45327e-39, 7.45327e-39, 7.45327e-39, 7.45327e-39, 2.91463e-10, 7.45327e-39, 7.45327e-39, 7.45327e-39
0.357716, 0, 4.59044e-10, 7.58564e-38, 1.41421, -4.59044e-10, 0, 7.58564e-38, 7.58564e-38, 7.58564e-38, 7.58564e-38, 7.58564e-38, 7.58564e-38, 7.58564e-38, 7.58564e-38, 7.58564e-38, 7.58564e-38, 7.58564e-38, 4.59044e-10, 7.58564e-38, 7.58564e-38, 7.58564e-38
0.365579, 0, 7.17324e-10, 7.01966e-37, 1.41421, -7.17324e-10, 0, 7.01966e-37, 7.01966e-37, 7.01966e-37, 7.01966e-37, 7.01966e-37, 7.01966e-37, 7.01966e-37, 7.01966e-37, 7.01966e-37, 7.01966e-37, 7.01966e-37, 7.17324e-10, 7.01966e-37, 7.01966e-37, 7.01966e-37
0.373442, 0, 1.1122e-09, 5.9439e-36, 1.41421, -1.1122e-09, 0, 5.9439e-36, 5.9439e-36, 5.9439e-36, 5.9439e-36, 5.9439e-36, 5.9439e-36, 5.9439e-36, 5.9439e-36, 5.9439e-36, 5.9439e-36, 5.9439e-36, 1.1122e-09, 5.9439e-36, 5.9439e-36, 5.9439e-36
0.381304, 0, 1.71113e-09, 4.62301e-35, 1.41421, -1.71113e-09, 0, 4.62301e-35, 4.62301e-35, 4.62301e-35, 4.62301e-35, 4.62301e-35, 4.62301e-35, 4.62301e-35, 4.62301e-35, 4.62301e-35, 4.62301e-35, 4.62301e-35, 1.71113e-09, 4.62301e-35, 4.62301e-35, 4.62301e-35
0.389167, 0, 2.61235e-09, 3.31713e-34, 1.41421, -2.61235e-09, 0, 3.31713e-34, 3.31713e-34, 3.31713e-34, 3.31713e-34, 3.31713e-34, 3.31713e-34, 3.31713e-34, 3.31713e-34, 3.31713e-34, 3.31713e-34, 3.31713e-34, 2.61235e-09, 3.31713e-34, 3.31713e-34, 3.31713e-34
0.39703, 0, 3.95777e-09, 2.27809e-33, 1.41421, -3.95777e-09, 0, 2.27809e-33, 2.27809e-33, 2.27809e-33, 2.27809e-33, 2.27809e-33, 2.27809e-33, 2.27809e-33, 2.27809e-33, 2.27809e-33, 2.27809e-33, 2.27809e-33, 3.95777e-09, 2.27809e-33, 2.27809e-33, 2.27809e-33
0.404893, 0, 5.95065e-09, 1.34573e-32, 1.41421, -5.95065e-09, 0, 1.34573e-32, 1.34573e-32, 1.34573e-32, 1.34573e-32, 1.34573e-32, 1.34573e-32, 1.34573e-32, 1.34573e-32, 1.34573e-32, 1.34573e-32, 1.34573e-32, 5.95065e-09, 1.34573e-32, 1.34573e-32, 1.34573e-32
0.412755, 0, 8.87964e-09, 7.97733e-32, 1.41421, -8.87964e-09, 0, 7.97733e-32, 7.97733e-32, 7.97733e-32, 7.97733e-32, 7.97733e-32, 7.97733e-32, 7.97733e-32, 7.97733e-32, 7.97733e-32, 7.97733e-32, 7.97733e-32, 8.87964e-09, 7.97733e-32, 7.97733e-32, 7.97733e-32
0.420618, 0, 1.31513e-08, 4.2416e-31, 1.41421, -1.31513e-08, 0, 4.2416e-31, 4.2416e-31, 4.2416e-31, 4.2416e-31, 4.2416e-31, 4.2416e-31, 4.2416e-31, 4.2416e-31, 4.2416e-31, 4.2416e-31, 4.2416e-31, 1.31513e-08, 4.2416e-31, 4.2416e-31, 4.2416e-31
0.428481, 0, 1.93334e-08, 2.19885e-30, 1.41421, -1.93334e-08, 0, 2.19885e-30, 2.19885e-30, 2.19885e-30, 2.19885e-30, 2.19885e-30, 2.19885e-30, 2.19885e-30, 2.19885e-30, 2.19885e-30, 2.19885e-30, 2.19885e-30, 1.93334e-08, 2.19885e-30, 2.19885e-30, 2.19885e-30
0.436344, 0, 2.82126e-08, 1.08691e-29, 1.41421, -2.82126e-08, 0, 1.08691e-29, 1.08691e-29, 1.08691e-29, 1.08691e-29, 1.08691e-29, 1.08691e-29, 1.08691e-29, 1.08691e-29, 1.08691e-29, 1.08691e-29, 1.08691e-29, 2.82126e-08, 1.08691e-29, 1.08691e-29, 1.08691e-29
0.444206, 0, 4.08697e-08, 5.0981e-29, 1.41421, -4.08697e-08, 0, 5.0981e-29, 5.0981e-29, 5.0981e-29, 5.0981e-29, 5.0981e-29, 5.0981e-29, 5.0981e-29, 5.0981e-29, 5.0981e-29, 5.0981e-29, 5.0981e-29, 4.08697e-08, 5.0981e-29, 5.0981e-29, 5.0981e-29
0.452069, 0, 5.87777e-08, 2.30913e-28, 1.41421, -5.87777e-08, 0, 2.30913e-28, 2.30913e-28, 2.30913e-28, 2.30913e-28, 2.30913e-28, 2.30913e-28, 2.30913e-28, 2.30913e-28, 2.30913e-28, 2.30913e-28, 2.30913e-28, 5.87777e-08, 2.30913e-28, 2.30913e-28, 2.30913e-28
0.459932, 0, 8.39278e-08, 1.00075e-27, 1.41421, -8.39278e-08, 0, 1.00075e-27, 1.00075e-27, 1.00075e-27, 1.00075e-27, 1.00075e-27, 1.00075e-27, 1.00075e-27, 1.00075e-27, 1.00075e-27, 1.00075e-27, 1.00075e-27, 8.39278e-08, 1.00075e-27, 1.00075e-27, 1.00075e-27
0.467794, 0, 1.18991e-07, 4.13608e-27, 1.41421, -1.18991e-07, 0, 4.13608e-27, 4.13608e-27, 4.13608e-27, 4.13608e-27, 4.13608e-27, 4.13608e-27, 4.13608e-27, 4.13608e-27, 4.13608e-27, 4.13608e-27, 4.13608e-27, 1.18991e-07, 4.13608e-27, 4.13608e-27, 4.13608e-27
0.475657, 0, 1.67522e-07, 1.63195e-26, 1.41421, -1.67522e-07, 0, 1.63195e-26, 1.63195e-26, 1.63195e-26, 1.63195e-26, 1.63195e-26, 1.63195e-26, 1.63195e-26, 1.63195e-26, 1.63195e-26, 1.63195e-26, 1.63195e-26, 1.67522e-07, 1.63195e-26, 1.63195e-26, 1.63195e-26
0.48352, 0, 2.34215e-07, 6.15512e-26, 1.41421, -2.34215e-07, 0, 6.15512e-26, 6.15512e-26, 6.15512e-26, 2.88239e-12, 6.15512e-26, 6.15512e-26, 6.15512e-26, 6.15512e-26, 6.15512e-26, 6.15512e-26, 6.15512e-26, 2.34212e-07, 6.15512e-26, 6.15512e-26, 6.15512e-26
0.491383, 0, 3.2522e-07, 2.22304e-25, 1.41421, -3.2522e-07, 0, 2.22304e-25, 2.22304e-25, 2.22304e-25, 9.86306e-12, 2.22304e-25, 2.22304e-25, 2.22304e-25, 2.22304e-25, 2.22304e-25, 2.22304e-25, 2.22304e-25, 3.2521e-07, 2.22304e-25, 2.22304e-25, 2.22304e-25
0.499245, 0, 4.48532e-07, 7.76932e-25, 1.41421, -4.48532e-07, 0, 7.76932e-25, 7.76932e-25, 7.76932e-25, 2.62363e-11, 7.76932e-25, 7.76932e-25, 7.76932e-25, 7.76932e-25, 7.76932e-25, 7.76932e-25, 7.76932e-25, 4.48506e-07, 7.76932e-25, 7.76932e-25, 7.76932e-25
0.507108, 0, 6.17759e-07, 2.51449e-10, 1.41421, -6.17759e-07, 2.51449e-10, 1.07696e-09, 2.82713e-10, 2.86428e-10, 4.49981e-10, 3.87172e-10, 2.52484e-10, 2.00213e-09, 2.53486e-10, 2.54551e-10, 2.51449e-10, 2.51451e-10, 6.14749e-07, 2.51449e-10, 2.51449e-10, 2.78179e-10
0.514971, 0, 8.47469e-07, 8.58536e-10, 1.41421, -8.47469e-07, 8.58536e-10, 3.66835e-09, 9.6495e-10, 9.77594e-10, 1.46452e-09, 1.3205e-09, 8.62057e-10, 6.81737e-09, 8.65468e-10, 8.69096e-10, 8.58536e-10, 8.58541e-10, 8.37295e-07, 8.58536e-10, 8.58536e-10, 9.49516e-10
0.522834, 0, 1.16061e-06, 2.27827e-09, 1.41421, -1.16061e-06, 2.27827e-09, 9.71758e-09, 2.56001e-09, 2.59349e-09, 3.82135e-09, 3.50137e-09, 2.28759e-09, 1.8055e-08, 2.29662e-09, 2.30623e-09, 2.27827e-09, 2.27828e-09, 1.13373e-06, 2.27827e-09, 2.27827e-09, 2.51915e-09
0.530696, 0, 1.59144e-06, 5.50784e-09, 1.41421, -1.59144e-06, 5.50784e-09, 2.34657e-08, 6.18794e-09, 6.26875e-09, 9.15232e-09, 8.46031e-09, 5.53034e-09, 4.35915e-08, 5.55214e-09, 5.57532e-09, 5.50784e-09, 5.50787e-09, 1.52665e-06, 5.50784e-09, 5.50784e-09, 6.0893e-09
0.538559, 0, 2.19452e-06, 1.26691e-08, 1.41421, -2.19452e-06, 1.26691e-08, 5.39344e-08, 1.42319e-08, 1.44176e-08, 2.09099e-08, 1.94536e-08, 1.27208e-08, 1.00181e-07, 1.27709e-08, 1.28242e-08, 1.26691e-08, 1.26692e-08, 2.04577e-06, 1.26691e-08, 1.26691e-08, 1.40052e-08
0.546422, 0, 3.06233e-06, 2.81619e-08, 1.41421, -3.06233e-06, 2.81619e-08, 1.19827e-07, 3.16334e-08, 3.20459e-08, 4.75923e-08, 4.32326e-08, 2.82767e-08, 2.22557e-07, 2.8388e-08, 2.85063e-08, 2.81619e-08, 2.8162e-08, 2.73076e-06, 2.81619e-08, 2.81619e-08, 3.11299e-08
0.554285, 0, 4.35495e-06, 6.08807e-08, 1.41421, -4.35495e-06, 6.08807e-08, 2.58934e-07, 6.83814e-08, 6.92727e-08, 1.05449e-07, 9.34428e-08, 6.11289e-08, 4.80897e-07, 6.13693e-08, 6.1625e-08, 6.08807e-08, 6.08811e-08, 3.63596e-06, 6.08807e-08, 6.08807e-08, 6.72935e-08
0.562147, 0, 6.38443e-06, 1.28346e-07, 1.41421, -6.38443e-06, 1.28346e-07, 5.45672e-07, 1.44151e-07, 1.46029e-07, 2.53354e-07, 1.96959e-07, 1.28869e-07, 1.01338e-06, 1.29376e-07, 1.29915e-07, 1.28346e-07, 1.28347e-07, 4.83833e-06, 1.28346e-07, 1.28346e-07, 1.41859e-07
0.57001, 0, 9.67447e-06, 2.64194e-07, 1.41421, -9.67447e-06, 2.64194e-07, 1.12284e-06, 2.96713e-07, 3.00577e-07, 5.63727e-07, 4.05365e-07, 2.6527e-07, 2.08515e-06, 2.66312e-07, 2.67421e-07, 2.64194e-07, 2.64195e-07, 6.45103e-06, 2.64194e-07, 2.64194e-07, 2.91996e-07
0.577873, 0, 1.52095e-05, 5.31491e-07, 1.41421, -1.52095e-05, 5.31491e-07, 2.25806e-06, 5.96879e-07, 6.04649e-07, 1.21505e-06, 8.15357e-07, 5.33654e-07, 4.19306e-06, 5.3575e-07, 5.37979e-07, 5.31491e-07, 5.31494e-07, 8.64655e-06, 5.31491e-07, 5.31491e-07, 5.87395e-07
0.585735, 0, 2.46966e-05, 1.04466e-06, 1.41421, -2.46966e-05, 1.04466e-06, 4.43676e-06, 1.17313e-06, 1.18839e-06, 2.49616e-06, 1.60236e-06, 1.04891e-06, 8.23835e-06, 1.05303e-06, 1.05741e-06, 1.04466e-06, 1.04467e-06, 1.16943e-05, 1.04466e-06, 1.04466e-06, 1.1545e-06
0.593598, 0, 4.12285e-05, 2.00759e-06, 1.41421, -4.12285e-05, 2.00759e-06, 8.5233e-06, 2.25436e-06, 2.28368e-06, 5.02316e-06, 3.07885e-06, 2.01576e-06, 1.58256e-05, 2.02367e-06, 2.03208e-06, 2.00759e-06, 2.00761e-06, 1.60254e-05, 2.00759e-06, 2.00759e-06, 2.21857e-06
0.601461, 0, 7.01673e-05, 3.77284e-06, 1.41421, -7.01673e-05, 3.77284e-06, 1.60116e-05, 4.23635e-06, 4.29142e-06, 9.93073e-06, 5.78502e-06, 3.78817e-06, 2.97278e-05, 3.80303e-06, 3.81883e-06, 3.77284e-06, 3.77286e-06, 2.23336e-05, 3.77284e-06, 3.77284e-06, 4.16912e-06
0.609324, 0, 0.000120652, 6.93462e-06, 1.41421, -0.000120652, 6.93462e-06, 2.94181e-05, 7.78612e-06, 7.8873e-06, 1.9292e-05, 1.06311e-05, 6.9628e-06, 5.46158e-05, 6.99009e-06, 7.01912e-06, 6.93462e-06, 6.93466e-06, 3.17335e-05, 6.93462e-06, 6.93462e-06, 7.66262e-06
0.617186, 0, 0.000207949, 1.24684e-05, 1.41421, -0.000207949, 1.24684e-05, 5.28712e-05, 1.39986e-05, 1.41804e-05, 3.68327e-05, 1.91111e-05, 1.25191e-05, 9.81514e-05, 1.25681e-05, 1.26203e-05, 1.24684e-05, 1.24685e-05, 4.60039e-05, 1.24684e-05, 1.24684e-05, 1.37766e-05
0.625049, 0, 0.000356998, 2.19334e-05, 1.41421, -0.000356998, 2.19334e-05, 9.29646e-05, 2.46235e-05, 2.49431e-05, 6.91186e-05, 3.36117e-05, 2.20224e-05, 0.000172571, 2.21086e-05, 2.22003e-05, 2.19334e-05, 2.19335e-05, 6.79346e-05, 2.19334e-05, 2.19334e-05, 2.42333e-05
0.632912, 0, 0.000607668, 3.77553e-05, 1.41421, -0.000607668, 3.77553e-05, 0.000159949, 4.2383e-05, 4.29329e-05, 0.000127492, 5.78453e-05, 3.79084e-05, 0.000296895, 3.80567e-05, 3.82145e-05, 3.77553e-05, 3.77555e-05, 0.000101831, 3.77553e-05, 3.77553e-05, 4.17118e-05
0.640775, 0, 0.00102229, 6.36068e-05, 1.41421, -0.00102229, 6.36068e-05, 0.000269333, 7.1398e-05, 7.23238e-05, 0.000231152, 9.74303e-05, 6.38645e-05, 0.000499894, 6.41143e-05, 6.43799e-05, 6.36068e-05, 6.36071e-05, 0.000154196, 6.36068e-05, 6.36068e-05, 7.0268e-05
0.648637, 0, 0.00169614, 0.000104896, 1.41421, -0.00169614, 0.000104896, 0.000443929, 0.000117736, 0.000119262, 0.000411922, 0.000160637, 0.000105321, 0.000823891, 0.000105733, 0.000106171, 0.000104896, 0.000104897, 0.000234628, 0.000104896, 0.000104896, 0.000115874
0.6565, 0, 0.00277168, 0.000169368, 1.41421, -0.00277168, 0.000169368, 0.00071637, 0.000190084, 0.000192546, 0.000721424, 0.000259301, 0.000170053, 0.00132941, 0.000170717, 0.000171424, 0.000169368, 0.000169369, 0.000356954, 0.000169368, 0.000169368, 0.00018708
0.664363, 0, 0.00445715, 0.000267793, 1.41421, -0.00445715, 0.000267793, 0.00113199, 0.000300522, 0.000304411, 0.00124156, 0.000409876, 0.000268876, 0.00210051, 0.000269925, 0.000271041, 0.000267793, 0.000267795, 0.000540583, 0.000267793, 0.000267793, 0.000295776
0.672226, 0, 0.00705019, 0.00041472, 1.41421, -0.00705019, 0.00041472, 0.00175193, 0.000465364, 0.000471381, 0.00209932, 0.000634572, 0.000416396, 0.00325058, 0.000418019, 0.000419746, 0.00041472, 0.000414723, 0.000812054, 0.00041472, 0.00041472, 0.000458019
0.680088, 0, 0.0109667, 0.000629203, 1.41421, -0.0109667, 0.000629203, 0.00265616, 0.000705968, 0.00071509, 0.00348692, 0.000962456, 0.000631743, 0.00492782, 0.000634203, 0.000636822, 0.000629203, 0.000629207, 0.00120668, 0.000629203, 0.000629203, 0.000694837
0.687951, 0, 0.0167744, 0.000935415, 1.41421, -0.0167744, 0.000935415, 0.00394593, 0.00104943, 0.00106298, 0.00568814, 0.00143037, 0.000939188, 0.00731989, 0.000942842, 0.000946732, 0.000935415, 0.00093542, 0.00177016, 0.000935415, 0.000935415, 0.0010329
0.695814, 0, 0.0252307, 0.00136301, 1.41421, -0.0252307, 0.00136301, 0.00574521, 0.00152898, 0.0015487, 0.00911126, 0.00208349, 0.0013685, 0.0106564, 0.00137382, 0.00137949, 0.00136301, 0.00136302, 0.00256004, 0.00136301, 0.00136301, 0.00150492
0.703676, 2, 0.037321, 0.0019471, 2, 1.96268, 0.0019471, 0.0082003, 0.00218392, 0.00221206, 0.0143277, 0.00297518, 0.00195493, 0.0152084, 0.00196252, 0.00197061, 0.0019471, 0.00194711, 0.00364674, 0.0019471, 0.0019471, 0.00214959
0.711539, 0, 0.0542957, 0.00272762, 1.41421, -0.0542957, 0.00272762, 0.0114772, 0.00305898, 0.00309836, 0.0221147, 0.00416612, 0.00273858, 0.0212831, 0.0027492, 0.00276053, 0.00272762, 0.00272763, 0.00511411, 0.00272762, 0.00272762, 0.00301097
0.719402, 0, 0.077699, 0.0037481, 1.41421, -0.077699, 0.0037481, 0.0157561, 0.00420287, 0.00425691, 0.0334973, 0.00572231, 0.00376315, 0.0292138, 0.00377772, 0.0037933, 0.0037481, 0.00374813, 0.00705949, 0.0037481, 0.0037481, 0.00413701
0.727265, 0, 0.109383, 0.00505365, 1.41421, -0.109383, 0.00505365, 0.0212226, 0.00566601, 0.00573877, 0.0497839, 0.00771192, 0.00507391, 0.0393434, 0.00509353, 0.00511456, 0.00505365, 0.00505368, 0.00959316, 0.00505365, 0.00505365, 0.00557738
0.735127, 0, 0.151497, 0.00668816, 1.41421, -0.151497, 0.00668816, 0.0280558, 0.00749739, 0.00759355, 0.0725853, 0.0102011, 0.00671493, 0.0520029, 0.00674085, 0.00676873, 0.00668816, 0.00668819, 0.0128378, 0.00668816, 0.00668816, 0.0073804
0.74299, 0, 0.206451, 0.00869094, 1.41421, -0.206451, 0.00869094, 0.0364143, 0.00974088, 0.00986564, 0.103808, 0.0132487, 0.00872568, 0.0674844, 0.0087593, 0.00879564, 0.00869094, 0.00869099, 0.0169285, 0.00869094, 0.00869094, 0.00958931
0.750853, 0, 0.276825, 0.011093, 1.41421, -0.276825, 0.011093, 0.0464203, 0.0124309, 0.0125899, 0.145606, 0.0169008, 0.0111373, 0.0860122, 0.0111801, 0.0112268, 0.011093, 0.0110931, 0.0220133, 0.011093, 0.011093, 0.0122382
0.758716, 0, 0.365247, 0.0139134, 1.41421, -0.365247, 0.0139134, 0.0581437, 0.0155885, 0.0157875, 0.200285, 0.0211847, 0.0139688, 0.107714, 0.0140224, 0.0140813, 0.0139134, 0.0139134, 0.0282571, 0.0139134, 0.0139134, 0.0153479
