   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_126.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.363512, 0, 2.64761e-09, 1.0386e-36, 1.41421, -2.64761e-09, 0, 1.0386e-36, 1.0386e-36, 1.0386e-36, 1.0386e-36, 1.0386e-36, 1.0386e-36, 1.0386e-36, 1.0386e-36, 1.0386e-36, 1.0386e-36, 9.15379e-12, 1.0386e-36, 1.0386e-36, 5.84316e-14, 1.0386e-36, 1.0386e-36, 2.63839e-09, 1.0386e-36, 1.0386e-36, 1.0386e-36
0.371387, 0, 4.0554e-09, 8.96371e-36, 1.41421, -4.0554e-09, 0, 8.96371e-36, 8.96371e-36, 8.96371e-36, 8.96371e-36, 8.96371e-36, 8.96371e-36, 8.96371e-36, 8.96371e-36, 8.96371e-36, 8.96371e-36, 1.40338e-11, 8.96371e-36, 8.96371e-36, 9.52869e-14, 8.96371e-36, 8.96371e-36, 4.04127e-09, 8.96371e-36, 8.96371e-36, 8.96371e-36
0.379262, 0, 6.16525e-09, 7.09633e-35, 1.41421, -6.16525e-09, 0, 7.09633e-35, 7.09633e-35, 7.09633e-35, 7.09633e-35, 7.09633e-35, 7.09633e-35, 7.09633e-35, 7.09633e-35, 7.09633e-35, 7.09633e-35, 2.13585e-11, 7.09633e-35, 7.09633e-35, 1.55109e-13, 7.09633e-35, 7.09633e-35, 6.14373e-09, 7.09633e-35, 7.09633e-35, 7.09633e-35
0.387137, 0, 9.30301e-09, 5.17614e-34, 1.41421, -9.30301e-09, 0, 5.17614e-34, 5.17614e-34, 5.17614e-34, 5.17614e-34, 5.17614e-34, 5.17614e-34, 5.17614e-34, 5.17614e-34, 5.17614e-34, 5.17614e-34, 3.22716e-11, 5.17614e-34, 5.17614e-34, 2.52146e-13, 5.17614e-34, 5.17614e-34, 9.27049e-09, 5.17614e-34, 5.17614e-34, 5.17614e-34
0.395012, 0, 1.3934e-08, 3.56008e-33, 1.41421, -1.3934e-08, 0, 3.56008e-33, 3.56008e-33, 3.56008e-33, 3.56008e-33, 3.56008e-33, 3.56008e-33, 3.56008e-33, 3.56008e-33, 3.56008e-33, 3.56008e-33, 4.84132e-11, 3.56008e-33, 3.56008e-33, 4.09487e-13, 3.56008e-33, 3.56008e-33, 1.38852e-08, 3.56008e-33, 3.56008e-33, 3.56008e-33
0.402888, 0, 2.07178e-08, 5.24748e-32, 1.41421, -2.07178e-08, 0, 5.24748e-32, 5.24748e-32, 5.24748e-32, 5.24748e-32, 5.24748e-32, 5.24748e-32, 5.24748e-32, 5.24748e-32, 5.24748e-32, 5.24748e-32, 7.21215e-11, 5.24748e-32, 5.24748e-32, 6.65459e-13, 5.24748e-32, 5.24748e-32, 2.0645e-08, 5.24748e-32, 5.24748e-32, 5.24748e-32
0.410763, 0, 3.05787e-08, 2.80419e-31, 1.41421, -3.05787e-08, 0, 2.80419e-31, 2.80419e-31, 2.80419e-31, 2.80419e-31, 2.80419e-31, 2.80419e-31, 2.80419e-31, 2.80419e-31, 2.80419e-31, 2.80419e-31, 1.06689e-10, 2.80419e-31, 2.80419e-31, 1.07931e-12, 2.80419e-31, 2.80419e-31, 3.04709e-08, 2.80419e-31, 2.80419e-31, 2.80419e-31
0.418638, 0, 4.48068e-08, 1.46713e-30, 1.41421, -4.48068e-08, 0, 1.46713e-30, 1.46713e-30, 1.46713e-30, 1.46713e-30, 1.46713e-30, 1.46713e-30, 1.46713e-30, 1.46713e-30, 1.46713e-30, 1.46713e-30, 1.56746e-10, 1.46713e-30, 1.46713e-30, 1.74974e-12, 1.46713e-30, 1.46713e-30, 4.46483e-08, 1.46713e-30, 1.46713e-30, 1.46713e-30
0.426513, 0, 6.51846e-08, 7.32603e-30, 1.41421, -6.51846e-08, 0, 7.32603e-30, 7.32603e-30, 7.32603e-30, 7.32603e-30, 7.32603e-30, 7.32603e-30, 7.32603e-30, 7.32603e-30, 7.32603e-30, 7.32603e-30, 2.28745e-10, 7.32603e-30, 7.32603e-30, 2.83516e-12, 7.32603e-30, 7.32603e-30, 6.4953e-08, 7.32603e-30, 7.32603e-30, 7.32603e-30
0.434388, 0, 9.41562e-08, 3.46248e-29, 1.41421, -9.41562e-08, 0, 3.46248e-29, 3.46248e-29, 3.46248e-29, 3.46248e-29, 3.46248e-29, 3.46248e-29, 3.46248e-29, 3.46248e-29, 3.46248e-29, 3.46248e-29, 3.31616e-10, 3.46248e-29, 3.46248e-29, 4.59078e-12, 3.46248e-29, 3.46248e-29, 9.382e-08, 3.46248e-29, 3.46248e-29, 3.46248e-29
