   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_150.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.294444, 0, 2.65588e-11, 0, 1.41421, -2.65588e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56364e-13, 0, 0, 1.05217e-15, 1.64931e-15, 0, 2.63998e-11, 0, 0, 0
0.302316, 0, 4.34054e-11, 0, 1.41421, -4.34054e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55587e-13, 0, 0, 1.77099e-15, 2.80493e-15, 0, 4.31452e-11, 0, 0, 0
0.310187, 0, 7.03793e-11, 0, 1.41421, -7.03793e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14501e-13, 0, 0, 2.96363e-15, 4.74246e-15, 0, 6.9957e-11, 0, 0, 0
0.318058, 0, 1.13222e-10, 2.56438e-43, 1.41421, -1.13222e-10, 0, 2.56438e-43, 2.56438e-43, 2.56438e-43, 2.56438e-43, 2.56438e-43, 2.56438e-43, 2.56438e-43, 2.56438e-43, 2.56438e-43, 6.66993e-13, 2.56438e-43, 2.56438e-43, 4.93245e-15, 7.97366e-15, 2.56438e-43, 1.12542e-10, 2.56438e-43, 2.56438e-43, 2.56438e-43
0.32593, 0, 1.80727e-10, 4.39307e-42, 1.41421, -1.80727e-10, 0, 4.39307e-42, 4.39307e-42, 4.39307e-42, 4.39307e-42, 4.39307e-42, 4.39307e-42, 4.39307e-42, 4.39307e-42, 4.39307e-42, 1.065e-12, 4.39307e-42, 4.39307e-42, 8.16773e-15, 1.33355e-14, 4.39307e-42, 1.7964e-10, 4.39307e-42, 4.39307e-42, 4.39307e-42
0.333801, 0, 2.86243e-10, 6.24601e-41, 1.41421, -2.86243e-10, 0, 6.24601e-41, 6.24601e-41, 6.24601e-41, 6.24601e-41, 6.24601e-41, 6.24601e-41, 6.24601e-41, 6.24601e-41, 6.24601e-41, 1.68745e-12, 6.24601e-41, 6.24601e-41, 1.34625e-14, 2.21918e-14, 6.24601e-41, 2.84519e-10, 6.24601e-41, 6.24601e-41, 6.24601e-41
0.341672, 0, 4.49869e-10, 7.86211e-40, 1.41421, -4.49869e-10, 0, 7.86211e-40, 7.86211e-40, 7.86211e-40, 7.86211e-40, 7.86211e-40, 7.86211e-40, 7.86211e-40, 7.86211e-40, 7.86211e-40, 2.65336e-12, 7.86211e-40, 7.86211e-40, 2.20971e-14, 3.67584e-14, 7.86211e-40, 4.47157e-10, 7.86211e-40, 7.86211e-40, 7.86211e-40
0.349544, 0, 7.01612e-10, 8.87407e-39, 1.41421, -7.01612e-10, 0, 8.87407e-39, 8.87407e-39, 8.87407e-39, 8.87407e-39, 8.87407e-39, 8.87407e-39, 8.87407e-39, 8.87407e-39, 8.87407e-39, 4.14066e-12, 8.87407e-39, 8.87407e-39, 3.61368e-14, 6.06265e-14, 8.87407e-39, 6.97375e-10, 8.87407e-39, 8.87407e-39, 8.87407e-39
0.357415, 0, 1.08589e-09, 9.05234e-38, 1.41421, -1.08589e-09, 0, 9.05234e-38, 9.05234e-38, 9.05234e-38, 9.05234e-38, 9.05234e-38, 9.05234e-38, 9.05234e-38, 9.05234e-38, 9.05234e-38, 6.41327e-12, 9.05234e-38, 9.05234e-38, 5.89107e-14, 9.96048e-14, 9.05234e-38, 1.07932e-09, 9.05234e-38, 9.05234e-38, 9.05234e-38
0.365286, 0, 1.6679e-09, 8.3906e-37, 1.41421, -1.6679e-09, 0, 8.3906e-37, 8.3906e-37, 8.3906e-37, 8.3906e-37, 8.3906e-37, 8.3906e-37, 8.3906e-37, 8.3906e-37, 8.3906e-37, 9.85954e-12, 8.3906e-37, 8.3906e-37, 9.57855e-14, 1.63075e-13, 8.3906e-37, 1.65778e-09, 8.3906e-37, 8.3906e-37, 8.3906e-37
0.373157, 0, 2.54257e-09, 7.10768e-36, 1.41421, -2.54257e-09, 0, 7.10768e-36, 7.10768e-36, 7.10768e-36, 7.10768e-36, 7.10768e-36, 7.10768e-36, 7.10768e-36, 7.10768e-36, 7.10768e-36, 1.50465e-11, 7.10768e-36, 7.10768e-36, 1.55417e-13, 2.66177e-13, 7.10768e-36, 2.5271e-09, 7.10768e-36, 7.10768e-36, 7.10768e-36
0.381029, 0, 3.84691e-09, 5.52784e-35, 1.41421, -3.84691e-09, 0, 5.52784e-35, 5.52784e-35, 5.52784e-35, 5.52784e-35, 5.52784e-35, 5.52784e-35, 5.52784e-35, 5.52784e-35, 5.52784e-35, 2.27954e-11, 5.52784e-35, 5.52784e-35, 2.51771e-13, 4.3332e-13, 5.52784e-35, 3.82343e-09, 5.52784e-35, 5.52784e-35, 5.52784e-35
0.3889, 0, 5.77712e-09, 3.96505e-34, 1.41421, -5.77712e-09, 0, 3.96505e-34, 3.96505e-34, 3.96505e-34, 3.96505e-34, 3.96505e-34, 3.96505e-34, 3.96505e-34, 3.96505e-34, 3.96505e-34, 3.42873e-11, 3.96505e-34, 3.96505e-34, 4.07404e-13, 7.03854e-13, 3.96505e-34, 5.74172e-09, 3.96505e-34, 3.96505e-34, 3.96505e-34
0.396771, 0, 8.61178e-09, 2.72859e-33, 1.41421, -8.61178e-09, 0, 2.72859e-33, 2.72859e-33, 2.72859e-33, 2.72859e-33, 2.72859e-33, 2.72859e-33, 2.72859e-33, 2.72859e-33, 2.72859e-33, 5.12074e-11, 2.72859e-33, 2.72859e-33, 6.58755e-13, 1.14118e-12, 2.72859e-33, 8.55877e-09, 2.72859e-33, 2.72859e-33, 2.72859e-33
0.404643, 0, 1.27432e-08, 1.7101e-32, 1.41421, -1.27432e-08, 0, 1.7101e-32, 1.7101e-32, 1.7101e-32, 1.7101e-32, 1.7101e-32, 1.7101e-32, 1.7101e-32, 1.7101e-32, 1.7101e-32, 7.59434e-11, 1.7101e-32, 1.7101e-32, 1.06471e-12, 1.84741e-12, 1.7101e-32, 1.26644e-08, 1.7101e-32, 1.7101e-32, 1.7101e-32
0.412514, 0, 1.87196e-08, 1.0458e-31, 1.41421, -1.87196e-08, 0, 1.0458e-31, 1.0458e-31, 1.0458e-31, 1.0458e-31, 1.0458e-31, 1.0458e-31, 1.0458e-31, 1.0458e-31, 1.0458e-31, 1.11854e-10, 1.0458e-31, 1.0458e-31, 1.72043e-12, 2.98694e-12, 1.0458e-31, 1.8603e-08, 1.0458e-31, 1.0458e-31, 1.0458e-31
0.420385, 0, 2.73005e-08, 5.81869e-31, 1.41421, -2.73005e-08, 0, 5.81869e-31, 5.81869e-31, 5.81869e-31, 5.81869e-31, 5.81869e-31, 5.81869e-31, 5.81869e-31, 5.81869e-31, 5.81869e-31, 1.63632e-10, 5.81869e-31, 5.81869e-31, 2.77947e-12, 4.8241e-12, 5.81869e-31, 2.71292e-08, 5.81869e-31, 5.81869e-31, 5.81869e-31
0.428256, 0, 3.95301e-08, 3.102e-30, 1.41421, -3.95301e-08, 0, 3.102e-30, 3.102e-30, 3.102e-30, 3.102e-30, 3.102e-30, 3.102e-30, 3.102e-30, 3.102e-30, 3.102e-30, 2.37789e-10, 3.102e-30, 3.102e-30, 4.48938e-12, 7.78336e-12, 3.102e-30, 3.928e-08, 3.102e-30, 3.102e-30, 3.102e-30
0.436128, 0, 5.68333e-08, 3.15233e-29, 1.41421, -5.68333e-08, 0, 3.15233e-29, 3.15233e-29, 3.15233e-29, 3.15233e-29, 3.15233e-29, 3.15233e-29, 3.15233e-29, 3.15233e-29, 3.15233e-29, 3.4331e-10, 3.15233e-29, 3.15233e-29, 7.25459e-12, 1.2554e-11, 3.15233e-29, 5.64702e-08, 3.15233e-29, 3.15233e-29, 3.15233e-29
0.443999, 0, 8.11361e-08, 1.44162e-28, 1.41421, -8.11361e-08, 0, 1.44162e-28, 1.44162e-28, 1.44162e-28, 1.44162e-28, 1.44162e-28, 1.44162e-28, 1.44162e-28, 1.44162e-28, 1.44162e-28, 4.92482e-10, 1.44162e-28, 1.44162e-28, 1.17033e-11, 2.02073e-11, 1.44162e-28, 8.06117e-08, 1.44162e-28, 1.44162e-28, 1.44162e-28
0.45187, 0, 1.15026e-07, 6.2808e-28, 1.41421, -1.15026e-07, 0, 6.2808e-28, 6.2808e-28, 6.2808e-28, 6.2808e-28, 6.2808e-28, 6.2808e-28, 6.2808e-28, 6.2808e-28, 6.2808e-28, 7.02058e-10, 6.2808e-28, 6.2808e-28, 1.88595e-11, 3.2479e-11, 6.2808e-28, 1.14273e-07, 6.2808e-28, 6.2808e-28, 6.2808e-28
0.459742, 0, 1.61952e-07, 2.60503e-27, 1.41421, -1.61952e-07, 0, 2.60503e-27, 2.60503e-27, 2.60503e-27, 2.60503e-27, 2.60503e-27, 2.60503e-27, 2.60503e-27, 2.60503e-27, 2.60503e-27, 9.94706e-10, 2.60503e-27, 2.60503e-27, 3.03443e-11, 5.21083e-11, 2.60503e-27, 1.60875e-07, 2.60503e-27, 2.60503e-27, 2.60503e-27
0.467613, 0, 2.26472e-07, 1.03033e-26, 1.41421, -2.26472e-07, 0, 1.03033e-26, 1.03033e-26, 1.03033e-26, 1.03033e-26, 1.03033e-26, 1.03033e-26, 1.03033e-26, 1.03033e-26, 1.03033e-26, 1.40093e-09, 1.03033e-26, 1.03033e-26, 4.87221e-11, 8.34111e-11, 1.03033e-26, 2.24939e-07, 1.03033e-26, 1.03033e-26, 1.03033e-26
0.475484, 0, 3.14571e-07, 3.89307e-26, 1.41421, -3.14571e-07, 0, 3.89307e-26, 3.89307e-26, 3.89307e-26, 3.89307e-26, 3.89307e-26, 3.89307e-26, 1.84186e-12, 3.89307e-26, 3.89307e-26, 1.96153e-09, 3.89307e-26, 3.89307e-26, 7.80265e-11, 1.33146e-10, 3.89307e-26, 3.12396e-07, 3.89307e-26, 3.89307e-26, 3.89307e-26
0.483356, 0, 4.34041e-07, 1.40817e-25, 1.41421, -4.34041e-07, 0, 1.40817e-25, 1.40817e-25, 1.40817e-25, 1.40817e-25, 1.40817e-25, 1.40817e-25, 6.31684e-12, 1.40817e-25, 1.40817e-25, 2.7308e-09, 1.40817e-25, 1.40817e-25, 1.24562e-10, 2.11822e-10, 1.40817e-25, 4.30968e-07, 1.40817e-25, 1.40817e-25, 1.40817e-25
0.491227, 0, 5.96926e-07, 4.92931e-25, 1.41421, -5.96926e-07, 0, 1.29554e-14, 7.77236e-14, 1.58374e-14, 2.63167e-10, 6.19302e-12, 9.28305e-12, 1.01203e-10, 1.9003e-10, 1.32986e-09, 3.78062e-09, 2.95324e-13, 1.49155e-12, 1.98119e-10, 3.35653e-10, 1.35274e-15, 5.9069e-07, 4.92931e-25, 4.92931e-25, 1.96779e-11
