   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_134.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.400099, 0, 1.91303e-08, 6.23649e-33, 1.41421, -1.91303e-08, 0, 6.23649e-33, 6.23649e-33, 6.23649e-33, 6.23649e-33, 6.23649e-33, 6.23649e-33, 6.23649e-33, 6.23649e-33, 6.23649e-33, 6.23649e-33, 6.23649e-33, 6.98554e-13, 6.23649e-33, 1.91296e-08, 6.23649e-33, 6.23649e-33, 6.23649e-33
0.407976, 0, 2.85036e-08, 3.77239e-32, 1.41421, -2.85036e-08, 0, 3.77239e-32, 3.77239e-32, 3.77239e-32, 3.77239e-32, 3.77239e-32, 3.77239e-32, 3.77239e-32, 3.77239e-32, 3.77239e-32, 3.77239e-32, 3.77239e-32, 1.13842e-12, 3.77239e-32, 2.85024e-08, 3.77239e-32, 3.77239e-32, 3.77239e-32
0.415854, 0, 4.21533e-08, 2.03329e-31, 1.41421, -4.21533e-08, 0, 2.03329e-31, 2.03329e-31, 2.03329e-31, 2.03329e-31, 2.03329e-31, 2.03329e-31, 2.03329e-31, 2.03329e-31, 2.03329e-31, 2.03329e-31, 2.03329e-31, 1.85452e-12, 2.03329e-31, 4.21514e-08, 2.03329e-31, 2.03329e-31, 2.03329e-31
0.423731, 0, 6.18792e-08, 1.07925e-30, 1.41421, -6.18792e-08, 0, 1.07925e-30, 1.07925e-30, 1.07925e-30, 1.07925e-30, 1.07925e-30, 1.07925e-30, 1.07925e-30, 1.07925e-30, 1.07925e-30, 1.07925e-30, 1.07925e-30, 3.02005e-12, 1.07925e-30, 6.18762e-08, 1.07925e-30, 1.07925e-30, 1.07925e-30
0.431609, 0, 9.01705e-08, 5.47589e-30, 1.41421, -9.01705e-08, 0, 5.47589e-30, 5.47589e-30, 5.47589e-30, 5.47589e-30, 5.47589e-30, 5.47589e-30, 5.47589e-30, 5.47589e-30, 5.47589e-30, 5.47589e-30, 5.47589e-30, 4.91605e-12, 5.47589e-30, 9.01656e-08, 5.47589e-30, 5.47589e-30, 5.47589e-30
0.439486, 0, 1.30443e-07, 2.62917e-29, 1.41421, -1.30443e-07, 0, 2.62917e-29, 2.62917e-29, 2.62917e-29, 2.62917e-29, 2.62917e-29, 2.62917e-29, 2.62917e-29, 2.62917e-29, 2.62917e-29, 2.62917e-29, 2.62917e-29, 7.99754e-12, 2.62917e-29, 1.30435e-07, 2.62917e-29, 2.62917e-29, 2.62917e-29
0.447363, 0, 1.87345e-07, 1.21089e-28, 1.41421, -1.87345e-07, 0, 1.21089e-28, 1.21089e-28, 1.21089e-28, 1.21089e-28, 1.21089e-28, 1.21089e-28, 1.21089e-28, 1.21089e-28, 1.21089e-28, 1.21089e-28, 1.21089e-28, 1.29988e-11, 1.21089e-28, 1.87332e-07, 1.21089e-28, 1.21089e-28, 1.21089e-28
0.455241, 0, 2.67154e-07, 5.37086e-28, 1.41421, -2.67154e-07, 0, 5.37086e-28, 5.37086e-28, 5.37086e-28, 5.37086e-28, 5.37086e-28, 5.37086e-28, 5.37086e-28, 5.37086e-28, 5.37086e-28, 5.37086e-28, 5.37086e-28, 2.11002e-11, 5.37086e-28, 2.67133e-07, 5.37086e-28, 5.37086e-28, 5.37086e-28
0.463118, 0, 3.78276e-07, 2.27678e-27, 1.41421, -3.78276e-07, 0, 2.27678e-27, 2.27678e-27, 2.27678e-27, 2.27678e-27, 2.27678e-27, 2.27678e-27, 2.27678e-27, 2.27678e-27, 2.27678e-27, 2.27678e-27, 2.27678e-27, 3.41899e-11, 2.27678e-27, 3.78242e-07, 2.27678e-27, 2.27678e-27, 2.27678e-27
0.470996, 0, 5.31886e-07, 9.2157e-27, 1.41421, -5.31886e-07, 0, 9.2157e-27, 9.2157e-27, 9.2157e-27, 9.2157e-27, 9.2157e-27, 9.2157e-27, 9.2157e-27, 9.2157e-27, 9.2157e-27, 9.2157e-27, 9.2157e-27, 5.52735e-11, 9.2157e-27, 5.31831e-07, 9.2157e-27, 9.2157e-27, 9.2157e-27
0.478873, 0, 7.42721e-07, 3.56311e-26, 1.41421, -7.42721e-07, 0, 3.56311e-26, 3.56311e-26, 3.56311e-26, 3.56311e-26, 3.56311e-26, 3.35497e-12, 3.56311e-26, 3.56311e-26, 3.56311e-26, 3.56311e-26, 3.56311e-26, 8.91055e-11, 3.56311e-26, 7.42628e-07, 3.56311e-26, 3.56311e-26, 3.56311e-26
0.48675, 0, 1.03006e-06, 1.31783e-25, 1.41421, -1.03006e-06, 0, 1.31783e-25, 1.31783e-25, 1.31783e-25, 1.31783e-25, 1.31783e-25, 1.14535e-11, 1.31783e-25, 1.31783e-25, 1.31783e-25, 1.31783e-25, 1.31783e-25, 1.43161e-10, 1.31783e-25, 1.02991e-06, 1.31783e-25, 1.31783e-25, 1.31783e-25
0.494628, 0, 1.41896e-06, 4.68422e-25, 1.41421, -1.41896e-06, 0, 4.68422e-25, 4.68422e-25, 4.68422e-25, 4.68422e-25, 4.68422e-25, 3.03873e-11, 4.68422e-25, 4.68422e-25, 4.68422e-25, 4.68422e-25, 4.68422e-25, 2.29107e-10, 4.68422e-25, 1.4187e-06, 4.68422e-25, 4.68422e-25, 4.68422e-25
0.502505, 0, 1.94395e-06, 1.61475e-24, 1.41421, -1.94395e-06, 0, 1.18855e-13, 7.65917e-10, 2.0782e-11, 3.07162e-14, 5.26442e-11, 2.30365e-10, 6.54811e-11, 1.23659e-12, 8.95453e-10, 1.13273e-12, 2.99451e-12, 3.65027e-10, 1.10913e-15, 1.94153e-06, 1.61475e-24, 1.61475e-24, 1.49573e-11
0.510383, 0, 2.64768e-06, 4.56911e-10, 1.41421, -2.64768e-06, 4.56911e-10, 4.57315e-10, 3.0578e-09, 5.27482e-10, 4.57016e-10, 6.3568e-10, 1.1587e-09, 6.79271e-10, 4.6111e-10, 3.49767e-09, 4.60758e-10, 4.6708e-10, 1.03571e-09, 4.56915e-10, 2.64022e-06, 4.56911e-10, 4.56911e-10, 5.07703e-10
0.51826, 0, 3.58686e-06, 1.54322e-09, 1.41421, -3.58686e-06, 1.54322e-09, 1.54429e-09, 8.4111e-09, 1.72957e-09, 1.5435e-09, 2.01528e-09, 3.32581e-09, 2.13039e-09, 1.55431e-09, 9.57263e-09, 1.55338e-09, 1.57008e-09, 2.4561e-09, 1.54323e-09, 3.56784e-06, 1.54322e-09, 1.54322e-09, 1.67734e-09
0.526137, 0, 4.83787e-06, 4.05616e-09, 1.41421, -4.83787e-06, 4.05616e-09, 4.05873e-09, 2.05878e-08, 4.50472e-09, 4.05683e-09, 5.19244e-09, 8.25493e-09, 5.46951e-09, 4.08285e-09, 2.33837e-08, 4.08061e-09, 4.1208e-09, 5.48772e-09, 4.05619e-09, 4.79294e-06, 4.05616e-09, 4.05616e-09, 4.379e-09
0.534015, 0, 6.50411e-06, 9.73115e-09, 1.41421, -6.50411e-06, 9.73115e-09, 9.73703e-09, 4.7608e-08, 1.07589e-08, 9.73267e-09, 1.23346e-08, 1.91985e-08, 1.29694e-08, 9.79231e-09, 5.4014e-08, 9.78717e-09, 9.87924e-09, 1.19625e-08, 9.73121e-09, 6.40237e-06, 9.73115e-09, 9.73115e-09, 1.04708e-08
0.541892, 0, 8.73189e-06, 2.22388e-08, 1.41421, -8.73189e-06, 2.22388e-08, 2.22519e-08, 1.06129e-07, 2.45151e-08, 2.22422e-08, 2.80049e-08, 4.29347e-08, 2.94109e-08, 2.23743e-08, 1.20317e-07, 2.23629e-08, 2.25668e-08, 2.56948e-08, 2.2239e-08, 8.50832e-06, 2.22388e-08, 2.22388e-08, 2.38771e-08
0.549769, 0, 1.17466e-05, 4.93462e-08, 1.41421, -1.17466e-05, 4.93462e-08, 4.93743e-08, 2.30443e-07, 5.426e-08, 4.93535e-08, 6.17936e-08, 1.0234e-07, 6.48289e-08, 4.96386e-08, 2.61071e-07, 4.9614e-08, 5.00542e-08, 5.46639e-08, 4.93465e-08, 1.12578e-05, 4.93462e-08, 4.93462e-08, 5.28828e-08
0.557647, 0, 1.58849e-05, 1.05883e-07, 1.41421, -1.58849e-05, 1.05883e-07, 1.05942e-07, 4.85983e-07, 1.16196e-07, 1.05898e-07, 1.32008e-07, 2.35009e-07, 1.38379e-07, 1.06496e-07, 5.50268e-07, 1.06445e-07, 1.07369e-07, 1.14009e-07, 1.05883e-07, 1.48441e-05, 1.05883e-07, 1.05883e-07, 1.13305e-07
0.565524, 0, 2.16912e-05, 2.21864e-07, 1.41421, -2.16912e-05, 2.21864e-07, 2.21985e-07, 1.00134e-06, 2.43014e-07, 2.21895e-07, 2.7544e-07, 5.13447e-07, 2.88504e-07, 2.23123e-07, 1.13317e-06, 2.23017e-07, 2.24912e-07, 2.34201e-07, 2.21865e-07, 1.95343e-05, 2.21864e-07, 2.21864e-07, 2.37086e-07
0.573402, 0, 3.00689e-05, 4.54237e-07, 1.41421, -3.00689e-05, 4.54237e-07, 4.54479e-07, 2.01654e-06, 4.96628e-07, 4.54299e-07, 5.6162e-07, 1.08554e-06, 5.87804e-07, 4.56759e-07, 2.28077e-06, 4.56547e-07, 4.60345e-07, 4.7283e-07, 4.54239e-07, 2.57051e-05, 4.54237e-07, 4.54237e-07, 4.84746e-07
0.581279, 0, 4.25424e-05, 9.08958e-07, 1.41421, -4.25424e-05, 9.08958e-07, 9.09433e-07, 3.97016e-06, 9.92019e-07, 9.09081e-07, 1.11937e-06, 2.23986e-06, 1.17067e-06, 9.139e-07, 4.48789e-06, 9.13485e-07, 9.20926e-07, 9.36784e-07, 9.08962e-07, 3.39066e-05, 9.08958e-07, 9.08958e-07, 9.68739e-07
0.589156, 0, 6.16841e-05, 1.77816e-06, 1.41421, -6.16841e-05, 1.77816e-06, 1.77907e-06, 7.64308e-06, 1.9373e-06, 1.7784e-06, 2.18128e-06, 4.51065e-06, 2.27957e-06, 1.78763e-06, 8.63499e-06, 1.78683e-06, 1.80109e-06, 1.81951e-06, 1.77817e-06, 4.49681e-05, 1.77816e-06, 1.77816e-06, 1.89269e-06
0.597034, 0, 9.18714e-05, 3.40127e-06, 1.41421, -9.18714e-05, 3.40127e-06, 3.40297e-06, 1.439e-05, 3.69943e-06, 3.40171e-06, 4.15656e-06, 8.92242e-06, 4.34074e-06, 3.41901e-06, 1.62485e-05, 3.41752e-06, 3.44423e-06, 3.46229e-06, 3.40128e-06, 6.01666e-05, 3.40127e-06, 3.40127e-06, 3.61586e-06
0.604911, 0, 0.000140435, 6.36247e-06, 1.41421, -0.000140435, 6.36247e-06, 6.36559e-06, 2.65008e-05, 6.90889e-06, 6.36327e-06, 7.74665e-06, 1.73408e-05, 8.08417e-06, 6.39498e-06, 2.99067e-05, 6.39225e-06, 6.4412e-06, 6.4519e-06, 6.3625e-06, 8.14939e-05, 6.36247e-06, 6.36247e-06, 6.75574e-06
