   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_198.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.371661, 0, 2.15115e-09, 3.72741e-36, 1.41421, -2.15115e-09, 0, 3.72741e-36, 3.72741e-36, 3.72741e-36, 3.72741e-36, 3.72741e-36, 3.72741e-36, 3.72741e-36, 3.72741e-36, 3.72741e-36, 3.72741e-36, 3.72741e-36, 1.66604e-11, 3.72741e-36, 3.72741e-36, 1.51723e-14, 3.72741e-36, 7.25662e-13, 3.72741e-36, 2.13375e-09, 3.72741e-36, 3.72741e-36, 3.72741e-36
0.379533, 0, 3.30276e-09, 2.95368e-35, 1.41421, -3.30276e-09, 0, 2.95368e-35, 2.95368e-35, 2.95368e-35, 2.95368e-35, 2.95368e-35, 2.95368e-35, 2.95368e-35, 2.95368e-35, 2.95368e-35, 2.95368e-35, 2.95368e-35, 2.56047e-11, 2.95368e-35, 2.95368e-35, 2.48667e-14, 2.95368e-35, 1.19103e-12, 2.95368e-35, 3.27594e-09, 2.95368e-35, 2.95368e-35, 2.95368e-35
0.387405, 0, 5.03202e-09, 2.15697e-34, 1.41421, -5.03202e-09, 0, 2.15697e-34, 2.15697e-34, 2.15697e-34, 2.15697e-34, 2.15697e-34, 2.15697e-34, 2.15697e-34, 2.15697e-34, 2.15697e-34, 2.15697e-34, 2.15697e-34, 3.90577e-11, 2.15697e-34, 2.15697e-34, 4.06859e-14, 2.15697e-34, 1.94982e-12, 2.15697e-34, 4.99097e-09, 2.15697e-34, 2.15697e-34, 2.15697e-34
0.395277, 0, 7.60832e-09, 1.48984e-33, 1.41421, -7.60832e-09, 0, 1.48984e-33, 1.48984e-33, 1.48984e-33, 1.48984e-33, 1.48984e-33, 1.48984e-33, 1.48984e-33, 1.48984e-33, 1.48984e-33, 1.48984e-33, 1.48984e-33, 5.91401e-11, 1.48984e-33, 1.48984e-33, 6.64829e-14, 1.48984e-33, 3.18512e-12, 1.48984e-33, 7.54592e-09, 1.48984e-33, 1.48984e-33, 1.48984e-33
0.403149, 0, 1.14167e-08, 9.62287e-33, 1.41421, -1.14167e-08, 0, 9.62287e-33, 9.62287e-33, 9.62287e-33, 9.62287e-33, 9.62287e-33, 9.62287e-33, 9.62287e-33, 9.62287e-33, 9.62287e-33, 9.62287e-33, 9.62287e-33, 8.88974e-11, 9.62287e-33, 9.62287e-33, 1.08534e-13, 9.62287e-33, 5.1937e-12, 9.62287e-33, 1.13225e-08, 9.62287e-33, 9.62287e-33, 9.62287e-33
0.411021, 0, 1.70028e-08, 6.02833e-32, 1.41421, -1.70028e-08, 0, 6.02833e-32, 6.02833e-32, 6.02833e-32, 6.02833e-32, 6.02833e-32, 6.02833e-32, 6.02833e-32, 6.02833e-32, 6.02833e-32, 6.02833e-32, 6.02833e-32, 1.3267e-10, 6.02833e-32, 6.02833e-32, 1.77061e-13, 6.02833e-32, 8.45639e-12, 6.02833e-32, 1.68615e-08, 6.02833e-32, 6.02833e-32, 6.02833e-32
0.418893, 0, 2.51337e-08, 3.45757e-31, 1.41421, -2.51337e-08, 0, 3.45757e-31, 3.45757e-31, 3.45757e-31, 3.45757e-31, 3.45757e-31, 3.45757e-31, 3.45757e-31, 3.45757e-31, 3.45757e-31, 3.45757e-31, 3.45757e-31, 1.96597e-10, 3.45757e-31, 3.45757e-31, 2.88693e-13, 3.45757e-31, 1.37514e-11, 3.45757e-31, 2.4923e-08, 3.45757e-31, 3.45757e-31, 3.45757e-31
0.426765, 0, 3.68786e-08, 1.88886e-30, 1.41421, -3.68786e-08, 0, 1.88886e-30, 1.88886e-30, 1.88886e-30, 1.88886e-30, 1.88886e-30, 1.88886e-30, 1.88886e-30, 1.88886e-30, 1.88886e-30, 1.88886e-30, 1.88886e-30, 2.89305e-10, 1.88886e-30, 1.88886e-30, 4.70447e-13, 1.88886e-30, 2.23368e-11, 1.88886e-30, 3.65665e-08, 1.88886e-30, 1.88886e-30, 1.88886e-30
0.434637, 0, 5.37162e-08, 9.7356e-30, 1.41421, -5.37162e-08, 0, 9.7356e-30, 9.7356e-30, 9.7356e-30, 9.7356e-30, 9.7356e-30, 9.7356e-30, 9.7356e-30, 9.7356e-30, 9.7356e-30, 9.7356e-30, 9.7356e-30, 4.22828e-10, 9.7356e-30, 9.7356e-30, 7.66121e-13, 9.7356e-30, 3.62422e-11, 9.7356e-30, 5.32563e-08, 9.7356e-30, 9.7356e-30, 9.7356e-30
0.442509, 0, 7.7674e-08, 4.72675e-29, 1.41421, -7.7674e-08, 0, 4.72675e-29, 4.72675e-29, 4.72675e-29, 4.72675e-29, 4.72675e-29, 4.72675e-29, 4.72675e-29, 4.72675e-29, 4.72675e-29, 4.72675e-29, 4.72675e-29, 6.1384e-10, 4.72675e-29, 4.72675e-29, 1.24651e-12, 4.72675e-29, 5.87331e-11, 4.72675e-29, 7.70002e-08, 4.72675e-29, 4.72675e-29, 4.72675e-29
