   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_308.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0824158, 0, 4.11203e-19, 0, 1.41421, -4.11203e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29469e-21, 0, 1.91841e-23, 0, 4.07889e-19, 0, 0, 0
0.09028, 0, 8.95561e-19, 0, 1.41421, -8.95561e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.17551e-21, 0, 4.24585e-23, 0, 8.88343e-19, 0, 0, 0
0.0981443, 0, 1.92587e-18, 0, 1.41421, -1.92587e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54307e-20, 0, 9.27717e-23, 0, 1.91035e-18, 0, 0, 0
0.106009, 0, 4.09103e-18, 0, 1.41421, -4.09103e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27785e-20, 0, 2.00217e-22, 0, 4.05805e-18, 0, 0, 0
0.113873, 0, 8.5876e-18, 0, 1.41421, -8.5876e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.88064e-20, 0, 4.26986e-22, 0, 8.51837e-18, 0, 0, 0
0.121737, 0, 1.78194e-17, 0, 1.41421, -1.78194e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42774e-19, 0, 9.00168e-22, 0, 1.76757e-17, 0, 0, 0
0.129601, 0, 3.65622e-17, 0, 1.41421, -3.65622e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92947e-19, 0, 1.87669e-21, 0, 3.62674e-17, 0, 0, 0
0.137466, 0, 7.42014e-17, 0, 1.41421, -7.42014e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94522e-19, 0, 3.87051e-21, 0, 7.3603e-17, 0, 0, 0
0.14533, 0, 1.48986e-16, 0, 1.41421, -1.48986e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19371e-18, 0, 7.89927e-21, 0, 1.47784e-16, 0, 0, 0
0.153194, 0, 2.96031e-16, 0, 1.41421, -2.96031e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37187e-18, 0, 1.59579e-20, 0, 2.93643e-16, 0, 0, 0
0.161058, 0, 5.82212e-16, 0, 1.41421, -5.82212e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66483e-18, 0, 3.19194e-20, 0, 5.77516e-16, 0, 0, 0
0.168923, 0, 1.13362e-15, 0, 1.41421, -1.13362e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.08283e-18, 0, 6.32312e-20, 0, 1.12447e-15, 0, 0, 0
0.176787, 0, 2.18563e-15, 0, 1.41421, -2.18563e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75117e-17, 0, 1.24083e-19, 0, 2.168e-15, 0, 0, 0
0.184651, 0, 4.17334e-15, 0, 1.41421, -4.17334e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34376e-17, 0, 2.41264e-19, 0, 4.13966e-15, 0, 0, 0
0.192515, 0, 7.89323e-15, 0, 1.41421, -7.89323e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.32418e-17, 0, 4.64905e-19, 0, 7.82952e-15, 0, 0, 0
