   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_73.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.325279, 0, 1.46283e-10, 4.49705e-41, 1.41421, -1.46283e-10, 4.49705e-41, 0, 4.49705e-41, 4.49705e-41, 4.49705e-41, 4.49705e-41, 4.49705e-41, 4.49705e-41, 4.49705e-41, 4.49705e-41, 4.49705e-41, 4.49705e-41, 9.49745e-13, 4.49705e-41, 4.49705e-41, 6.54261e-15, 4.49705e-41, 5.73218e-14, 4.49705e-41, 1.45269e-10, 4.49705e-41, 4.49705e-41
0.333159, 0, 2.29044e-10, 5.69663e-40, 1.41421, -2.29044e-10, 5.69663e-40, 0, 5.69663e-40, 5.69663e-40, 5.69663e-40, 5.69663e-40, 5.69663e-40, 5.69663e-40, 5.69663e-40, 5.69663e-40, 5.69663e-40, 5.69663e-40, 1.48763e-12, 5.69663e-40, 5.69663e-40, 1.07106e-14, 5.69663e-40, 9.43445e-14, 5.69663e-40, 2.27452e-10, 5.69663e-40, 5.69663e-40
0.341038, 0, 3.55981e-10, 6.45361e-39, 1.41421, -3.55981e-10, 6.45361e-39, 0, 6.45361e-39, 6.45361e-39, 6.45361e-39, 6.45361e-39, 6.45361e-39, 6.45361e-39, 6.45361e-39, 6.45361e-39, 6.45361e-39, 6.45361e-39, 2.31312e-12, 6.45361e-39, 6.45361e-39, 1.74704e-14, 6.45361e-39, 1.54635e-13, 6.45361e-39, 3.53496e-10, 6.45361e-39, 6.45361e-39
0.348917, 0, 5.49197e-10, 6.60785e-38, 1.41421, -5.49197e-10, 6.60785e-38, 0, 6.60785e-38, 6.60785e-38, 6.60785e-38, 6.60785e-38, 6.60785e-38, 6.60785e-38, 6.60785e-38, 6.60785e-38, 6.60785e-38, 6.60785e-38, 3.57064e-12, 6.60785e-38, 6.60785e-38, 2.84077e-14, 6.60785e-38, 2.52488e-13, 6.60785e-38, 5.45346e-10, 6.60785e-38, 6.60785e-38
0.356797, 0, 8.41094e-10, 6.14666e-37, 1.41421, -8.41094e-10, 6.14666e-37, 0, 6.14666e-37, 6.14666e-37, 6.14666e-37, 6.14666e-37, 6.14666e-37, 6.14666e-37, 6.14666e-37, 6.14666e-37, 6.14666e-37, 6.14666e-37, 5.47221e-12, 6.14666e-37, 6.14666e-37, 4.60712e-14, 6.14666e-37, 4.10843e-13, 6.14666e-37, 8.35165e-10, 6.14666e-37, 6.14666e-37
0.364676, 0, 1.27877e-09, 5.22831e-36, 1.41421, -1.27877e-09, 5.22831e-36, 0, 5.22831e-36, 5.22831e-36, 5.22831e-36, 5.22831e-36, 5.22831e-36, 5.22831e-36, 5.22831e-36, 5.22831e-36, 5.22831e-36, 5.22831e-36, 8.3268e-12, 5.22831e-36, 5.22831e-36, 7.45594e-14, 5.22831e-36, 6.6646e-13, 5.22831e-36, 1.26971e-09, 5.22831e-36, 5.22831e-36
0.372555, 0, 1.93016e-09, 4.082e-35, 1.41421, -1.93016e-09, 4.082e-35, 0, 4.082e-35, 4.082e-35, 4.082e-35, 4.082e-35, 4.082e-35, 4.082e-35, 4.082e-35, 4.082e-35, 4.082e-35, 4.082e-35, 1.25812e-11, 4.082e-35, 4.082e-35, 1.20465e-13, 4.082e-35, 1.07818e-12, 4.082e-35, 1.91638e-09, 4.082e-35, 4.082e-35
0.380435, 0, 2.89246e-09, 2.93829e-34, 1.41421, -2.89246e-09, 2.93829e-34, 0, 2.93829e-34, 2.93829e-34, 2.93829e-34, 2.93829e-34, 2.93829e-34, 2.93829e-34, 2.93829e-34, 2.93829e-34, 2.93829e-34, 2.93829e-34, 1.88768e-11, 2.93829e-34, 2.93829e-34, 1.94397e-13, 2.93829e-34, 1.74014e-12, 2.93829e-34, 2.87165e-09, 2.93829e-34, 2.93829e-34
0.388314, 0, 4.30361e-09, 2.01948e-33, 1.41421, -4.30361e-09, 2.01948e-33, 0, 2.01948e-33, 2.01948e-33, 2.01948e-33, 2.01948e-33, 2.01948e-33, 2.01948e-33, 2.01948e-33, 2.01948e-33, 2.01948e-33, 2.01948e-33, 2.81276e-11, 2.01948e-33, 2.01948e-33, 3.13437e-13, 2.01948e-33, 2.80278e-12, 2.01948e-33, 4.27236e-09, 2.01948e-33, 2.01948e-33
0.396193, 0, 6.35789e-09, 1.15514e-32, 1.41421, -6.35789e-09, 1.15514e-32, 0, 1.15514e-32, 1.15514e-32, 1.15514e-32, 1.15514e-32, 1.15514e-32, 1.15514e-32, 1.15514e-32, 1.15514e-32, 1.15514e-32, 1.15514e-32, 4.16268e-11, 1.15514e-32, 1.15514e-32, 5.05087e-13, 1.15514e-32, 4.50635e-12, 1.15514e-32, 6.31125e-09, 1.15514e-32, 1.15514e-32
