   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_236.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.357509, 0, 8.03386e-10, 1.18523e-38, 1.41421, -8.03386e-10, 0, 1.18523e-38, 1.18523e-38, 1.18523e-38, 1.18523e-38, 1.18523e-38, 1.18523e-38, 1.18523e-38, 1.18523e-38, 1.18523e-38, 1.18523e-38, 1.18523e-38, 6.61456e-12, 1.18523e-38, 1.18523e-38, 3.12724e-14, 1.18523e-38, 3.41137e-13, 1.18523e-38, 7.96399e-10, 1.18523e-38, 1.18523e-38, 1.18523e-38
0.365375, 0, 1.27575e-09, 1.21019e-37, 1.41421, -1.27575e-09, 0, 1.21019e-37, 1.21019e-37, 1.21019e-37, 1.21019e-37, 1.21019e-37, 1.21019e-37, 1.21019e-37, 1.21019e-37, 1.21019e-37, 1.21019e-37, 1.21019e-37, 1.05088e-11, 1.21019e-37, 1.21019e-37, 5.23854e-14, 1.21019e-37, 5.70539e-13, 1.21019e-37, 1.26462e-09, 1.21019e-37, 1.21019e-37, 1.21019e-37
0.373242, 0, 2.00942e-09, 1.1232e-36, 1.41421, -2.00942e-09, 0, 1.1232e-36, 1.1232e-36, 1.1232e-36, 1.1232e-36, 1.1232e-36, 1.1232e-36, 1.1232e-36, 1.1232e-36, 1.1232e-36, 1.1232e-36, 1.1232e-36, 1.65623e-11, 1.1232e-36, 1.1232e-36, 8.7494e-14, 1.1232e-36, 9.50403e-13, 1.1232e-36, 1.99182e-09, 1.1232e-36, 1.1232e-36, 1.1232e-36
0.381109, 0, 3.13948e-09, 9.53376e-36, 1.41421, -3.13948e-09, 0, 9.53376e-36, 9.53376e-36, 9.53376e-36, 9.53376e-36, 9.53376e-36, 9.53376e-36, 9.53376e-36, 9.53376e-36, 9.53376e-36, 9.53376e-36, 9.53376e-36, 2.58962e-11, 9.53376e-36, 9.53376e-36, 1.45785e-13, 9.53376e-36, 1.57765e-12, 9.53376e-36, 3.11186e-09, 9.53376e-36, 9.53376e-36, 9.53376e-36
0.388976, 0, 4.86578e-09, 7.43198e-35, 1.41421, -4.86578e-09, 0, 7.43198e-35, 7.43198e-35, 7.43198e-35, 7.43198e-35, 7.43198e-35, 7.43198e-35, 7.43198e-35, 7.43198e-35, 7.43198e-35, 7.43198e-35, 7.43198e-35, 4.0173e-11, 7.43198e-35, 7.43198e-35, 2.42464e-13, 7.43198e-35, 2.61101e-12, 7.43198e-35, 4.82275e-09, 7.43198e-35, 7.43198e-35, 7.43198e-35
0.396842, 0, 7.48126e-09, 5.34382e-34, 1.41421, -7.48126e-09, 0, 5.34382e-34, 5.34382e-34, 5.34382e-34, 5.34382e-34, 5.34382e-34, 5.34382e-34, 5.34382e-34, 5.34382e-34, 5.34382e-34, 5.34382e-34, 5.34382e-34, 6.18372e-11, 5.34382e-34, 5.34382e-34, 4.02708e-13, 5.34382e-34, 4.31039e-12, 5.34382e-34, 7.41471e-09, 5.34382e-34, 5.34382e-34, 5.34382e-34
0.404709, 0, 1.14117e-08, 3.67653e-33, 1.41421, -1.14117e-08, 0, 3.67653e-33, 3.67653e-33, 3.67653e-33, 3.67653e-33, 3.67653e-33, 3.67653e-33, 3.67653e-33, 3.67653e-33, 3.67653e-33, 3.67653e-33, 3.67653e-33, 9.44549e-11, 3.67653e-33, 3.67653e-33, 6.68209e-13, 3.67653e-33, 7.10138e-12, 3.67653e-33, 1.13095e-08, 3.67653e-33, 3.67653e-33, 3.67653e-33
0.412576, 0, 1.72705e-08, 2.18477e-32, 1.41421, -1.72705e-08, 0, 2.18477e-32, 2.18477e-32, 2.18477e-32, 2.18477e-32, 2.18477e-32, 2.18477e-32, 2.18477e-32, 2.18477e-32, 2.18477e-32, 2.18477e-32, 2.18477e-32, 1.43186e-10, 2.18477e-32, 2.18477e-32, 1.108e-12, 2.18477e-32, 1.16808e-11, 2.18477e-32, 1.71145e-08, 2.18477e-32, 2.18477e-32, 2.18477e-32
0.420443, 0, 2.59336e-08, 1.30007e-31, 1.41421, -2.59336e-08, 0, 1.30007e-31, 1.30007e-31, 1.30007e-31, 1.30007e-31, 1.30007e-31, 1.30007e-31, 1.30007e-31, 1.30007e-31, 1.30007e-31, 1.30007e-31, 1.30007e-31, 2.15439e-10, 1.30007e-31, 1.30007e-31, 1.83627e-12, 1.30007e-31, 1.91892e-11, 1.30007e-31, 2.56971e-08, 1.30007e-31, 1.30007e-31, 1.30007e-31
0.428309, 0, 3.86413e-08, 6.94591e-31, 1.41421, -3.86413e-08, 0, 6.94591e-31, 6.94591e-31, 6.94591e-31, 6.94591e-31, 6.94591e-31, 6.94591e-31, 6.94591e-31, 6.94591e-31, 6.94591e-31, 6.94591e-31, 6.94591e-31, 3.2177e-10, 6.94591e-31, 6.94591e-31, 3.04169e-12, 6.94591e-31, 3.14929e-11, 6.94591e-31, 3.8285e-08, 6.94591e-31, 6.94591e-31, 6.94591e-31
0.436176, 0, 5.7135e-08, 3.61342e-30, 1.41421, -5.7135e-08, 0, 3.61342e-30, 3.61342e-30, 3.61342e-30, 3.61342e-30, 3.61342e-30, 3.61342e-30, 3.61342e-30, 3.61342e-30, 3.61342e-30, 3.61342e-30, 3.61342e-30, 4.7711e-10, 3.61342e-30, 3.61342e-30, 5.03526e-12, 3.61342e-30, 5.16422e-11, 3.61342e-30, 5.66012e-08, 3.61342e-30, 3.61342e-30, 3.61342e-30
0.444043, 0, 8.38387e-08, 1.79147e-29, 1.41421, -8.38387e-08, 0, 1.79147e-29, 1.79147e-29, 1.79147e-29, 1.79147e-29, 1.79147e-29, 1.79147e-29, 1.79147e-29, 1.79147e-29, 1.79147e-29, 1.79147e-29, 1.79147e-29, 7.02421e-10, 1.79147e-29, 1.79147e-29, 8.32811e-12, 1.79147e-29, 8.46137e-11, 1.79147e-29, 8.30433e-08, 1.79147e-29, 1.79147e-29, 1.79147e-29
0.45191, 0, 1.22099e-07, 8.4258e-29, 1.41421, -1.22099e-07, 0, 8.4258e-29, 8.4258e-29, 8.4258e-29, 8.4258e-29, 8.4258e-29, 8.4258e-29, 8.4258e-29, 8.4258e-29, 8.4258e-29, 8.4258e-29, 8.4258e-29, 1.02693e-09, 8.4258e-29, 8.4258e-29, 1.37571e-11, 8.4258e-29, 1.38506e-10, 8.4258e-29, 1.2092e-07, 8.4258e-29, 8.4258e-29, 8.4258e-29
0.459776, 0, 1.76497e-07, 3.82439e-28, 1.41421, -1.76497e-07, 0, 3.82439e-28, 3.82439e-28, 3.82439e-28, 3.82439e-28, 3.82439e-28, 3.82439e-28, 3.82439e-28, 3.82439e-28, 3.82439e-28, 3.82439e-28, 3.82439e-28, 1.49113e-09, 3.82439e-28, 3.82439e-28, 2.2686e-11, 3.82439e-28, 2.2645e-10, 3.82439e-28, 1.74756e-07, 3.82439e-28, 3.82439e-28, 3.82439e-28
0.467643, 0, 2.53253e-07, 1.66056e-27, 1.41421, -2.53253e-07, 0, 1.66056e-27, 1.66056e-27, 1.66056e-27, 1.66056e-27, 1.66056e-27, 1.66056e-27, 1.66056e-27, 1.66056e-27, 1.66056e-27, 1.66056e-27, 1.66056e-27, 2.1507e-09, 1.66056e-27, 1.66056e-27, 3.73258e-11, 1.66056e-27, 3.69646e-10, 1.66056e-27, 2.50695e-07, 1.66056e-27, 1.66056e-27, 1.66056e-27
