   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_291.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.301697, 0, 1.06159e-11, 0, 1.41421, -1.06159e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44413e-13, 0, 0, 0, 6.00915e-15, 0, 1.04654e-11, 0, 0, 0
0.309562, 0, 1.74689e-11, 0, 1.41421, -1.74689e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37664e-13, 0, 0, 0, 1.02599e-14, 0, 1.7221e-11, 0, 0, 0
0.317427, 0, 2.85155e-11, 1.66755e-43, 1.41421, -2.85155e-11, 0, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 3.88006e-13, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.74145e-14, 1.66755e-43, 2.81101e-11, 1.66755e-43, 1.66755e-43, 1.66755e-43
0.325292, 0, 4.61763e-11, 2.9105e-42, 1.41421, -4.61763e-11, 0, 2.9105e-42, 2.9105e-42, 2.9105e-42, 2.9105e-42, 2.9105e-42, 2.9105e-42, 2.9105e-42, 2.9105e-42, 2.9105e-42, 2.9105e-42, 2.9105e-42, 6.2843e-13, 2.9105e-42, 2.9105e-42, 2.9105e-42, 2.9393e-14, 2.9105e-42, 4.55184e-11, 2.9105e-42, 2.9105e-42, 2.9105e-42
0.333158, 0, 7.4182e-11, 4.17881e-41, 1.41421, -7.4182e-11, 0, 4.17881e-41, 4.17881e-41, 4.17881e-41, 4.17881e-41, 4.17881e-41, 4.17881e-41, 4.17881e-41, 4.17881e-41, 4.17881e-41, 4.17881e-41, 4.17881e-41, 1.00981e-12, 4.17881e-41, 4.17881e-41, 4.17881e-41, 4.93485e-14, 4.17881e-41, 7.31228e-11, 4.17881e-41, 4.17881e-41, 4.17881e-41
0.341023, 0, 1.18233e-10, 5.32119e-40, 1.41421, -1.18233e-10, 0, 5.32119e-40, 5.32119e-40, 5.32119e-40, 5.32119e-40, 5.32119e-40, 5.32119e-40, 5.32119e-40, 5.32119e-40, 5.32119e-40, 5.32119e-40, 5.32119e-40, 1.60996e-12, 5.32119e-40, 5.32119e-40, 5.32119e-40, 8.24418e-14, 5.32119e-40, 1.16541e-10, 5.32119e-40, 5.32119e-40, 5.32119e-40
0.348888, 0, 1.86966e-10, 6.06037e-39, 1.41421, -1.86966e-10, 0, 6.06037e-39, 6.06037e-39, 6.06037e-39, 6.06037e-39, 6.06037e-39, 6.06037e-39, 6.06037e-39, 6.06037e-39, 6.06037e-39, 6.06037e-39, 6.06037e-39, 2.54687e-12, 6.06037e-39, 6.06037e-39, 6.06037e-39, 1.37096e-13, 6.06037e-39, 1.84282e-10, 6.06037e-39, 6.06037e-39, 6.06037e-39
0.356753, 0, 2.93348e-10, 6.23806e-38, 1.41421, -2.93348e-10, 0, 6.23806e-38, 6.23806e-38, 6.23806e-38, 6.23806e-38, 6.23806e-38, 6.23806e-38, 6.23806e-38, 6.23806e-38, 6.23806e-38, 6.23806e-38, 6.23806e-38, 3.99798e-12, 6.23806e-38, 6.23806e-38, 6.23806e-38, 2.27029e-13, 6.23806e-38, 2.89123e-10, 6.23806e-38, 6.23806e-38, 6.23806e-38
0.364618, 0, 4.56695e-10, 5.83201e-37, 1.41421, -4.56695e-10, 0, 5.83201e-37, 5.83201e-37, 5.83201e-37, 5.83201e-37, 5.83201e-37, 5.83201e-37, 5.83201e-37, 5.83201e-37, 5.83201e-37, 5.83201e-37, 5.83201e-37, 6.22796e-12, 5.83201e-37, 5.83201e-37, 5.83201e-37, 3.74536e-13, 5.83201e-37, 4.50092e-10, 5.83201e-37, 5.83201e-37, 5.83201e-37
0.372483, 0, 7.05518e-10, 4.98621e-36, 1.41421, -7.05518e-10, 0, 4.98621e-36, 4.98621e-36, 4.98621e-36, 4.98621e-36, 4.98621e-36, 4.98621e-36, 4.98621e-36, 4.98621e-36, 4.98621e-36, 4.98621e-36, 4.98621e-36, 9.62837e-12, 4.98621e-36, 4.98621e-36, 4.98621e-36, 6.15815e-13, 4.98621e-36, 6.95273e-10, 4.98621e-36, 4.98621e-36, 4.98621e-36
0.380348, 0, 1.08156e-09, 3.91326e-35, 1.41421, -1.08156e-09, 0, 3.91326e-35, 3.91326e-35, 3.91326e-35, 3.91326e-35, 3.91326e-35, 3.91326e-35, 3.91326e-35, 3.91326e-35, 3.91326e-35, 3.91326e-35, 3.91326e-35, 1.47738e-11, 3.91326e-35, 3.91326e-35, 3.91326e-35, 1.00959e-12, 3.91326e-35, 1.06578e-09, 3.91326e-35, 3.91326e-35, 3.91326e-35
0.388213, 0, 1.64542e-09, 2.83158e-34, 1.41421, -1.64542e-09, 0, 2.83158e-34, 2.83158e-34, 2.83158e-34, 2.83158e-34, 2.83158e-34, 2.83158e-34, 2.83158e-34, 2.83158e-34, 2.83158e-34, 2.83158e-34, 2.83158e-34, 2.25011e-11, 2.83158e-34, 2.83158e-34, 2.83158e-34, 1.65106e-12, 2.83158e-34, 1.62127e-09, 2.83158e-34, 2.83158e-34, 2.83158e-34
0.396078, 0, 2.48432e-09, 1.94466e-33, 1.41421, -2.48432e-09, 0, 1.94466e-33, 1.94466e-33, 1.94466e-33, 1.94466e-33, 1.94466e-33, 1.94466e-33, 1.94466e-33, 1.94466e-33, 1.94466e-33, 1.94466e-33, 1.94466e-33, 3.40188e-11, 1.94466e-33, 1.94466e-33, 1.94466e-33, 2.69451e-12, 1.94466e-33, 2.44761e-09, 1.94466e-33, 1.94466e-33, 1.94466e-33
0.403943, 0, 3.72279e-09, 1.1225e-32, 1.41421, -3.72279e-09, 0, 1.1225e-32, 1.1225e-32, 1.1225e-32, 1.1225e-32, 1.1225e-32, 1.1225e-32, 1.1225e-32, 1.1225e-32, 1.1225e-32, 1.1225e-32, 1.1225e-32, 5.10602e-11, 1.1225e-32, 1.1225e-32, 1.1225e-32, 4.3899e-12, 1.1225e-32, 3.66734e-09, 1.1225e-32, 1.1225e-32, 1.1225e-32
0.411808, 0, 5.53711e-09, 6.60259e-32, 1.41421, -5.53711e-09, 0, 6.60259e-32, 6.60259e-32, 6.60259e-32, 6.60259e-32, 6.60259e-32, 6.60259e-32, 6.60259e-32, 6.60259e-32, 6.60259e-32, 6.60259e-32, 6.60259e-32, 7.60913e-11, 6.60259e-32, 6.60259e-32, 6.60259e-32, 7.14192e-12, 6.60259e-32, 5.45388e-09, 6.60259e-32, 6.60259e-32, 6.60259e-32
0.419674, 0, 8.17485e-09, 3.46418e-31, 1.41421, -8.17485e-09, 0, 3.46418e-31, 3.46418e-31, 3.46418e-31, 3.46418e-31, 3.46418e-31, 3.46418e-31, 3.46418e-31, 3.46418e-31, 3.46418e-31, 3.46418e-31, 3.46418e-31, 1.12596e-10, 3.46418e-31, 3.46418e-31, 3.46418e-31, 1.16053e-11, 3.46418e-31, 8.05065e-09, 3.46418e-31, 3.46418e-31, 3.46418e-31
0.427539, 0, 1.19808e-08, 1.78635e-30, 1.41421, -1.19808e-08, 0, 1.78635e-30, 1.78635e-30, 1.78635e-30, 1.78635e-30, 1.78635e-30, 1.78635e-30, 1.78635e-30, 1.78635e-30, 1.78635e-30, 1.78635e-30, 1.78635e-30, 1.65462e-10, 1.78635e-30, 1.78635e-30, 1.78635e-30, 1.88375e-11, 1.78635e-30, 1.17965e-08, 1.78635e-30, 1.78635e-30, 1.78635e-30
0.435404, 0, 1.74313e-08, 8.81167e-30, 1.41421, -1.74313e-08, 0, 8.81167e-30, 8.81167e-30, 8.81167e-30, 8.81167e-30, 8.81167e-30, 8.81167e-30, 8.81167e-30, 8.81167e-30, 8.81167e-30, 8.81167e-30, 8.81167e-30, 2.41497e-10, 8.81167e-30, 8.81167e-30, 8.81167e-30, 3.05438e-11, 8.81167e-30, 1.71592e-08, 8.81167e-30, 8.81167e-30, 8.81167e-30
0.443269, 0, 2.51792e-08, 4.11926e-29, 1.41421, -2.51792e-08, 0, 4.11926e-29, 4.11926e-29, 4.11926e-29, 4.11926e-29, 4.11926e-29, 4.11926e-29, 4.11926e-29, 4.11926e-29, 4.11926e-29, 4.11926e-29, 4.11926e-29, 3.50121e-10, 4.11926e-29, 4.11926e-29, 4.11926e-29, 4.94651e-11, 4.11926e-29, 2.47796e-08, 4.11926e-29, 4.11926e-29, 4.11926e-29
0.451134, 0, 3.61123e-08, 1.86831e-28, 1.41421, -3.61123e-08, 0, 1.86831e-28, 1.86831e-28, 1.86831e-28, 1.86831e-28, 1.86831e-28, 1.86831e-28, 1.86831e-28, 1.86831e-28, 1.86831e-28, 1.86831e-28, 1.86831e-28, 5.04284e-10, 1.86831e-28, 1.86831e-28, 1.86831e-28, 7.99928e-11, 1.86831e-28, 3.5528e-08, 1.86831e-28, 1.86831e-28, 1.86831e-28
0.458999, 0, 5.14287e-08, 8.12455e-28, 1.41421, -5.14287e-08, 0, 8.12455e-28, 8.12455e-28, 8.12455e-28, 8.12455e-28, 8.12455e-28, 8.12455e-28, 8.12455e-28, 8.12455e-28, 8.12455e-28, 8.12455e-28, 8.12455e-28, 7.21676e-10, 8.12455e-28, 8.12455e-28, 8.12455e-28, 1.2913e-10, 8.12455e-28, 5.05779e-08, 8.12455e-28, 8.12455e-28, 8.12455e-28
0.466864, 0, 7.27323e-08, 3.37199e-27, 1.41421, -7.27323e-08, 0, 3.37199e-27, 3.37199e-27, 3.37199e-27, 3.37199e-27, 3.37199e-27, 3.37199e-27, 3.37199e-27, 3.37199e-27, 3.37199e-27, 3.37199e-27, 3.37199e-27, 1.02631e-09, 3.37199e-27, 3.37199e-27, 3.37199e-27, 2.07989e-10, 3.37199e-27, 7.1498e-08, 3.37199e-27, 3.37199e-27, 3.37199e-27
0.474729, 0, 1.02155e-07, 1.33616e-26, 1.41421, -1.02155e-07, 0, 1.33616e-26, 1.33616e-26, 1.33616e-26, 1.33616e-26, 1.33616e-26, 1.33616e-26, 1.33616e-26, 1.33616e-26, 1.33616e-26, 1.33616e-26, 1.33616e-26, 1.4506e-09, 1.33616e-26, 1.33616e-26, 1.33616e-26, 3.34084e-10, 1.33616e-26, 1.0037e-07, 1.33616e-26, 1.33616e-26, 1.33616e-26
0.482594, 0, 1.42508e-07, 5.06035e-26, 1.41421, -1.42508e-07, 0, 5.06035e-26, 5.06035e-26, 5.06035e-26, 5.06035e-26, 5.06035e-26, 5.06035e-26, 5.06035e-26, 9.94324e-13, 5.06035e-26, 5.06035e-26, 5.06035e-26, 2.03803e-09, 5.06035e-26, 5.06035e-26, 5.06035e-26, 5.34845e-10, 5.06035e-26, 1.39934e-07, 5.06035e-26, 5.06035e-26, 5.06035e-26
0.490459, 0, 1.97473e-07, 1.83472e-25, 1.41421, -1.97473e-07, 0, 1.83472e-25, 1.83472e-25, 1.83472e-25, 1.83472e-25, 1.83472e-25, 1.83472e-25, 1.83472e-25, 3.38443e-12, 1.83472e-25, 1.83472e-25, 1.83472e-25, 2.84658e-09, 1.83472e-25, 1.83472e-25, 1.83472e-25, 8.52883e-10, 1.83472e-25, 1.9377e-07, 1.83472e-25, 1.83472e-25, 1.83472e-25
0.498324, 0, 2.71835e-07, 6.42907e-25, 1.41421, -2.71835e-07, 0, 6.42907e-25, 6.42907e-25, 6.42907e-25, 6.42907e-25, 6.42907e-25, 6.42907e-25, 6.42907e-25, 8.94926e-12, 6.42907e-25, 6.42907e-25, 6.42907e-25, 3.95314e-09, 6.42907e-25, 6.42907e-25, 6.42907e-25, 1.35383e-09, 6.42907e-25, 2.66519e-07, 6.42907e-25, 6.42907e-25, 6.42907e-25
0.506189, 0, 3.74734e-07, 3.87998e-10, 1.41421, -3.74734e-07, 3.87998e-10, 3.8802e-10, 3.8807e-10, 1.34581e-09, 4.14609e-10, 3.88042e-10, 4.0751e-10, 4.03881e-10, 4.56144e-10, 6.80463e-10, 3.97017e-10, 1.50577e-09, 5.84724e-09, 3.88694e-10, 3.92818e-10, 3.87998e-10, 2.5259e-09, 3.88002e-10, 3.64598e-07, 3.87998e-10, 3.87998e-10, 4.13669e-10
0.514055, 0, 5.15239e-07, 1.31287e-09, 1.41421, -5.15239e-07, 1.31287e-09, 1.31295e-09, 1.31312e-09, 4.5557e-09, 1.40297e-09, 1.31302e-09, 1.37893e-09, 1.36665e-09, 1.52001e-09, 2.30306e-09, 1.34341e-09, 5.09727e-09, 8.81069e-09, 1.31523e-09, 1.32919e-09, 1.31287e-09, 4.66948e-09, 1.31289e-09, 4.95814e-07, 1.31287e-09, 1.31287e-09, 1.39979e-09
0.52192, 0, 7.1012e-07, 3.62388e-09, 1.41421, -7.1012e-07, 3.62388e-09, 3.62408e-09, 3.62455e-09, 1.25827e-08, 3.87278e-09, 3.62429e-09, 3.80638e-09, 3.77243e-09, 4.16957e-09, 6.35941e-09, 3.70824e-09, 1.40788e-08, 1.38661e-08, 3.63039e-09, 3.66896e-09, 3.62388e-09, 8.86072e-09, 3.62391e-09, 6.70989e-07, 3.62388e-09, 3.62388e-09, 3.86399e-09
0.529785, 0, 9.80726e-07, 8.45427e-09, 1.41421, -9.80726e-07, 8.45427e-09, 8.45475e-09, 8.45585e-09, 2.93586e-08, 9.03505e-09, 8.45523e-09, 8.88012e-09, 8.80091e-09, 9.7068e-09, 1.48373e-08, 8.65112e-09, 3.28497e-08, 2.23712e-08, 8.46946e-09, 8.55947e-09, 8.45427e-09, 1.6568e-08, 8.45436e-09, 9.03526e-07, 8.45427e-09, 8.45427e-09, 9.01455e-09
0.53765, 0, 1.36861e-06, 1.90752e-08, 1.41421, -1.36861e-06, 1.90752e-08, 1.90763e-08, 1.90787e-08, 6.62491e-08, 2.03858e-08, 1.90773e-08, 2.00362e-08, 1.98574e-08, 2.20596e-08, 3.34795e-08, 1.95194e-08, 7.41273e-08, 3.78865e-08, 1.91094e-08, 1.93126e-08, 1.90752e-08, 3.1567e-08, 1.90754e-08, 1.21266e-06, 1.90752e-08, 1.90752e-08, 2.03395e-08
0.545515, 0, 1.94348e-06, 4.18749e-08, 1.41421, -1.94348e-06, 4.18749e-08, 4.18772e-08, 4.18827e-08, 1.45449e-07, 4.47524e-08, 4.18796e-08, 4.39848e-08, 4.35923e-08, 4.87918e-08, 7.35008e-08, 4.28502e-08, 1.62746e-07, 6.71707e-08, 4.19501e-08, 4.23961e-08, 4.18749e-08, 6.09489e-08, 4.18753e-08, 1.62505e-06, 4.18749e-08, 4.18749e-08, 4.46508e-08
0.55338, 0, 2.83377e-06, 8.96667e-08, 1.41421, -2.83377e-06, 8.96667e-08, 8.96718e-08, 8.96834e-08, 3.11482e-07, 9.58294e-08, 8.96769e-08, 9.41853e-08, 9.33449e-08, 1.08943e-07, 1.57397e-07, 9.17554e-08, 3.48526e-07, 1.23509e-07, 8.98279e-08, 9.0783e-08, 8.96667e-08, 1.18562e-07, 8.96676e-08, 2.17965e-06, 8.96667e-08, 8.96667e-08, 9.56118e-08
0.561245, 0, 4.26712e-06, 1.87505e-07, 1.41421, -4.26712e-06, 1.87505e-07, 1.87515e-07, 1.87539e-07, 6.5141e-07, 2.00393e-07, 1.87526e-07, 1.96955e-07, 1.95197e-07, 2.33917e-07, 3.29156e-07, 1.91873e-07, 7.28884e-07, 2.32552e-07, 1.87842e-07, 1.89839e-07, 1.87505e-07, 2.30925e-07, 1.87506e-07, 2.93573e-06, 1.87505e-07, 1.87505e-07, 1.99938e-07
0.56911, 0, 6.66133e-06, 3.83136e-07, 1.41421, -6.66133e-06, 3.83136e-07, 3.83158e-07, 3.83207e-07, 1.33117e-06, 4.09475e-07, 3.8318e-07, 4.02449e-07, 3.98856e-07, 4.87985e-07, 6.72615e-07, 3.92063e-07, 1.4895e-06, 4.428e-07, 3.83825e-07, 3.87907e-07, 3.83136e-07, 4.4785e-07, 3.8314e-07, 3.98691e-06, 3.83136e-07, 3.83136e-07, 4.08545e-07
0.576975, 0, 1.07717e-05, 7.65241e-07, 1.41421, -1.07717e-05, 7.65241e-07, 7.65285e-07, 7.65384e-07, 2.65901e-06, 8.17855e-07, 7.65328e-07, 8.03819e-07, 7.96644e-07, 9.93216e-07, 1.34349e-06, 7.83074e-07, 2.97527e-06, 8.43876e-07, 7.66617e-07, 7.74772e-07, 7.65241e-07, 8.60897e-07, 7.65249e-07, 5.485e-06, 7.65241e-07, 7.65241e-07, 8.15998e-07
0.58484, 0, 1.79452e-05, 1.49436e-06, 1.41421, -1.79452e-05, 1.49436e-06, 1.49444e-06, 1.49463e-06, 5.19297e-06, 1.59711e-06, 1.49453e-06, 1.5697e-06, 1.55569e-06, 1.97622e-06, 2.62371e-06, 1.52918e-06, 5.81066e-06, 1.59749e-06, 1.49704e-06, 1.51297e-06, 1.49436e-06, 1.6346e-06, 1.49437e-06, 7.68045e-06, 1.49436e-06, 1.49436e-06, 1.59349e-06
0.592705, 0, 3.0542e-05, 2.85361e-06, 1.41421, -3.0542e-05, 2.85361e-06, 2.85377e-06, 2.85414e-06, 9.91743e-06, 3.04986e-06, 2.85393e-06, 2.9975e-06, 2.97074e-06, 3.84987e-06, 5.01052e-06, 2.92012e-06, 1.10971e-05, 2.98824e-06, 2.85874e-06, 2.88916e-06, 2.85361e-06, 3.0576e-06, 2.85364e-06, 1.0988e-05, 2.85361e-06, 2.85361e-06, 3.04293e-06
