   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_260.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.130282, 0, 6.23543e-18, 0, 1.41421, -6.23543e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.82884e-20, 0, 0, 7.90826e-23, 0, 8.54234e-22, 0, 6.17621e-18, 0, 0, 0
0.138145, 0, 1.33457e-17, 0, 1.41421, -1.33457e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24755e-19, 0, 0, 1.71221e-22, 0, 1.86548e-21, 0, 1.32189e-17, 0, 0, 0
0.146009, 0, 2.82208e-17, 0, 1.41421, -2.82208e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63805e-19, 0, 0, 3.66395e-22, 0, 4.0248e-21, 0, 2.79526e-17, 0, 0, 0
0.153873, 0, 5.8975e-17, 0, 1.41421, -5.8975e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5129e-19, 0, 0, 7.75105e-22, 0, 8.58134e-21, 0, 5.84144e-17, 0, 0, 0
0.161737, 0, 1.23379e-16, 0, 1.41421, -1.23379e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15333e-18, 0, 0, 1.64682e-21, 0, 1.83945e-20, 0, 1.22206e-16, 0, 0, 0
0.1696, 0, 2.51637e-16, 0, 1.41421, -2.51637e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35225e-18, 0, 0, 3.40206e-21, 0, 3.82709e-20, 0, 2.49243e-16, 0, 0, 0
0.177464, 0, 5.07671e-16, 0, 1.41421, -5.07671e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74558e-18, 0, 0, 6.95475e-21, 0, 7.87775e-20, 0, 5.0284e-16, 0, 0, 0
0.185328, 0, 1.01333e-15, 0, 1.41421, -1.01333e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.47233e-18, 0, 0, 1.4072e-20, 0, 1.60471e-19, 0, 1.00368e-15, 0, 0, 0
0.193191, 0, 2.00151e-15, 0, 1.41421, -2.00151e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87095e-17, 0, 0, 2.81872e-20, 0, 3.23559e-19, 0, 1.98245e-15, 0, 0, 0
0.201055, 0, 3.91267e-15, 0, 1.41421, -3.91267e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65742e-17, 0, 0, 5.5904e-20, 0, 6.45903e-19, 0, 3.87539e-15, 0, 0, 0
