   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_63.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.308434, 0, 1.46416e-11, 0, 1.41421, -1.46416e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76637e-13, 0, 0, 1.14304e-15, 0, 0, 1.44639e-11, 0, 0, 0
0.316317, 0, 2.3995e-11, 1.42932e-43, 1.41421, -2.3995e-11, 0, 1.42932e-43, 1.42932e-43, 1.42932e-43, 1.42932e-43, 1.42932e-43, 1.42932e-43, 1.42932e-43, 1.42932e-43, 1.42932e-43, 1.42932e-43, 1.42932e-43, 2.89521e-13, 1.42932e-43, 1.42932e-43, 1.93765e-15, 1.42932e-43, 1.42932e-43, 2.37035e-11, 1.42932e-43, 1.42932e-43, 1.42932e-43
0.324199, 0, 3.90061e-11, 2.51813e-42, 1.41421, -3.90061e-11, 0, 2.51813e-42, 2.51813e-42, 2.51813e-42, 2.51813e-42, 2.51813e-42, 2.51813e-42, 2.51813e-42, 2.51813e-42, 2.51813e-42, 2.51813e-42, 2.51813e-42, 4.70737e-13, 2.51813e-42, 2.51813e-42, 3.26618e-15, 2.51813e-42, 2.51813e-42, 3.85321e-11, 2.51813e-42, 2.51813e-42, 2.51813e-42
0.332082, 0, 6.28992e-11, 3.66594e-41, 1.41421, -6.28992e-11, 0, 3.66594e-41, 3.66594e-41, 3.66594e-41, 3.66594e-41, 3.66594e-41, 3.66594e-41, 3.66594e-41, 3.66594e-41, 3.66594e-41, 3.66594e-41, 3.66594e-41, 7.59282e-13, 3.66594e-41, 3.66594e-41, 5.4769e-15, 3.66594e-41, 3.66594e-41, 6.21345e-11, 3.66594e-41, 3.66594e-41, 3.66594e-41
0.339964, 0, 1.00619e-10, 4.7269e-40, 1.41421, -1.00619e-10, 0, 4.7269e-40, 4.7269e-40, 4.7269e-40, 4.7269e-40, 4.7269e-40, 4.7269e-40, 4.7269e-40, 4.7269e-40, 4.7269e-40, 4.7269e-40, 4.7269e-40, 1.21501e-12, 4.7269e-40, 4.7269e-40, 9.14024e-15, 4.7269e-40, 4.7269e-40, 9.93948e-11, 4.7269e-40, 4.7269e-40, 4.7269e-40
0.347847, 0, 1.59681e-10, 5.45215e-39, 1.41421, -1.59681e-10, 0, 5.45215e-39, 5.45215e-39, 5.45215e-39, 5.45215e-39, 5.45215e-39, 5.45215e-39, 5.45215e-39, 5.45215e-39, 5.45215e-39, 5.45215e-39, 5.45215e-39, 1.92899e-12, 5.45215e-39, 5.45215e-39, 1.51887e-14, 5.45215e-39, 5.45215e-39, 1.57737e-10, 5.45215e-39, 5.45215e-39, 5.45215e-39
0.355729, 0, 2.51413e-10, 5.67795e-38, 1.41421, -2.51413e-10, 0, 5.67795e-38, 5.67795e-38, 5.67795e-38, 5.67795e-38, 5.67795e-38, 5.67795e-38, 5.67795e-38, 5.67795e-38, 5.67795e-38, 5.67795e-38, 5.67795e-38, 3.03869e-12, 5.67795e-38, 5.67795e-38, 2.51447e-14, 5.67795e-38, 5.67795e-38, 2.4835e-10, 5.67795e-38, 5.67795e-38, 5.67795e-38
0.363612, 0, 3.92737e-10, 5.36664e-37, 1.41421, -3.92737e-10, 0, 5.36664e-37, 5.36664e-37, 5.36664e-37, 5.36664e-37, 5.36664e-37, 5.36664e-37, 5.36664e-37, 5.36664e-37, 5.36664e-37, 5.36664e-37, 5.36664e-37, 4.74979e-12, 5.36664e-37, 5.36664e-37, 4.14923e-14, 5.36664e-37, 5.36664e-37, 3.87946e-10, 5.36664e-37, 5.36664e-37, 5.36664e-37
0.371494, 0, 6.08716e-10, 4.63279e-36, 1.41421, -6.08716e-10, 0, 4.63279e-36, 4.63279e-36, 4.63279e-36, 4.63279e-36, 4.63279e-36, 4.63279e-36, 4.63279e-36, 4.63279e-36, 4.63279e-36, 4.63279e-36, 4.63279e-36, 7.36758e-12, 4.63279e-36, 4.63279e-36, 6.82839e-14, 4.63279e-36, 4.63279e-36, 6.0128e-10, 4.63279e-36, 4.63279e-36, 4.63279e-36
0.379377, 0, 9.36158e-10, 3.66847e-35, 1.41421, -9.36158e-10, 0, 3.66847e-35, 3.66847e-35, 3.66847e-35, 3.66847e-35, 3.66847e-35, 3.66847e-35, 3.66847e-35, 3.66847e-35, 3.66847e-35, 3.66847e-35, 3.66847e-35, 1.13415e-11, 3.66847e-35, 3.66847e-35, 1.12132e-13, 3.66847e-35, 3.66847e-35, 9.24704e-10, 3.66847e-35, 3.66847e-35, 3.66847e-35
