   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_79.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.332934, 0, 2.6288e-10, 5.91054e-41, 1.41421, -2.6288e-10, 0, 5.91054e-41, 5.91054e-41, 5.91054e-41, 5.91054e-41, 5.91054e-41, 5.91054e-41, 5.91054e-41, 5.91054e-41, 5.91054e-41, 5.91054e-41, 5.91054e-41, 1.70529e-12, 5.91054e-41, 5.91054e-41, 1.47254e-14, 9.91014e-14, 5.91054e-41, 2.61061e-10, 5.91054e-41, 5.91054e-41, 5.91054e-41
0.340812, 0, 4.14765e-10, 7.5234e-40, 1.41421, -4.14765e-10, 0, 7.5234e-40, 7.5234e-40, 7.5234e-40, 7.5234e-40, 7.5234e-40, 7.5234e-40, 7.5234e-40, 7.5234e-40, 7.5234e-40, 7.5234e-40, 7.5234e-40, 2.69163e-12, 7.5234e-40, 7.5234e-40, 2.43015e-14, 1.64283e-13, 7.5234e-40, 4.11884e-10, 7.5234e-40, 7.5234e-40, 7.5234e-40
0.348691, 0, 6.49395e-10, 8.58646e-39, 1.41421, -6.49395e-10, 0, 8.58646e-39, 8.58646e-39, 8.58646e-39, 8.58646e-39, 8.58646e-39, 8.58646e-39, 8.58646e-39, 8.58646e-39, 8.58646e-39, 8.58646e-39, 8.58646e-39, 4.21636e-12, 8.58646e-39, 8.58646e-39, 3.99548e-14, 2.71174e-13, 8.58646e-39, 6.44868e-10, 8.58646e-39, 8.58646e-39, 8.58646e-39
0.356569, 0, 1.00902e-09, 8.8507e-38, 1.41421, -1.00902e-09, 0, 8.8507e-38, 8.8507e-38, 8.8507e-38, 8.8507e-38, 8.8507e-38, 8.8507e-38, 8.8507e-38, 8.8507e-38, 8.8507e-38, 8.8507e-38, 8.8507e-38, 6.55532e-12, 8.8507e-38, 8.8507e-38, 6.54787e-14, 4.45881e-13, 8.8507e-38, 1.00195e-09, 8.8507e-38, 8.8507e-38, 8.8507e-38
0.364448, 0, 1.55593e-09, 8.28432e-37, 1.41421, -1.55593e-09, 0, 8.28432e-37, 8.28432e-37, 8.28432e-37, 8.28432e-37, 8.28432e-37, 8.28432e-37, 8.28432e-37, 8.28432e-37, 8.28432e-37, 8.28432e-37, 8.28432e-37, 1.01161e-11, 8.28432e-37, 8.28432e-37, 1.07017e-13, 7.30596e-13, 8.28432e-37, 1.54498e-09, 8.28432e-37, 8.28432e-37, 8.28432e-37
0.372326, 0, 2.38124e-09, 7.08051e-36, 1.41421, -2.38124e-09, 0, 7.08051e-36, 7.08051e-36, 7.08051e-36, 7.08051e-36, 7.08051e-36, 7.08051e-36, 7.08051e-36, 7.08051e-36, 7.08051e-36, 7.08051e-36, 7.08051e-36, 1.54963e-11, 7.08051e-36, 7.08051e-36, 1.74523e-13, 1.19344e-12, 7.08051e-36, 2.36437e-09, 7.08051e-36, 7.08051e-36, 7.08051e-36
0.380205, 0, 3.61709e-09, 5.55301e-35, 1.41421, -3.61709e-09, 0, 5.55301e-35, 5.55301e-35, 5.55301e-35, 5.55301e-35, 5.55301e-35, 5.55301e-35, 5.55301e-35, 5.55301e-35, 5.55301e-35, 5.55301e-35, 5.55301e-35, 2.35652e-11, 5.55301e-35, 5.55301e-35, 2.84127e-13, 1.94433e-12, 5.55301e-35, 3.59129e-09, 5.55301e-35, 5.55301e-35, 5.55301e-35
0.388083, 0, 5.45353e-09, 4.01444e-34, 1.41421, -5.45353e-09, 0, 4.01444e-34, 4.01444e-34, 4.01444e-34, 4.01444e-34, 4.01444e-34, 4.01444e-34, 4.01444e-34, 4.01444e-34, 4.01444e-34, 4.01444e-34, 4.01444e-34, 3.55778e-11, 4.01444e-34, 4.01444e-34, 4.61975e-13, 3.16043e-12, 4.01444e-34, 5.41433e-09, 4.01444e-34, 4.01444e-34, 4.01444e-34
0.395962, 0, 8.16211e-09, 7.4737e-33, 1.41421, -8.16211e-09, 0, 7.4737e-33, 7.4737e-33, 7.4737e-33, 7.4737e-33, 7.4737e-33, 7.4737e-33, 7.4737e-33, 7.4737e-33, 7.4737e-33, 7.4737e-33, 7.4737e-33, 5.33357e-11, 7.4737e-33, 7.4737e-33, 7.51589e-13, 5.13418e-12, 7.4737e-33, 8.10289e-09, 7.4737e-33, 7.4737e-33, 7.4737e-33
0.403841, 0, 1.21259e-08, 4.65583e-32, 1.41421, -1.21259e-08, 0, 4.65583e-32, 4.65583e-32, 4.65583e-32, 4.65583e-32, 4.65583e-32, 4.65583e-32, 4.65583e-32, 4.65583e-32, 4.65583e-32, 4.65583e-32, 4.65583e-32, 7.9391e-11, 4.65583e-32, 4.65583e-32, 1.22008e-12, 8.31495e-12, 4.65583e-32, 1.2037e-08, 4.65583e-32, 4.65583e-32, 4.65583e-32
0.411719, 0, 1.78838e-08, 2.65684e-31, 1.41421, -1.78838e-08, 0, 2.65684e-31, 2.65684e-31, 2.65684e-31, 2.65684e-31, 2.65684e-31, 2.65684e-31, 2.65684e-31, 2.65684e-31, 2.65684e-31, 2.65684e-31, 2.65684e-31, 1.17359e-10, 2.65684e-31, 2.65684e-31, 1.97966e-12, 1.34473e-11, 2.65684e-31, 1.7751e-08, 2.65684e-31, 2.65684e-31, 2.65684e-31
0.419598, 0, 2.61859e-08, 1.4432e-30, 1.41421, -2.61859e-08, 0, 1.4432e-30, 1.4432e-30, 1.4432e-30, 1.4432e-30, 1.4432e-30, 1.4432e-30, 1.4432e-30, 1.4432e-30, 1.4432e-30, 1.4432e-30, 1.4432e-30, 1.72305e-10, 1.4432e-30, 1.4432e-30, 3.21078e-12, 2.172e-11, 1.4432e-30, 2.59887e-08, 1.4432e-30, 1.4432e-30, 1.4432e-30
0.427476, 0, 3.80682e-08, 7.39653e-30, 1.41421, -3.80682e-08, 0, 7.39653e-30, 7.39653e-30, 7.39653e-30, 7.39653e-30, 7.39653e-30, 7.39653e-30, 7.39653e-30, 7.39653e-30, 7.39653e-30, 7.39653e-30, 7.39653e-30, 2.51288e-10, 7.39653e-30, 7.39653e-30, 5.20494e-12, 3.50393e-11, 7.39653e-30, 3.77766e-08, 7.39653e-30, 7.39653e-30, 7.39653e-30
0.435355, 0, 5.49506e-08, 3.57446e-29, 1.41421, -5.49506e-08, 0, 3.57446e-29, 3.57446e-29, 3.57446e-29, 3.57446e-29, 3.57446e-29, 3.57446e-29, 3.57446e-29, 3.57446e-29, 3.57446e-29, 3.57446e-29, 3.57446e-29, 3.64072e-10, 3.57446e-29, 3.57446e-29, 8.43184e-12, 5.64545e-11, 3.57446e-29, 5.45217e-08, 3.57446e-29, 3.57446e-29, 3.57446e-29
0.443233, 0, 7.87642e-08, 1.64745e-28, 1.41421, -7.87642e-08, 0, 1.64745e-28, 1.64745e-28, 1.64745e-28, 1.64745e-28, 1.64745e-28, 1.64745e-28, 1.64745e-28, 1.64745e-28, 1.64745e-28, 1.64745e-28, 1.64745e-28, 5.24086e-10, 1.64745e-28, 1.64745e-28, 1.36458e-11, 9.08265e-11, 1.64745e-28, 7.81356e-08, 1.64745e-28, 1.64745e-28, 1.64745e-28
0.451112, 0, 1.12115e-07, 7.22112e-28, 1.41421, -1.12115e-07, 0, 7.22112e-28, 7.22112e-28, 7.22112e-28, 7.22112e-28, 7.22112e-28, 7.22112e-28, 7.22112e-28, 7.22112e-28, 7.22112e-28, 7.22112e-28, 7.22112e-28, 7.49679e-10, 7.22112e-28, 7.22112e-28, 2.20536e-11, 1.45875e-10, 7.22112e-28, 1.11197e-07, 7.22112e-28, 7.22112e-28, 7.22112e-28
0.45899, 0, 1.58491e-07, 3.01056e-27, 1.41421, -1.58491e-07, 0, 3.01056e-27, 3.01056e-27, 3.01056e-27, 3.01056e-27, 3.01056e-27, 3.01056e-27, 3.01056e-27, 3.01056e-27, 3.01056e-27, 3.01056e-27, 3.01056e-27, 1.06577e-09, 3.01056e-27, 3.01056e-27, 3.55764e-11, 2.33799e-10, 3.01056e-27, 1.57156e-07, 3.01056e-27, 3.01056e-27, 3.01056e-27
0.466869, 0, 2.22532e-07, 1.19605e-26, 1.41421, -2.22532e-07, 0, 1.19605e-26, 1.19605e-26, 1.19605e-26, 1.19605e-26, 1.19605e-26, 1.19605e-26, 1.19605e-26, 1.19605e-26, 1.19605e-26, 1.19605e-26, 1.19605e-26, 1.50603e-09, 1.19605e-26, 1.19605e-26, 5.72569e-11, 3.73768e-10, 1.19605e-26, 2.20595e-07, 1.19605e-26, 1.19605e-26, 1.19605e-26
0.474748, 0, 3.10357e-07, 4.53704e-26, 1.41421, -3.10357e-07, 0, 4.53704e-26, 4.53704e-26, 4.53704e-26, 4.53704e-26, 4.53704e-26, 4.53704e-26, 4.53704e-26, 2.7496e-12, 4.53704e-26, 4.53704e-26, 4.53704e-26, 2.11563e-09, 4.53704e-26, 4.53704e-26, 9.18852e-11, 5.95711e-10, 4.53704e-26, 3.07551e-07, 4.53704e-26, 4.53704e-26, 4.53704e-26
0.482626, 0, 4.29979e-07, 1.64694e-25, 1.41421, -4.29979e-07, 0, 1.64694e-25, 1.64694e-25, 1.64694e-25, 1.64694e-25, 1.64694e-25, 1.64694e-25, 1.64694e-25, 9.38944e-12, 1.64694e-25, 1.64694e-25, 1.64694e-25, 2.95489e-09, 1.64694e-25, 1.64694e-25, 1.46953e-10, 9.46015e-10, 1.64694e-25, 4.25922e-07, 1.64694e-25, 1.64694e-25, 1.64694e-25
0.490505, 0, 5.91819e-07, 5.78053e-25, 1.41421, -5.91819e-07, 0, 5.78053e-25, 5.78053e-25, 5.78053e-25, 5.78053e-25, 5.78053e-25, 5.78053e-25, 5.78053e-25, 2.49249e-11, 5.78053e-25, 5.78053e-25, 5.78053e-25, 4.10391e-09, 5.78053e-25, 5.78053e-25, 2.341e-10, 1.49602e-09, 5.78053e-25, 5.8596e-07, 5.78053e-25, 5.78053e-25, 5.78053e-25
0.498383, 0, 8.12598e-07, 4.62587e-10, 1.41421, -8.12598e-07, 4.62587e-10, 4.6261e-10, 4.62704e-10, 4.62671e-10, 7.25567e-10, 4.66818e-10, 4.63262e-10, 4.70258e-10, 6.5196e-10, 5.15871e-10, 4.64888e-10, 2.68266e-09, 6.13111e-09, 4.63437e-10, 4.63613e-10, 8.33858e-10, 2.81707e-09, 4.62589e-10, 8.01428e-07, 4.62587e-10, 4.62587e-10, 4.95085e-10
0.506262, 0, 1.11088e-06, 1.56914e-09, 1.41421, -1.11088e-06, 1.56914e-09, 1.56921e-09, 1.56953e-09, 1.56942e-09, 2.46238e-09, 1.58351e-09, 1.57143e-09, 1.59519e-09, 2.14644e-09, 1.75012e-09, 1.57695e-09, 9.1099e-09, 9.35669e-09, 1.57202e-09, 1.57262e-09, 2.15514e-09, 5.25489e-09, 1.56914e-09, 1.08946e-06, 1.56914e-09, 1.56914e-09, 1.67952e-09
0.51414, 0, 1.51466e-06, 4.14279e-09, 1.41421, -1.51466e-06, 4.14279e-09, 4.14299e-09, 4.14383e-09, 4.14354e-09, 6.50277e-09, 4.18075e-09, 4.14884e-09, 4.21163e-09, 5.6104e-09, 4.62096e-09, 4.16343e-09, 2.40656e-08, 1.47851e-08, 4.15041e-09, 4.152e-09, 5.06276e-09, 9.87842e-09, 4.14281e-09, 1.47269e-06, 4.14279e-09, 4.14279e-09, 4.43442e-09
0.522019, 0, 2.06455e-06, 9.97772e-09, 1.41421, -2.06455e-06, 9.97772e-09, 9.97821e-09, 9.98024e-09, 9.97952e-09, 1.56636e-08, 1.00692e-08, 9.9923e-09, 1.01436e-08, 1.34386e-08, 1.11298e-08, 1.00275e-08, 5.79774e-08, 2.44459e-08, 9.99609e-09, 9.9999e-09, 1.14138e-08, 1.88458e-08, 9.97777e-09, 1.98041e-06, 9.97772e-09, 9.97772e-09, 1.06803e-08
0.529897, 0, 2.82293e-06, 2.28865e-08, 1.41421, -2.82293e-06, 2.28865e-08, 2.28876e-08, 2.28922e-08, 2.28906e-08, 3.59315e-08, 2.30963e-08, 2.29199e-08, 2.3267e-08, 3.07027e-08, 2.55296e-08, 2.30006e-08, 1.33012e-07, 4.24556e-08, 2.29286e-08, 2.29374e-08, 2.51146e-08, 3.6503e-08, 2.28866e-08, 2.65144e-06, 2.28865e-08, 2.28865e-08, 2.44985e-08
0.537776, 0, 3.89174e-06, 5.07768e-08, 1.41421, -3.89174e-06, 5.07768e-08, 5.07793e-08, 5.07897e-08, 5.0786e-08, 7.97224e-08, 5.12425e-08, 5.08511e-08, 5.16212e-08, 6.92097e-08, 5.66417e-08, 5.103e-08, 2.95134e-07, 7.7112e-08, 5.08704e-08, 5.08898e-08, 5.4212e-08, 7.15562e-08, 5.07771e-08, 3.53814e-06, 5.07768e-08, 5.07768e-08, 5.43538e-08
0.545654, 0, 5.44223e-06, 1.09637e-07, 1.41421, -5.44223e-06, 1.09637e-07, 1.09642e-07, 1.09665e-07, 1.09657e-07, 1.72141e-07, 1.10643e-07, 1.09797e-07, 1.1146e-07, 1.51936e-07, 1.22301e-07, 1.10184e-07, 6.3729e-07, 1.44901e-07, 1.09839e-07, 1.09881e-07, 1.14899e-07, 1.41084e-07, 1.09638e-07, 4.71338e-06, 1.09637e-07, 1.09637e-07, 1.17361e-07
0.553533, 0, 7.79846e-06, 2.30998e-07, 1.41421, -7.79846e-06, 2.30998e-07, 2.31009e-07, 2.31056e-07, 2.3104e-07, 3.62697e-07, 2.33117e-07, 2.31336e-07, 2.3484e-07, 3.50041e-07, 2.57682e-07, 2.3215e-07, 1.3428e-06, 2.77985e-07, 2.31424e-07, 2.31512e-07, 2.39002e-07, 2.78217e-07, 2.30999e-07, 6.28224e-06, 2.30998e-07, 2.30998e-07, 2.47273e-07
0.561411, 0, 1.14984e-05, 4.755e-07, 1.41421, -1.14984e-05, 4.755e-07, 4.75524e-07, 4.75621e-07, 4.75586e-07, 7.46615e-07, 4.79862e-07, 4.76196e-07, 4.83409e-07, 7.61006e-07, 5.30433e-07, 4.77872e-07, 2.76424e-06, 5.37803e-07, 4.76377e-07, 4.76558e-07, 4.87594e-07, 5.4584e-07, 4.75503e-07, 8.40238e-06, 4.755e-07, 4.755e-07, 5.09003e-07
0.56929, 0, 1.75275e-05, 9.56881e-07, 1.41421, -1.75275e-05, 9.56881e-07, 9.56929e-07, 9.57123e-07, 9.57054e-07, 1.5025e-06, 9.65659e-07, 9.58281e-07, 9.72797e-07, 1.59651e-06, 1.06743e-06, 9.61654e-07, 5.56297e-06, 1.03909e-06, 9.58644e-07, 9.5901e-07, 9.75033e-07, 1.06082e-06, 9.56886e-07, 1.13186e-05, 9.56881e-07, 9.56881e-07, 1.02431e-06
0.577169, 0, 2.76442e-05, 1.88316e-06, 1.41421, -2.76442e-05, 1.88316e-06, 1.88326e-06, 1.88364e-06, 1.8835e-06, 2.95703e-06, 1.90044e-06, 1.88592e-06, 1.91449e-06, 3.25963e-06, 2.10074e-06, 1.89256e-06, 1.09487e-05, 1.99113e-06, 1.88663e-06, 1.88735e-06, 1.91021e-06, 2.03552e-06, 1.88317e-06, 1.54213e-05, 1.88316e-06, 1.88316e-06, 2.01586e-06
