   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_317.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.302739, 0, 4.24119e-11, 0, 1.41421, -4.24119e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71249e-13, 0, 0, 3.64929e-16, 9.91621e-17, 0, 4.22402e-11, 0, 0, 0
0.310603, 0, 6.96933e-11, 0, 1.41421, -6.96933e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8145e-13, 0, 0, 6.17711e-16, 1.69464e-16, 0, 6.94111e-11, 0, 0, 0
0.318468, 0, 1.136e-10, 1.75162e-43, 1.41421, -1.136e-10, 0, 1.75162e-43, 1.75162e-43, 1.75162e-43, 1.75162e-43, 1.75162e-43, 1.75162e-43, 1.75162e-43, 1.75162e-43, 1.75162e-43, 1.75162e-43, 1.75162e-43, 1.75162e-43, 4.58858e-13, 1.75162e-43, 1.75162e-43, 1.03946e-15, 2.87881e-16, 1.75162e-43, 1.1314e-10, 1.75162e-43, 1.75162e-43, 1.75162e-43
0.326333, 0, 1.83683e-10, 2.97356e-42, 1.41421, -1.83683e-10, 0, 2.97356e-42, 2.97356e-42, 2.97356e-42, 2.97356e-42, 2.97356e-42, 2.97356e-42, 2.97356e-42, 2.97356e-42, 2.97356e-42, 2.97356e-42, 2.97356e-42, 2.97356e-42, 7.42135e-13, 2.97356e-42, 2.97356e-42, 1.73955e-15, 4.8627e-16, 2.97356e-42, 1.82939e-10, 2.97356e-42, 2.97356e-42, 2.97356e-42
0.334198, 0, 2.94633e-10, 4.21469e-41, 1.41421, -2.94633e-10, 0, 4.21469e-41, 4.21469e-41, 4.21469e-41, 4.21469e-41, 4.21469e-41, 4.21469e-41, 4.21469e-41, 4.21469e-41, 4.21469e-41, 4.21469e-41, 4.21469e-41, 4.21469e-41, 1.1908e-12, 4.21469e-41, 4.21469e-41, 2.89634e-15, 8.1696e-16, 4.21469e-41, 2.93438e-10, 4.21469e-41, 4.21469e-41, 4.21469e-41
0.342062, 0, 4.6885e-10, 5.28828e-40, 1.41421, -4.6885e-10, 0, 5.28828e-40, 5.28828e-40, 5.28828e-40, 5.28828e-40, 5.28828e-40, 5.28828e-40, 5.28828e-40, 5.28828e-40, 5.28828e-40, 5.28828e-40, 5.28828e-40, 5.28828e-40, 1.89571e-12, 5.28828e-40, 5.28828e-40, 4.80003e-15, 1.36563e-15, 5.28828e-40, 4.66948e-10, 5.28828e-40, 5.28828e-40, 5.28828e-40
0.349927, 0, 7.40191e-10, 5.94965e-39, 1.41421, -7.40191e-10, 0, 5.94965e-39, 5.94965e-39, 5.94965e-39, 5.94965e-39, 5.94965e-39, 5.94965e-39, 5.94965e-39, 5.94965e-39, 5.94965e-39, 5.94965e-39, 5.94965e-39, 5.94965e-39, 2.99437e-12, 5.94965e-39, 5.94965e-39, 7.92187e-15, 2.27212e-15, 5.94965e-39, 7.37186e-10, 5.94965e-39, 5.94965e-39, 5.94965e-39
0.357792, 0, 1.1594e-09, 6.05313e-38, 1.41421, -1.1594e-09, 0, 6.05313e-38, 6.05313e-38, 6.05313e-38, 6.05313e-38, 6.05313e-38, 6.05313e-38, 6.05313e-38, 6.05313e-38, 6.05313e-38, 6.05313e-38, 6.05313e-38, 6.05313e-38, 4.69321e-12, 6.05313e-38, 6.05313e-38, 1.30266e-14, 3.7642e-15, 6.05313e-38, 1.15469e-09, 6.05313e-38, 6.05313e-38, 6.05313e-38
0.365657, 0, 1.80184e-09, 5.59823e-37, 1.41421, -1.80184e-09, 0, 5.59823e-37, 5.59823e-37, 5.59823e-37, 5.59823e-37, 5.59823e-37, 5.59823e-37, 5.59823e-37, 5.59823e-37, 5.59823e-37, 5.59823e-37, 5.59823e-37, 5.59823e-37, 7.2995e-12, 5.59823e-37, 5.59823e-37, 2.13543e-14, 6.21216e-15, 5.59823e-37, 1.79451e-09, 5.59823e-37, 5.59823e-37, 5.59823e-37
0.373521, 0, 2.77854e-09, 4.73408e-36, 1.41421, -2.77854e-09, 0, 4.73408e-36, 4.73408e-36, 4.73408e-36, 4.73408e-36, 4.73408e-36, 4.73408e-36, 4.73408e-36, 4.73408e-36, 4.73408e-36, 4.73408e-36, 4.73408e-36, 4.73408e-36, 1.1267e-11, 4.73408e-36, 4.73408e-36, 3.49166e-14, 1.02173e-14, 4.73408e-36, 2.76723e-09, 4.73408e-36, 4.73408e-36, 4.73408e-36
0.381386, 0, 4.25162e-09, 3.67679e-35, 1.41421, -4.25162e-09, 0, 3.67679e-35, 3.67679e-35, 3.67679e-35, 3.67679e-35, 3.67679e-35, 3.67679e-35, 3.67679e-35, 3.67679e-35, 3.67679e-35, 3.67679e-35, 3.67679e-35, 3.67679e-35, 1.72602e-11, 3.67679e-35, 3.67679e-35, 5.69777e-14, 1.67552e-14, 3.67679e-35, 4.23429e-09, 3.67679e-35, 3.67679e-35, 3.67679e-35
0.389251, 0, 6.45581e-09, 2.63464e-34, 1.41421, -6.45581e-09, 0, 2.63464e-34, 2.63464e-34, 2.63464e-34, 2.63464e-34, 2.63464e-34, 2.63464e-34, 2.63464e-34, 2.63464e-34, 2.63464e-34, 2.63464e-34, 2.63464e-34, 2.63464e-34, 2.62451e-11, 2.63464e-34, 2.63464e-34, 9.28379e-14, 2.74086e-14, 2.63464e-34, 6.42944e-09, 2.63464e-34, 2.63464e-34, 2.63464e-34
0.397115, 0, 9.72808e-09, 1.81304e-33, 1.41421, -9.72808e-09, 0, 1.81304e-33, 1.81304e-33, 1.81304e-33, 1.81304e-33, 1.81304e-33, 1.81304e-33, 1.81304e-33, 1.81304e-33, 1.81304e-33, 1.81304e-33, 1.81304e-33, 1.81304e-33, 3.96142e-11, 1.81304e-33, 1.81304e-33, 1.51109e-13, 4.47441e-14, 1.81304e-33, 9.68827e-09, 1.81304e-33, 1.81304e-33, 1.81304e-33
0.40498, 0, 1.45481e-08, 1.15482e-32, 1.41421, -1.45481e-08, 0, 1.15482e-32, 1.15482e-32, 1.15482e-32, 1.15482e-32, 1.15482e-32, 1.15482e-32, 1.15482e-32, 1.15482e-32, 1.15482e-32, 1.15482e-32, 1.15482e-32, 1.15482e-32, 5.93604e-11, 1.15482e-32, 1.15482e-32, 2.45788e-13, 7.29238e-14, 1.15482e-32, 1.44884e-08, 1.15482e-32, 1.15482e-32, 1.15482e-32
0.412845, 0, 2.15931e-08, 7.11645e-32, 1.41421, -2.15931e-08, 0, 7.11645e-32, 7.11645e-32, 7.11645e-32, 7.11645e-32, 7.11645e-32, 7.11645e-32, 7.11645e-32, 7.11645e-32, 7.11645e-32, 7.11645e-32, 7.11645e-32, 7.11645e-32, 8.8315e-11, 7.11645e-32, 7.11645e-32, 3.99628e-13, 1.18697e-13, 7.11645e-32, 2.15043e-08, 7.11645e-32, 7.11645e-32, 7.11645e-32
0.42071, 0, 3.1811e-08, 4.01556e-31, 1.41421, -3.1811e-08, 0, 4.01556e-31, 4.01556e-31, 4.01556e-31, 4.01556e-31, 4.01556e-31, 4.01556e-31, 4.01556e-31, 4.01556e-31, 4.01556e-31, 4.01556e-31, 4.01556e-31, 4.01556e-31, 1.3047e-10, 4.01556e-31, 4.01556e-31, 6.49595e-13, 1.93e-13, 4.01556e-31, 3.16797e-08, 4.01556e-31, 4.01556e-31, 4.01556e-31
0.428574, 0, 4.6518e-08, 2.15921e-30, 1.41421, -4.6518e-08, 0, 2.15921e-30, 2.15921e-30, 2.15921e-30, 2.15921e-30, 2.15921e-30, 2.15921e-30, 2.15921e-30, 2.15921e-30, 2.15921e-30, 2.15921e-30, 2.15921e-30, 2.15921e-30, 1.91416e-10, 2.15921e-30, 2.15921e-30, 1.05568e-12, 3.13541e-13, 2.15921e-30, 4.63252e-08, 2.15921e-30, 2.15921e-30, 2.15921e-30
0.436439, 0, 6.75264e-08, 1.09637e-29, 1.41421, -6.75264e-08, 0, 1.09637e-29, 1.09637e-29, 1.09637e-29, 1.09637e-29, 1.09637e-29, 1.09637e-29, 1.09637e-29, 1.09637e-29, 1.09637e-29, 1.09637e-29, 1.09637e-29, 1.09637e-29, 2.78928e-10, 1.09637e-29, 1.09637e-29, 1.71505e-12, 5.08947e-13, 1.09637e-29, 6.72453e-08, 1.09637e-29, 1.09637e-29, 1.09637e-29
0.444304, 0, 9.73116e-08, 5.25686e-29, 1.41421, -9.73116e-08, 0, 5.25686e-29, 5.25686e-29, 5.25686e-29, 5.25686e-29, 5.25686e-29, 5.25686e-29, 5.25686e-29, 5.25686e-29, 5.25686e-29, 5.25686e-29, 5.25686e-29, 5.25686e-29, 4.03749e-10, 5.25686e-29, 5.25686e-29, 2.78468e-12, 8.25386e-13, 5.25686e-29, 9.69042e-08, 5.25686e-29, 5.25686e-29, 5.25686e-29
0.452169, 0, 1.39228e-07, 2.40504e-28, 1.41421, -1.39228e-07, 0, 2.40504e-28, 2.40504e-28, 2.40504e-28, 2.40504e-28, 2.40504e-28, 2.40504e-28, 2.40504e-28, 2.40504e-28, 2.40504e-28, 2.40504e-28, 2.40504e-28, 2.40504e-28, 5.80623e-10, 2.40504e-28, 2.40504e-28, 4.51731e-12, 1.33709e-12, 2.40504e-28, 1.38641e-07, 2.40504e-28, 2.40504e-28, 2.40504e-28
0.460033, 0, 1.97782e-07, 1.04697e-27, 1.41421, -1.97782e-07, 0, 1.04697e-27, 1.04697e-27, 1.04697e-27, 1.04697e-27, 1.04697e-27, 1.04697e-27, 1.04697e-27, 1.04697e-27, 1.04697e-27, 1.04697e-27, 1.04697e-27, 1.04697e-27, 8.29665e-10, 1.04697e-27, 1.04697e-27, 7.31817e-12, 2.16294e-12, 1.04697e-27, 1.96943e-07, 1.04697e-27, 1.04697e-27, 1.04697e-27
0.467898, 0, 2.78986e-07, 4.33609e-27, 1.41421, -2.78986e-07, 0, 4.33609e-27, 4.33609e-27, 4.33609e-27, 4.33609e-27, 4.33609e-27, 4.33609e-27, 4.33609e-27, 4.33609e-27, 4.33609e-27, 4.33609e-27, 4.33609e-27, 4.33609e-27, 1.17815e-09, 4.33609e-27, 4.33609e-27, 1.18338e-11, 3.49235e-12, 4.33609e-27, 2.77793e-07, 4.33609e-27, 4.33609e-27, 4.33609e-27
0.475763, 0, 3.90794e-07, 1.71219e-26, 1.41421, -3.90794e-07, 0, 1.71219e-26, 1.71219e-26, 1.71219e-26, 1.71219e-26, 1.71219e-26, 1.71219e-26, 1.71219e-26, 1.71219e-26, 1.71219e-26, 1.71219e-26, 1.71219e-26, 1.71219e-26, 1.66283e-09, 1.71219e-26, 1.71219e-26, 1.90903e-11, 5.62545e-12, 1.71219e-26, 3.89106e-07, 1.71219e-26, 1.71219e-26, 1.71219e-26
0.483628, 0, 5.43648e-07, 6.4587e-26, 1.41421, -5.43648e-07, 0, 6.4587e-26, 6.4587e-26, 6.4587e-26, 6.4587e-26, 6.4587e-26, 6.4587e-26, 6.4587e-26, 6.4587e-26, 2.96254e-12, 6.4587e-26, 6.4587e-26, 6.4587e-26, 2.33295e-09, 6.4587e-26, 6.4587e-26, 3.07058e-11, 9.03452e-12, 6.4587e-26, 5.41272e-07, 6.4587e-26, 6.4587e-26, 6.4587e-26
0.491492, 0, 7.5115e-07, 2.33236e-25, 1.41421, -7.5115e-07, 0, 2.33236e-25, 2.33236e-25, 2.33236e-25, 2.33236e-25, 2.33236e-25, 2.33236e-25, 2.33236e-25, 2.33236e-25, 1.01613e-11, 2.33236e-25, 2.33236e-25, 2.33236e-25, 3.2541e-09, 2.33236e-25, 2.33236e-25, 4.92156e-11, 1.44573e-11, 2.33236e-25, 7.47822e-07, 2.33236e-25, 2.33236e-25, 2.33236e-25
0.499357, 0, 1.03572e-06, 8.15049e-25, 1.41421, -1.03572e-06, 0, 1.74588e-14, 3.60831e-14, 1.29232e-15, 2.90721e-10, 1.25487e-11, 1.46417e-13, 7.1284e-13, 9.01412e-10, 1.62255e-10, 1.71334e-10, 1.78798e-09, 1.36981e-09, 4.51327e-09, 1.84763e-12, 1.65658e-12, 7.85647e-11, 2.30366e-11, 2.41882e-15, 1.02639e-06, 8.15049e-25, 8.15049e-25, 2.34513e-11
0.507222, 0, 1.42253e-06, 5.86361e-10, 1.41421, -1.42253e-06, 5.86361e-10, 5.8642e-10, 5.86484e-10, 5.86365e-10, 1.57916e-09, 6.29214e-10, 5.86861e-10, 5.88795e-10, 3.66463e-09, 1.1138e-09, 1.17146e-09, 6.6922e-09, 5.26418e-09, 6.8112e-09, 5.9267e-10, 5.92018e-10, 7.11213e-10, 6.22888e-10, 5.86369e-10, 1.40004e-06, 5.86361e-10, 5.86361e-10, 6.66446e-10
0.515086, 0, 1.94942e-06, 1.99556e-09, 1.41421, -1.94942e-06, 1.99556e-09, 1.99572e-09, 1.99589e-09, 1.99557e-09, 4.63405e-09, 2.10945e-09, 1.99689e-09, 2.00203e-09, 1.01765e-08, 3.37466e-09, 3.55053e-09, 1.82226e-08, 1.44275e-08, 1.05342e-08, 2.01233e-09, 2.0106e-09, 2.19299e-09, 2.05316e-09, 1.99558e-09, 1.89784e-06, 1.99556e-09, 1.99556e-09, 2.2084e-09
0.522951, 0, 2.67352e-06, 5.28565e-09, 1.41421, -2.67352e-06, 5.28565e-09, 5.28603e-09, 5.28644e-09, 5.28567e-09, 1.16808e-08, 5.56169e-09, 5.28887e-09, 5.30133e-09, 2.51146e-08, 8.59978e-09, 9.0546e-09, 4.4617e-08, 3.54183e-08, 1.69352e-08, 5.32629e-09, 5.32209e-09, 5.59613e-09, 5.37591e-09, 5.2857e-09, 2.55781e-06, 5.28565e-09, 5.28565e-09, 5.80152e-09
0.530816, 0, 3.68443e-06, 1.27785e-08, 1.41421, -3.68443e-06, 1.27785e-08, 1.27794e-08, 1.27804e-08, 1.27786e-08, 2.75366e-08, 1.34155e-08, 1.2786e-08, 1.28147e-08, 5.85375e-08, 2.03813e-08, 2.14761e-08, 1.03543e-07, 8.2315e-08, 2.85884e-08, 1.28723e-08, 1.28626e-08, 1.3264e-08, 1.2919e-08, 1.27786e-08, 3.42882e-06, 1.27785e-08, 1.27785e-08, 1.3969e-08
0.538681, 0, 5.131e-06, 2.94268e-08, 1.41421, -5.131e-06, 2.94268e-08, 2.94287e-08, 2.94308e-08, 2.94269e-08, 6.23509e-08, 3.08479e-08, 2.94433e-08, 2.95075e-08, 1.31511e-07, 4.63027e-08, 4.88303e-08, 2.31915e-07, 1.84557e-07, 5.07707e-08, 2.9636e-08, 2.96144e-08, 3.01811e-08, 2.96439e-08, 2.9427e-08, 4.5752e-06, 2.94268e-08, 2.94268e-08, 3.20826e-08
0.546545, 0, 7.27215e-06, 6.55303e-08, 1.41421, -7.27215e-06, 6.55303e-08, 6.55346e-08, 6.55392e-08, 6.55307e-08, 1.36973e-07, 6.86141e-08, 6.55663e-08, 6.57055e-08, 2.87046e-07, 1.03383e-07, 1.07634e-07, 5.04913e-07, 4.02151e-07, 9.41968e-08, 6.59844e-08, 6.59374e-08, 6.66951e-08, 6.58638e-08, 6.55309e-08, 6.08314e-06, 6.55303e-08, 6.55303e-08, 7.12933e-08
0.55441, 0, 1.05673e-05, 1.4196e-07, 1.41421, -1.05673e-05, 1.4196e-07, 1.4197e-07, 1.41979e-07, 1.41961e-07, 2.9314e-07, 1.48486e-07, 1.42037e-07, 1.42331e-07, 6.10709e-07, 2.24925e-07, 2.31057e-07, 1.07174e-06, 8.54283e-07, 1.80265e-07, 1.42921e-07, 1.42822e-07, 1.43747e-07, 1.42468e-07, 1.41962e-07, 8.07155e-06, 1.4196e-07, 1.4196e-07, 1.54156e-07
