   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_259.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0510765, 0, 3.2647e-21, 0, 1.41421, -3.2647e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85728e-23, 0, 0, 6.49892e-26, 0, 5.12062e-25, 0, 3.24555e-21, 0, 0, 0
0.0589409, 0, 7.95769e-21, 0, 1.41421, -7.95769e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52711e-23, 0, 0, 1.6086e-25, 0, 1.27132e-24, 0, 7.91099e-21, 0, 0, 0
0.0668054, 0, 1.90498e-20, 0, 1.41421, -1.90498e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08373e-22, 0, 0, 3.91025e-25, 0, 3.09739e-24, 0, 1.89379e-20, 0, 0, 0
0.0746698, 0, 4.48341e-20, 0, 1.41421, -4.48341e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55058e-22, 0, 0, 9.34521e-25, 0, 7.41437e-24, 0, 4.45707e-20, 0, 0, 0
0.0825342, 0, 1.03836e-19, 0, 1.41421, -1.03836e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90713e-22, 0, 0, 2.19796e-24, 0, 1.74563e-23, 0, 1.03225e-19, 0, 0, 0
0.0903986, 0, 2.36838e-19, 0, 1.41421, -2.36838e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34735e-21, 0, 0, 5.09164e-24, 0, 4.04604e-23, 0, 2.35445e-19, 0, 0, 0
0.098263, 0, 5.32391e-19, 0, 1.41421, -5.32391e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02871e-21, 0, 0, 1.16258e-23, 0, 9.23967e-23, 0, 5.29258e-19, 0, 0, 0
0.106127, 0, 1.1802e-18, 0, 1.41421, -1.1802e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71399e-21, 0, 0, 2.61816e-23, 0, 2.08036e-22, 0, 1.17325e-18, 0, 0, 0
0.113992, 0, 2.58145e-18, 0, 1.41421, -2.58145e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46855e-20, 0, 0, 5.81871e-23, 0, 4.62116e-22, 0, 2.56624e-18, 0, 0, 0
0.121856, 0, 5.57406e-18, 0, 1.41421, -5.57406e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17099e-20, 0, 0, 1.27685e-22, 0, 1.0133e-21, 0, 5.54121e-18, 0, 0, 0
0.129721, 0, 1.18869e-17, 0, 1.41421, -1.18869e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.76222e-20, 0, 0, 2.76775e-22, 0, 2.19438e-21, 0, 1.18168e-17, 0, 0, 0
0.137585, 0, 2.5045e-17, 0, 1.41421, -2.5045e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42476e-19, 0, 0, 5.92884e-22, 0, 4.69536e-21, 0, 2.48973e-17, 0, 0, 0
0.14545, 0, 5.21537e-17, 0, 1.41421, -5.21537e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96691e-19, 0, 0, 1.25552e-21, 0, 9.93085e-21, 0, 5.18459e-17, 0, 0, 0
