   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_227.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.12921, 0, 2.82888e-16, 0, 1.41421, -2.82888e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44744e-18, 0, 0, 3.46971e-21, 0, 0, 2.81437e-16, 0, 0, 0
0.137077, 0, 5.53768e-16, 0, 1.41421, -5.53768e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83344e-18, 0, 0, 6.91653e-21, 0, 0, 5.50928e-16, 0, 0, 0
0.144944, 0, 1.07357e-15, 0, 1.41421, -1.07357e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.49306e-18, 0, 0, 1.36572e-20, 0, 0, 1.06806e-15, 0, 0, 0
0.152811, 0, 2.06155e-15, 0, 1.41421, -2.06155e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05482e-17, 0, 0, 2.67172e-20, 0, 0, 2.05098e-15, 0, 0, 0
0.160678, 0, 3.92185e-15, 0, 1.41421, -3.92185e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00667e-17, 0, 0, 5.1791e-20, 0, 0, 3.90174e-15, 0, 0, 0
0.168545, 0, 7.39241e-15, 0, 1.41421, -7.39241e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78242e-17, 0, 0, 9.94999e-20, 0, 0, 7.35448e-15, 0, 0, 0
0.176413, 0, 1.38081e-14, 0, 1.41421, -1.38081e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06509e-17, 0, 0, 1.89478e-19, 0, 0, 1.37373e-14, 0, 0, 0
0.18428, 0, 2.55621e-14, 0, 1.41421, -2.55621e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30791e-16, 0, 0, 3.57707e-19, 0, 0, 2.54309e-14, 0, 0, 0
0.192147, 0, 4.69049e-14, 0, 1.41421, -4.69049e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39993e-16, 0, 0, 6.69552e-19, 0, 0, 4.66642e-14, 0, 0, 0
0.200014, 0, 8.53195e-14, 0, 1.41421, -8.53195e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36544e-16, 0, 0, 1.24281e-18, 0, 0, 8.48817e-14, 0, 0, 0
