   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_215.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.337321, 0, 1.75699e-10, 1.43633e-42, 1.41421, -1.75699e-10, 0, 1.43633e-42, 1.43633e-42, 1.43633e-42, 1.43633e-42, 1.43633e-42, 1.43633e-42, 1.43633e-42, 1.43633e-42, 1.43633e-42, 1.43633e-42, 4.6831e-13, 1.43633e-42, 1.43633e-42, 2.65683e-15, 1.43633e-42, 1.43633e-42, 1.75228e-10, 1.43633e-42, 1.43633e-42, 1.43633e-42
0.345194, 0, 2.93031e-10, 2.19626e-41, 1.41421, -2.93031e-10, 0, 2.19626e-41, 2.19626e-41, 2.19626e-41, 2.19626e-41, 2.19626e-41, 2.19626e-41, 2.19626e-41, 2.19626e-41, 2.19626e-41, 2.19626e-41, 7.81204e-13, 2.19626e-41, 2.19626e-41, 4.59612e-15, 2.19626e-41, 2.19626e-41, 2.92246e-10, 2.19626e-41, 2.19626e-41, 2.19626e-41
0.353067, 0, 4.84352e-10, 2.94809e-40, 1.41421, -4.84352e-10, 0, 2.94809e-40, 2.94809e-40, 2.94809e-40, 2.94809e-40, 2.94809e-40, 2.94809e-40, 2.94809e-40, 2.94809e-40, 2.94809e-40, 2.94809e-40, 1.29159e-12, 2.94809e-40, 2.94809e-40, 7.90628e-15, 2.94809e-40, 2.94809e-40, 4.83053e-10, 2.94809e-40, 2.94809e-40, 2.94809e-40
0.360941, 0, 7.93478e-10, 3.53939e-39, 1.41421, -7.93478e-10, 0, 3.53939e-39, 3.53939e-39, 3.53939e-39, 3.53939e-39, 3.53939e-39, 3.53939e-39, 3.53939e-39, 3.53939e-39, 3.53939e-39, 3.53939e-39, 2.11663e-12, 3.53939e-39, 3.53939e-39, 1.35314e-14, 3.53939e-39, 3.53939e-39, 7.91348e-10, 3.53939e-39, 3.53939e-39, 3.53939e-39
0.368814, 0, 1.28842e-09, 3.83219e-38, 1.41421, -1.28842e-09, 0, 3.83219e-38, 3.83219e-38, 3.83219e-38, 3.83219e-38, 3.83219e-38, 3.83219e-38, 3.83219e-38, 3.83219e-38, 3.83219e-38, 3.83219e-38, 3.43838e-12, 3.83219e-38, 3.83219e-38, 2.30547e-14, 3.83219e-38, 3.83219e-38, 1.28496e-09, 3.83219e-38, 3.83219e-38, 3.83219e-38
0.376688, 0, 2.07374e-09, 3.75831e-37, 1.41421, -2.07374e-09, 0, 3.75831e-37, 3.75831e-37, 3.75831e-37, 3.75831e-37, 3.75831e-37, 3.75831e-37, 3.75831e-37, 3.75831e-37, 3.75831e-37, 3.75831e-37, 5.53716e-12, 3.75831e-37, 3.75831e-37, 3.91282e-14, 3.75831e-37, 3.75831e-37, 2.06816e-09, 3.75831e-37, 3.75831e-37, 3.75831e-37
0.384561, 0, 3.30863e-09, 3.36286e-36, 1.41421, -3.30863e-09, 0, 3.36286e-36, 3.36286e-36, 3.36286e-36, 3.36286e-36, 3.36286e-36, 3.36286e-36, 3.36286e-36, 3.36286e-36, 3.36286e-36, 3.36286e-36, 8.84053e-12, 3.36286e-36, 3.36286e-36, 6.61926e-14, 3.36286e-36, 3.36286e-36, 3.29972e-09, 3.36286e-36, 3.36286e-36, 3.36286e-36
0.392434, 0, 5.23317e-09, 2.75787e-35, 1.41421, -5.23317e-09, 0, 2.75787e-35, 2.75787e-35, 2.75787e-35, 2.75787e-35, 2.75787e-35, 2.75787e-35, 2.75787e-35, 2.75787e-35, 2.75787e-35, 2.75787e-35, 1.39947e-11, 2.75787e-35, 2.75787e-35, 1.11684e-13, 2.75787e-35, 2.75787e-35, 5.21906e-09, 2.75787e-35, 2.75787e-35, 2.75787e-35
0.400308, 0, 8.20595e-09, 2.08158e-34, 1.41421, -8.20595e-09, 0, 2.08158e-34, 2.08158e-34, 2.08158e-34, 2.08158e-34, 2.08158e-34, 2.08158e-34, 2.08158e-34, 2.08158e-34, 2.08158e-34, 2.08158e-34, 2.19678e-11, 2.08158e-34, 2.08158e-34, 1.88058e-13, 2.08158e-34, 2.08158e-34, 8.18379e-09, 2.08158e-34, 2.08158e-34, 2.08158e-34
0.408181, 0, 1.27575e-08, 1.45214e-33, 1.41421, -1.27575e-08, 0, 1.45214e-33, 1.45214e-33, 1.45214e-33, 1.45214e-33, 1.45214e-33, 1.45214e-33, 1.45214e-33, 1.45214e-33, 1.45214e-33, 1.45214e-33, 3.41969e-11, 1.45214e-33, 1.45214e-33, 3.16184e-13, 1.45214e-33, 1.45214e-33, 1.2723e-08, 1.45214e-33, 1.45214e-33, 1.45214e-33
0.416055, 0, 1.96655e-08, 8.38026e-33, 1.41421, -1.96655e-08, 0, 8.38026e-33, 8.38026e-33, 8.38026e-33, 8.38026e-33, 8.38026e-33, 8.38026e-33, 8.38026e-33, 8.38026e-33, 8.38026e-33, 8.38026e-33, 5.27971e-11, 8.38026e-33, 8.38026e-33, 5.31043e-13, 8.38026e-33, 8.38026e-33, 1.96122e-08, 8.38026e-33, 8.38026e-33, 8.38026e-33
0.423928, 0, 3.0059e-08, 5.01634e-32, 1.41421, -3.0059e-08, 0, 5.01634e-32, 5.01634e-32, 5.01634e-32, 5.01634e-32, 5.01634e-32, 5.01634e-32, 5.01634e-32, 5.01634e-32, 5.01634e-32, 5.01634e-32, 8.08554e-11, 5.01634e-32, 5.01634e-32, 8.91245e-13, 5.01634e-32, 5.01634e-32, 2.99772e-08, 5.01634e-32, 5.01634e-32, 5.01634e-32
