   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_51.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.33222, 0, 9.31805e-11, 5.561e-40, 1.41421, -9.31805e-11, 0, 5.561e-40, 5.561e-40, 5.561e-40, 5.561e-40, 5.561e-40, 5.561e-40, 5.561e-40, 5.561e-40, 5.561e-40, 5.561e-40, 3.19144e-12, 5.561e-40, 5.561e-40, 1.08147e-14, 5.561e-40, 5.561e-40, 8.99783e-11, 5.561e-40, 5.561e-40, 5.561e-40
0.340105, 0, 1.44854e-10, 6.37272e-39, 1.41421, -1.44854e-10, 0, 6.37272e-39, 6.37272e-39, 6.37272e-39, 6.37272e-39, 6.37272e-39, 6.37272e-39, 6.37272e-39, 6.37272e-39, 6.37272e-39, 6.37272e-39, 4.96357e-12, 6.37272e-39, 6.37272e-39, 1.76379e-14, 6.37272e-39, 6.37272e-39, 1.39873e-10, 6.37272e-39, 6.37272e-39, 6.37272e-39
0.347991, 0, 2.2353e-10, 6.59439e-38, 1.41421, -2.2353e-10, 0, 6.59439e-38, 6.59439e-38, 6.59439e-38, 6.59439e-38, 6.59439e-38, 6.59439e-38, 6.59439e-38, 6.59439e-38, 6.59439e-38, 6.59439e-38, 7.66383e-12, 6.59439e-38, 6.59439e-38, 2.86749e-14, 6.59439e-38, 6.59439e-38, 2.15838e-10, 6.59439e-38, 6.59439e-38, 6.59439e-38
0.355876, 0, 3.42418e-10, 6.19378e-37, 1.41421, -3.42418e-10, 0, 6.19378e-37, 6.19378e-37, 6.19378e-37, 6.19378e-37, 6.19378e-37, 6.19378e-37, 6.19378e-37, 6.19378e-37, 6.19378e-37, 6.19378e-37, 1.17481e-11, 6.19378e-37, 6.19378e-37, 4.64938e-14, 6.19378e-37, 6.19378e-37, 3.30623e-10, 6.19378e-37, 6.19378e-37, 6.19378e-37
0.363761, 0, 5.20729e-10, 5.31534e-36, 1.41421, -5.20729e-10, 0, 5.31534e-36, 5.31534e-36, 5.31534e-36, 5.31534e-36, 5.31534e-36, 5.31534e-36, 5.31534e-36, 5.31534e-36, 5.31534e-36, 5.31534e-36, 1.7881e-11, 5.31534e-36, 5.31534e-36, 7.52218e-14, 5.31534e-36, 5.31534e-36, 5.02773e-10, 5.31534e-36, 5.31534e-36, 5.31534e-36
0.371646, 0, 7.86177e-10, 4.18496e-35, 1.41421, -7.86177e-10, 0, 4.18496e-35, 4.18496e-35, 4.18496e-35, 4.18496e-35, 4.18496e-35, 4.18496e-35, 4.18496e-35, 4.18496e-35, 4.18496e-35, 4.18496e-35, 2.70237e-11, 4.18496e-35, 4.18496e-35, 1.21493e-13, 4.18496e-35, 4.18496e-35, 7.59032e-10, 4.18496e-35, 4.18496e-35, 4.18496e-35
0.379531, 0, 1.17843e-09, 3.03634e-34, 1.41421, -1.17843e-09, 0, 3.03634e-34, 3.03634e-34, 3.03634e-34, 3.03634e-34, 3.03634e-34, 3.03634e-34, 3.03634e-34, 3.03634e-34, 3.03634e-34, 3.03634e-34, 4.05566e-11, 3.03634e-34, 3.03634e-34, 1.95975e-13, 3.03634e-34, 3.03634e-34, 1.13767e-09, 3.03634e-34, 3.03634e-34, 3.03634e-34
0.387417, 0, 1.75379e-09, 2.09058e-33, 1.41421, -1.75379e-09, 0, 2.09058e-33, 2.09058e-33, 2.09058e-33, 2.09058e-33, 2.09058e-33, 2.09058e-33, 2.09058e-33, 2.09058e-33, 2.09058e-33, 2.09058e-33, 6.04473e-11, 2.09058e-33, 2.09058e-33, 3.15834e-13, 2.09058e-33, 2.09058e-33, 1.69303e-09, 2.09058e-33, 2.09058e-33, 2.09058e-33
0.395302, 0, 2.59162e-09, 1.21431e-32, 1.41421, -2.59162e-09, 0, 1.21431e-32, 1.21431e-32, 1.21431e-32, 1.21431e-32, 1.21431e-32, 1.21431e-32, 1.21431e-32, 1.21431e-32, 1.21431e-32, 1.21431e-32, 8.94808e-11, 1.21431e-32, 1.21431e-32, 5.08684e-13, 1.21431e-32, 1.21431e-32, 2.50163e-09, 1.21431e-32, 1.21431e-32, 1.21431e-32
0.403187, 0, 3.80279e-09, 7.18187e-32, 1.41421, -3.80279e-09, 0, 7.18187e-32, 7.18187e-32, 7.18187e-32, 7.18187e-32, 7.18187e-32, 7.18187e-32, 7.18187e-32, 7.18187e-32, 7.18187e-32, 7.18187e-32, 1.31571e-10, 7.18187e-32, 7.18187e-32, 8.18938e-13, 7.18187e-32, 7.18187e-32, 3.6704e-09, 7.18187e-32, 7.18187e-32, 7.18187e-32
