   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_195.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.280283, 0, 6.43662e-12, 0, 1.41421, -6.43662e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22683e-14, 0, 0, 2.31792e-16, 0, 7.42415e-16, 0, 6.39338e-12, 0, 0, 0
0.28815, 0, 1.09606e-11, 0, 1.41421, -1.09606e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19802e-14, 0, 0, 4.04635e-16, 0, 1.30446e-15, 0, 1.08869e-11, 0, 0, 0
0.296016, 0, 1.85062e-11, 0, 1.41421, -1.85062e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21543e-13, 0, 0, 7.01436e-16, 0, 2.276e-15, 0, 1.83817e-11, 0, 0, 0
0.303883, 0, 3.0984e-11, 0, 1.41421, -3.0984e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03514e-13, 0, 0, 1.20781e-15, 0, 3.94427e-15, 0, 3.07754e-11, 0, 0, 0
0.31175, 0, 5.14413e-11, 0, 1.41421, -5.14413e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37929e-13, 0, 0, 2.06646e-15, 0, 6.79058e-15, 0, 5.10945e-11, 0, 0, 0
0.319617, 0, 8.46962e-11, 3.08286e-44, 1.41421, -8.46962e-11, 3.08286e-44, 0, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 5.56482e-13, 3.08286e-44, 3.08286e-44, 3.51428e-15, 3.08286e-44, 1.16172e-14, 3.08286e-44, 8.41246e-11, 3.08286e-44, 3.08286e-44, 3.08286e-44
0.327483, 0, 1.38297e-10, 6.17973e-43, 1.41421, -1.38297e-10, 6.17973e-43, 0, 6.17973e-43, 6.17973e-43, 6.17973e-43, 6.17973e-43, 6.17973e-43, 6.17973e-43, 6.17973e-43, 6.17973e-43, 6.17973e-43, 6.17973e-43, 6.17973e-43, 9.08855e-13, 6.17973e-43, 6.17973e-43, 5.9429e-15, 6.17973e-43, 1.97547e-14, 6.17973e-43, 1.37362e-10, 6.17973e-43, 6.17973e-43, 6.17973e-43
0.33535, 0, 2.23964e-10, 9.30602e-42, 1.41421, -2.23964e-10, 9.30602e-42, 0, 9.30602e-42, 9.30602e-42, 9.30602e-42, 9.30602e-42, 9.30602e-42, 9.30602e-42, 9.30602e-42, 9.30602e-42, 9.30602e-42, 9.30602e-42, 9.30602e-42, 1.47226e-12, 9.30602e-42, 9.30602e-42, 9.99793e-15, 9.30602e-42, 3.33997e-14, 9.30602e-42, 2.22449e-10, 9.30602e-42, 9.30602e-42, 9.30602e-42
0.343217, 0, 3.59736e-10, 1.27616e-40, 1.41421, -3.59736e-10, 1.27616e-40, 0, 1.27616e-40, 1.27616e-40, 1.27616e-40, 1.27616e-40, 1.27616e-40, 1.27616e-40, 1.27616e-40, 1.27616e-40, 1.27616e-40, 1.27616e-40, 1.27616e-40, 2.36561e-12, 1.27616e-40, 1.27616e-40, 1.67411e-14, 1.27616e-40, 5.61648e-14, 1.27616e-40, 3.57297e-10, 1.27616e-40, 1.27616e-40, 1.27616e-40
0.351083, 0, 5.73121e-10, 1.57108e-39, 1.41421, -5.73121e-10, 1.57108e-39, 0, 1.57108e-39, 1.57108e-39, 1.57108e-39, 1.57108e-39, 1.57108e-39, 1.57108e-39, 1.57108e-39, 1.57108e-39, 1.57108e-39, 1.57108e-39, 1.57108e-39, 3.7705e-12, 1.57108e-39, 1.57108e-39, 2.79157e-14, 1.57108e-39, 9.39712e-14, 1.57108e-39, 5.69229e-10, 1.57108e-39, 1.57108e-39, 1.57108e-39
