   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_5.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0578477, 0, 7.3205e-18, 0, 1.41421, -7.3205e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17228e-20, 0, 0, 1.09143e-22, 0, 0, 7.27867e-18, 0, 0, 0
0.0657572, 0, 1.48453e-17, 0, 1.41421, -1.48453e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.46101e-20, 0, 0, 2.24744e-22, 0, 0, 1.47605e-17, 0, 0, 0
0.0736668, 0, 2.97874e-17, 0, 1.41421, -2.97874e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69771e-19, 0, 0, 4.57988e-22, 0, 0, 2.96171e-17, 0, 0, 0
0.0815764, 0, 5.91548e-17, 0, 1.41421, -5.91548e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3715e-19, 0, 0, 9.23897e-22, 0, 0, 5.88168e-17, 0, 0, 0
0.0894859, 0, 1.163e-16, 0, 1.41421, -1.163e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62844e-19, 0, 0, 1.84551e-21, 0, 0, 1.15635e-16, 0, 0, 0
0.0973955, 0, 2.26415e-16, 0, 1.41421, -2.26415e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29044e-18, 0, 0, 3.65131e-21, 0, 0, 2.25121e-16, 0, 0, 0
0.105305, 0, 4.36578e-16, 0, 1.41421, -4.36578e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48825e-18, 0, 0, 7.15681e-21, 0, 0, 4.34083e-16, 0, 0, 0
0.113215, 0, 8.3395e-16, 0, 1.41421, -8.3395e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75304e-18, 0, 0, 1.39004e-20, 0, 0, 8.29183e-16, 0, 0, 0
0.121124, 0, 1.57842e-15, 0, 1.41421, -1.57842e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.99607e-18, 0, 0, 2.67582e-20, 0, 0, 1.56939e-15, 0, 0, 0
0.129034, 0, 2.9606e-15, 0, 1.41421, -2.9606e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68737e-17, 0, 0, 5.10611e-20, 0, 0, 2.94368e-15, 0, 0, 0
0.136943, 0, 5.50409e-15, 0, 1.41421, -5.50409e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13701e-17, 0, 0, 9.66061e-20, 0, 0, 5.47262e-15, 0, 0, 0
0.144853, 0, 1.01438e-14, 0, 1.41421, -1.01438e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.78137e-17, 0, 0, 1.81246e-19, 0, 0, 1.00858e-14, 0, 0, 0
0.152762, 0, 1.85346e-14, 0, 1.41421, -1.85346e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05636e-16, 0, 0, 3.37241e-19, 0, 0, 1.84287e-14, 0, 0, 0
0.160672, 0, 3.35806e-14, 0, 1.41421, -3.35806e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91389e-16, 0, 0, 6.22422e-19, 0, 0, 3.33886e-14, 0, 0, 0
0.168582, 0, 6.03341e-14, 0, 1.41421, -6.03341e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43867e-16, 0, 0, 1.13961e-18, 0, 0, 5.99891e-14, 0, 0, 0
0.176491, 0, 1.0751e-13, 0, 1.41421, -1.0751e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.12741e-16, 0, 0, 2.07021e-18, 0, 0, 1.06896e-13, 0, 0, 0
0.184401, 0, 1.90017e-13, 0, 1.41421, -1.90017e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08298e-15, 0, 0, 3.73177e-18, 0, 0, 1.88931e-13, 0, 0, 0
0.19231, 0, 3.33142e-13, 0, 1.41421, -3.33142e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8987e-15, 0, 0, 6.67589e-18, 0, 0, 3.31237e-13, 0, 0, 0
0.20022, 0, 5.79418e-13, 0, 1.41421, -5.79418e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30233e-15, 0, 0, 1.18535e-17, 0, 0, 5.76104e-13, 0, 0, 0
0.208129, 0, 9.99802e-13, 0, 1.41421, -9.99802e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.69828e-15, 0, 0, 2.08919e-17, 0, 0, 9.94083e-13, 0, 0, 0
0.216039, 0, 1.71169e-12, 0, 1.41421, -1.71169e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.75569e-15, 0, 0, 3.6556e-17, 0, 0, 1.7019e-12, 0, 0, 0
0.223949, 0, 2.90771e-12, 0, 1.41421, -2.90771e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65726e-14, 0, 0, 6.35099e-17, 0, 0, 2.89107e-12, 0, 0, 0
0.231858, 0, 4.90138e-12, 0, 1.41421, -4.90138e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79361e-14, 0, 0, 1.09569e-16, 0, 0, 4.87333e-12, 0, 0, 0
0.239768, 0, 8.19881e-12, 0, 1.41421, -8.19881e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.67317e-14, 0, 0, 1.87743e-16, 0, 0, 8.15189e-12, 0, 0, 0
0.247677, 0, 1.36104e-11, 0, 1.41421, -1.36104e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.758e-14, 0, 0, 3.19551e-16, 0, 0, 1.35325e-11, 0, 0, 0
0.255587, 0, 2.24234e-11, 0, 1.41421, -2.24234e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27821e-13, 0, 0, 5.40389e-16, 0, 0, 2.2295e-11, 0, 0, 0
