   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_186.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.288095, 0, 1.80943e-11, 0, 1.41421, -1.80943e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15806e-13, 0, 0, 1.70791e-16, 0, 4.34239e-16, 0, 1.79779e-11, 0, 0, 0
0.295963, 0, 3.02761e-11, 0, 1.41421, -3.02761e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93789e-13, 0, 0, 2.93566e-16, 0, 7.51846e-16, 0, 3.00812e-11, 0, 0, 0
0.303831, 0, 5.02414e-11, 0, 1.41421, -5.02414e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2162e-13, 0, 0, 5.01303e-16, 0, 1.29327e-15, 0, 4.9918e-11, 0, 0, 0
0.311698, 0, 8.26895e-11, 0, 1.41421, -8.26895e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29418e-13, 0, 0, 8.50722e-16, 0, 2.21058e-15, 0, 8.2157e-11, 0, 0, 0
0.319566, 0, 1.35024e-10, 3.37713e-43, 1.41421, -1.35024e-10, 3.37713e-43, 0, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 3.37713e-43, 8.64677e-13, 3.37713e-43, 3.37713e-43, 1.43772e-15, 3.37713e-43, 3.76193e-15, 3.37713e-43, 1.34154e-10, 3.37713e-43, 3.37713e-43, 3.37713e-43
0.327433, 0, 2.18621e-10, 5.07971e-42, 1.41421, -2.18621e-10, 5.07971e-42, 0, 5.07971e-42, 5.07971e-42, 5.07971e-42, 5.07971e-42, 5.07971e-42, 5.07971e-42, 5.07971e-42, 5.07971e-42, 5.07971e-42, 5.07971e-42, 5.07971e-42, 1.40038e-12, 5.07971e-42, 5.07971e-42, 2.4123e-15, 5.07971e-42, 6.35446e-15, 5.07971e-42, 2.17211e-10, 5.07971e-42, 5.07971e-42, 5.07971e-42
0.335301, 0, 3.51125e-10, 6.97468e-41, 1.41421, -3.51125e-10, 6.97468e-41, 0, 6.97468e-41, 6.97468e-41, 6.97468e-41, 6.97468e-41, 6.97468e-41, 6.97468e-41, 6.97468e-41, 6.97468e-41, 6.97468e-41, 6.97468e-41, 6.97468e-41, 2.24987e-12, 6.97468e-41, 6.97468e-41, 4.02714e-15, 6.97468e-41, 1.06752e-14, 6.97468e-41, 3.4886e-10, 6.97468e-41, 6.97468e-41, 6.97468e-41
0.343168, 0, 5.59424e-10, 8.59582e-40, 1.41421, -5.59424e-10, 8.59582e-40, 0, 8.59582e-40, 8.59582e-40, 8.59582e-40, 8.59582e-40, 8.59582e-40, 8.59582e-40, 8.59582e-40, 8.59582e-40, 8.59582e-40, 8.59582e-40, 8.59582e-40, 3.58601e-12, 8.59582e-40, 8.59582e-40, 6.69236e-15, 8.59582e-40, 1.7842e-14, 8.59582e-40, 5.55813e-10, 8.59582e-40, 8.59582e-40, 8.59582e-40
0.351036, 0, 8.84195e-10, 9.54279e-39, 1.41421, -8.84195e-10, 9.54279e-39, 0, 9.54279e-39, 9.54279e-39, 9.54279e-39, 9.54279e-39, 9.54279e-39, 9.54279e-39, 9.54279e-39, 9.54279e-39, 9.54279e-39, 9.54279e-39, 9.54279e-39, 5.6707e-12, 9.54279e-39, 9.54279e-39, 1.10765e-14, 9.54279e-39, 2.96789e-14, 9.54279e-39, 8.78484e-10, 9.54279e-39, 9.54279e-39, 9.54279e-39
0.358903, 0, 1.38645e-09, 9.58296e-38, 1.41421, -1.38645e-09, 9.58296e-38, 0, 9.58296e-38, 9.58296e-38, 9.58296e-38, 9.58296e-38, 9.58296e-38, 9.58296e-38, 9.58296e-38, 9.58296e-38, 9.58296e-38, 9.58296e-38, 9.58296e-38, 8.89737e-12, 9.58296e-38, 9.58296e-38, 1.82684e-14, 9.58296e-38, 4.91539e-14, 9.58296e-38, 1.37748e-09, 9.58296e-38, 9.58296e-38, 9.58296e-38
