   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_285.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.270671, 0, 8.29389e-12, 0, 1.41421, -8.29389e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12271e-14, 0, 0, 1.20784e-16, 0, 0, 8.26255e-12, 0, 0, 0
0.278535, 0, 1.40183e-11, 0, 1.41421, -1.40183e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.27821e-14, 0, 0, 2.09595e-16, 0, 0, 1.39653e-11, 0, 0, 0
0.286399, 0, 2.35023e-11, 0, 1.41421, -2.35023e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.84972e-14, 0, 0, 3.6123e-16, 0, 0, 2.34135e-11, 0, 0, 0
0.294263, 0, 3.9087e-11, 0, 1.41421, -3.9087e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47192e-13, 0, 0, 6.18476e-16, 0, 0, 3.89392e-11, 0, 0, 0
0.302127, 0, 6.44875e-11, 0, 1.41421, -6.44875e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4287e-13, 0, 0, 1.05224e-15, 0, 0, 6.42436e-11, 0, 0, 0
0.30999, 0, 1.05551e-10, 0, 1.41421, -1.05551e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97576e-13, 0, 0, 1.77951e-15, 0, 0, 1.05151e-10, 0, 0, 0
0.317854, 0, 1.71398e-10, 2.83062e-43, 1.41421, -1.71398e-10, 0, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 6.45719e-13, 2.83062e-43, 2.83062e-43, 2.99242e-15, 2.83062e-43, 2.83062e-43, 1.7075e-10, 2.83062e-43, 2.83062e-43, 2.83062e-43
0.325718, 0, 2.7614e-10, 4.87091e-42, 1.41421, -2.7614e-10, 0, 4.87091e-42, 4.87091e-42, 4.87091e-42, 4.87091e-42, 4.87091e-42, 4.87091e-42, 4.87091e-42, 4.87091e-42, 1.04056e-12, 4.87091e-42, 4.87091e-42, 5.00551e-15, 4.87091e-42, 4.87091e-42, 2.75095e-10, 4.87091e-42, 4.87091e-42, 4.87091e-42
0.333582, 0, 4.41417e-10, 6.94736e-41, 1.41421, -4.41417e-10, 0, 6.94736e-41, 6.94736e-41, 6.94736e-41, 6.94736e-41, 6.94736e-41, 6.94736e-41, 6.94736e-41, 6.94736e-41, 1.66384e-12, 6.94736e-41, 6.94736e-41, 8.33228e-15, 6.94736e-41, 6.94736e-41, 4.39744e-10, 6.94736e-41, 6.94736e-41, 6.94736e-41
0.341446, 0, 7.00136e-10, 8.78396e-40, 1.41421, -7.00136e-10, 0, 8.78396e-40, 8.78396e-40, 8.78396e-40, 8.78396e-40, 8.78396e-40, 8.78396e-40, 8.78396e-40, 8.78396e-40, 2.64001e-12, 8.78396e-40, 8.78396e-40, 1.38091e-14, 8.78396e-40, 8.78396e-40, 6.97482e-10, 8.78396e-40, 8.78396e-40, 8.78396e-40
0.349309, 0, 1.10192e-09, 9.94395e-39, 1.41421, -1.10192e-09, 0, 9.94395e-39, 9.94395e-39, 9.94395e-39, 9.94395e-39, 9.94395e-39, 9.94395e-39, 9.94395e-39, 9.94395e-39, 4.1569e-12, 9.94395e-39, 9.94395e-39, 2.27966e-14, 9.94395e-39, 9.94395e-39, 1.09774e-09, 9.94395e-39, 9.94395e-39, 9.94395e-39
0.357173, 0, 1.72094e-09, 1.0177e-37, 1.41421, -1.72094e-09, 0, 1.0177e-37, 1.0177e-37, 1.0177e-37, 1.0177e-37, 1.0177e-37, 1.0177e-37, 1.0177e-37, 1.0177e-37, 6.49581e-12, 1.0177e-37, 1.0177e-37, 3.75057e-14, 1.0177e-37, 1.0177e-37, 1.71441e-09, 1.0177e-37, 1.0177e-37, 1.0177e-37
0.365037, 0, 2.66717e-09, 9.46257e-37, 1.41421, -2.66717e-09, 0, 9.46257e-37, 9.46257e-37, 9.46257e-37, 9.46257e-37, 9.46257e-37, 9.46257e-37, 9.46257e-37, 9.46257e-37, 1.00745e-11, 9.46257e-37, 9.46257e-37, 6.15284e-14, 9.46257e-37, 9.46257e-37, 2.65704e-09, 9.46257e-37, 9.46257e-37, 9.46257e-37
0.372901, 0, 4.10228e-09, 8.04495e-36, 1.41421, -4.10228e-09, 0, 8.04495e-36, 8.04495e-36, 8.04495e-36, 8.04495e-36, 8.04495e-36, 8.04495e-36, 8.04495e-36, 8.04495e-36, 1.55084e-11, 8.04495e-36, 8.04495e-36, 1.00701e-13, 8.04495e-36, 8.04495e-36, 4.08667e-09, 8.04495e-36, 8.04495e-36, 8.04495e-36
0.380765, 0, 6.26191e-09, 6.27937e-35, 1.41421, -6.26191e-09, 0, 6.27937e-35, 6.27937e-35, 6.27937e-35, 6.27937e-35, 6.27937e-35, 6.27937e-35, 6.27937e-35, 6.27937e-35, 2.36974e-11, 6.27937e-35, 6.27937e-35, 1.64508e-13, 6.27937e-35, 6.27937e-35, 6.23805e-09, 6.27937e-35, 6.27937e-35, 6.27937e-35
0.388628, 0, 9.48675e-09, 4.51965e-34, 1.41421, -9.48675e-09, 0, 4.51965e-34, 4.51965e-34, 4.51965e-34, 4.51965e-34, 4.51965e-34, 4.51965e-34, 4.51965e-34, 4.51965e-34, 3.59465e-11, 4.51965e-34, 4.51965e-34, 2.6837e-13, 4.51965e-34, 4.51965e-34, 9.45054e-09, 4.51965e-34, 4.51965e-34, 4.51965e-34
0.396492, 0, 1.42652e-08, 3.10008e-33, 1.41421, -1.42652e-08, 0, 3.10008e-33, 3.10008e-33, 3.10008e-33, 3.10008e-33, 3.10008e-33, 3.10008e-33, 3.10008e-33, 3.10008e-33, 5.41344e-11, 3.10008e-33, 3.10008e-33, 4.37366e-13, 3.10008e-33, 3.10008e-33, 1.42106e-08, 3.10008e-33, 3.10008e-33, 3.10008e-33
0.404356, 0, 2.12917e-08, 1.83245e-32, 1.41421, -2.12917e-08, 0, 1.83245e-32, 1.83245e-32, 1.83245e-32, 1.83245e-32, 1.83245e-32, 1.83245e-32, 1.83245e-32, 1.83245e-32, 8.09452e-11, 1.83245e-32, 1.83245e-32, 7.12281e-13, 1.83245e-32, 1.83245e-32, 2.12101e-08, 1.83245e-32, 1.83245e-32, 1.83245e-32
0.41222, 0, 3.15455e-08, 1.08919e-31, 1.41421, -3.15455e-08, 0, 1.08919e-31, 1.08919e-31, 1.08919e-31, 1.08919e-31, 1.08919e-31, 1.08919e-31, 1.08919e-31, 1.08919e-31, 1.20185e-10, 1.08919e-31, 1.08919e-31, 1.15941e-12, 1.08919e-31, 1.08919e-31, 3.14242e-08, 1.08919e-31, 1.08919e-31, 1.08919e-31
0.420084, 0, 4.63965e-08, 5.80125e-31, 1.41421, -4.63965e-08, 0, 5.80125e-31, 5.80125e-31, 5.80125e-31, 5.80125e-31, 5.80125e-31, 5.80125e-31, 5.80125e-31, 5.80125e-31, 1.77215e-10, 5.80125e-31, 5.80125e-31, 1.88639e-12, 5.80125e-31, 5.80125e-31, 4.62174e-08, 5.80125e-31, 5.80125e-31, 5.80125e-31
0.427947, 0, 6.7745e-08, 3.0144e-30, 1.41421, -6.7745e-08, 0, 3.0144e-30, 3.0144e-30, 3.0144e-30, 3.0144e-30, 3.0144e-30, 3.0144e-30, 3.0144e-30, 3.0144e-30, 2.59531e-10, 3.0144e-30, 3.0144e-30, 3.06776e-12, 3.0144e-30, 3.0144e-30, 6.74824e-08, 3.0144e-30, 3.0144e-30, 3.0144e-30
