   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_728.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.201601, 0, 7.11107e-14, 0, 1.41421, -7.11107e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30515e-16, 0, 0, 0, 1.48868e-14, 0, 5.59934e-14, 0, 0, 0
0.209458, 0, 1.23923e-13, 0, 1.41421, -1.23923e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99332e-16, 0, 0, 0, 2.65245e-14, 0, 9.69994e-14, 0, 0, 0
0.217314, 0, 2.1434e-13, 0, 1.41421, -2.1434e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.86371e-16, 0, 0, 0, 4.69334e-14, 0, 1.6672e-13, 0, 0, 0
0.22517, 0, 3.67983e-13, 0, 1.41421, -3.67983e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17058e-15, 0, 0, 0, 8.24814e-14, 0, 2.84331e-13, 0, 0, 0
0.233027, 0, 6.27153e-13, 0, 1.41421, -6.27153e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98102e-15, 0, 0, 0, 1.44e-13, 0, 4.81172e-13, 0, 0, 0
0.240883, 0, 1.06115e-12, 0, 1.41421, -1.06115e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32693e-15, 0, 0, 0, 2.49767e-13, 0, 8.08057e-13, 0, 0, 0
0.24874, 0, 1.78272e-12, 0, 1.41421, -1.78272e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5449e-15, 0, 0, 0, 4.30462e-13, 0, 1.34671e-12, 0, 0, 0
0.256596, 0, 2.97393e-12, 0, 1.41421, -2.97393e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.17196e-15, 0, 0, 0, 7.37265e-13, 0, 2.22749e-12, 0, 0, 0
0.264452, 0, 4.92681e-12, 0, 1.41421, -4.92681e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5058e-14, 0, 0, 0, 1.25506e-12, 0, 3.65669e-12, 0, 0, 0
0.272309, 0, 8.10653e-12, 0, 1.41421, -8.10653e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45376e-14, 0, 0, 0, 2.12388e-12, 0, 5.95812e-12, 0, 0, 0
0.280165, 0, 1.32492e-11, 0, 1.41421, -1.32492e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96895e-14, 0, 0, 0, 3.57351e-12, 0, 9.63603e-12, 0, 0, 0
0.288022, 0, 2.15123e-11, 0, 1.41421, -2.15123e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.37267e-14, 0, 0, 0, 5.97923e-12, 0, 1.54693e-11, 0, 0, 0
0.295878, 0, 3.47045e-11, 0, 1.41421, -3.47045e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01575e-13, 0, 0, 0, 9.95109e-12, 0, 2.46518e-11, 0, 0, 0
0.303735, 0, 5.56355e-11, 0, 1.41421, -5.56355e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6073e-13, 0, 0, 0, 1.64767e-11, 0, 3.8998e-11, 0, 0, 0
0.311591, 0, 8.86469e-11, 6.54406e-43, 1.41421, -8.86469e-11, 6.54406e-43, 0, 6.54406e-43, 6.54406e-43, 6.54406e-43, 6.54406e-43, 6.54406e-43, 6.54406e-43, 6.54406e-43, 6.54406e-43, 6.54406e-43, 6.54406e-43, 6.54406e-43, 2.52503e-13, 6.54406e-43, 6.54406e-43, 6.54406e-43, 2.71492e-11, 6.54406e-43, 6.12452e-11, 6.54406e-43, 6.54406e-43, 6.54406e-43
0.319447, 0, 1.40413e-10, 1.09806e-41, 1.41421, -1.40413e-10, 1.09806e-41, 0, 1.09806e-41, 1.09806e-41, 1.09806e-41, 1.09806e-41, 1.09806e-41, 1.09806e-41, 1.09806e-41, 1.09806e-41, 1.09806e-41, 1.09806e-41, 1.09806e-41, 3.93843e-13, 1.09806e-41, 1.09806e-41, 1.09806e-41, 4.45295e-11, 1.09806e-41, 9.54892e-11, 1.09806e-41, 1.09806e-41, 1.09806e-41
0.327304, 0, 2.21143e-10, 1.53402e-40, 1.41421, -2.21143e-10, 1.53402e-40, 0, 1.53402e-40, 1.53402e-40, 1.53402e-40, 1.53402e-40, 1.53402e-40, 1.53402e-40, 1.53402e-40, 1.53402e-40, 1.53402e-40, 1.53402e-40, 1.53402e-40, 6.0994e-13, 1.53402e-40, 1.53402e-40, 1.53402e-40, 7.27231e-11, 1.53402e-40, 1.4781e-10, 1.53402e-40, 1.53402e-40, 1.53402e-40
0.33516, 0, 3.46622e-10, 9.03292e-39, 1.41421, -3.46622e-10, 9.03292e-39, 0, 9.03292e-39, 9.03292e-39, 9.03292e-39, 9.03292e-39, 9.03292e-39, 9.03292e-39, 9.03292e-39, 9.03292e-39, 9.03292e-39, 9.03292e-39, 9.03292e-39, 9.38088e-13, 9.03292e-39, 9.03292e-39, 9.03292e-39, 1.18496e-10, 9.03292e-39, 2.27188e-10, 9.03292e-39, 9.03292e-39, 9.03292e-39
0.343017, 0, 5.40149e-10, 9.10242e-38, 1.41421, -5.40149e-10, 9.10242e-38, 0, 9.10242e-38, 9.10242e-38, 9.10242e-38, 9.10242e-38, 9.10242e-38, 9.10242e-38, 9.10242e-38, 9.10242e-38, 9.10242e-38, 9.10242e-38, 9.10242e-38, 1.43248e-12, 9.10242e-38, 9.10242e-38, 9.10242e-38, 1.92051e-10, 9.10242e-38, 3.46665e-10, 9.10242e-38, 9.10242e-38, 9.10242e-38
