   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_176.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.365124, 0, 4.50935e-11, 1.01458e-40, 1.41421, -4.50935e-11, 0, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 2.62541e-13, 1.01458e-40, 1.01458e-40, 2.92945e-15, 4.00277e-14, 1.01458e-40, 4.4788e-11, 1.01458e-40, 1.01458e-40, 1.01458e-40
0.372965, 0, 7.5474e-11, 1.17373e-39, 1.41421, -7.5474e-11, 0, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 4.39545e-13, 1.17373e-39, 1.17373e-39, 5.11527e-15, 6.96956e-14, 1.17373e-39, 7.49596e-11, 1.17373e-39, 1.17373e-39, 1.17373e-39
0.380806, 0, 1.25144e-10, 1.22641e-38, 1.41421, -1.25144e-10, 0, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 7.29086e-13, 1.22641e-38, 1.22641e-38, 8.88728e-15, 1.20613e-13, 1.22641e-38, 1.24285e-10, 1.22641e-38, 1.22641e-38, 1.22641e-38
0.388646, 0, 2.05577e-10, 1.16391e-37, 1.41421, -2.05577e-10, 0, 1.16391e-37, 1.16391e-37, 1.16391e-37, 1.16391e-37, 1.16391e-37, 1.16391e-37, 1.16391e-37, 1.16391e-37, 1.16391e-37, 1.16391e-37, 1.16391e-37, 1.16391e-37, 1.19828e-12, 1.16391e-37, 1.16391e-37, 1.53734e-14, 2.07569e-13, 1.16391e-37, 2.04156e-10, 1.16391e-37, 1.16391e-37, 1.16391e-37
0.396487, 0, 3.34594e-10, 1.00867e-36, 1.41421, -3.34594e-10, 0, 1.00867e-36, 1.00867e-36, 1.00867e-36, 1.00867e-36, 1.00867e-36, 1.00867e-36, 1.00867e-36, 1.00867e-36, 1.00867e-36, 1.00867e-36, 1.00867e-36, 1.00867e-36, 1.95152e-12, 1.00867e-36, 1.00867e-36, 2.64949e-14, 3.55438e-13, 1.00867e-36, 3.3226e-10, 1.00867e-36, 1.00867e-36, 1.00867e-36
0.404328, 0, 5.39593e-10, 8.02187e-36, 1.41421, -5.39593e-10, 0, 8.02187e-36, 8.02187e-36, 8.02187e-36, 8.02187e-36, 8.02187e-36, 8.02187e-36, 8.02187e-36, 8.02187e-36, 8.02187e-36, 8.02187e-36, 8.02187e-36, 8.02187e-36, 3.1497e-12, 8.02187e-36, 8.02187e-36, 4.55234e-14, 6.06011e-13, 8.02187e-36, 5.35792e-10, 8.02187e-36, 8.02187e-36, 8.02187e-36
0.412169, 0, 8.62277e-10, 5.88213e-35, 1.41421, -8.62277e-10, 0, 5.88213e-35, 5.88213e-35, 5.88213e-35, 5.88213e-35, 5.88213e-35, 5.88213e-35, 5.88213e-35, 5.88213e-35, 5.88213e-35, 5.88213e-35, 5.88213e-35, 5.88213e-35, 5.0383e-12, 5.88213e-35, 5.88213e-35, 7.80302e-14, 1.02947e-12, 5.88213e-35, 8.56131e-10, 5.88213e-35, 5.88213e-35, 5.88213e-35
0.420009, 0, 1.36548e-09, 4.06185e-34, 1.41421, -1.36548e-09, 0, 4.06185e-34, 4.06185e-34, 4.06185e-34, 4.06185e-34, 4.06185e-34, 4.06185e-34, 4.06185e-34, 4.06185e-34, 4.06185e-34, 4.06185e-34, 4.06185e-34, 4.06185e-34, 7.98852e-12, 4.06185e-34, 4.06185e-34, 1.33504e-13, 1.74368e-12, 4.06185e-34, 1.35562e-09, 4.06185e-34, 4.06185e-34, 4.06185e-34
0.42785, 0, 2.14296e-09, 2.7644e-33, 1.41421, -2.14296e-09, 0, 2.7644e-33, 2.7644e-33, 2.7644e-33, 2.7644e-33, 2.7644e-33, 2.7644e-33, 2.7644e-33, 2.7644e-33, 2.7644e-33, 2.7644e-33, 2.7644e-33, 2.7644e-33, 1.25563e-11, 2.7644e-33, 2.7644e-33, 2.28103e-13, 2.94683e-12, 2.7644e-33, 2.12723e-09, 2.7644e-33, 2.7644e-33, 2.7644e-33
0.435691, 0, 3.33319e-09, 1.78303e-32, 1.41421, -3.33319e-09, 0, 1.78303e-32, 1.78303e-32, 1.78303e-32, 1.78303e-32, 1.78303e-32, 1.78303e-32, 1.78303e-32, 1.78303e-32, 1.78303e-32, 1.78303e-32, 1.78303e-32, 1.78303e-32, 1.95671e-11, 1.78303e-32, 1.78303e-32, 3.89337e-13, 4.97242e-12, 1.78303e-32, 3.30826e-09, 1.78303e-32, 1.78303e-32, 1.78303e-32
0.443532, 0, 5.13876e-09, 1.07807e-31, 1.41421, -5.13876e-09, 0, 1.07807e-31, 1.07807e-31, 1.07807e-31, 1.07807e-31, 1.07807e-31, 1.07807e-31, 1.07807e-31, 1.07807e-31, 1.07807e-31, 1.07807e-31, 1.07807e-31, 1.07807e-31, 3.02357e-11, 1.07807e-31, 1.07807e-31, 6.63984e-13, 8.38241e-12, 1.07807e-31, 5.09948e-09, 1.07807e-31, 1.07807e-31, 1.07807e-31
