   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_860.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.229575, 0, 1.29362e-14, 0, 1.41421, -1.29362e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05415e-16, 0, 0, 3.04892e-17, 0, 5.15864e-19, 1.27998e-14, 0, 0
0.237542, 0, 2.37913e-14, 0, 1.41421, -2.37913e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93861e-16, 0, 0, 5.7134e-17, 0, 9.68494e-19, 2.35393e-14, 0, 0
0.245509, 0, 4.33721e-14, 0, 1.41421, -4.33721e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53396e-16, 0, 0, 1.06189e-16, 0, 1.80353e-18, 4.29107e-14, 0, 0
0.253476, 0, 7.83827e-14, 0, 1.41421, -7.83827e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38632e-16, 0, 0, 1.95779e-16, 0, 3.33179e-18, 7.7545e-14, 0, 0
0.261444, 0, 1.40437e-13, 0, 1.41421, -1.40437e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14417e-15, 0, 0, 3.58116e-16, 0, 6.10688e-18, 1.38928e-13, 0, 0
0.269411, 0, 2.4947e-13, 0, 1.41421, -2.4947e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03238e-15, 0, 0, 6.50023e-16, 0, 1.11073e-17, 2.46776e-13, 0, 0
0.277378, 0, 4.39398e-13, 0, 1.41421, -4.39398e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57952e-15, 0, 0, 1.17101e-15, 0, 2.00509e-17, 4.34627e-13, 0, 0
0.285346, 0, 7.67407e-13, 0, 1.41421, -7.67407e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.25135e-15, 0, 0, 2.0942e-15, 0, 3.59296e-17, 7.59026e-13, 0, 0
0.293313, 0, 1.32906e-12, 0, 1.41421, -1.32906e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08262e-14, 0, 0, 3.7188e-15, 0, 6.39196e-17, 1.31445e-12, 0, 0
0.30128, 0, 2.28261e-12, 0, 1.41421, -2.28261e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85931e-14, 0, 0, 6.55894e-15, 0, 1.12916e-16, 2.25734e-12, 0, 0
0.309247, 0, 3.88781e-12, 0, 1.41421, -3.88781e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16679e-14, 0, 0, 1.14933e-14, 0, 1.98108e-16, 3.84445e-12, 0, 0
0.317215, 0, 6.56729e-12, 0, 1.41421, -6.56729e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34934e-14, 0, 0, 2.0017e-14, 0, 3.45282e-16, 6.49343e-12, 0, 0
0.325182, 0, 1.10024e-11, 2.38221e-44, 1.41421, -1.10024e-11, 0, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 2.38221e-44, 8.96217e-14, 2.38221e-44, 2.38221e-44, 3.46627e-14, 2.38221e-44, 5.97964e-16, 1.08775e-11, 2.38221e-44, 2.38221e-44
0.333149, 0, 1.82822e-11, 4.82047e-43, 1.41421, -1.82822e-11, 0, 4.82047e-43, 4.82047e-43, 4.82047e-43, 4.82047e-43, 4.82047e-43, 4.82047e-43, 4.82047e-43, 4.82047e-43, 4.82047e-43, 1.48928e-13, 4.82047e-43, 4.82047e-43, 5.97073e-14, 4.82047e-43, 1.02927e-15, 1.80725e-11, 4.82047e-43, 4.82047e-43
